,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,2536.6172,2546.1309,2550.1433,2545.9688,2544.467,2543.492,2544.959,2536.2263,2547.8994,2534.3657,2548.1016,2535.5645,2541.5225,2530.9207,2533.2756,2539.077,2545.0952,2538.1245,2523.6724,2546.1125,2550.142,2547.795,2553.2605,2547.877,2561.9443,2535.7295,2544.7007,2561.755,2533.9697,2537.9893,2542.897
2021-11-25,2551.7803,2558.0833,2569.4763,2563.2368,2561.2678,2555.6882,2559.0166,2546.4443,2551.4722,2544.347,2557.6714,2545.8108,2552.9443,2533.0154,2545.6821,2545.3066,2554.9321,2549.963,2533.024,2560.8093,2569.7485,2557.6191,2565.9924,2562.141,2572.078,2549.3318,2552.2578,2580.0193,2542.8877,2548.4087,2554.682
2021-11-26,2559.5356,2569.483,2573.099,2569.3333,2567.5544,2566.7214,2568.2249,2560.052,2572.7185,2557.9944,2572.441,2559.1687,2565.1082,2555.6628,2556.5608,2563.6587,2569.105,2561.2876,2547.722,2569.3115,2573.186,2571.9697,2577.011,2571.5828,2586.0837,2558.4573,2568.79,2585.5813,2557.9658,2561.7192,2566.5696
2021-11-27,2564.7944,2575.2566,2577.8748,2574.4812,2572.671,2572.4285,2573.7224,2566.1777,2579.9392,2564.0874,2578.801,2565.2236,2571.0178,2563.0361,2562.2607,2570.4917,2575.3328,2567.0166,2554.0215,2574.7126,2577.9587,2578.2502,2582.8157,2577.1929,2592.316,2563.8418,2575.3135,2590.756,2564.2986,2567.79,2572.4626
2021-11-28,2567.0537,2578.7234,2578.7593,2576.1838,2574.4397,2575.7744,2576.4612,2570.3716,2586.66,2568.2974,2583.3735,2569.3386,2574.7354,2570.224,2565.5544,2576.2534,2579.7124,2570.4597,2558.5764,2577.217,2578.782,2582.6868,2586.1494,2580.0042,2596.6377,2566.5588,2580.4773,2592.277,2568.9792,2571.8843,2576.0867
2021-11-29,2565.9163,2578.87,2576.074,2574.3496,2572.7253,2575.806,2575.805,2571.2578,2590.2214,2569.2334,2584.6023,2570.1714,2575.1262,2574.3208,2565.517,2578.7764,2580.7776,2570.611,2559.8306,2576.309,2576.0117,2583.7896,2586.0837,2579.3577,2597.6174,2565.9656,2582.4087,2590.162,2570.3848,2572.6763,2576.359
2021-11-30,2561.343,2575.5962,2569.8518,2568.9695,2567.5142,2572.4272,2571.6917,2568.6982,2590.356,2566.7568,2582.332,2567.588,2572.0762,2575.0347,2562.0574,2577.8428,2578.3813,2567.3704,2557.628,2571.9382,2569.685,2581.4094,2582.5256,2575.1875,2595.1118,2561.9995,2580.92,2584.4148,2568.3513,2570.0325,2573.1697
2021-12-01,2554.2021,2569.3853,2561.4353,2561.1357,2559.8557,2566.155,2564.8484,2562.9624,2586.5352,2561.1152,2576.738,2561.8672,2566.0005,2571.6714,2555.714,2573.2375,2572.7415,2561.2146,2552.13,2564.9077,2561.174,2575.755,2576.033,2568.2305,2589.3682,2555.3562,2575.965,2576.223,2562.9934,2564.2488,2566.9734
2021-12-02,2548.027,2562.6716,2555.7473,2555.056,2553.818,2559.5142,2558.418,2555.8765,2578.3035,2554.069,2569.3953,2554.86,2559.1414,2563.2888,2549.0793,2565.408,2565.5447,2554.5542,2544.859,2558.5781,2555.4863,2568.4988,2569.274,2561.67,2582.162,2549.061,2568.466,2570.0989,2555.6904,2557.2222,2560.1282
2021-12-03,2547.9158,2560.0317,2558.628,2556.2488,2554.8062,2557.1099,2557.3398,2551.7578,2568.9094,2549.8738,2564.562,2550.8674,2556.0059,2552.8655,2546.8015,2558.0461,2561.0615,2551.924,2540.006,2557.9937,2558.5212,2563.926,2567.0051,2560.5305,2577.8306,2547.9146,2562.2986,2571.788,2550.5508,2553.2954,2557.214
2021-12-04,2549.3745,2561.1885,2560.48,2557.9067,2556.42,2558.2893,2558.695,2552.7515,2569.2769,2550.8447,2565.4946,2551.8633,2557.1128,2553.094,2548.0007,2558.6646,2562.019,2553.0698,2540.9182,2559.4092,2560.4,2564.8826,2568.2356,2561.9055,2578.8167,2549.2258,2563.0415,2573.5408,2551.4219,2554.3074,2558.3547
2021-12-05,2553.6516,2564.2874,2566.2563,2562.9192,2561.2776,2561.4827,2562.5566,2555.2021,2569.2844,2553.2202,2567.6855,2554.336,2560.009,2552.5745,2551.2673,2559.641,2564.3232,2556.1377,2543.0464,2563.504,2566.2705,2567.1736,2571.5947,2565.8193,2581.2207,2552.9504,2564.521,2578.8887,2553.396,2556.8352,2561.3782
2021-12-06,2560.4172,2570.1406,2574.2666,2570.3562,2568.547,2567.3965,2569.028,2560.5872,2572.7898,2558.5146,2572.9277,2559.707,2565.7278,2555.6335,2557.2505,2563.9146,2569.6125,2561.9387,2548.196,2570.1587,2574.3723,2572.475,2577.7195,2572.3972,2586.6106,2559.233,2569.1404,2586.6704,2558.4104,2562.269,2567.2139
2021-12-07,2568.5293,2577.7874,2583.1265,2578.9492,2576.9895,2575.058,2577.0273,2568.041,2579.303,2565.879,2580.3877,2567.1143,2573.3376,2561.8682,2564.9639,2570.8428,2577.042,2569.521,2555.5518,2578.2563,2583.3044,2579.9417,2585.5996,2580.5403,2594.123,2567.0227,2576.1858,2595.5522,2565.6743,2569.7324,2574.9087
2021-12-08,2573.729,2584.2947,2586.9048,2583.6287,2581.702,2581.425,2582.769,2575.363,2589.3718,2573.1924,2588.166,2574.3274,2580.135,2572.4136,2571.2842,2579.8877,2584.5796,2575.981,2563.278,2583.7466,2587.0315,2587.559,2592.0193,2586.4133,2601.6162,2572.673,2584.548,2600.1028,2573.5232,2576.9377,2581.62
2021-12-09,2580.1301,2589.966,2594.3254,2590.598,2588.5217,2587.1423,2588.9434,2580.6711,2593.1802,2578.4182,2593.376,2579.6167,2585.707,2575.8555,2577.061,2584.3164,2589.8162,2581.6028,2568.4043,2590.0686,2594.5332,2592.8115,2597.9287,2592.693,2606.9397,2578.6711,2589.2405,2607.3738,2578.5344,2582.2795,2587.2908
2021-12-10,2580.5654,2593.0754,2591.608,2589.6677,2587.8,2590.0007,2590.4038,2585.3455,2603.4326,2583.171,2598.8103,2584.157,2589.342,2587.1921,2579.7869,2592.4224,2594.8784,2584.698,2573.8594,2591.007,2591.656,2597.9705,2600.652,2594.2285,2611.8425,2580.1924,2596.0803,2605.9314,2584.2883,2586.7463,2590.6938
2021-12-11,2586.025,2595.9595,2600.2468,2596.6184,2594.4666,2593.1062,2594.9238,2586.7808,2599.5173,2584.4753,2599.6125,2585.6714,2591.7598,2582.1694,2583.0417,2590.6055,2595.971,2587.5476,2574.5713,2596.0347,2600.4824,2599.0083,2604.0276,2598.7908,2613.128,2584.5093,2595.4077,2613.522,2584.6816,2588.3604,2593.3674
2021-12-12,2597.5068,2605.199,2614.6626,2609.603,2607.107,2602.5156,2605.6436,2594.826,2602.9255,2592.343,2607.2183,2593.7275,2600.6394,2584.5422,2592.607,2595.8784,2603.7517,2596.7026,2582.0198,2607.2024,2615.1018,2606.7856,2613.8325,2609.6787,2621.121,2594.887,2601.5913,2627.2317,2591.817,2596.535,2602.507
2021-12-13,2614.7708,2620.2542,2634.961,2628.5283,2625.6072,2617.7192,2622.207,2608.7683,2612.323,2606.052,2620.8264,2607.6306,2615.3833,2592.858,2607.9893,2607.1453,2617.4636,2611.627,2595.4065,2624.2124,2635.6404,2620.5325,2629.5676,2626.5264,2635.0813,2610.965,2613.6785,2647.025,2604.86,2610.5786,2617.5396
2021-12-14,2634.82,2639.3645,2656.611,2649.6755,2646.3853,2636.8523,2642.0664,2627.5417,2629.209,2624.6008,2639.6675,2626.2795,2634.4543,2609.1553,2627.2522,2624.9004,2636.202,2630.5808,2614.0127,2644.274,2657.4783,2639.3682,2649.23,2646.7632,2654.0085,2630.3,2631.6152,2668.8696,2623.2446,2629.3357,2636.804
2021-12-15,2646.6143,2654.807,2664.39,2659.9658,2656.7834,2651.9163,2655.3562,2645.2334,2654.5398,2642.2893,2658.5757,2643.7007,2650.6953,2635.8528,2642.1816,2647.3752,2654.4807,2645.9126,2632.8396,2656.8618,2665.124,2657.8513,2664.3772,2660.3933,2672.1396,2643.3801,2652.2205,2678.7708,2642.4026,2646.681,2652.7905
2021-12-16,2647.503,2659.8462,2660.4092,2658.7598,2655.8867,2656.5647,2657.8418,2652.6936,2670.6404,2649.8696,2667.2112,2650.9612,2656.5505,2653.6318,2646.6223,2660.1553,2662.5464,2650.9236,2641.5232,2658.5374,2660.907,2666.07,2668.8215,2663.0098,2679.9563,2645.939,2663.041,2676.7979,2651.5376,2653.8047,2658.2852
2021-12-17,2647.2454,2659.47,2660.2837,2658.554,2655.6755,2656.2004,2657.536,2652.246,2669.9465,2649.4207,2666.7266,2650.5212,2656.15,2652.893,2646.263,2659.5544,2662.081,2650.5503,2641.039,2658.255,2660.7864,2665.5984,2668.4575,2662.6953,2679.496,2645.6372,2662.4985,2676.6077,2651.0427,2653.3682,2657.8933
