,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,437.47464,446.97556,544.3094,382.4681,530.9924,520.1483,595.85834,445.70718,380.3883,435.79648,346.7175,447.40088,469.24136,476.31262,503.00784,440.94443,434.863,603.3055,515.7388,533.0417,486.1831,443.03323,439.45193,495.11185,409.46344,564.9007,508.6052,530.48804,414.14276,413.19788,473.17572
2000-01-10,419.76993,512.6834,434.06415,390.97845,412.7761,565.16327,388.2731,393.58026,433.88745,594.7167,395.15436,527.2936,384.63406,443.61456,486.49512,504.52914,460.42038,446.69073,454.51044,542.77783,395.70322,638.589,481.54135,521.32904,495.66675,510.15982,527.93304,463.30908,443.61804,424.84457,469.82358
2000-01-11,447.95883,441.12302,435.52377,424.27536,429.7783,447.56537,441.68845,413.4227,403.7264,427.70166,380.42737,441.3823,435.8752,412.8272,447.3203,400.36688,412.70624,449.42252,408.09616,436.142,459.9135,404.16165,422.23114,438.1018,417.37646,462.4711,426.19086,448.5651,409.75528,396.91544,427.43372
2000-01-12,481.05206,470.83118,473.5613,460.00217,465.04086,477.57205,473.6382,441.1563,423.54303,454.99048,407.72626,468.84366,464.72055,430.76654,477.19415,423.3268,439.96396,478.8809,434.68207,469.11008,497.69675,431.39612,452.72006,469.9449,444.9323,493.7573,450.74982,484.59305,435.86658,425.07578,456.77786
2000-01-13,502.7409,498.24094,488.92044,479.0943,484.745,504.51953,497.5268,472.07474,465.4059,485.70737,440.56824,498.97662,493.04248,474.6508,503.5705,460.9497,471.50754,506.26532,466.89658,492.33704,511.99857,463.15247,479.3554,493.5034,476.1114,517.7486,485.85168,501.49084,468.74277,455.7972,484.71643
2000-01-14,504.00443,507.55597,480.49774,475.9988,482.57275,513.1707,501.78314,486.27737,495.9508,499.98187,457.03555,512.53577,503.85046,508.4846,511.72452,485.1193,486.65622,515.7183,483.166,495.26294,502.6502,478.5302,487.37497,497.49408,490.69492,522.5378,506.3901,495.9396,485.9974,469.5257,494.81604
2000-01-15,494.34372,501.33185,466.43954,464.2396,471.22787,506.6604,493.36432,482.1183,499.07242,495.97482,453.6834,508.2649,498.3336,513.164,505.1052,485.38647,482.92108,509.61456,479.97498,486.143,488.39056,474.86777,480.52356,489.02808,486.6961,514.4784,505.08734,483.3477,483.23935,465.08932,488.93704
2000-01-16,473.30255,484.4991,439.77893,440.41425,447.92883,489.4723,473.81128,467.7913,493.9322,481.9444,440.19894,493.9499,482.42892,510.06796,487.8752,476.63043,469.13263,492.98343,466.91052,465.61032,461.6569,461.14655,462.85507,469.4759,472.56454,495.4843,494.3952,458.69928,470.7174,450.35574,472.5338
2000-01-17,440.1943,455.6562,400.67432,404.20404,412.27893,460.25864,442.16843,441.45386,477.26575,456.05438,414.5321,467.81784,454.60675,495.64194,458.73605,456.13638,443.37088,464.4122,441.9494,432.81363,422.69885,435.42792,433.08194,437.90906,446.43207,464.56042,471.92084,421.91248,446.329,423.52753,444.1342
2000-01-18,420.17813,429.08722,388.05234,387.2774,394.64932,434.2133,419.65402,410.85135,433.9649,425.63586,381.79614,438.05115,426.9564,449.9331,433.28665,417.75235,412.04865,437.8319,409.8194,411.11307,411.1956,403.88464,407.4382,415.73166,415.54156,441.86053,436.45352,407.4086,413.4402,393.19128,416.9433
2000-01-19,412.9936,417.22406,386.31876,382.4587,389.31302,422.72754,410.7088,396.13324,409.98874,410.96347,365.67194,423.81104,414.27545,424.13757,422.16028,397.37482,396.8026,425.9212,393.95108,402.84048,410.12744,388.4951,396.28842,406.98633,400.6211,432.69485,418.15958,404.16837,397.024,378.71854,404.63535
2000-01-20,411.22995,413.77988,386.532,381.56305,388.2295,419.41962,408.31528,391.66733,402.17603,406.5037,360.71475,419.50284,410.53256,415.66028,418.9738,390.8647,392.14532,422.45566,389.0653,400.69922,410.56433,383.7878,393.10663,404.66,396.0825,430.21207,412.3975,403.82196,391.94046,374.3467,401.0317
2000-01-21,416.01315,416.01218,394.5117,387.84613,394.20892,421.8659,412.1687,392.36813,397.55392,407.1187,360.7822,420.32135,412.2582,409.92236,421.52835,388.32867,392.53506,424.6145,389.06808,405.04172,418.7412,384.11624,395.78763,408.5663,396.66364,433.8316,411.01465,410.7723,391.62476,375.23605,403.01413
2000-01-22,421.76697,421.78732,400.39117,393.7292,400.08038,427.64493,417.95093,398.17087,403.2116,412.8484,366.67685,426.02924,417.99634,415.50568,427.24667,394.05374,398.32446,430.35812,394.82956,410.90228,424.50836,389.91776,401.5983,414.30954,402.46,439.5388,416.74454,416.52045,397.37427,381.0724,408.78494
2000-01-23,427.36673,427.5129,405.98685,399.39737,405.74942,433.36523,423.61722,403.9864,409.09973,418.5942,372.61145,431.74445,423.70544,421.3643,432.90155,399.92383,404.13947,436.05463,400.63223,416.62704,429.98276,395.7478,407.34152,419.9345,408.2746,445.13937,422.57227,422.02628,403.17828,386.9147,414.51645
2000-01-24,432.8969,433.11557,411.57486,405.0228,411.36993,438.96674,429.19397,409.64664,414.72812,424.18524,378.37527,437.3096,429.28226,426.94202,438.4418,405.57462,409.79343,441.62766,406.2659,422.2696,435.45715,401.41525,412.97012,425.4721,413.93222,450.64777,428.2039,427.50708,408.80804,392.605,420.12006
2000-01-25,443.35892,441.53183,424.77457,416.8481,422.9362,447.5594,438.9332,416.8499,417.44907,431.2369,385.17075,444.50085,437.24503,428.67108,447.05276,410.06323,416.73077,449.94748,412.85522,432.4937,448.68756,408.31723,421.79187,435.2099,421.0336,460.11172,433.63422,439.72168,415.12738,400.00195,428.32816
2000-01-26,452.8982,451.8848,433.58298,426.17557,432.33487,457.85242,448.80795,427.71817,429.66412,441.99475,396.4098,455.15274,447.6819,441.08032,457.198,421.769,427.67047,460.26117,423.85526,442.3658,457.22208,419.30038,432.07846,444.995,431.9312,469.91544,444.9975,448.59317,426.2061,410.88202,438.7493
2000-01-27,455.41257,457.36655,432.58636,427.13763,433.63156,463.09174,452.43246,435.0036,442.89227,449.2793,404.55722,462.1692,453.6972,455.48978,462.2305,432.68237,435.29764,465.78265,431.88608,445.53223,455.8434,427.01584,437.09506,448.50604,439.35074,473.70728,454.58356,448.60226,434.59183,418.00186,444.51523
2000-01-28,458.35464,459.7091,436.32748,430.47568,436.89435,465.48557,455.16235,436.99005,443.57037,451.22327,406.42245,464.15436,455.9079,455.87854,464.631,433.8758,437.2068,468.09744,433.6935,448.40195,459.59576,428.91476,439.55588,451.23624,441.3081,476.3582,456.05264,452.05765,436.3209,420.0449,446.79697
2000-01-29,462.0768,463.22195,440.3983,434.40015,440.7865,469.0179,458.81964,440.385,446.42502,454.57025,409.81668,467.5054,459.35593,458.59253,468.13824,436.94736,440.56854,471.58508,437.0036,452.14462,463.6191,432.279,443.12906,454.87595,444.69165,479.95273,459.2261,455.96445,439.59897,423.47784,450.2858
2000-01-30,467.60974,468.05783,446.91507,440.44363,446.73782,473.9143,464.113,444.8114,449.26477,458.9216,414.1348,471.89636,464.02362,461.06418,473.02084,440.41516,444.9006,476.37637,441.20416,457.629,470.1088,436.60364,448.11734,460.15616,449.0836,485.12665,463.01892,462.0991,443.7052,427.9848,455.04855
2000-01-31,475.89948,475.34192,456.6318,449.4766,455.63724,481.28534,472.05792,451.50528,453.66147,465.5038,420.6775,478.53415,471.06308,464.9252,480.36896,445.72125,451.45782,483.59412,447.56946,465.85312,479.78027,443.15134,455.6237,468.08002,455.72824,492.89545,468.79453,471.25696,449.93445,434.79736,462.22696
2000-02-01,489.55975,486.96335,473.10358,464.56818,470.4652,493.08063,485.00784,461.92194,459.51953,475.7334,430.73938,488.8884,482.21036,469.74298,492.1496,453.3791,461.60547,495.09912,457.3457,479.3257,496.22018,453.27316,467.67386,481.0077,466.04776,505.5297,477.39764,486.6712,459.4418,445.43408,473.63684
