,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,2519.874,2534.269,2543.364,2524.1624,2569.8884,2512.1355,2483.3662,2558.9165,2472.2185,2532.853,2478.6506,2515.764,2559.113,2488.4915,2528.1501,2523.3982,2492.9612,2499.3345,2522.2073,2550.4102,2505.303,2523.6565,2527.9954,2494.7993,2543.4194,2545.83,2512.7415,2541.8577,2537.8975,2552.2524,2523.176
2021-11-25,2525.8845,2540.799,2549.925,2530.9075,2576.801,2518.5493,2489.781,2565.4753,2478.504,2538.8105,2485.2415,2522.267,2565.5059,2494.6323,2534.891,2529.7761,2499.3994,2505.8435,2528.575,2557.2522,2511.34,2530.1543,2534.2673,2500.6824,2550.1426,2552.7488,2518.5007,2548.7437,2544.6394,2558.7793,2529.6274
2021-11-26,2530.8054,2546.0706,2554.7056,2536.2783,2582.0625,2523.4917,2494.98,2570.3447,2483.6274,2542.8193,2490.476,2527.4917,2570.2644,2499.494,2540.3315,2535.0667,2504.5261,2510.874,2533.697,2562.6387,2516.2783,2535.121,2539.3193,2505.3525,2555.7476,2558.1724,2522.4546,2554.198,2549.9976,2563.6584,2534.6782
2021-11-27,2533.118,2548.3674,2555.536,2538.346,2583.3577,2525.0896,2497.1895,2571.2961,2486.0002,2542.8894,2492.574,2529.7935,2571.7725,2501.3743,2542.6692,2537.3772,2506.5676,2512.5488,2535.9463,2564.623,2518.6187,2536.6218,2541.7288,2507.1843,2558.6047,2560.2122,2522.816,2556.139,2552.057,2564.843,2536.5088
2021-11-28,2532.3958,2547.2935,2552.943,2536.7795,2580.3035,2523.3938,2495.848,2568.344,2485.2175,2539.5708,2491.2893,2528.6401,2569.9487,2500.0679,2541.4636,2536.3113,2505.3242,2510.776,2535.176,2562.9143,2518.0542,2534.8489,2541.0479,2505.9265,2558.0938,2558.778,2520.279,2554.0276,2550.4333,2562.582,2534.9358
2021-11-29,2528.1057,2542.424,2547.8206,2531.4248,2573.7295,2518.4973,2490.8457,2562.3987,2480.6653,2534.1165,2486.2144,2523.699,2565.0325,2495.3545,2536.379,2531.4756,2500.708,2505.3408,2531.0203,2557.4756,2514.125,2530.1655,2536.7332,2501.3855,2553.5522,2553.454,2515.411,2548.2637,2545.0952,2557.3496,2529.942
2021-11-30,2520.7083,2534.6953,2540.5977,2523.5876,2566.3877,2511.1023,2483.227,2555.415,2472.8499,2528.4502,2478.382,2515.9692,2557.7944,2488.2886,2528.3428,2524.0066,2493.3887,2497.6848,2523.6045,2549.6572,2506.9727,2522.8135,2529.089,2494.4504,2545.3865,2545.2844,2509.365,2540.687,2537.274,2550.2024,2522.5222
2021-12-01,2514.5764,2528.1824,2535.312,2517.3242,2561.3723,2505.2913,2477.184,2550.6353,2466.5825,2524.5525,2472.158,2509.7964,2552.1873,2482.3994,2521.7769,2517.8938,2486.9565,2492.2258,2516.5967,2543.361,2500.2307,2516.7148,2522.5896,2488.939,2537.9717,2538.8264,2505.1418,2534.551,2531.0662,2544.6545,2516.5686
2021-12-02,2515.1165,2528.8376,2536.423,2518.086,2562.3206,2506.1465,2477.7905,2551.6523,2467.1704,2525.632,2472.9043,2510.3994,2553.0974,2483.099,2522.4478,2518.3975,2487.631,2493.0889,2517.258,2544.1667,2500.7812,2517.6108,2523.1155,2489.5977,2538.4822,2539.6816,2506.151,2535.3074,2531.8057,2545.6594,2517.3284
2021-12-03,2516.3354,2530.2185,2538.4407,2519.6523,2564.3433,2507.7622,2479.27,2553.648,2468.446,2527.7615,2474.349,2511.7964,2554.7334,2484.519,2523.923,2519.6677,2489.0662,2494.649,2518.5845,2545.7842,2501.9702,2519.3323,2524.3433,2490.946,2539.7578,2541.2222,2507.9941,2537.0798,2533.4116,2547.464,2518.8826
