,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,453.63943,407.00375,414.27872,411.69293,475.0627,450.19653,428.9633,424.28925,414.36533,423.81827,438.2488,455.7052,419.9383,443.8544,426.1385,456.1606,390.69836,422.88184,414.50055,429.24414,418.20306,380.26593,442.3564,387.18005,448.77652,425.74936,447.51175,389.2622,415.96896,447.8464,426.79346
2000-01-10,479.57465,434.05212,440.9517,436.94235,495.38675,474.34537,455.42767,445.83258,440.86273,444.00873,463.16284,479.15494,445.20282,466.30768,450.29092,483.587,411.181,447.74594,438.38895,451.36765,442.1222,407.07123,466.8838,412.3346,472.07446,449.73392,472.24857,417.74097,439.86588,471.20438,451.1685
2000-01-11,514.65674,472.9154,481.98535,476.2904,523.1333,504.88007,491.279,473.74548,480.4617,470.1987,495.76938,513.3873,479.86044,496.25787,486.27133,519.08154,446.79294,482.66864,473.38477,481.07083,477.01788,448.09158,498.10287,447.72534,504.05664,486.21182,502.20804,459.0155,471.3209,499.92172,485.25882
2000-01-12,533.5736,494.89264,506.60052,501.4094,538.7022,521.1044,513.0736,489.44302,504.9335,485.29065,513.0103,533.5922,498.72742,511.8458,508.30948,538.1789,469.9318,503.24246,494.57855,497.91217,497.02554,473.01144,514.4456,468.51373,522.2752,508.49023,516.9971,482.84436,489.85944,514.34576,504.87204
2000-01-13,530.9319,494.27786,508.30405,502.20862,535.93695,517.44727,512.18005,486.7586,506.14746,482.56467,509.9838,533.67883,495.04794,508.45065,509.33203,535.493,471.71967,504.09772,493.50943,495.3741,494.76886,473.47577,510.81015,466.4582,521.008,508.0043,512.1366,482.9084,487.31873,510.3691,503.35678
2000-01-14,518.5628,482.59442,500.84833,493.47855,525.62366,504.73572,500.91916,476.1518,497.3174,472.27173,497.45114,524.7812,481.80527,496.19928,500.84708,522.85394,464.42636,495.08652,482.7431,484.5377,482.94162,463.92444,498.35236,454.6003,511.15054,498.30194,498.41888,471.87982,476.184,498.03394,492.56747
2000-01-15,494.67413,457.52475,477.85123,471.07858,507.04532,482.6548,477.91843,455.9635,473.48212,453.81995,474.28445,503.6815,458.31952,475.50278,478.76105,497.86505,443.59598,473.10486,461.0812,464.11868,459.9425,439.6217,475.8566,431.44638,489.76144,474.81772,475.4581,445.06836,454.79968,476.73187,470.19434
2000-01-16,459.2314,419.0961,436.9109,431.3099,479.37595,451.51733,441.57944,428.2836,432.00238,426.7442,440.91278,469.54614,424.6414,446.55194,442.28964,460.77142,407.88672,436.43402,426.64038,433.90393,426.76645,396.8364,443.89908,396.5798,456.63498,438.50986,445.72705,403.17194,422.46976,447.47656,435.79004
2000-01-17,441.7859,400.32803,414.58142,409.5794,465.21707,435.76917,421.81375,414.05594,410.5016,412.69434,424.32593,450.77582,407.50134,432.30536,422.59558,441.5448,389.81607,417.50934,408.91,418.76797,409.30157,375.401,428.03415,379.11023,439.51886,419.9341,431.00735,382.61096,405.8464,432.62103,418.12546
2000-01-18,436.54892,394.11597,406.55743,401.94073,460.97488,431.41138,415.20218,409.83878,403.45334,408.6953,419.50034,444.1828,402.58203,428.02948,415.586,435.8926,383.6695,411.39648,403.00244,414.22507,403.87888,368.80643,423.49255,373.56894,434.2917,413.83606,427.0915,376.0489,400.86758,428.55408,412.57477
2000-01-19,435.68753,392.61273,403.9873,399.65445,460.3744,431.10468,413.60953,409.3897,401.13782,408.12094,418.95047,442.3203,401.889,427.4886,413.58798,434.99512,381.33945,409.94684,401.56442,413.55872,402.89798,366.97104,423.00998,372.42432,433.18866,412.29037,426.9828,374.4074,400.06427,428.21936,411.39255
2000-01-20,441.3484,398.45123,410.58865,405.885,465.0715,436.46127,420.1213,414.16208,407.40067,412.8444,424.51648,448.59906,407.3909,432.25946,419.76996,441.49246,386.55322,415.79965,407.02637,418.56448,408.47464,373.0231,428.37222,377.87698,438.70282,418.1796,432.24963,380.74548,405.36996,433.5246,417.0275
2000-01-21,447.34775,404.32605,416.97888,412.21817,470.02365,442.2306,425.9994,419.05896,413.49606,417.8341,430.4609,454.4511,413.36017,437.44778,426.0586,448.47998,391.5679,421.3183,412.50452,423.7004,413.95258,379.08313,434.2706,383.12888,444.39935,423.8242,438.1579,386.83423,410.68005,439.32013,422.75052
2000-01-22,453.52267,409.70697,421.99872,417.47632,474.992,448.35727,431.92667,424.07886,419.0969,423.0505,436.6519,459.679,419.46582,442.71857,431.0117,455.3271,395.8416,426.5952,417.32007,429.0735,419.4824,384.7056,440.31076,388.6082,449.93588,429.0818,444.2807,392.78354,416.29633,445.13843,428.2838
2000-01-23,459.4998,415.3252,426.85712,422.48965,479.8068,454.34793,437.9796,429.18704,424.61285,427.95636,442.6876,464.65503,425.54465,447.99326,435.90912,461.84116,399.65073,432.15842,422.4662,434.406,425.01788,390.45334,446.27368,394.2669,455.26016,434.30164,450.28494,398.78745,421.96146,450.9799,433.76535
2000-01-24,471.05472,427.7333,440.68295,435.6178,488.78842,464.47018,449.8781,438.21634,437.78482,436.69293,453.442,475.71567,436.5119,457.60736,447.79968,473.91833,410.63287,443.86343,433.7589,443.96616,435.52106,403.8776,456.75137,405.53146,465.81583,445.58728,460.13885,411.85645,432.48245,460.69983,444.8799
2000-01-25,480.5405,438.2654,452.1735,446.62442,496.0558,472.45602,459.73352,445.50363,448.79007,443.9124,462.08423,485.26447,445.36353,465.28564,457.64044,483.8142,420.45105,453.61172,442.88022,451.7796,444.25815,415.3573,465.26837,414.94498,474.69852,455.15564,468.1058,423.37955,441.09216,468.39874,454.0963
2000-01-26,482.21533,439.9479,453.5074,447.95163,497.35516,474.06143,461.2533,446.91382,450.2247,445.2128,463.7009,486.62317,446.96185,466.72693,458.9428,485.5421,421.5786,455.06635,444.2285,453.21378,445.79416,416.918,466.8703,416.47894,476.14838,456.54837,469.79916,425.1067,442.60718,469.94608,455.58157
2000-01-27,485.50784,443.5129,457.138,451.39044,499.87787,476.9462,464.49002,449.565,453.8145,447.7108,466.77945,489.74283,450.07217,469.4627,462.19724,488.97275,424.63934,458.32333,447.2992,456.01477,448.90628,420.6316,469.89062,419.7123,479.16013,459.696,472.74515,428.92606,445.56488,472.74896,458.71466
2000-01-28,489.59192,447.63712,461.04782,455.14316,502.99866,480.6587,468.13382,452.8791,457.94516,450.85007,470.90997,493.2998,453.98535,473.05127,465.846,493.45676,428.0183,461.81573,450.80273,459.4593,452.7405,424.74548,473.9416,423.60513,482.77637,463.4886,476.86267,433.28253,449.12564,476.59348,462.4898
2000-01-29,496.06873,453.82462,465.97015,460.14532,507.9334,486.97806,473.7806,458.15997,463.59326,455.92224,477.47858,498.40103,460.40228,479.223,470.7214,500.49524,432.4123,466.73642,456.07626,464.90112,458.6571,430.46347,480.49008,429.6174,488.32993,468.9823,483.7562,439.7753,454.78568,482.92844,468.23373
2000-01-30,505.6353,463.27548,473.4345,467.76093,515.69543,496.3795,482.50485,466.17084,471.70465,463.34354,486.97702,505.93442,470.52094,488.05496,478.18658,510.1851,439.0183,474.44168,464.54266,473.18948,467.89862,439.25095,489.7681,438.66156,496.48163,477.41452,493.52432,449.61725,463.28558,491.89923,476.82523
2000-01-31,520.6542,479.45074,488.55014,483.0034,528.2191,510.26367,497.5504,478.47766,487.43228,475.06458,501.41415,519.18567,485.9787,501.52286,492.07126,525.1695,452.5912,488.2489,479.54922,486.33154,483.09778,454.69284,503.59305,454.0372,509.42664,492.41843,507.64737,465.69754,477.00568,504.9974,491.11145
2000-02-01,539.2315,500.15787,509.48306,504.82147,544.20374,527.3047,517.0918,494.84454,508.41772,490.45306,518.9759,536.8961,505.07993,517.94275,511.88446,544.0521,472.78003,506.81076,499.28333,503.11493,502.75558,477.67502,520.60126,473.8394,526.2401,513.10925,524.3983,487.38165,494.9243,520.6981,509.81512
2000-02-02,553.37744,515.92084,526.03125,520.5875,556.7277,540.7005,532.07574,507.46893,524.4306,502.4189,532.5141,550.6724,519.7871,530.54736,527.4206,558.6959,488.7105,521.20197,514.70575,516.31244,518.2273,495.99548,533.65796,489.30893,539.24866,529.0515,537.163,504.65454,509.36243,532.8934,524.329
2000-02-03,561.08295,524.3902,534.4447,528.68555,563.62024,548.29565,540.25714,514.5956,532.5077,509.0656,539.8989,557.67413,527.9466,537.6176,535.3877,566.6156,497.32904,528.7218,523.2486,523.60565,526.77313,505.4296,540.92664,497.80093,546.1056,537.29395,544.5519,513.8799,517.34674,539.9244,532.1675
2000-02-04,568.8022,533.031,542.6074,536.85944,570.73285,555.9046,548.4473,521.7323,540.64197,516.08356,547.2976,564.36835,536.12317,544.69806,543.11554,574.5478,505.99316,536.5195,531.84015,530.958,535.43274,515.1552,548.2065,506.32944,553.236,545.54694,551.9507,523.35126,525.34424,546.97723,540.0611
2000-02-05,576.52026,541.67194,550.68835,545.2486,577.85394,563.5275,556.6226,528.8792,548.7875,523.1598,554.71094,571.0532,544.3341,551.81744,550.9679,582.5215,514.7793,544.76074,540.5731,538.32544,544.29175,524.62036,555.49756,514.90985,560.50037,553.8105,559.3723,532.61017,533.3883,554.0416,547.9949
2000-02-06,584.10803,550.30634,558.8491,553.54785,584.9866,571.16425,564.7754,536.03613,556.93555,530.2467,562.1405,577.67194,552.5554,559.0281,558.8405,590.36847,523.7349,552.51855,549.3182,545.67737,553.20483,533.8443,562.7958,523.5097,568.4027,562.08453,566.81854,541.55414,541.4631,561.1174,555.92017
2000-02-07,591.7093,558.9525,567.25275,561.6216,592.13074,578.8149,573.11975,543.178,565.0343,537.34204,569.59045,584.39984,560.7873,566.2722,566.68024,598.21515,532.81445,560.32806,558.0752,553.0138,562.1353,543.31714,570.10376,532.177,576.3406,570.3489,574.27484,550.47876,549.70496,568.20465,563.8806
2000-02-08,599.2791,567.61066,575.7894,569.70575,599.2867,586.47955,581.4218,550.60223,573.1608,544.38715,577.0549,590.9545,569.0298,573.527,574.51794,606.0748,541.8648,567.9673,566.8445,560.3468,571.1131,552.89075,577.4231,541.22504,584.31494,578.576,581.7412,559.72253,558.0303,575.30365,571.8748
2000-02-09,606.82684,576.4764,584.83136,577.8001,606.4541,594.1582,589.5503,558.2741,581.26025,551.4429,584.5332,597.33295,577.2828,580.7924,582.4026,613.946,550.6317,575.3902,575.67365,567.6874,580.1291,562.531,584.7536,550.3142,592.30334,586.81354,589.2175,569.0286,566.367,582.414,579.8873
2000-02-10,614.38824,585.4225,593.992,585.6575,613.6617,601.8509,597.44244,566.0623,589.3114,558.50934,592.02576,603.70905,585.77496,588.07434,589.9523,621.8307,559.42096,582.843,584.5967,575.03766,589.1627,572.3905,592.0955,559.41907,600.3059,595.0099,596.7041,578.26245,574.72736,589.53595,587.9059
2000-02-11,621.9592,594.483,603.3434,593.57605,620.8883,609.5301,605.04266,573.8526,597.2175,565.5863,599.53345,610.14124,594.3204,595.40045,597.5833,629.954,568.2324,590.2126,593.56195,582.3978,598.214,582.3497,599.4489,568.54407,608.34033,603.2544,604.2007,587.48596,583.1047,596.646,595.9469
2000-02-12,629.42255,603.64545,612.78925,601.0239,628.117,617.2225,612.4673,581.64703,605.1781,572.6741,607.0568,616.6294,602.9194,602.73755,605.3785,638.0408,577.4021,597.3999,602.57733,589.7679,607.28845,592.2908,606.815,577.6854,616.4072,611.56525,611.7074,596.6505,591.4937,603.85645,603.99524
2000-02-13,637.0018,612.91174,622.1669,608.10565,635.32697,624.8959,620.1291,589.4529,613.196,579.77264,614.6803,622.94934,611.52954,610.0855,613.2078,646.14136,586.933,604.6165,611.6068,597.1477,616.47577,602.19403,614.1925,586.74255,624.5026,619.9109,619.22437,606.04407,599.8945,611.3502,612.07965
2000-02-14,644.5956,622.19073,631.5575,615.2144,642.4851,632.5222,627.61847,597.2697,621.1041,586.894,622.5488,629.18896,620.15094,617.4444,621.1843,654.2557,596.808,611.79144,620.6781,604.5374,625.70135,612.09033,621.5814,595.83453,632.6123,628.4718,626.7514,615.45703,608.31433,618.8564,620.19037
2000-02-15,652.19525,631.54297,640.98114,622.3611,649.6701,640.16266,635.31354,605.0979,629.0235,594.1707,630.42285,635.48224,628.8274,624.81433,629.283,662.3842,606.7504,619.1914,629.4559,612.2743,634.945,622.1812,628.9816,604.9995,640.7363,637.08685,634.2885,624.82,616.784,626.37024,628.3533
2000-02-16,659.12646,640.1187,649.8025,629.1309,656.1947,647.0399,642.6413,612.1996,636.40234,600.74396,637.5629,641.5914,636.7133,631.4689,636.9419,669.892,616.1412,626.27515,637.30176,619.2739,643.4045,631.7421,635.69275,613.38995,648.241,645.13934,640.9928,633.5451,624.5089,633.04767,635.8756
2000-02-17,666.09,648.45844,658.9033,635.7854,662.8656,654.1617,650.094,619.45026,643.8618,607.51514,644.7047,647.8426,644.7851,638.3282,644.5172,677.63135,625.32556,632.9495,645.31055,626.42316,651.2877,641.18756,642.57513,621.9401,655.81006,652.90814,648.00543,642.1592,632.3604,640.04364,643.44275
2000-02-18,669.899,652.88116,664.1313,639.99915,666.0628,657.3913,654.08777,623.0062,648.3795,610.73706,648.5782,651.8381,648.73645,641.5797,649.3741,681.7836,631.6543,637.20526,649.4665,630.0592,655.5722,646.70935,645.9442,626.44617,660.1135,657.52844,650.8483,647.59155,636.4196,642.93866,647.56537
2000-02-19,671.10364,654.61285,667.01825,641.7418,667.1278,658.2557,655.3088,623.94196,650.0519,611.518,649.6034,653.7036,649.79785,642.43274,651.0772,683.17676,633.9115,638.34686,650.8135,631.19324,657.29944,648.7961,646.9118,628.0188,661.7053,659.4254,651.4049,649.06433,637.6304,643.6369,648.95435
2000-02-20,669.44257,652.6973,664.9228,640.0542,665.4375,656.5691,653.6074,622.11993,649.0255,610.15625,647.9061,652.15436,647.8782,640.74615,648.97943,681.247,631.13165,636.6256,649.0472,629.46185,655.44147,646.85144,645.31287,626.0558,659.97577,657.52765,649.7112,647.19525,635.6944,641.9935,647.16565
