,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,1808.2914,1998.2084,1964.4161,1892.7677,1934.8374,1900.7444,1885.838,1851.8712,1873.9037,1856.7568,1891.0164,1828.0411,2059.3562,1889.5316,1911.9623,1849.3734,1892.4922,1868.1959,1811.3354,2027.2194,1842.8544,2110.824,1909.4049,1859.9408,2029.8093,1860.7643,2011.0127,2055.696,1944.0248,1900.2917,1917.3594
798,1784.1193,1987.4631,1951.5139,1871.6906,1920.746,1881.0636,1872.7136,1828.3286,1848.4226,1835.612,1864.6512,1814.3367,2054.7922,1870.3649,1891.5989,1824.9127,1871.927,1847.1595,1797.2078,2017.9572,1821.8065,2111.3154,1890.6141,1839.2784,2021.3375,1835.9188,2005.112,2052.1526,1934.3499,1884.5681,1901.1011
799,1761.4216,1977.3301,1939.261,1851.8448,1907.5281,1862.6748,1860.3673,1806.0671,1824.5292,1815.7241,1839.6079,1801.3987,2050.5251,1852.3916,1872.3771,1801.9651,1852.4908,1827.2664,1784.025,2009.3195,1802.0531,2111.9119,1872.9233,1819.689,2013.3474,1812.5077,1999.6189,2048.9514,1925.1047,1869.8275,1885.8016
800,1741.7814,1968.4401,1927.8661,1834.2926,1896.1903,1847.3438,1849.6149,1785.7557,1804.1154,1798.4004,1816.0878,1789.8306,2046.975,1837.0574,1855.0713,1782.1343,1834.8699,1809.1469,1773.2606,2002.2384,1785.0054,2113.337,1857.2739,1801.564,2006.2153,1791.6152,1995.3569,2047.018,1916.1903,1857.2373,1872.3763
801,1728.2739,1962.1033,1918.3873,1821.4193,1888.603,1838.0131,1842.0913,1769.5813,1790.6312,1786.2645,1796.0365,1781.1083,2044.8364,1826.9797,1841.7556,1768.5281,1821.0706,1794.7885,1767.2249,1998.1943,1773.3706,2116.2288,1845.7872,1786.6461,2000.855,1775.8954,1993.4937,2047.4427,1908.1688,1848.9258,1862.7566
802,1726.2305,1960.5927,1912.6812,1817.3717,1888.0071,1839.7682,1840.6312,1761.3635,1790.0527,1783.8696,1782.8782,1777.8018,2045.3094,1826.6914,1836.0428,1766.5337,1814.5944,1787.6603,1769.9047,1999.742,1771.8408,2121.668,1842.1503,1777.9886,1998.8557,1769.9666,1996.038,2052.096,1902.0378,1848.5781,1860.2983
803,1738.7812,1965.4677,1913.6045,1825.4541,1896.0767,1854.285,1847.0315,1765.7332,1805.2837,1794.1244,1782.8124,1782.242,2048.7688,1838.3424,1841.5852,1779.29,1819.313,1791.8492,1782.1537,2007.4873,1783.0763,2128.2178,1849.3136,1780.0328,2001.6423,1778.0109,2002.9963,2060.1777,1900.4159,1857.9824,1867.3851
804,1755.0544,1972.664,1921.6724,1839.3153,1905.6523,1868.0131,1855.8425,1780.6892,1822.6783,1808.3141,1799.0214,1791.1912,2051.9727,1851.4559,1854.7253,1795.734,1832.4938,1805.2559,1792.2466,2014.0566,1797.2747,2128.6614,1861.6608,1792.9817,2007.1687,1794.1617,2007.4559,2063.2715,1906.2189,1868.712,1878.1873
805,1775.3092,1981.4309,1930.3634,1855.9121,1917.7434,1886.0956,1866.7001,1797.4978,1844.7844,1825.7933,1816.0173,1801.6995,2056.2075,1868.1606,1869.9218,1816.2336,1847.5215,1820.387,1805.9264,2022.9099,1815.0217,2130.779,1876.4366,1807.0858,2013.673,1813.1609,2013.874,2068.5618,1911.8848,1882.3516,1891.3148
806,1811.0596,1996.3971,1942.0713,1883.4406,1939.5504,1920.6903,1885.5741,1822.2993,1885.0339,1856.1664,1837.4606,1818.5546,2064.3477,1898.681,1893.6244,1852.5012,1870.3375,1842.9045,1833.0867,2040.3567,1846.5472,2138.7312,1900.9193,1826.5657,2024.1454,1843.7219,2027.5432,2081.778,1917.699,1907.1942,1913.6327
