,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,2462.678,2524.002,2534.7102,2516.0664,2531.1428,2537.902,2556.401,2561.2031,2542.331,2526.505,2530.2463,2520.1013,2548.6377,2555.96,2525.3884,2547.852,2543.4539,2523.42,2536.7266,2565.2996,2535.3945,2524.5876,2554.5754,2530.078,2531.1821,2498.212,2525.0627,2494.5312,2513.0845,2532.476,2530.9736
1,2458.2126,2519.7747,2529.9312,2511.319,2526.3616,2532.7764,2552.2273,2557.0244,2538.2957,2522.444,2526.228,2516.519,2544.8477,2552.6409,2522.6418,2543.7288,2540.7651,2517.2175,2530.6575,2565.6934,2534.7036,2524.9612,2556.3735,2532.2905,2532.0437,2501.0637,2528.4492,2497.8025,2516.9695,2536.36,2529.0107
2,2450.6128,2511.8828,2521.5427,2502.9124,2518.37,2524.9277,2544.8032,2549.4617,2530.8848,2515.5142,2519.3372,2510.0713,2538.9802,2546.5828,2517.2466,2540.105,2537.0012,2516.511,2531.1248,2562.2732,2532.7703,2523.3018,2553.784,2530.1033,2531.2175,2499.3735,2526.5366,2496.4822,2515.3577,2534.9878,2524.4688
3,2444.1821,2504.6646,2514.3315,2495.7131,2511.222,2518.4683,2537.9202,2542.416,2523.9702,2509.5327,2513.4243,2504.5242,2533.9514,2541.6824,2512.5205,2536.0017,2533.0247,2514.9766,2529.358,2559.168,2530.388,2520.7668,2551.3884,2528.0063,2529.6235,2497.7502,2524.8328,2495.1501,2513.8877,2533.6028,2520.215
4,2444.8184,2505.2588,2514.982,2496.361,2511.9504,2519.2773,2538.829,2543.4502,2525.1519,2510.8787,2514.9148,2506.393,2536.0654,2544.0342,2515.139,2538.9604,2536.3843,2518.7698,2533.6533,2563.9521,2535.594,2526.3613,2557.402,2534.3574,2536.2883,2504.6553,2532.056,2502.4612,2521.519,2541.481,2523.7134
5,2446.154,2506.5356,2516.3865,2497.7512,2513.4548,2520.8816,2540.483,2545.2366,2527.0625,2512.9463,2517.1233,2508.9268,2538.8,2546.9697,2518.2373,2542.3674,2539.9666,2522.818,2537.9385,2568.4158,2540.324,2531.303,2562.6323,2539.7559,2541.803,2510.251,2537.768,2508.0913,2526.9966,2546.083,2527.1157
6,2450.2825,2510.5664,2520.7888,2502.1248,2518.073,2525.766,2545.0898,2550.1028,2532.1316,2518.239,2522.6672,2514.936,2545.1843,2553.714,2525.2444,2549.824,2547.9014,2531.584,2547.2078,2577.8596,2550.304,2541.754,2573.7334,2551.268,2553.8633,2522.619,2550.4524,2521.2158,2540.5356,2560.631,2535.189
7,2456.9102,2517.1323,2527.9392,2509.2676,2525.1697,2533.102,2552.375,2557.8098,2540.1267,2526.514,2531.319,2524.3271,2555.0618,2564.1284,2535.769,2560.9163,2559.641,2543.9258,2560.3367,2591.881,2565.032,2557.0024,2589.2393,2567.712,2570.6187,2539.1768,2564.3,2538.3794,2553.967,2565.8542,2546.1646
8,2464.9407,2525.5876,2536.7683,2518.0178,2534.1956,2541.842,2560.3896,2565.7917,2547.701,2533.1848,2537.722,2529.578,2559.5073,2568.004,2538.848,2562.9795,2560.3564,2542.9426,2557.9067,2587.6033,2559.4705,2550.1628,2581.9717,2558.436,2561.0486,2529.0735,2556.365,2526.3525,2545.1128,2565.1592,2546.9001
9,2469.8171,2530.3333,2542.1536,2523.4666,2538.8306,2546.5596,2564.2627,2569.608,2551.2612,2536.62,2541.0076,2532.159,2561.874,2570.0981,2539.841,2563.4722,2560.3206,2542.5315,2556.508,2585.518,2556.8462,2546.9822,2578.341,2554.6365,2556.5833,2524.1365,2551.6326,2521.174,2540.1418,2560.1829,2547.2297
10,2477.4714,2539.3728,2550.874,2532.1768,2547.5051,2554.1055,2572.7766,2578.35,2559.8506,2543.6953,2547.975,2538.4648,2567.646,2575.7268,2545.521,2568.7122,2564.9412,2546.083,2560.3618,2590.0676,2561.1643,2551.145,2582.445,2558.5503,2560.4062,2527.6565,2555.4844,2524.5808,2544.0232,2564.0684,2553.0398
11,2476.4705,2538.1125,2549.635,2530.9358,2546.6042,2553.5742,2572.765,2578.724,2560.816,2545.4817,2550.2952,2542.44,2572.5176,2581.5007,2552.4563,2577.0647,2574.9504,2557.587,2573.9531,2605.5981,2578.4248,2568.858,2602.9001,2580.3665,2583.3389,2551.65,2580.3198,2550.412,2570.7378,2590.8303,2563.3108
12,2481.5625,2542.7974,2554.887,2536.1267,2552.518,2560.1758,2579.763,2586.5132,2569.4944,2555.327,2561.062,2555.5579,2587.0786,2597.4766,2569.8838,2596.5732,2596.487,2582.7908,2601.0364,2634.3188,2609.658,2601.2122,2636.4084,2614.8528,2621.8267,2589.4258,2611.3333,2592.193,2603.7126,2614.7637,2583.2273
13,2492.3562,2553.0867,2566.376,2547.5007,2564.4578,2572.9138,2591.109,2598.2175,2581.2915,2567.5376,2573.5735,2567.771,2600.0652,2610.6956,2582.6758,2609.1497,2608.3132,2594.4402,2612.506,2642.5957,2620.234,2608.6948,2643.4595,2619.4424,2631.5977,2596.3083,2612.3987,2600.314,2606.0623,2616.2742,2593.047
14,2510.0378,2570.825,2585.7244,2566.824,2583.2034,2590.9387,2607.8914,2615.12,2597.6506,2583.1719,2588.9949,2582.127,2613.2478,2622.9805,2593.024,2618.2493,2616.2349,2600.2617,2616.032,2646.9587,2620.2756,2611.699,2645.7002,2622.479,2626.8228,2594.2375,2623.2275,2592.5605,2611.8118,2630.1313,2602.9482
15,2531.7502,2594.2007,2609.9326,2591.055,2606.586,2612.1711,2630.1406,2637.9028,2620.0967,2603.5942,2608.9937,2600.7622,2631.7053,2640.9902,2610.46,2634.4443,2631.9114,2615.5117,2630.5137,2660.8833,2633.7793,2624.5195,2658.787,2635.1914,2638.9192,2605.7166,2635.4597,2603.7488,2623.8157,2644.9937,2620.2847
16,2543.1714,2607.0337,2622.7383,2603.8093,2619.357,2624.5,2642.7373,2650.8591,2632.4792,2614.8696,2618.9893,2611.003,2641.8848,2651.5,2620.6052,2643.5999,2640.964,2624.4976,2639.713,2669.9927,2642.8481,2632.8267,2667.145,2643.3425,2646.9685,2613.3264,2643.2449,2611.1404,2631.6487,2652.8096,2630.3203
17,2542.46,2606.0254,2621.8982,2602.9675,2618.5566,2623.5518,2641.5195,2649.488,2631.222,2613.4846,2617.8303,2609.231,2639.8672,2649.1028,2617.8933,2640.6206,2637.4658,2620.364,2634.8555,2664.4268,2636.6907,2626.331,2660.145,2635.8174,2639.1035,2605.1616,2634.5818,2602.1929,2622.1677,2642.985,2626.2666
18,2542.7195,2606.5764,2622.3767,2603.376,2618.678,2623.2937,2640.9702,2648.6123,2629.685,2611.4692,2615.1216,2605.4639,2635.4114,2643.8955,2611.8887,2633.5103,2629.211,2610.8032,2623.9387,2652.1504,2623.2659,2611.709,2644.391,2619.13,2621.7295,2587.1538,2615.8394,2582.974,2602.8264,2623.4124,2618.053
19,2541.927,2606.1895,2621.7637,2602.657,2617.651,2622.0671,2640.5005,2648.2688,2629.3218,2611.24,2614.755,2605.722,2635.9688,2644.7031,2613.1565,2635.2563,2631.6848,2614.0095,2628.2693,2657.6655,2629.6082,2618.7812,2652.0415,2627.7004,2630.3909,2596.5305,2626.2354,2593.4724,2614.332,2635.4265,2621.577
