,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,0.4847259,0.49679622,0.4989039,0.49523425,0.49820173,0.49953213,0.50317323,0.50411844,0.5004039,0.49728885,0.49802527,0.49602845,0.5016452,0.50308645,0.4970691,0.5014906,0.5006249,0.49668163,0.49930075,0.5049248,0.49903858,0.49691147,0.50281394,0.49799213,0.49820945,0.49172,0.497005,0.49099553,0.49464732,0.49846417,0.49816847
1,0.48384696,0.49596414,0.49796325,0.49429986,0.49726066,0.49852327,0.50235176,0.50329596,0.4996096,0.49648955,0.49723434,0.49532333,0.50089926,0.5024332,0.4965285,0.500679,0.50009567,0.49546084,0.4981062,0.50500226,0.4989026,0.49698502,0.50316787,0.49842763,0.49837905,0.4922813,0.49767154,0.4916394,0.495412,0.49922863,0.49778205
2,0.48235112,0.49441078,0.49631217,0.49264514,0.4956877,0.49697843,0.5008905,0.5018074,0.49815091,0.49512556,0.495878,0.49405426,0.49974436,0.50124073,0.49546656,0.49996573,0.4993548,0.49532178,0.49819818,0.5043291,0.49852204,0.49665838,0.5026581,0.49799713,0.49821645,0.49194863,0.4972951,0.49137953,0.49509475,0.49895853,0.49688807
3,0.48108536,0.49299005,0.4948928,0.49122816,0.49428073,0.495707,0.49953568,0.50042063,0.49678993,0.49394822,0.4947142,0.49296242,0.49875453,0.5002762,0.4945363,0.4991581,0.4985721,0.49501976,0.49785042,0.5037179,0.49805316,0.49615943,0.50218666,0.4975844,0.4979027,0.49162912,0.49695975,0.49111733,0.49480543,0.4986859,0.4960508
4,0.4812106,0.493107,0.49502078,0.49135566,0.4944241,0.49586627,0.4997146,0.5006242,0.49702254,0.49421313,0.4950076,0.49333024,0.49917063,0.5007391,0.4950517,0.49974045,0.4992334,0.49576637,0.49869585,0.50465953,0.49907786,0.4972606,0.5033703,0.49883446,0.49921453,0.4929882,0.49838144,0.49255633,0.4963075,0.5002366,0.4967394
5,0.4814735,0.49335834,0.49529725,0.4916293,0.49472022,0.49618202,0.5000401,0.5009758,0.4973986,0.4946201,0.49544227,0.49382895,0.4997089,0.5013169,0.49566156,0.50041103,0.4999385,0.4965632,0.49953932,0.5055381,0.5000088,0.49823326,0.5043998,0.499897,0.50029993,0.4940896,0.49950576,0.4936645,0.49738562,0.5011424,0.497409
6,0.4822861,0.4941517,0.49616376,0.4924901,0.49562922,0.49714345,0.5009469,0.5019336,0.49839634,0.49566188,0.49653348,0.49501175,0.5009655,0.5026444,0.49704075,0.50187874,0.5015003,0.49828857,0.50136375,0.50739694,0.5019732,0.5002903,0.50658476,0.50216293,0.50267375,0.49652398,0.5020024,0.49624783,0.5000505,0.50400585,0.4989981
7,0.4835906,0.49544406,0.49757114,0.49389607,0.49702606,0.49858737,0.50238085,0.5034506,0.49997002,0.49729064,0.49823642,0.4968602,0.50290966,0.5046942,0.4991123,0.504062,0.503811,0.50071776,0.5039479,0.51015675,0.5048721,0.50329167,0.50963676,0.5053996,0.5059717,0.49978304,0.504728,0.4996261,0.5026942,0.5050339,0.5011584
8,0.48517126,0.4971083,0.499309,0.49561837,0.4988026,0.5003076,0.50395834,0.50502163,0.50146085,0.49860364,0.4994967,0.4978937,0.50378466,0.50545704,0.4997183,0.5044681,0.5039518,0.5005243,0.50346965,0.5093148,0.50377744,0.50194544,0.5082063,0.50357383,0.50408804,0.49779442,0.5031662,0.49725884,0.5009514,0.5048971,0.5013034
9,0.48613107,0.49804237,0.50036895,0.4966908,0.49971488,0.5012362,0.5047207,0.50577277,0.5021616,0.4992798,0.5001434,0.49840173,0.5042505,0.50586927,0.4999138,0.50456506,0.50394475,0.50044334,0.50319433,0.50890434,0.5032609,0.50131935,0.5074917,0.502826,0.5032091,0.49682269,0.5022347,0.4962396,0.499973,0.50391763,0.50136817
