,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,1858.7146,1860.439,1817.788,1859.2595,1876.7004,1825.852,1893.3672,1879.1335,1869.3027,1842.1007,1833.7151,1828.0496,1816.3121,1851.0881,1879.5887,1839.3325,1803.8744,1823.6809,1859.7427,1887.2383,1831.1584,1892.9592,1870.1462,1869.3544,1877.5079,1802.0553,1876.5646,1876.5448,1899.7999,1839.7095,1854.7028
798,1835.4412,1836.2966,1794.9194,1834.9888,1852.1901,1804.4342,1868.9056,1854.197,1844.0724,1819.0997,1806.716,1806.7229,1794.6952,1825.9,1855.228,1819.9357,1783.6279,1801.3291,1833.6685,1862.2919,1811.0521,1868.4003,1845.0233,1846.3368,1853.8973,1779.818,1853.4553,1851.9869,1877.2346,1819.3357,1831.3734
799,1813.4801,1813.5162,1773.2504,1812.0441,1829.1333,1784.2035,1845.9436,1830.7034,1820.2368,1797.3367,1781.2811,1786.5427,1774.1968,1802.168,1832.217,1801.6368,1764.6606,1780.2056,1809.0127,1838.7919,1792.0643,1845.1552,1821.2793,1824.5999,1831.5862,1758.8413,1831.6074,1828.8281,1855.9143,1800.0854,1809.3508
800,1793.6973,1792.9692,1753.2274,1791.1519,1808.5695,1765.809,1825.2739,1809.7773,1798.5841,1777.3451,1758.6401,1768.0001,1755.7504,1781.1234,1811.3005,1785.1829,1747.3368,1760.9741,1786.4773,1817.8806,1774.8643,1823.7539,1799.651,1804.9067,1811.524,1739.9868,1811.6608,1808.0607,1836.534,1782.5809,1789.42
801,1778.4408,1776.9733,1737.0657,1774.6014,1793.0887,1751.3944,1809.3649,1794.1042,1781.5226,1761.1902,1741.7242,1752.9722,1741.5627,1765.3849,1794.7175,1772.5532,1733.4999,1745.7335,1768.4706,1802.2719,1761.4069,1806.321,1782.4908,1789.4945,1796.1254,1725.531,1795.7443,1792.2344,1821.2372,1768.7538,1773.866
802,1771.8048,1769.6656,1728.3575,1766.3828,1787.2354,1744.558,1802.5168,1788.3925,1773.2551,1752.4452,1735.6351,1744.7677,1735.4805,1759.6284,1786.7603,1767.1984,1726.3694,1738.152,1759.145,1796.6884,1755.0931,1796.5364,1773.9073,1782.266,1789.5972,1719.4396,1787.5771,1785.7914,1813.7667,1761.9751,1766.6798
803,1777.9839,1775.498,1731.8041,1771.0728,1795.131,1749.4053,1809.0933,1796.7903,1778.6028,1755.8157,1744.8295,1747.7487,1741.3907,1768.0143,1792.1018,1772.5698,1729.9208,1742.5654,1763.6715,1805.2377,1759.7152,1799.5304,1778.79,1787.54,1796.1527,1725.6573,1791.727,1793.0159,1818.453,1766.1644,1772.1996
804,1792.9656,1790.9312,1746.3566,1786.4911,1811.0244,1763.1656,1824.7722,1813.059,1794.6921,1770.3301,1762.4373,1761.1677,1755.3926,1784.325,1807.8014,1785.081,1742.6355,1756.783,1780.2195,1821.5127,1772.588,1814.9966,1794.7616,1802.2628,1811.4176,1740.0071,1806.3801,1808.9036,1832.8326,1779.1423,1787.1478
805,1810.2628,1808.6144,1762.5114,1803.8625,1829.7133,1778.8474,1842.9022,1832.2601,1812.942,1786.4258,1783.2549,1776.0374,1771.5925,1803.5762,1825.3765,1799.5791,1756.8871,1772.8309,1798.7429,1840.7678,1787.2653,1831.9967,1812.7704,1819.0796,1829.1187,1756.6504,1822.8187,1827.4166,1849.1195,1793.8315,1804.2352
806,1837.1555,1835.7158,1785.7504,1829.6212,1859.7544,1802.62,1871.1703,1863.3445,1840.3698,1809.5282,1817.041,1796.801,1796.8787,1834.7568,1851.4366,1822.2755,1777.8008,1796.7153,1825.8538,1872.0542,1809.5825,1855.94,1839.5171,1844.6837,1856.8632,1782.7463,1846.9099,1856.6934,1873.5271,1815.7793,1830.2961
807,1865.1088,1865.542,1817.3784,1861.347,1887.1228,1829.5502,1900.2819,1890.7014,1872.6469,1841.1532,1846.5114,1826.3699,1822.6726,1862.5253,1882.5171,1845.2494,1804.4884,1825.7834,1860.746,1899.2051,1834.779,1890.3164,1872.3027,1873.283,1884.7996,1808.9973,1877.6411,1885.1615,1902.5356,1842.0673,1859.2927
808,1877.3783,1878.4583,1830.294,1874.7075,1899.5907,1841.1106,1913.1963,1903.2676,1886.3898,1854.1737,1860.0834,1838.429,1833.9739,1875.248,1895.7063,1855.4031,1815.794,1838.0642,1875.2646,1911.7274,1845.6132,1904.0784,1886.1318,1885.5618,1897.1252,1820.6182,1890.4734,1897.8782,1914.8585,1853.207,1871.7936
809,1884.0258,1885.577,1837.7961,1882.3193,1906.0536,1847.5472,1920.1793,1909.702,1894.1195,1861.8035,1867.0105,1845.5741,1840.0615,1881.7836,1903.1553,1860.8575,1822.3232,1845.0374,1883.6211,1918.1069,1851.6338,1912.2848,1893.9998,1892.3977,1903.7324,1826.848,1897.843,1904.6199,1921.809,1859.4988,1878.7108
810,1887.1205,1888.7803,1840.798,1885.5215,1909.3295,1850.385,1923.4429,1913.0393,1897.458,1864.8289,1870.625,1848.3407,1842.9277,1885.1533,1906.3455,1863.4395,1825.0016,1847.9911,1887.0623,1921.4474,1854.2987,1915.4185,1897.3188,1895.412,1906.873,1829.809,1900.8917,1907.8938,1924.7936,1862.1931,1881.798
811,1890.2411,1892.009,1843.8134,1888.7465,1912.6357,1853.2451,1926.7339,1916.4082,1900.8218,1867.874,1874.274,1851.1246,1845.8182,1888.5548,1909.5599,1866.0435,1827.6987,1850.9667,1890.5276,1924.8196,1856.9844,1918.5712,1900.6621,1898.45,1910.0405,1832.795,1903.9623,1911.1968,1927.8007,1864.9073,1884.9095
812,1893.3854,1895.2521,1846.8601,1892.0024,1915.9629,1856.1299,1930.0498,1919.7971,1904.2158,1870.9517,1877.9441,1853.9397,1848.7302,1891.9768,1912.8038,1868.6665,1830.4227,1853.9698,1894.0272,1928.2114,1859.693,1921.7598,1904.0367,1901.5139,1913.2313,1835.8027,1907.0627,1914.5223,1930.8352,1867.6466,1888.0469
813,1896.5271,1898.4918,1849.9033,1895.2546,1919.2874,1859.0118,1933.3627,1923.1835,1907.6063,1874.0254,1881.6118,1856.7511,1851.64,1895.3962,1916.0443,1871.2875,1833.1437,1856.9698,1897.523,1931.6008,1862.3993,1924.9442,1907.408,1904.5748,1916.4194,1838.8082,1910.1597,1917.8456,1933.8665,1870.3832,1891.181
814,1899.6682,1901.7311,1852.9463,1898.5066,1922.6108,1861.8932,1936.675,1926.5688,1910.9965,1877.0991,1885.2784,1859.5625,1854.5488,1898.8147,1919.2839,1873.9078,1835.8644,1859.9694,1901.0182,1934.9891,1865.1047,1928.1289,1910.7787,1907.6355,1919.6068,1841.8129,1913.2566,1921.1678,1936.8975,1873.1193,1894.3147
815,1902.8097,1904.9702,1855.9883,1901.7582,1925.9355,1864.7749,1939.9879,1929.9553,1914.3862,1880.172,1888.9464,1862.3728,1857.4583,1902.2344,1922.5239,1876.5287,1838.5845,1862.9691,1904.511,1938.3789,1867.8105,1931.3121,1914.1492,1910.6962,1922.7947,1844.8182,1916.3529,1924.4911,1939.9281,1875.8552,1897.4485
816,1906.4485,1908.6759,1859.3041,1905.3752,1929.9032,1868.0433,1943.8306,1934.0273,1918.1995,1883.5016,1893.3651,1865.3838,1860.8422,1906.3383,1926.1554,1879.5828,1841.5775,1866.3154,1908.3632,1942.4669,1870.884,1934.6996,1917.903,1914.1677,1926.5153,1848.3254,1919.7725,1928.3993,1943.3289,1878.9216,1901.0204
817,1912.4836,1914.7422,1864.446,1911.1177,1936.684,1873.3451,1950.2133,1941.0372,1924.3286,1888.6287,1900.9861,1869.9576,1866.4788,1913.3867,1931.9708,1884.6805,1846.271,1871.6464,1914.4172,1949.525,1875.8788,1939.8026,1923.871,1919.8,1932.735,1854.1877,1925.1577,1934.9829,1948.7812,1883.8129,1906.8451
818,1923.322,1925.6981,1873.9547,1921.6278,1948.708,1882.9584,1961.6687,1953.4298,1935.4856,1898.1395,1914.4485,1878.4939,1876.5831,1925.6743,1942.5349,1893.8107,1854.9073,1881.3882,1925.5444,1961.9874,1884.9277,1949.3623,1934.7865,1930.0112,1943.8676,1864.5168,1935.0483,1946.7285,1958.7169,1892.7311,1917.3687
819,1937.6283,1940.6653,1887.9341,1936.6036,1964.1387,1896.259,1977.0002,1969.1707,1951.1183,1912.2506,1931.5005,1891.3837,1890.0521,1941.4296,1957.4054,1905.9464,1867.4835,1895.2073,1941.6238,1977.7482,1897.419,1963.9519,1950.3115,1944.1389,1958.6318,1878.2744,1949.2971,1962.1328,1972.6781,1905.3232,1931.8237
820,1951.0067,1954.7744,1901.6309,1951.0443,1978.17,1908.8853,1991.2865,1983.3855,1966.0593,1926.136,1946.8733,1904.1783,1902.5736,1955.7559,1971.6887,1917.1945,1879.7261,1908.5016,1957.2175,1991.9424,1909.336,1978.5068,1965.2681,1957.5498,1972.3169,1891.0662,1963.1155,1976.3174,1986.1407,1917.4077,1945.5018
