,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4758.859,4683.129,4727.8857,4766.25,4715.0767,4760.8994,4730.1235,4767.396,4753.6597,4756.9253,4732.4307,4728.722,4752.9253,4772.0806,4786.898,4749.338,4756.63,4769.474,4752.4014,4682.0703,4749.883,4779.863,4708.2417,4768.9185,4740.4224,4752.374,4682.819,4748.207,4734.0317,4770.895,4744.6274
2021-11-25,4744.0107,4669.376,4713.197,4751.002,4701.2383,4746.125,4716.0146,4751.8296,4739.311,4742.4067,4718.0386,4714.432,4738.411,4756.9536,4771.3535,4734.6284,4741.433,4754.298,4737.105,4667.8716,4735.6533,4764.841,4694.249,4753.56,4725.5,4737.363,4668.8794,4733.4204,4718.731,4755.752,4729.8994
2021-11-26,4730.8696,4657.2495,4700.2256,4737.622,4688.963,4733.0977,4703.554,4738.1597,4726.5977,4729.593,4705.333,4701.827,4725.581,4743.6763,4757.681,4721.66,4728.0737,4740.8843,4723.635,4655.39,4723.1343,4751.6055,4681.818,4740.08,4712.354,4724.1206,4656.618,4720.374,4705.1763,4742.372,4716.9106
2021-11-27,4719.2944,4646.535,4688.774,4725.737,4678.1562,4721.57,4692.536,4726.051,4715.404,4718.262,4694.1084,4690.6816,4714.2544,4731.889,4745.5737,4710.192,4716.2285,4729.0625,4711.726,4644.331,4712.0156,4739.8926,4670.89,4728.12,4700.7207,4712.423,4645.746,4708.849,4693.2676,4730.5786,4705.4287
2021-11-28,4693.8237,4622.8164,4663.464,4699.1733,4654.4004,4695.984,4668.122,4699.115,4690.7856,4693.1484,4669.271,4665.9766,4689.229,4705.5693,4718.6543,4684.763,4689.8394,4703.012,4685.3286,4619.723,4687.1826,4713.8926,4646.9385,4701.4434,4674.893,4686.539,4621.5264,4683.345,4667.178,4704.587,4679.9907
2021-11-29,4644.3003,4576.912,4614.381,4648.0386,4608.0303,4646.422,4620.706,4647.2954,4642.833,4644.436,4621.1045,4618.1113,4640.6006,4654.902,4666.7246,4635.543,4638.9385,4652.47,4634.3516,4572.282,4639.1436,4663.5977,4600.0977,4650.116,4624.9487,4636.4165,4574.7495,4633.9414,4616.457,4654.181,4630.7344
2021-11-30,4584.0425,4521.291,4554.794,4586.3696,4551.334,4586.275,4562.9966,4584.921,4584.356,4585.243,4562.608,4560.0283,4581.416,4593.8066,4604.012,4575.884,4577.453,4591.1226,4572.747,4515.015,4580.852,4602.667,4542.7393,4588.2856,4564.466,4575.6523,4518.145,4574.0273,4554.819,4593.025,4571.013
2021-12-01,4516.236,4458.641,4487.6665,4516.7344,4487.3174,4518.341,4497.717,4514.8433,4518.4497,4518.3726,4496.6304,4494.484,4514.6143,4524.8735,4533.3896,4508.6104,4508.1,4522.1665,4503.4707,4450.489,4514.7134,4533.934,4478.0215,4518.635,4496.258,4507.2236,4454.186,4506.5347,4485.7495,4524.296,4503.6895
2021-12-02,4426.545,4375.7383,4398.832,4424.5254,4402.2646,4428.2373,4410.93,4422.526,4431.0845,4429.626,4409.2036,4407.607,4425.999,4433.664,4440.0864,4419.5337,4416.3438,4431.106,4412.0356,4365.168,4426.6016,4442.9043,4392.0684,4426.636,4405.96,4416.718,4369.364,4417.242,4394.7705,4433.5464,4414.5625
2021-12-03,4384.139,4337.37,4357.4424,4383.307,4361.536,4386.7246,4370.5693,4380.9067,4389.5176,4388.4995,4368.5522,4367.4507,4384.477,4392.793,4397.7114,4378.4844,4374.8584,4388.3984,4370.1035,4326.4844,4386.6704,4401.1133,4350.5483,4385.3735,4364.551,4374.7344,4330.844,4375.8335,4351.3813,4391.0093,4373.38
2021-12-04,4396.869,4349.1064,4370.0264,4396.2915,4373.6787,4399.4883,4382.9062,4393.868,4401.9546,4401.09,4380.947,4379.758,4397.066,4405.6343,4410.8555,4391.0864,4387.791,4401.2876,4382.996,4338.5146,4399.1665,4413.9873,4362.8315,4398.308,4377.3135,4387.542,4342.835,4388.4707,4364.267,4403.854,4385.9927
2021-12-05,4406.9336,4358.366,4379.963,4406.506,4383.2817,4409.5522,4392.6377,4404.0825,4411.7886,4411.02,4390.729,4389.467,4407.006,4415.7397,4421.215,4401.027,4397.9766,4411.475,4393.167,4347.992,4408.9966,4424.1367,4372.554,4408.4917,4387.377,4397.652,4352.277,4398.445,4374.471,4414.0054,4395.944
2021-12-06,4413.7964,4364.6807,4386.738,4413.4736,4389.826,4416.414,4399.27,4411.0522,4418.492,4417.7905,4397.399,4396.086,4413.782,4422.633,4428.282,4407.8057,4404.9243,4418.423,4400.1055,4354.4565,4415.6978,4431.059,4379.1797,4415.4395,4394.2397,4404.5464,4358.7163,4405.2476,4381.4316,4420.9287,4402.731
2021-12-07,4431.582,4381.236,4404.438,4432.0737,4406.691,4434.457,4416.6353,4429.5547,4435.817,4435.541,4414.8477,4413.4585,4431.443,4441.0093,4446.983,4425.6187,4423.36,4436.498,4418.3696,4371.584,4433.4883,4449.2856,4396.17,4433.943,4412.32,4422.5977,4375.7744,4423.0596,4399.3633,4438.946,4420.5386
2021-12-08,4434.2627,4383.3843,4406.8516,4433.901,4409.3804,4436.7,4418.9136,4431.579,4438.5015,4437.835,4417.176,4415.6772,4433.914,4442.8623,4449.117,4427.858,4425.37,4439.107,4420.626,4373.495,4435.3765,4451.5107,4399.0327,4435.848,4414.514,4424.9893,4377.6675,4425.413,4402.2754,4441.5347,4422.8223
