,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,3038.1184,3186.5923,3128.7454,3056.7537,3090.1355,3067.8782,3191.177,3141.7644,3178.7085,3091.488,3080.1396,3123.779,3079.3723,3040.4924,3166.2673,3191.9028,3074.4941,3124.746,3076.9744,3082.8909,3065.6812,3094.578,3159.5679,3117.958,3079.67,3114.068,3165.9915,3135.3796,3155.1672,3108.6077,3113.6365
2000-01-10,3169.8677,3163.5024,3170.2698,3129.0383,3136.484,3102.9355,3133.555,3142.7136,3094.562,3068.5671,3041.487,3167.6584,3222.1787,3095.9133,3159.6719,3205.262,3090.1223,3144.4817,3061.2727,3059.0981,3194.6719,3202.311,3038.032,3159.8267,3170.2168,3064.2917,3163.829,3189.6055,3138.3916,3193.4111,3135.7742
2000-01-11,3117.5112,3136.4954,3102.4006,3091.4954,3127.5217,3110.084,3111.072,3115.4907,3128.6,3120.3943,3121.493,3126.6816,3116.6274,3117.3708,3107.9277,3119.92,3098.4768,3117.2275,3097.3555,3111.5085,3106.2576,3114.9878,3101.541,3111.732,3095.0066,3098.7183,3115.1218,3120.9067,3091.976,3115.206,3112.237
2000-01-12,3109.3372,3128.7932,3094.4412,3084.3484,3119.2422,3102.4436,3103.2332,3108.271,3120.0886,3112.4849,3113.7188,3118.9575,3108.5808,3110.2366,3100.559,3112.3142,3091.1702,3109.1958,3089.7024,3104.2175,3098.8425,3107.2966,3092.9634,3104.7517,3087.4321,3090.8513,3107.7686,3113.102,3083.6777,3107.1094,3104.5042
2000-01-13,3149.6057,3168.7908,3134.5676,3125.651,3158.7322,3143.0815,3144.057,3148.566,3160.8745,3153.1323,3153.9146,3159.083,3149.269,3151.0012,3141.2068,3152.5664,3131.753,3149.418,3130.309,3144.1995,3140.3074,3148.4563,3133.1875,3145.3616,3127.8362,3131.6062,3147.4736,3152.9202,3123.3066,3148.017,3144.942
2000-01-14,3186.1274,3204.6855,3170.826,3162.3762,3194.7097,3179.589,3180.788,3184.5176,3197.9558,3189.7783,3190.1084,3195.1792,3186.0237,3187.2954,3177.5823,3188.7307,3167.9976,3185.8271,3166.773,3179.8718,3177.31,3185.3845,3169.8804,3181.4404,3164.1155,3168.3225,3182.9907,3188.877,3159.4067,3184.9614,3181.3142
2000-01-15,3311.0842,3188.9607,3179.5007,3268.4727,3287.5715,3268.0706,3154.219,3204.703,3175.024,3295.7778,3279.3481,3226.3455,3257.2073,3322.3262,3182.9778,3151.9812,3214.1929,3220.508,3233.455,3234.2383,3256.848,3235.7004,3145.9487,3235.328,3204.649,3176.1655,3158.1958,3221.8848,3174.2375,3228.9663,3223.1292
2000-01-16,3183.7478,3218.076,3186.1543,3194.6316,3233.5022,3241.7188,3216.9321,3223.0942,3307.6094,3292.2021,3341.1316,3223.7595,3129.0703,3293.8147,3194.0742,3156.2651,3227.9636,3229.768,3292.7249,3298.3364,3157.328,3165.1965,3293.4648,3204.3943,3183.381,3284.2056,3188.992,3181.1426,3165.6992,3181.8477,3223.0073
2000-01-17,3232.8298,3250.5457,3217.226,3209.7249,3240.6416,3226.4795,3227.8606,3230.7615,3245.245,3236.732,3236.4683,3241.4143,3233.0657,3234.0603,3224.413,3235.143,3214.6287,3232.4368,3213.5674,3225.6196,3224.9282,3232.802,3216.6328,3227.9602,3210.7126,3215.3936,3228.5417,3234.9597,3205.502,3232.225,3227.9504
2000-01-18,3259.1133,3276.449,3243.4163,3236.8833,3266.387,3253.1277,3254.5193,3257.1704,3271.7468,3263.3044,3262.698,3267.5913,3259.6196,3260.852,3251.1501,3261.4922,3241.2583,3258.729,3240.1401,3251.6487,3252.1394,3259.7568,3242.759,3254.645,3237.2036,3242.0454,3254.4404,3261.0264,3231.344,3258.886,3254.3843
2000-01-19,3314.122,3330.3416,3298.1484,3293.3582,3320.3489,3308.7375,3310.1335,3312.132,3327.2126,3318.7993,3317.432,3322.1892,3315.1038,3316.5833,3306.8955,3316.4602,3296.7148,3313.73,3295.5598,3305.736,3308.773,3315.9614,3297.5142,3310.1143,3292.472,3297.6956,3308.3347,3315.5154,3285.5203,3314.5745,3309.5405
2000-01-20,3376.8086,3391.1765,3360.3423,3356.9507,3381.994,3371.7634,3373.1514,3374.1384,3390.427,3381.7761,3379.4905,3384.03,3378.1487,3379.382,3369.9583,3378.7324,3359.3367,3376.346,3358.317,3366.6294,3372.645,3379.5806,3360.083,3372.569,3355.0776,3360.8474,3369.1306,3377.442,3347.444,3377.84,3372.0522
2000-01-21,3398.4822,3411.7888,3381.6426,3377.9487,3403.5037,3393.0762,3394.5596,3394.8064,3412.395,3403.2195,3400.6216,3405.0168,3399.7522,3400.1755,3391.0857,3399.8062,3380.2356,3397.8916,3379.5283,3386.9607,3393.9004,3401.0422,3382.013,3393.2092,3376.2139,3382.3613,3389.4963,3398.5945,3369.0674,3399.5457,3393.2646
2000-01-22,3381.5015,3395.2754,3364.7527,3360.4468,3386.8645,3375.863,3377.406,3377.8013,3395.3372,3386.0798,3383.7402,3388.1843,3382.633,3382.91,3373.793,3382.8154,3363.0598,3380.8948,3362.4011,3370.3247,3376.381,3383.6653,3365.168,3376.0208,3359.1096,3365.1697,3372.8914,3381.7454,3352.3438,3382.3794,3376.232
2000-01-23,3349.1174,3363.7686,3332.564,3327.2148,3355.0996,3343.1128,3344.7266,3345.479,3362.7617,3353.4363,3351.5752,3356.118,3350.0037,3350.1174,3340.933,3350.475,3330.4192,3348.5024,3329.8025,3338.6494,3343.0806,3350.5996,3332.9812,3343.3794,3326.5703,3332.4258,3341.2834,3349.6575,3320.4275,3349.6475,3343.7979
