,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,3184.093,3194.3071,3127.887,3169.8794,3135.8455,3117.7844,3053.5999,3116.8865,3132.2039,3106.3877,3216.5269,3167.7166,3164.8335,3125.4292,3076.756,3104.0254,3147.3022,3165.7708,3177.9268,3064.8113,3108.208,3150.515,3129.255,3167.4038,3102.2417,3208.8706,3081.5872,3137.0188,3158.8684,3111.016,3136.8318
2000-01-10,3149.0042,3125.1475,3050.9795,3147.9922,3119.8079,3152.7017,3128.5874,3126.7388,3129.779,3103.2473,3140.013,3136.7644,3110.8442,3094.3198,3130.6375,3100.7112,3130.4602,3126.425,3217.0386,3075.7502,3112.0183,3111.7332,3126.9802,3207.6233,3125.5422,3050.9004,3186.037,3099.1724,3167.5698,3147.076,3127.72
2000-01-11,3120.0886,3119.99,3145.495,3138.2883,3117.2705,3119.3933,3120.5432,3111.691,3129.0715,3106.9634,3142.5593,3148.7544,3129.1438,3088.411,3114.432,3104.4622,3115.4753,3121.4521,3121.655,3112.458,3098.1895,3115.824,3124.0137,3115.4954,3127.217,3140.9905,3113.8608,3117.2632,3114.0303,3115.3525,3120.328
2000-01-12,3111.7942,3110.1724,3135.3765,3130.4702,3106.691,3108.9185,3111.5208,3104.2622,3121.443,3097.0115,3131.4949,3140.52,3120.7715,3080.1062,3105.6008,3094.391,3107.1074,3112.6885,3112.6157,3103.978,3087.9377,3105.499,3115.2666,3104.9539,3117.5044,3133.0852,3104.0728,3109.6,3103.9922,3107.2422,3111.2031
2000-01-13,3153.244,3151.5046,3177.6921,3171.21,3147.3323,3149.7761,3153.8865,3146.2795,3161.17,3137.414,3173.2937,3181.2527,3159.7837,3119.2178,3146.2441,3134.67,3150.4016,3156.392,3155.019,3144.1301,3129.9646,3146.1875,3157.6274,3147.6262,3158.3296,3175.9968,3145.24,3152.2795,3145.3284,3148.3115,3152.56
2000-01-14,3190.7102,3189.8936,3216.857,3207.7544,3185.506,3188.0576,3192.4685,3183.7139,3196.8337,3175.056,3212.6772,3218.145,3195.4565,3154.9246,3183.4688,3172.3196,3189.3142,3195.9011,3193.6062,3180.7024,3169.0437,3184.1953,3196.0134,3187.3704,3196.1875,3214.307,3183.363,3190.2827,3183.7332,3185.4104,3190.4424
2000-01-15,3146.1812,3133.5144,3262.109,3192.4568,3196.9163,3229.6494,3288.2961,3215.0283,3227.8154,3195.3035,3177.6553,3220.9885,3176.115,3147.3745,3245.0183,3195.4072,3185.6362,3175.2822,3168.049,3250.7861,3175.397,3175.7817,3220.4863,3161.7827,3248.0515,3172.6035,3237.1921,3197.8794,3161.7278,3212.1106,3199.7534
2000-01-16,3205.143,3240.138,3349.5398,3241.0198,3225.8477,3191.918,3227.8938,3221.84,3215.4746,3228.3376,3261.0864,3254.3574,3241.1653,3185.8977,3225.0217,3210.1116,3217.5063,3245.3726,3131.0027,3259.1638,3191.1543,3233.1282,3240.3704,3136.918,3237.558,3363.081,3151.003,3248.9868,3167.8494,3192.7356,3224.687
2000-01-17,3238.5657,3238.5923,3266.286,3254.442,3233.5063,3236.235,3241.5347,3231.8828,3242.4377,3222.594,3262.1472,3265.2847,3240.9617,3200.4602,3230.8894,3219.8657,3239.0352,3246.3308,3242.6367,3227.3125,3218.4014,3232.0059,3244.873,3237.4998,3244.1274,3263.3474,3231.5635,3239.0195,3232.2405,3232.8823,3238.5652
2000-01-18,3265.4988,3265.4426,3293.4092,3280.8132,3259.5476,3262.4233,3268.9028,3259.419,3268.2349,3248.619,3288.9043,3291.8206,3266.41,3225.8826,3257.3228,3245.8608,3267.089,3274.6707,3269.9868,3253.3777,3245.4597,3258.0144,3272.2373,3264.8984,3270.5361,3291.1707,3258.0444,3266.764,3258.8218,3259.6604,3265.3086
