,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4618.893,4632.852,4643.722,4621.058,4612.128,4595.158,4608.16,4596.2207,4637.9917,4627.695,4626.4956,4629.4653,4619.8013,4629.855,4576.952,4632.608,4623.4185,4624.955,4590.5806,4646.9146,4596.7075,4629.719,4625.8384,4594.712,4631.3066,4663.7764,4631.565,4629.594,4638.7246,4595.2046,4621.069
2021-11-25,4605.2417,4618.7246,4630.234,4607.249,4598.353,4581.3867,4595.459,4582.461,4624.3433,4613.932,4612.308,4615.4766,4605.6074,4616.143,4563.0625,4618.0747,4609.6504,4610.4814,4577.293,4632.383,4583.087,4616.1216,4612.184,4580.96,4617.3535,4649.047,4617.324,4615.448,4625.043,4582.2036,4607.2207
2021-11-26,4595.6963,4609.947,4620.5166,4598.622,4588.792,4571.92,4586.2935,4573.104,4614.205,4604.7476,4603.7134,4605.6226,4597.0,4607.465,4554.2275,4609.6943,4599.6836,4602.164,4568.721,4624.7285,4573.577,4606.2715,4603.832,4571.803,4608.399,4640.6514,4608.721,4605.8164,4616.7256,4572.839,4598.1826
2021-11-27,4585.042,4598.9023,4609.9946,4587.8267,4578.04,4561.169,4576.3857,4562.361,4603.564,4593.9995,4592.618,4594.707,4585.9,4596.74,4543.3726,4598.3223,4588.945,4590.837,4558.3384,4613.3447,4562.947,4595.6646,4593.156,4561.0625,4597.495,4629.1226,4597.5835,4594.7715,4606.0264,4562.6973,4587.3647
2021-11-28,4552.408,4561.0576,4578.809,4551.011,4544.8555,4527.6523,4547.0854,4528.4946,4573.1465,4559.4824,4553.8013,4561.5454,4547.093,4560.55,4506.9263,4556.988,4557.2974,4549.5654,4523.918,4569.331,4530.336,4564.4316,4556.0938,4526.491,4561.176,4586.868,4558.5273,4559.9995,4568.6973,4532.638,4551.876
2021-11-29,4500.135,4503.854,4527.9697,4495.2305,4491.915,4474.4663,4499.2637,4475.0635,4522.5723,4505.5527,4495.7363,4508.238,4489.023,4505.4233,4451.2676,4496.304,4505.545,4489.053,4471.0137,4506.6123,4478.1436,4513.336,4500.4385,4472.5396,4505.4854,4525.093,4500.171,4505.105,4512.782,4483.6357,4497.0317
2021-11-30,4448.264,4451.4097,4476.4014,4443.9136,4439.655,4422.323,4450.6885,4423.073,4470.0483,4453.756,4443.317,4455.087,4436.57,4454.315,4399.477,4443.0776,4452.853,4436.082,4421.3364,4454.215,4426.4077,4461.2856,4449.9023,4420.7686,4453.368,4471.2627,4447.578,4451.6484,4462.1997,4433.9297,4445.1406
2021-12-01,4383.9326,4383.509,4413.188,4377.596,4374.658,4357.236,4391.1904,4357.9585,4406.4556,4388.381,4374.863,4389.359,4368.094,4388.5493,4332.968,4372.528,4388.39,4365.702,4357.8604,4382.722,4362.2085,4397.622,4384.123,4355.3247,4386.648,4399.556,4378.8315,4384.6797,4396.221,4372.996,4379.1113
2021-12-02,4295.5864,4288.783,4326.2607,4285.1416,4285.307,4267.636,4309.899,4268.19,4319.927,4298.0176,4279.0767,4299.1934,4272.2896,4297.005,4240.4546,4273.6187,4300.324,4266.628,4269.728,4279.94,4274.028,4310.6543,4292.1865,4264.851,4293.9453,4298.5264,4282.6006,4292.3677,4303.9365,4289.218,4287.5107
2021-12-03,4306.315,4321.221,4331.409,4315.927,4297.474,4281.5825,4315.3096,4284.089,4319.0874,4317.3154,4315.909,4308.6304,4308.9907,4325.541,4268.3584,4320.021,4304.529,4312.961,4294.0967,4340.34,4284.9966,4314.681,4326.089,4284.332,4320.4453,4347.0103,4320.0503,4309.4824,4338.9116,4294.456,4310.9854
