,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,3021.9592,3188.6782,3107.9358,3026.1318,2961.7612,2901.3398,3208.7788,3142.578,2998.7715,3031.3044,3132.6743,3162.4065,3052.1912,3309.6504,2748.5383,3090.128,3276.3882,3092.1892,2937.8542,3110.14,3028.0674,3058.024,3080.596,3075.7666,3106.1064,3167.3818,2940.7122,3111.0337,3107.6704,2999.9075,3072.5557
2000-01-10,3186.9775,3255.9275,3270.7646,3265.7253,3184.5425,3206.6355,3248.516,3235.038,3130.9739,3154.9272,3050.7085,3123.5945,3190.2424,3232.3667,3200.5723,3139.0193,3088.2192,3137.897,3103.947,3159.0735,3202.2153,3244.4968,3290.5837,3182.8027,3244.2605,3259.8728,3184.5024,3216.6184,3275.5457,3251.77,3197.2778
2000-01-11,3131.73,3111.8684,3158.5413,3109.2695,3113.3313,3102.0977,3136.1963,3113.9346,3157.207,3127.856,3112.1714,3111.065,3097.285,3117.662,3088.717,3097.5764,3119.4878,3103.4478,3130.5864,3092.8079,3124.4146,3141.9146,3132.9392,3108.208,3129.278,3104.5154,3113.7432,3109.009,3124.511,3135.7498,3118.5706
2000-01-12,3159.7732,3156.4585,3182.342,3153.5105,3142.1633,3129.5178,3162.2297,3146.039,3176.6536,3162.033,3160.4165,3135.583,3144.37,3160.033,3129.533,3152.5405,3141.6208,3156.1182,3169.262,3158.108,3151.5942,3164.04,3178.8406,3142.4963,3170.3396,3161.9114,3162.6658,3147.3306,3172.2537,3159.388,3156.3054
2000-01-13,3210.378,3213.389,3231.8413,3209.687,3193.539,3180.811,3213.406,3196.314,3223.5674,3213.6543,3217.031,3185.114,3199.1833,3215.469,3183.0847,3212.278,3190.1614,3212.338,3222.4976,3218.364,3200.36,3212.074,3235.1765,3194.1453,3224.4915,3221.6006,3218.5483,3200.9998,3229.6316,3208.333,3209.5825
2000-01-14,3233.4614,3231.1343,3256.533,3227.6257,3216.4465,3203.1611,3237.8242,3216.7505,3248.7908,3233.9287,3232.9678,3209.1838,3215.6165,3234.031,3200.9795,3226.0278,3215.3533,3225.3765,3241.3992,3227.41,3222.5012,3237.084,3251.9382,3214.3638,3242.712,3234.5813,3233.5178,3220.4473,3246.4575,3232.687,3229.0095
2000-01-15,3322.2017,3186.6829,3365.6377,3023.1804,3334.3767,3545.0076,3283.4958,3295.7058,3396.892,3381.8328,3388.7153,3216.439,3244.734,3097.7651,3288.11,3408.4573,3306.8306,3461.223,3277.0686,3165.256,3162.7993,3324.31,3272.382,3112.628,3248.1404,3217.019,3188.5308,3315.3784,3218.1252,3263.5432,3277.0823
2000-01-16,3311.5967,3171.3909,3193.7,3227.8472,3098.0999,3201.563,3202.8374,3259.7825,3301.4722,3204.0808,3339.9587,3330.4685,3275.233,3346.0518,3297.6375,3308.3862,3307.02,3369.1133,3498.5796,3108.0793,3219.7986,3288.07,3191.044,3260.258,3336.2515,3180.577,3207.5437,3235.4224,3224.7722,3283.8386,3259.3489
2000-01-17,3274.3752,3270.9358,3298.0894,3267.2202,3257.5361,3243.9626,3279.955,3255.5547,3289.5425,3273.1577,3271.2651,3251.2185,3254.7546,3273.8755,3239.3457,3264.1367,3257.2822,3261.3162,3280.349,3262.561,3261.8025,3278.767,3290.7249,3253.5627,3281.7869,3272.092,3271.3135,3260.0088,3285.7778,3273.7305,3268.5334
2000-01-18,3312.0994,3315.3013,3334.4204,3310.8933,3295.9023,3282.7031,3317.7856,3293.7866,3323.5344,3312.6865,3315.7988,3289.4353,3300.0288,3316.9966,3280.9167,3311.8684,3293.742,3306.2163,3321.2769,3312.4197,3298.1245,3314.8152,3334.8213,3292.8137,3323.8018,3320.7869,3316.3823,3301.1763,3330.749,3309.6677,3309.6987
2000-01-19,3379.088,3390.5525,3399.85,3385.1443,3363.8105,3350.9814,3385.4324,3360.8281,3385.5454,3383.0925,3390.632,3357.547,3376.1936,3390.6296,3351.9321,3390.8252,3359.7686,3382.087,3391.6448,3396.033,3362.5847,3380.024,3409.2874,3361.7483,3395.838,3401.4807,3391.8892,3372.8906,3406.592,3374.3606,3380.9438
2000-01-20,3432.499,3442.5154,3454.1006,3436.8345,3417.4504,3404.2473,3440.4338,3412.4895,3438.7444,3436.0288,3441.1284,3412.4204,3427.293,3442.648,3402.1694,3440.5771,3414.8965,3431.931,3442.4966,3445.11,3413.8923,3434.635,3459.927,3413.9568,3447.4236,3451.93,3442.36,3425.4224,3457.9277,3427.939,3433.0474
2000-01-21,3423.6113,3419.8542,3448.7034,3415.135,3407.646,3393.3364,3433.14,3400.4963,3436.4414,3421.6396,3415.8591,3404.2905,3401.9978,3422.324,3382.6758,3409.2786,3410.0547,3400.689,3424.8713,3405.0222,3405.2002,3429.9065,3436.2693,3399.579,3428.6387,3419.2974,3416.7034,3408.1008,3433.454,3422.5083,3415.8906
