,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4632.587,4655.733,4622.229,4577.1553,4618.6035,4676.769,4676.0615,4626.6533,4601.487,4683.593,4647.1973,4520.869,4576.816,4651.4907,4477.605,4594.591,4646.6245,4646.2197,4613.109,4574.308,4623.272,4534.046,4539.3853,4613.7764,4711.736,4646.592,4617.332,4640.315,4633.8623,4630.331,4617.011
2021-11-25,4618.1743,4641.2944,4608.968,4564.101,4604.963,4662.6924,4662.6025,4613.738,4589.5146,4669.575,4634.078,4511.0747,4564.2734,4637.942,4467.6646,4581.739,4631.9033,4632.1797,4600.01,4561.199,4610.1953,4523.6426,4528.23,4599.9346,4697.4146,4632.1187,4603.6577,4627.477,4620.817,4617.657,4603.961
2021-11-26,4606.447,4629.3354,4598.4194,4553.773,4592.555,4650.592,4650.754,4601.614,4579.705,4658.595,4623.676,4503.0225,4553.0947,4626.469,4459.356,4571.2495,4620.016,4621.2207,4589.236,4550.916,4598.363,4514.565,4519.26,4589.6265,4685.9746,4621.2554,4592.752,4616.0884,4609.935,4606.183,4593.135
2021-11-27,4595.228,4618.099,4588.126,4543.606,4581.959,4639.645,4640.477,4591.5874,4570.3867,4647.6772,4613.4595,4495.3994,4543.3477,4615.929,4451.622,4561.245,4608.5557,4610.283,4579.041,4540.7046,4588.204,4506.477,4510.574,4578.8354,4674.823,4609.9736,4582.104,4606.1104,4599.7847,4596.337,4582.987
2021-11-28,4566.895,4590.49,4561.2437,4516.8535,4559.9844,4614.363,4617.6475,4572.177,4547.101,4618.5444,4586.6543,4476.4473,4522.2915,4590.95,4432.8955,4536.0913,4579.2817,4580.958,4553.715,4513.509,4566.9126,4488.2925,4488.2495,4548.0864,4645.8794,4578.137,4554.4053,4584.363,4575.124,4575.7188,4558.1084
2021-11-29,4516.8354,4540.4824,4514.238,4470.276,4515.874,4566.856,4572.1606,4531.477,4505.3364,4568.2207,4539.906,4442.354,4481.084,4544.732,4398.6826,4491.1367,4527.44,4530.573,4508.1343,4466.521,4524.456,4453.5645,4448.856,4496.8813,4595.0894,4524.837,4505.8623,4542.0356,4530.158,4534.582,4512.954
2021-11-30,4461.465,4484.3965,4462.608,4419.3467,4460.8413,4510.8555,4516.435,4478.948,4458.2495,4513.6587,4488.6987,4403.802,4430.741,4491.6235,4359.404,4440.6343,4469.739,4476.407,4456.5693,4415.5786,4471.7695,4411.6763,4405.1733,4443.601,4539.094,4469.033,4452.4165,4490.5664,4478.6333,4483.51,4461.5156
2021-12-01,4397.2676,4421.6963,4400.845,4359.313,4401.058,4447.277,4454.5396,4421.8457,4403.5977,4449.0654,4428.3916,4359.1216,4374.571,4431.8726,4314.225,4382.4033,4402.919,4412.097,4396.8213,4355.284,4413.4233,4363.914,4354.0464,4379.171,4473.3647,4404.078,4389.6367,4433.0093,4419.312,4426.964,4402.3706
2021-12-02,4313.6846,4337.711,4317.4946,4278.5,4322.7334,4364.1714,4373.725,4347.5986,4330.8584,4361.9624,4346.8115,4299.3926,4300.683,4352.3027,4254.0195,4308.126,4316.066,4325.277,4316.9575,4273.4673,4337.2944,4300.8813,4285.423,4292.4023,4385.035,4315.7974,4305.248,4355.635,4340.2295,4352.8345,4323.744
2021-12-03,4299.4023,4318.135,4301.3833,4265.4634,4279.5645,4333.5166,4334.8726,4297.746,4313.702,4350.0957,4329.7886,4283.744,4263.8237,4326.9956,4235.4805,4295.594,4303.8364,4314.8926,4295.9253,4261.2344,4296.1367,4272.4736,4271.476,4293.343,4368.61,4316.9614,4289.895,4316.1143,4316.341,4312.1323,4301.956
2021-12-04,4310.218,4329.215,4312.1426,4275.889,4290.908,4344.894,4346.346,4308.8623,4323.2314,4361.2437,4340.729,4291.694,4274.3687,4337.767,4243.606,4305.1484,4314.7666,4325.946,4306.559,4271.7803,4307.1094,4281.3457,4280.446,4303.8296,4380.0933,4327.725,4300.852,4327.25,4326.9946,4322.863,4312.4604
2021-12-05,4318.211,4337.5303,4320.132,4283.5757,4300.017,4353.7046,4355.436,4317.9824,4330.3916,4369.41,4348.8813,4297.702,4282.752,4346.013,4249.812,4312.208,4322.788,4334.0073,4314.5986,4279.53,4315.9053,4288.332,4287.1294,4311.1997,4388.6133,4335.285,4308.9736,4336.1187,4335.1216,4331.4756,4320.4277
2021-12-06,4323.6865,4343.2207,4325.603,4288.842,4306.2236,4359.722,4361.6343,4324.188,4335.2915,4375.007,4354.4624,4301.811,4288.467,4351.6484,4254.0537,4317.043,4328.285,4339.534,4320.0967,4284.8403,4321.899,4293.098,4291.705,4316.266,4394.4478,4340.4814,4314.5356,4342.164,4340.677,4337.3438,4325.876
2021-12-07,4343.6636,4362.582,4345.152,4308.262,4320.8853,4377.2485,4377.5366,4336.869,4351.8716,4396.236,4374.095,4315.3447,4302.8237,4369.0703,4267.3193,4334.7104,4348.9663,4360.891,4338.178,4304.6963,4336.215,4305.76,4307.804,4338.937,4415.3774,4363.7954,4334.5776,4357.194,4358.1646,4351.241,4343.516
2021-12-08,4336.261,4357.199,4338.567,4300.801,4325.6646,4376.4165,4380.2305,4344.913,4347.3843,4387.3354,4367.7534,4312.196,4305.813,4366.63,4265.233,4328.1333,4340.5044,4351.451,4334.0103,4296.725,4340.572,4307.115,4302.6,4325.178,4408.0786,4349.585,4327.471,4360.615,4355.2417,4355.703,4339.846
2021-12-09,4347.977,4367.1284,4349.4805,4312.4014,4326.138,4382.19,4382.725,4342.2114,4355.791,4400.6084,4378.5254,4318.6484,4307.622,4373.653,4270.761,4338.518,4353.269,4365.191,4342.6,4308.858,4341.2803,4309.7295,4311.436,4342.738,4419.99,4367.6914,4338.9707,4362.277,4362.668,4356.206,4347.9087
