,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,3190.7637,2733.5757,3182.9768,3149.7925,2956.2524,3404.1091,3222.4473,3186.1287,3084.5127,3044.398,3217.609,3145.9583,3217.408,3167.6228,3061.8096,3244.026,3007.7205,3142.7307,3330.2397,3113.9695,3134.2217,3181.0244,3139.27,3054.7964,3382.6807,3261.8667,3193.7607,3009.0427,3079.512,3198.5383,3147.9587
2000-01-10,3350.9875,3299.0107,3197.9182,2989.2578,3156.084,3274.831,3216.7537,3150.663,3160.9343,3241.6199,3088.4314,3126.5945,2748.1245,3132.3008,3135.6052,3298.8733,3189.6902,3192.0667,3168.818,3205.5247,3021.5842,2950.4336,3020.4368,3140.0676,3098.994,3152.7178,3122.7666,2943.6077,3030.1162,3109.655,3130.4822
2000-01-11,3124.2917,3139.7866,3123.0005,3115.566,3113.1602,3143.5747,3133.5762,3154.497,3138.4019,3139.135,3148.4128,3141.122,3174.3848,3090.2031,3130.3389,3157.9102,3132.0454,3124.492,3153.3975,3112.4678,3136.6604,3123.0347,3131.638,3126.8884,3136.4678,3119.3542,3100.7322,3149.7395,3176.012,3176.8916,3135.573
2000-01-12,3133.7603,3149.9678,3128.7244,3125.6765,3102.729,3141.5361,3125.646,3135.936,3138.079,3153.386,3156.96,3132.65,3165.842,3108.3984,3119.724,3160.3315,3145.439,3138.401,3156.7522,3122.6233,3125.5344,3110.1204,3130.3672,3147.3657,3147.2383,3140.5303,3111.4875,3139.1753,3176.9233,3165.7998,3137.903
2000-01-13,3179.239,3192.618,3175.074,3169.476,3141.824,3184.9058,3166.981,3173.375,3179.883,3199.7246,3201.6687,3171.3772,3203.717,3157.2905,3158.581,3203.8855,3190.7725,3185.497,3199.8157,3167.6707,3164.199,3147.2942,3171.9163,3195.728,3194.1716,3190.2231,3156.225,3179.6472,3219.4329,3203.3975,3180.854
2000-01-14,3209.1838,3220.182,3207.891,3197.735,3178.435,3219.9397,3203.8765,3213.4536,3212.6921,3227.541,3231.552,3206.934,3238.2717,3187.3096,3195.1152,3237.0938,3218.306,3214.105,3231.4546,3196.877,3200.8818,3183.8606,3205.0808,3221.479,3224.489,3216.6035,3186.3535,3217.411,3252.0698,3239.227,3213.1802
2000-01-15,3159.4038,3598.2158,3165.815,3179.36,3356.1123,2977.8276,3055.343,3225.671,3282.03,3338.2446,3178.938,3235.3408,3148.9827,3128.5303,3282.138,3157.893,3201.93,3212.2234,3071.6873,3211.7336,3221.8545,3139.694,3178.2922,3308.967,2995.2761,3089.88,3110.5903,2955.111,3365.9688,3267.2842,3193.3445
2000-01-16,3115.9333,3015.8782,3176.3523,3380.4148,3197.2957,3300.1604,3257.078,3301.2012,3358.0762,3095.7974,3371.6172,3336.0469,3250.8643,3290.0217,3303.723,3181.1426,3404.417,3181.4912,3241.7163,3149.7678,3242.6013,3356.8965,3340.0784,3299.185,3330.0142,3281.3225,3250.8918,3442.6252,3314.3687,3389.2275,3271.8735
2000-01-17,3252.8142,3261.0156,3254.0815,3239.319,3224.0972,3266.4077,3251.069,3260.9463,3258.526,3269.9744,3274.7786,3254.2634,3281.823,3236.341,3240.6084,3282.4954,3260.0596,3257.4854,3275.232,3239.7524,3247.4927,3228.595,3249.298,3263.3042,3269.0762,3259.52,3231.2532,3264.5789,3296.3389,3283.606,3257.8052
2000-01-18,3284.4407,3290.703,3285.757,3269.919,3248.65,3294.9978,3277.7812,3283.2434,3286.8896,3302.853,3306.028,3279.5405,3305.8313,3272.8171,3264.9766,3312.0864,3292.1462,3290.8193,3304.383,3271.1897,3272.1257,3251.516,3276.785,3298.413,3301.8564,3295.6138,3263.1458,3290.0293,3324.7747,3307.0676,3286.8796
2000-01-19,3344.5706,3346.1746,3347.01,3327.8286,3300.3372,3352.3372,3333.4028,3332.7407,3343.939,3364.3525,3366.2637,3332.8882,3355.9062,3341.619,3316.3496,3370.2903,3352.084,3353.0881,3361.3184,3330.749,3324.6902,3300.6636,3332.2915,3362.356,3363.9094,3361.3167,3324.0881,3343.5364,3380.9778,3358.6794,3344.192
2000-01-20,3402.361,3402.729,3406.914,3382.1257,3359.9521,3413.0068,3396.3816,3394.744,3406.1912,3424.643,3424.6968,3394.6802,3412.7656,3406.9204,3375.7441,3429.5686,3406.603,3409.731,3418.4773,3386.7317,3386.6765,3361.4526,3392.8765,3416.9707,3422.127,3417.3567,3382.4795,3405.117,3438.6516,3420.0066,3403.289
2000-01-21,3410.0747,3412.7185,3416.5151,3388.1785,3382.122,3428.9792,3418.3875,3423.7266,3424.4165,3430.1443,3433.1125,3417.975,3433.0571,3413.2852,3398.0027,3442.1445,3409.259,3412.495,3429.473,3392.2231,3411.3672,3389.8252,3409.8235,3414.207,3427.6765,3414.3953,3389.8477,3427.856,3451.4358,3444.9731,3416.5903
2000-01-22,3390.7397,3393.8086,3397.2969,3369.5298,3366.6096,3411.305,3401.5942,3409.2903,3406.5405,3409.942,3414.094,3401.9868,3417.9111,3391.1458,3382.597,3424.0078,3390.026,3392.514,3411.6604,3373.2651,3395.7075,3374.4153,3392.46,3393.3867,3407.9153,3392.9949,3370.5442,3411.7861,3434.0122,3429.6345,3398.624
2000-01-23,3355.3882,3359.0347,3362.0115,3335.6023,3336.6418,3378.1182,3369.358,3380.54,3372.7622,3373.3604,3379.287,3371.0537,3388.7898,3350.9817,3352.81,3390.3455,3355.4304,3356.5728,3378.7407,3338.8687,3365.2168,3343.9907,3359.7268,3356.5166,3372.0798,3355.1113,3335.3372,3380.7646,3401.601,3399.6868,3365.191
2000-01-24,3302.8564,3307.0833,3309.3594,3285.928,3290.284,3327.7852,3319.7058,3335.1619,3321.301,3318.6724,3327.4734,3323.1538,3343.9695,3291.5845,3306.7053,3339.7153,3304.5986,3303.7632,3329.3796,3287.9956,3317.8,3296.2385,3309.9412,3302.9985,3319.099,3300.1362,3283.0608,3332.8005,3352.7744,3353.0312,3314.8118
2000-01-25,3291.0483,3295.4285,3294.5422,3275.765,3264.0303,3307.0798,3293.2622,3302.4492,3299.2112,3307.1804,3313.8896,3295.6528,3319.9148,3279.3167,3280.3928,3322.2498,3296.6667,3295.5183,3313.5708,3277.3286,3289.0056,3267.7053,3288.355,3300.003,3308.1533,3297.1772,3270.4377,3305.8289,3335.098,3324.0522,3297.011
2000-01-26,3302.698,3306.3762,3306.0994,3287.0605,3272.6245,3317.3433,3302.6675,3310.0247,3309.3784,3319.4849,3325.3787,3304.489,3328.361,3292.802,3288.9158,3332.9749,3308.582,3307.896,3324.1726,3288.9275,3297.565,3275.6487,3298.3743,3313.187,3320.252,3310.7344,3282.158,3314.7437,3345.38,3332.3967,3307.5564
