,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,3107.5227,3130.4219,3076.2231,3059.4468,3074.9087,3129.8845,3156.9585,3103.0703,3129.0964,3070.641,3115.553,3212.3584,3114.8335,3034.7876,3154.878,3097.3687,3137.0437,3102.2507,3120.6921,3091.4631,3098.0767,3025.6323,3046.6174,3112.6167,3072.6482,3116.811,3154.6858,3100.039,3174.662,3123.139,3108.1445
2000-01-10,3093.747,3084.932,3065.7659,3102.2585,3114.2905,3142.4272,3117.7437,3103.6382,3160.135,3075.1475,3129.7212,3152.267,3158.4534,3140.4436,3151.0664,3113.3477,3134.0103,3102.8975,3134.5935,3107.3015,3064.8896,3200.0027,3024.8982,3119.9473,3112.386,3118.0808,3063.1982,3146.675,3189.417,3171.0674,3119.8245
2000-01-11,3096.7742,3123.0652,3136.6511,3050.6897,3102.6526,3133.7903,3103.7788,3118.5671,3129.8335,3104.1177,3135.9912,3115.198,3139.2625,3090.8555,3118.021,3125.4375,3128.0637,3097.656,3148.9038,3110.53,3095.7957,3130.1008,3086.0542,3129.229,3143.6428,3118.461,3116.425,3145.6555,3133.7625,3115.6587,3117.4875
2000-01-12,3093.2458,3104.2847,3125.4065,3047.181,3092.102,3123.0632,3088.6226,3111.0981,3127.6223,3096.0312,3134.0151,3111.6438,3126.7588,3082.1277,3102.8816,3117.3088,3104.2,3098.7078,3130.645,3097.4875,3098.8567,3133.2795,3067.3418,3129.6123,3139.5125,3116.7039,3102.6123,3123.4885,3127.1672,3110.954,3108.7986
2000-01-13,3137.1096,3143.1072,3166.9497,3089.867,3132.3442,3165.3826,3126.568,3154.132,3169.4788,3137.2002,3178.0527,3154.9304,3165.3054,3124.0203,3143.929,3160.0984,3142.991,3142.963,3169.286,3138.5688,3143.6736,3179.7903,3105.591,3174.835,3184.4832,3160.5044,3143.676,3162.4573,3169.168,3154.3562,3150.6943
2000-01-14,3173.5127,3184.802,3206.0796,3125.5164,3170.0798,3204.7769,3165.346,3192.2722,3203.5327,3174.362,3213.4575,3190.832,3203.0225,3162.1177,3185.1326,3198.3672,3187.414,3176.8901,3210.071,3178.5085,3176.8787,3214.1177,3146.7495,3209.7927,3221.9016,3195.7786,3183.9028,3205.9338,3205.9468,3191.0442,3188.6047
2000-01-15,3225.6228,3204.6702,3297.9485,3156.1064,3284.2527,3255.6687,3217.6501,3236.8723,3263.477,3244.2678,3274.1248,3119.5679,3283.9524,3268.1575,3229.567,3245.605,3215.053,3180.9011,3281.3757,3230.3928,3258.4329,3341.7,3223.893,3241.283,3321.9458,3215.4275,3182.3428,3307.4436,3184.548,3209.6106,3240.0623
2000-01-16,3252.4163,3221.665,3299.8867,3091.366,3182.6804,3207.5942,3151.4236,3242.5662,3217.0725,3233.1816,3235.37,3181.8572,3204.5486,3142.1912,3184.2358,3234.3176,3194.2158,3206.5723,3238.1897,3200.3445,3241.9082,3165.0295,3189.4421,3246.998,3281.2747,3239.0476,3270.3506,3229.0183,3180.5894,3162.9854,3210.9446
2000-01-17,3221.45,3234.7217,3254.9368,3172.6682,3217.3845,3254.1274,3212.5398,3241.2168,3248.763,3221.9084,3260.4067,3238.0337,3249.7637,3210.692,3235.603,3247.1667,3238.936,3223.0437,3258.446,3227.956,3222.8215,3261.386,3195.892,3256.9397,3270.7283,3242.725,3233.3728,3256.7288,3253.324,3238.9082,3236.7532
2000-01-18,3250.66,3258.684,3281.4297,3201.5098,3243.2378,3281.1907,3236.3247,3269.4624,3276.9312,3249.0671,3289.6807,3266.8284,3274.3108,3238.1873,3261.5476,3275.1118,3261.7683,3253.0964,3281.9172,3254.1257,3253.688,3292.9988,3219.3801,3287.3945,3300.2727,3271.932,3259.4495,3279.96,3280.9814,3267.6653,3263.96
2000-01-19,3309.8523,3312.071,3337.3672,3260.2603,3297.8215,3338.008,3288.252,3327.913,3333.7356,3305.766,3348.2742,3325.1174,3327.0488,3295.7246,3317.7664,3333.0496,3313.9324,3312.5579,3333.5574,3310.1094,3314.2874,3354.7373,3271.7166,3347.5935,3359.8472,3330.486,3315.357,3332.4138,3337.977,3326.1924,3320.6265
2000-01-20,3373.1519,3378.904,3401.7388,3323.538,3360.55,3402.651,3351.2976,3392.7368,3393.7302,3369.5308,3409.3657,3387.1626,3389.6367,3360.7883,3385.118,3397.3584,3381.4792,3373.2083,3396.456,3375.8347,3374.9858,3416.1482,3337.2468,3408.8066,3422.8699,3392.0413,3380.8425,3399.0344,3400.6157,3389.1028,3384.1975
2000-01-21,3389.9429,3408.981,3424.7666,3340.4375,3382.6892,3424.9807,3377.5188,3412.7864,3408.2979,3389.938,3423.7905,3403.231,3414.142,3382.1606,3411.9949,3417.2432,3414.7478,3385.5842,3422.7778,3400.6372,3385.599,3426.8137,3366.793,3421.2366,3439.224,3407.3118,3405.0872,3430.1802,3419.1873,3406.2026,3404.8096
