,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4822.2803,4384.198,4483.5176,4367.526,4542.661,4382.9966,4397.5317,4418.3467,4538.8784,4547.028,4581.0103,4327.326,4355.842,4493.6245,4458.5513,4426.7617,4455.446,4326.7466,4465.931,4678.4746,4390.925,4505.834,4420.633,4325.284,4477.9907,4504.9243,4392.3604,4462.4575,4294.9707,4478.0317,4456.936
2021-11-25,4810.2114,4375.7217,4473.382,4359.098,4532.6084,4375.6084,4389.411,4410.385,4527.9536,4535.871,4570.6636,4320.879,4348.83,4484.3384,4448.573,4418.0464,4446.8945,4318.465,4457.2256,4666.322,4383.597,4495.8955,4412.1226,4317.8384,4468.1167,4495.102,4384.6123,4452.494,4288.944,4468.6387,4447.928
2021-11-26,4796.095,4366.6123,4462.1123,4350.0117,4520.9673,4366.9917,4380.22,4401.1113,4516.0376,4524.1704,4558.2095,4313.5186,4340.8604,4473.4746,4438.129,4408.362,4437.0796,4309.5146,4447.1426,4652.568,4375.108,4485.399,4402.487,4309.895,4457.28,4484.0474,4375.67,4441.403,4282.417,4458.059,4437.832
2021-11-27,4754.5874,4337.4224,4427.6987,4320.5073,4486.843,4341.863,4352.1665,4372.9917,4478.3877,4485.491,4523.3164,4291.357,4316.5366,4441.81,4403.8267,4378.351,4407.7983,4280.79,4417.1533,4611.084,4349.8496,4450.995,4373.874,4283.139,4423.4844,4449.571,4349.1035,4407.3716,4260.476,4425.4927,4406.7783
2021-11-28,4686.488,4291.4146,4371.933,4274.6543,4430.984,4300.502,4307.2676,4328.8496,4419.359,4425.421,4464.6953,4255.318,4277.487,4389.8047,4350.2964,4330.426,4360.1333,4236.0376,4368.2427,4544.1865,4308.603,4397.3613,4327.2104,4242.5303,4369.7896,4395.7544,4305.8784,4353.0,4227.4175,4373.62,4357.1553
2021-11-29,4618.748,4246.12,4317.129,4229.658,4375.3896,4259.394,4262.5176,4284.618,4360.6655,4366.5317,4406.472,4219.816,4239.015,4338.302,4297.5933,4283.062,4312.5825,4191.845,4320.0938,4478.332,4268.2314,4344.745,4279.329,4203.1,4316.674,4342.3535,4262.8203,4299.129,4195.1006,4322.5557,4308.0645
2021-11-30,4530.6914,4191.6562,4250.473,4174.888,4305.074,4206.792,4206.3984,4228.6416,4289.581,4297.1436,4330.5396,4174.467,4190.1445,4272.0757,4236.4683,4224.468,4253.392,4138.533,4258.7275,4395.249,4215.7646,4282.219,4222.6006,4155.094,4252.1367,4275.3433,4208.034,4232.9443,4155.018,4258.318,4247.096
2021-12-01,4406.9863,4119.552,4158.5557,4101.0884,4208.2935,4133.1865,4129.9805,4151.203,4195.17,4206.664,4221.869,4110.8276,4120.594,4178.889,4151.6587,4144.9087,4170.711,4068.8252,4167.822,4282.7764,4140.959,4200.048,4145.588,4088.6455,4166.879,4182.7866,4132.147,4144.415,4099.268,4169.8784,4163.3384
2021-12-02,4421.9106,4129.6685,4170.4575,4111.296,4220.167,4142.042,4139.936,4161.307,4208.086,4219.969,4234.1597,4118.726,4129.406,4190.0,4163.6553,4155.3994,4181.165,4078.658,4178.539,4297.0327,4149.919,4211.929,4155.5103,4097.9473,4178.5063,4194.646,4141.564,4156.1104,4107.1934,4181.221,4174.2046
2021-12-03,4435.6284,4138.786,4181.465,4120.338,4231.2583,4150.328,4148.737,4169.6885,4219.6826,4231.7676,4245.869,4125.997,4137.35,4200.3315,4174.404,4164.91,4190.436,4087.3542,4188.314,4310.231,4158.1465,4222.4995,4164.598,4106.002,4189.111,4205.299,4150.2236,4166.8115,4113.676,4191.3765,4184.0205
2021-12-04,4445.102,4144.657,4188.8857,4126.1807,4239.0034,4156.134,4154.6396,4175.828,4227.336,4239.1865,4254.305,4130.89,4142.8477,4207.59,4181.317,4171.2734,4197.1196,4093.0356,4195.177,4319.019,4163.7427,4229.193,4171.3403,4111.1294,4196.12,4212.5,4156.245,4174.014,4117.8145,4198.2573,4190.6626
2021-12-05,4452.1743,4148.552,4193.555,4130.2734,4244.446,4160.2056,4159.6025,4180.3164,4232.7695,4244.3545,4260.047,4134.311,4145.6436,4212.711,4184.653,4175.7866,4201.483,4097.2217,4199.2036,4325.6616,4167.836,4233.8843,4175.333,4114.637,4201.0435,4217.6445,4160.4854,4179.0947,4121.0166,4203.265,4195.24
2021-12-06,4486.993,4168.559,4219.3564,4150.775,4271.3926,4180.8477,4180.5376,4201.9395,4258.76,4269.0933,4290.9497,4152.4277,4166.368,4238.912,4209.221,4197.8423,4224.7104,4116.2036,4225.7285,4356.7524,4189.027,4256.383,4196.726,4133.288,4224.381,4243.5513,4181.829,4203.461,4136.7026,4227.9727,4218.69
2021-12-07,4460.19,4154.419,4200.582,4136.0913,4250.854,4165.039,4164.509,4185.624,4239.875,4251.8926,4266.91,4138.8286,4151.756,4218.796,4192.8057,4181.564,4207.3457,4102.4946,4206.0205,4333.247,4172.8447,4240.5796,4181.0254,4120.0923,4207.3804,4224.2427,4165.6406,4185.4526,4125.4497,4209.492,4201.3677
2021-12-08,4487.308,4174.6455,4223.5845,4156.068,4273.1753,4181.3916,4183.334,4203.534,4265.373,4278.9673,4288.771,4153.3896,4167.143,4239.128,4216.514,4201.8115,4226.7827,4122.1284,4224.957,4360.5156,4189.025,4264.586,4200.407,4137.9224,4230.493,4246.5815,4183.125,4208.31,4139.877,4230.848,4221.9893
2021-12-09,4545.5293,4213.004,4269.9556,4194.332,4320.2715,4216.505,4221.1934,4240.94,4314.671,4328.629,4338.5137,4183.9985,4200.6953,4283.1064,4261.3203,4242.0845,4266.8984,4159.2188,4266.4727,4416.4326,4223.907,4309.0977,4239.7397,4171.9272,4275.268,4292.0234,4219.8804,4253.7314,4167.8223,4274.284,4263.715
2021-12-10,4607.9478,4252.615,4318.602,4234.0317,4370.5933,4254.0986,4261.4673,4281.1523,4366.1445,4379.428,4392.533,4216.424,4235.8184,4330.365,4307.0063,4284.355,4309.6406,4197.8223,4310.9297,4475.659,4261.2188,4354.7646,4281.735,4207.039,4321.992,4340.1533,4259.0654,4301.483,4196.8755,4320.3535,4307.7104
2021-12-11,4669.594,4289.8843,4365.1533,4271.8677,4420.0063,4291.232,4300.1836,4320.5957,4415.145,4426.5483,4446.91,4248.36,4270.222,4377.329,4348.916,4325.009,4351.207,4234.352,4354.983,4533.7983,4298.549,4397.3477,4320.9683,4240.3745,4366.3047,4387.1665,4297.5356,4347.3447,4224.769,4365.419,4350.2354
2021-12-12,4726.1235,4321.276,4406.5405,4304.341,4463.979,4324.653,4334.8887,4355.7085,4456.9224,4465.6113,4497.3794,4276.907,4301.062,4419.964,4386.2563,4360.3022,4388.616,4265.0186,4397.1733,4584.643,4332.699,4432.8784,4355.6167,4269.531,4403.895,4428.959,4331.597,4386.8047,4249.201,4405.329,4387.7964
2021-12-13,4696.4966,4302.9883,4383.593,4285.7837,4440.1978,4306.837,4315.989,4336.7534,4432.9707,4442.2725,4471.362,4261.593,4284.4287,4397.3887,4365.208,4340.5605,4368.379,4247.132,4375.4897,4556.616,4314.741,4411.8496,4336.261,4253.0127,4382.2646,4406.112,4313.189,4364.51,4235.5454,4383.487,4367.0996
2021-12-14,4681.0405,4292.8657,4371.283,4275.6294,4427.626,4297.499,4305.958,4326.7173,4419.84,4429.1646,4458.039,4253.5015,4275.649,4385.6284,4353.4487,4329.8896,4357.678,4237.2363,4364.409,4541.639,4305.43,4400.1055,4325.82,4244.036,4370.3804,4393.96,4303.441,4352.4053,4228.1655,4371.8574,4356.0117
2021-12-15,4659.3345,4278.6685,4354.0117,4261.346,4410.0386,4284.4165,4291.8364,4312.54,4401.4385,4410.7573,4439.3804,4242.139,4263.299,4369.14,4336.8105,4314.9185,4342.6377,4223.367,4348.7427,4520.685,4292.331,4383.6143,4311.241,4231.357,4353.7495,4376.8843,4289.7812,4335.4727,4217.7383,4355.523,4340.4395
