,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2019-06-20,2959.004,2968.2969,2938.6199,2979.4004,2958.7363,2972.6516,2980.169,2955.3333,2984.21,2973.363,2970.1594,2957.6914,2973.0347,2977.4712,2967.17,2985.183,2970.5051,2944.028,2973.5767,2981.118,2975.4722,2983.5999,2970.5312,2980.4487,2959.4304,2981.4368,2966.7798,2942.199,2994.635,2968.9958,2969.7751
2019-06-21,2990.2524,3000.3975,2969.3032,3008.263,2985.2808,3001.9788,3010.7576,2983.9292,3013.429,3002.1057,2999.0974,2987.9148,3005.1128,3007.4792,2996.1956,3014.527,2999.9243,2970.65,3004.1814,3007.7542,3006.4822,3012.9011,2999.9402,3012.998,2987.9148,3008.9731,2998.244,2970.9075,3025.4692,2999.9084,2999.409
2019-06-22,3028.9084,3039.7117,3007.4417,3043.382,3020.5322,3039.145,3049.6704,3023.1172,3048.3547,3037.0078,3035.7295,3026.5032,3041.3027,3044.0334,3030.4407,3050.5686,3037.0269,3006.7266,3043.5457,3041.8613,3046.4214,3047.5945,3038.5527,3052.3777,3022.9502,3043.0308,3033.579,3006.64,3061.3872,3035.601,3036.1047
2019-06-23,3072.986,3084.7007,3052.4434,3084.0417,3070.7456,3083.5361,3095.3723,3073.1365,3087.8472,3075.68,3079.4604,3073.2407,3084.0422,3091.5925,3068.0784,3098.3613,3081.845,3054.5913,3086.501,3082.3623,3090.2043,3085.9414,3085.1968,3088.064,3068.1387,3086.5334,3074.7825,3048.0461,3103.4055,3077.7476,3079.6208
2019-06-24,3078.652,3090.4492,3058.2385,3089.195,3076.8418,3089.223,3100.991,3079.7344,3092.8035,3080.586,3085.0564,3079.2166,3089.469,3096.8755,3072.8674,3103.944,3087.5557,3060.6196,3091.7834,3087.2688,3096.1284,3090.7717,3091.248,3093.1204,3073.671,3091.5134,3079.7417,3053.3638,3108.5708,3082.802,3085.0771
2019-06-25,3081.4375,3093.2825,3061.226,3091.7727,3080.9739,3092.229,3103.4778,3083.5212,3095.1501,3082.8357,3088.0183,3082.445,3092.2498,3099.8372,3075.0562,3107.0388,3090.6128,3064.2136,3094.6062,3090.1655,3098.7905,3093.0234,3094.4902,3094.5347,3076.9746,3094.0525,3082.3772,3056.0442,3111.2446,3085.4595,3087.9048
2019-06-26,3077.1887,3088.9172,3057.0078,3087.7676,3076.5747,3088.0706,3099.4277,3079.1733,3091.144,3079.0059,3083.9426,3078.1,3088.0781,3095.901,3071.2637,3102.8992,3086.3855,3060.0332,3090.5557,3086.3442,3094.6387,3089.0825,3090.1829,3090.6885,3072.8179,3090.1545,3078.2578,3052.1074,3107.1497,3081.3838,3083.8076
2019-06-27,3073.4893,3085.0896,3053.5015,3084.192,3073.227,3084.5986,3095.8787,3075.9785,3087.379,3075.4895,3080.5586,3074.5112,3084.3926,3092.616,3067.771,3099.4229,3082.8306,3056.8318,3087.0679,3083.093,3091.1648,3085.3452,3086.6633,3086.9248,3069.4275,3086.627,3074.5344,3048.754,3103.5208,3077.7563,3080.288
2019-06-28,3068.3147,3079.7288,3048.5789,3079.3186,3068.6577,3079.735,3090.8635,3071.5088,3082.1877,3070.6313,3075.7751,3069.4932,3079.1428,3087.927,3062.8887,3094.546,3077.9504,3052.444,3082.1184,3078.6028,3086.2346,3080.1812,3081.7556,3081.6,3064.73,3081.8213,3069.3853,3043.9885,3098.4255,3072.6458,3075.3726
2019-06-29,3064.8474,3076.1887,3044.8965,3076.59,3065.3254,3076.2031,3087.2332,3067.351,3079.5317,3067.8914,3072.149,3065.8115,3075.619,3084.8286,3060.0017,3091.1477,3074.7434,3049.001,3078.5742,3075.8232,3082.2593,3077.5747,3078.085,3078.3025,3061.456,3079.313,3066.5303,3040.4543,3095.1882,3069.415,3072.078
2019-06-30,3064.0244,3075.4902,3043.2747,3076.0845,3063.468,3074.9453,3086.1736,3064.3022,3079.9321,3067.8108,3070.9094,3064.3918,3075.22,3083.9617,3060.0002,3090.2544,3073.4001,3046.6772,3077.239,3075.229,3080.4465,3078.2769,3076.5063,3078.3584,3060.059,3079.3027,3066.3506,3039.5554,3094.7764,3069.0747,3071.1833
2019-07-01,3068.7878,3080.5452,3047.5054,3080.629,3065.616,3078.9824,3090.8809,3066.6333,3084.7627,3072.5854,3074.9004,3068.3887,3080.3547,3087.4536,3065.069,3093.9453,3077.3894,3049.1423,3081.7764,3078.9329,3085.0352,3083.4165,3080.152,3084.7942,3063.76,3083.4934,3071.8733,3043.8833,3099.9038,3074.2979,3075.4968
2019-07-02,3082.873,3094.989,3060.9373,3093.6138,3077.461,3092.3284,3105.0854,3080.0042,3097.84,3085.5173,3088.0208,3082.1646,3093.5396,3099.2266,3077.95,3106.524,3090.6633,3061.4395,3095.4097,3090.354,3099.6047,3096.5286,3093.86,3100.092,3076.1538,3095.9543,3084.791,3056.6824,3113.1377,3087.5037,3088.6748
2019-07-03,3104.522,3117.2102,3082.306,3113.747,3100.8806,3113.8574,3125.8145,3103.369,3117.6104,3104.6497,3109.201,3104.7346,3114.626,3119.9722,3096.9177,3128.5283,3112.2988,3083.3564,3116.2673,3110.0,3120.9602,3116.0447,3116.3108,3118.8176,3097.782,3115.5422,3105.4312,3076.757,3133.8987,3108.163,3109.6526
2019-07-04,3116.4512,3129.3953,3093.3777,3125.2522,3112.08,3125.141,3137.2307,3114.3928,3129.208,3115.805,3120.2805,3116.5293,3126.2083,3130.701,3107.9897,3139.812,3123.6172,3093.3953,3127.4143,3120.5134,3132.2952,3127.6895,3127.926,3130.475,3108.9705,3126.7449,3117.3352,3087.4763,3145.5244,3119.78,3120.967
2019-07-05,3130.0588,3143.2317,3106.1846,3137.9297,3124.7212,3138.1467,3150.0994,3126.8557,3141.6382,3128.4287,3132.8113,3130.0085,3139.6487,3142.704,3120.6697,3152.617,3136.4863,3104.923,3140.3923,3132.4329,3145.264,3140.9656,3141.1924,3143.899,3121.5261,3139.3616,3130.551,3099.554,3158.7935,3133.097,3133.8062
2019-07-06,3142.8982,3155.5115,3118.3215,3149.5295,3136.778,3150.8318,3162.8408,3139.3447,3153.2131,3139.7356,3145.2295,3143.0698,3151.6025,3154.2214,3132.2087,3164.8337,3148.8835,3116.7808,3153.1875,3143.4343,3157.6968,3152.433,3154.0396,3156.3257,3133.7751,3150.2998,3142.899,3111.6494,3171.1519,3145.667,3145.9468
2019-07-07,3154.121,3165.4211,3129.7834,3159.755,3147.0967,3162.1072,3174.4968,3152.2312,3163.523,3149.166,3156.422,3154.8809,3161.9424,3164.592,3141.6409,3175.6245,3160.373,3127.465,3163.7515,3152.8257,3168.4434,3161.6328,3165.9866,3166.1438,3144.6262,3159.8384,3152.8164,3122.5347,3181.2327,3155.6724,3156.538
2019-07-08,3162.7834,3173.2512,3139.3093,3167.7869,3158.8457,3171.3801,3182.5806,3164.0098,3171.092,3156.227,3165.5142,3164.8154,3170.8433,3173.602,3148.5798,3184.9001,3169.8298,3137.8806,3172.1296,3161.443,3177.481,3168.8074,3176.0918,3171.397,3154.4102,3167.8723,3160.5515,3130.8867,3188.6152,3163.5232,3165.2148
2019-07-09,3155.299,3166.2761,3132.0837,3160.9026,3152.852,3164.1362,3174.9626,3156.5535,3164.173,3149.785,3158.433,3157.307,3163.7988,3167.0208,3141.8733,3178.0842,3162.6982,3131.628,3165.1733,3155.3162,3170.5945,3162.0151,3168.5723,3164.0244,3147.6567,3161.2703,3153.74,3123.9514,3181.631,3156.6477,3158.282
2019-07-10,3144.1663,3155.8213,3121.0947,3150.3652,3140.686,3152.9768,3164.428,3144.5789,3153.7866,3139.9082,3147.5488,3145.5818,3152.8186,3156.3672,3132.0962,3167.0127,3151.4087,3120.5266,3154.4443,3144.9814,3159.7058,3151.8853,3156.9082,3154.6765,3136.293,3150.982,3142.9631,3113.5664,3171.2979,3145.9463,3147.4941
2019-07-11,3140.2825,3151.8933,3117.5908,3146.6865,3137.3044,3149.3308,3160.8193,3141.3767,3150.1816,3136.1934,3144.0784,3141.8235,3148.9087,3152.987,3128.363,3163.3337,3147.816,3117.4465,3150.777,3141.5667,3156.1675,3147.845,3153.2322,3150.6643,3132.8,3147.259,3139.0977,3110.2139,3167.4785,3142.0764,3143.8533
2019-07-12,3134.1365,3145.6433,3112.1062,3140.8025,3132.048,3143.5354,3154.8665,3136.2634,3144.1946,3130.4216,3138.4568,3135.8538,3143.0593,3147.577,3122.5332,3157.5818,3142.002,3112.435,3144.8804,3136.2468,3150.5164,3141.8206,3147.4211,3144.2527,3127.1438,3141.613,3132.804,3104.6653,3161.385,3135.9048,3138.0723
2019-07-13,3127.2368,3139.0544,3105.3123,3134.6677,3126.156,3136.812,3147.855,3129.396,3138.2158,3124.2722,3131.799,3128.8772,3136.4531,3141.555,3116.3315,3151.0647,3135.428,3106.398,3138.2483,3130.4941,3144.0276,3135.5464,3140.4702,3137.5693,3120.8523,3135.6184,3126.5747,3098.3389,3154.9045,3129.4365,3131.632
2019-07-14,3120.0261,3132.3972,3098.022,3128.0405,3118.0715,3129.445,3140.828,3120.9028,3131.5664,3118.1938,3124.546,3121.1206,3129.7627,3134.6194,3110.2727,3143.8857,3127.9514,3098.7705,3131.104,3123.997,3136.687,3129.7156,3132.7327,3131.6875,3113.337,3129.484,3119.7527,3091.2603,3148.2937,3122.616,3124.6365
2019-07-15,3118.8918,3131.8977,3096.4172,3127.0676,3116.2322,3128.1433,3139.627,3118.763,3130.7117,3117.3384,3123.2703,3119.6936,3128.567,3133.3936,3109.5771,3142.7446,3126.6208,3097.3767,3130.2573,3123.0146,3134.9854,3128.988,3131.1458,3131.3599,3112.1235,3128.4546,3119.231,3090.13,3147.6272,3122.0154,3123.5225
2019-07-16,3120.1963,3132.79,3097.461,3128.2239,3115.968,3129.1318,3141.2654,3119.325,3132.0125,3118.7275,3124.2183,3120.624,3129.576,3134.0874,3110.9824,3143.4658,3127.545,3097.382,3131.237,3123.5168,3136.5066,3130.352,3132.0818,3133.601,3112.6,3129.4922,3120.2703,3091.2195,3148.872,3123.07,3124.5269
2019-07-17,3130.7246,3143.2993,3107.5942,3138.3945,3127.172,3139.4146,3151.1606,3129.8838,3142.1602,3128.3408,3134.2393,3131.4338,3139.9485,3144.0203,3120.4548,3153.791,3137.957,3107.229,3141.1875,3133.2039,3146.5547,3140.3118,3142.7905,3142.9214,3123.0781,3139.4292,3130.709,3100.8582,3158.872,3133.2656,3134.68
2019-07-18,3134.2493,3146.8667,3111.0566,3141.24,3130.3887,3142.899,3154.4568,3133.1633,3144.632,3131.4543,3137.531,3134.9844,3143.5752,3146.9248,3123.72,3157.096,3141.1765,3110.3804,3144.8042,3136.2056,3149.931,3143.755,3146.2856,3146.4282,3126.1833,3142.469,3133.7634,3103.8994,3162.2712,3136.7344,3137.951
2019-07-19,3135.5708,3147.5115,3112.4968,3142.1646,3131.729,3144.4702,3156.3813,3135.3623,3145.824,3132.0464,3139.3762,3136.6482,3144.0503,3148.2434,3124.4685,3158.5671,3142.8298,3112.5168,3146.5728,3137.1013,3151.5513,3143.641,3147.924,3147.4219,3127.859,3142.6873,3134.9578,3105.8381,3163.48,3137.9866,3139.2427
2019-07-20,3134.5596,3145.7588,3112.61,3141.0835,3131.027,3143.875,3155.708,3136.8577,3144.6772,3130.5686,3138.8108,3136.1672,3143.0515,3147.7039,3122.7498,3157.5317,3142.3594,3112.233,3145.0337,3135.9897,3150.6763,3141.7998,3147.8318,3145.0823,3127.0864,3141.6296,3132.7659,3105.2292,3161.6433,3135.876,3138.2656
2019-07-21,3131.003,3141.976,3109.8013,3137.9924,3132.0115,3141.0503,3151.3423,3135.3254,3141.1907,3127.1497,3136.0005,3133.4731,3140.397,3145.6606,3119.0676,3155.3262,3139.705,3111.5903,3141.9995,3134.3987,3148.124,3138.3438,3145.1973,3139.2004,3125.4092,3138.9917,3129.678,3102.0806,3157.9172,3132.723,3135.471
2019-07-22,3112.2827,3124.8523,3090.7185,3120.7595,3111.2178,3122.1016,3133.1956,3113.7812,3124.3135,3110.9507,3117.3462,3113.5288,3122.235,3127.8386,3103.0737,3136.703,3120.64,3092.5662,3123.9534,3117.438,3129.033,3122.1487,3125.2058,3123.904,3106.3918,3122.312,3112.3757,3084.371,3140.9053,3115.2651,3117.3801
2019-07-23,3107.741,3120.469,3085.8064,3116.6016,3105.0044,3117.269,3128.9536,3107.7168,3120.351,3107.237,3112.5833,3108.3652,3117.712,3123.1758,3099.458,3131.8625,3115.7341,3087.1108,3119.4575,3112.9827,3124.399,3118.4983,3119.9915,3121.0132,3101.2788,3118.2583,3108.2397,3079.9438,3136.8523,3111.0654,3112.838
2019-07-24,3114.8254,3127.7002,3092.055,3123.7268,3111.1472,3123.7307,3135.61,3113.4526,3127.6743,3114.1694,3118.8801,3115.1094,3124.6357,3129.4617,3106.2974,3138.3887,3122.2642,3092.445,3125.8708,3119.2173,3130.8765,3125.8757,3126.5796,3128.403,3107.715,3125.2222,3115.6423,3086.134,3143.861,3118.083,3119.5017
2019-07-25,3124.9878,3138.137,3101.5354,3133.0764,3120.2673,3133.4324,3145.173,3122.2874,3136.6897,3123.694,3128.1418,3125.0464,3134.8416,3138.2822,3115.93,3147.9333,3131.7625,3100.7761,3135.6094,3128.0872,3140.4062,3136.0513,3136.3215,3138.7224,3116.8638,3134.7163,3125.48,3094.948,3153.8464,3128.1328,3129.0396
2019-07-26,3135.0188,3147.7515,3110.934,3142.0476,3129.336,3143.2744,3155.3381,3132.043,3145.7815,3132.3933,3137.947,3135.2292,3143.8484,3147.149,3124.9111,3157.5266,3141.507,3110.1157,3145.8118,3136.5232,3150.2524,3144.7273,3146.2847,3148.6692,3126.4453,3142.9092,3135.2405,3104.5964,3163.6226,3138.0637,3138.5098
2019-07-27,3146.635,3158.313,3122.64,3152.9714,3139.7927,3154.732,3167.308,3144.898,3156.9126,3142.5393,3149.227,3147.2144,3154.6782,3157.8425,3134.861,3168.3918,3153.2092,3120.4314,3156.3042,3146.1924,3161.2148,3154.7397,3158.4397,3159.114,3137.4014,3153.2156,3145.6213,3115.631,3174.053,3148.2952,3149.4272
2019-07-28,3158.7356,3169.7146,3135.2317,3164.2817,3155.3914,3167.269,3178.1501,3159.3264,3167.4973,3153.1052,3161.3386,3160.5244,3167.383,3169.9548,3145.244,3180.9812,3165.6643,3133.8767,3168.087,3158.2266,3173.5183,3165.853,3171.7844,3167.683,3150.4995,3164.809,3157.0015,3126.768,3184.9119,3159.8508,3161.422
2019-07-29,3152.9395,3164.5874,3128.8503,3158.9553,3149.2827,3161.2993,3172.387,3151.801,3162.3992,3148.25,3155.5342,3154.193,3161.5403,3164.3423,3140.4978,3175.341,3159.6475,3128.054,3162.9363,3153.087,3167.919,3160.8801,3165.2378,3163.442,3144.724,3159.449,3152.2876,3121.3352,3180.0618,3155.0273,3155.8765
2019-07-30,3151.2832,3162.9854,3127.0376,3157.262,3144.862,3159.3,3171.4302,3149.278,3160.9417,3146.875,3153.586,3151.973,3159.5183,3162.1077,3139.2002,3172.9463,3157.5576,3124.8586,3160.9194,3150.595,3165.7278,3159.4226,3163.0989,3163.3228,3141.9783,3157.6504,3150.219,3119.707,3178.5483,3153.0146,3153.9067
2019-07-31,3154.0342,3164.697,3131.213,3158.8228,3150.7139,3163.0618,3174.322,3155.9258,3161.8555,3147.9683,3157.5417,3156.162,3162.211,3165.4058,3140.4438,3176.6467,3161.1016,3130.7388,3164.4072,3153.5542,3169.549,3159.9932,3167.4956,3163.073,3146.0745,3159.1272,3151.6267,3123.047,3180.3208,3155.1763,3156.8767
2019-08-01,3139.783,3150.0234,3118.421,3145.2437,3138.553,3149.7595,3160.784,3144.6138,3147.9414,3134.3064,3144.697,3142.4875,3147.6377,3153.2522,3126.5706,3163.2834,3148.349,3119.6719,3150.8406,3141.0693,3156.6172,3144.8171,3154.1584,3148.0317,3133.526,3145.4272,3137.56,3110.9202,3166.199,3140.8555,3143.5132
2019-08-02,3122.9607,3133.0422,3102.9175,3130.3577,3124.1848,3133.5093,3143.8853,3129.2515,3132.9155,3119.465,3128.517,3125.7246,3131.5518,3138.6128,3111.1597,3147.3887,3132.2983,3104.6929,3133.7688,3126.962,3139.9036,3129.957,3137.8599,3130.664,3117.7751,3131.456,3120.8616,3094.8298,3149.5476,3123.942,3127.665
2019-08-03,3090.5906,3101.275,3071.4158,3097.7354,3095.9766,3102.8752,3111.856,3098.7458,3100.9094,3088.958,3098.978,3093.9795,3101.2417,3109.4468,3081.1453,3117.6025,3100.268,3077.2542,3104.3518,3099.4854,3108.3567,3098.855,3106.2434,3097.8943,3088.1807,3100.9792,3089.241,3065.38,3118.9888,3093.7573,3097.0657
2019-08-04,3041.2102,3051.5188,3022.3992,3048.093,3044.998,3055.1726,3065.2964,3051.688,3051.4392,3043.3064,3051.899,3044.2278,3051.3718,3062.1375,3035.524,3068.5266,3051.6177,3031.2568,3057.3525,3054.21,3061.505,3049.5881,3057.1072,3053.151,3040.6782,3052.501,3041.043,3019.259,3071.479,3045.6858,3049.1748
