,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,5182.838,5144.766,5184.399,5101.5127,5195.44,5201.3135,5195.849,5229.9697,5164.9854,5187.6445,5200.1357,5033.253,5142.6836,5177.749,4952.3706,4641.0234,5183.641,5210.904,5168.049,5153.1934,5196.349,5165.3115,5136.915,5139.6587,5155.1865,5249.1167,5178.5566,5227.5,5295.999,5201.056,5153.2456
798,5163.1333,5116.937,5196.2627,5097.728,5192.0073,5186.103,5153.9976,5207.579,5153.963,5171.195,5188.5996,5012.738,5164.4766,5175.3486,4980.627,4635.8135,5168.7983,5202.9907,5161.058,5143.2886,5173.7734,5137.366,5119.1743,5122.557,5133.5396,5226.9453,5180.9756,5198.359,5272.4385,5204.85,5141.4204
799,5170.64,5123.537,5204.6465,5101.1562,5199.569,5193.838,5160.9326,5215.089,5161.591,5179.022,5196.5083,5016.828,5173.0464,5181.791,4979.075,4637.995,5175.786,5203.1753,5168.9775,5150.9795,5181.345,5144.417,5125.7783,5129.26,5139.9653,5234.3833,5189.371,5205.7905,5273.932,5213.334,5147.726
800,5170.034,5127.7046,5188.807,5098.5547,5191.609,5190.9326,5170.9565,5215.68,5156.9443,5176.557,5191.7393,5020.879,5152.5293,5174.7744,4968.3765,4637.5967,5173.6543,5206.4956,5162.162,5145.755,5181.9414,5148.0713,5125.4253,5128.497,5141.584,5234.9727,5177.745,5209.5015,5282.6187,5200.9824,5145.103
801,5155.5503,5114.8613,5172.9756,5091.9854,5177.186,5176.06,5157.331,5201.1626,5142.3174,5161.4956,5176.5723,5012.885,5136.445,5162.4917,4971.604,4633.389,5160.206,5206.068,5147.0225,5131.019,5167.3022,5134.3696,5112.6772,5115.57,5129.136,5220.5938,5161.7944,5195.064,5279.5425,5184.878,5132.9854
802,5156.5815,5106.923,5202.6724,5096.83,5192.063,5181.419,5138.365,5199.941,5150.9565,5166.021,5185.4385,5005.1978,5174.944,5175.6084,4991.776,4634.097,5164.1206,5199.8003,5159.7373,5140.743,5166.073,5127.3906,5113.2485,5116.91,5125.9985,5219.3716,5183.561,5187.9717,5263.145,5208.006,5137.83
803,5165.409,5123.8145,5183.0703,5096.3535,5186.6733,5186.081,5167.0815,5211.098,5152.093,5171.665,5186.7104,5018.5234,5146.503,5170.5605,4968.9214,4636.2427,5169.2896,5206.509,5157.05,5140.8423,5177.322,5143.886,5121.3633,5124.3594,5137.7056,5230.4355,5172.16,5205.085,5282.033,5195.316,5141.138
804,5168.1704,5116.8335,5216.513,5102.26,5204.1714,5193.495,5148.444,5211.4624,5162.971,5178.2124,5197.8936,5011.2544,5189.3477,5185.939,4990.0195,4637.4746,5175.0015,5199.8906,5172.3296,5152.889,5177.6924,5138.0264,5123.4346,5127.2705,5135.7915,5230.7866,5197.1704,5199.189,5264.938,5221.7944,5147.689
805,5184.005,5138.3003,5209.863,5105.7656,5208.323,5206.15,5180.06,5229.2285,5172.59,5191.7866,5207.946,5026.9136,5175.607,5189.101,4969.3765,4641.739,5187.2236,5205.635,5179.1216,5161.727,5195.5986,5159.6753,5137.6523,5141.051,5152.777,5248.3853,5197.305,5221.7856,5282.2236,5220.9688,5157.5957
806,5189.0737,5138.636,5228.817,5110.105,5219.872,5213.3745,5175.463,5233.2495,5181.275,5198.6797,5216.909,5025.8325,5198.7734,5199.1475,4977.8013,4643.3984,5193.318,5202.8364,5189.885,5170.9575,5199.6533,5160.7344,5141.9546,5145.772,5155.2437,5252.363,5212.572,5223.026,5275.514,5236.9272,5163.7056
