,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,4905.143,5211.0347,5197.643,5236.0386,5185.772,5193.4185,5184.112,5169.986,5056.537,5211.5273,5217.763,5156.082,5170.4136,5196.731,5254.549,5202.2373,5082.3037,5130.8057,5236.4097,5164.9443,5199.403,4742.9946,5160.4526,5222.0596,5160.796,5175.733,5201.013,5210.2144,5182.0747,5257.786,5162.5327
798,4911.4556,5215.8516,5201.6694,5232.6924,5178.113,5189.27,5166.9766,5163.398,5043.048,5183.6245,5184.2217,5147.9907,5157.6685,5181.336,5229.0557,5192.621,5071.1924,5122.1772,5197.299,5171.111,5186.328,4748.815,5160.745,5228.3584,5159.1895,5157.4927,5163.834,5218.8613,5170.971,5204.3896,5151.325
799,4911.645,5224.6445,5210.289,5240.9272,5185.915,5197.5605,5174.371,5171.2466,5043.4834,5190.3867,5191.544,5155.461,5165.3916,5189.062,5236.822,5200.7397,5074.0107,5124.405,5204.4126,5177.26,5194.3145,4750.723,5168.8477,5236.543,5167.267,5164.7715,5171.1113,5227.343,5178.456,5211.1626,5158.0034
800,4908.5815,5211.446,5197.6616,5232.0845,5179.545,5189.0073,5172.7573,5164.3394,5048.978,5194.389,5197.3613,5149.702,5161.399,5186.2505,5238.4795,5194.8486,5075.4526,5125.479,5212.9854,5166.7812,5190.1377,4745.731,5158.543,5223.446,5157.8433,5163.794,5178.615,5212.822,5174.0273,5226.558,5154.6353
801,4908.271,5194.7627,5181.2993,5216.3804,5164.6206,5173.189,5158.5103,5149.3354,5048.009,5181.2344,5183.0854,5135.404,5146.5713,5171.39,5223.4414,5179.3013,5069.962,5121.1553,5199.05,5155.129,5174.8086,4742.1562,5143.129,5207.93,5142.4585,5149.757,5164.3887,5196.7715,5159.6714,5213.123,5141.81
802,4914.049,5219.485,5204.948,5232.907,5176.5015,5189.171,5161.4404,5162.2285,5037.658,5173.6,5172.0312,5146.14,5153.977,5176.574,5220.212,5190.275,5067.2134,5119.0894,5182.811,5174.7754,5182.557,4751.517,5162.4097,5232.473,5160.0815,5151.4946,5150.1587,5223.9844,5167.901,5184.047,5148.057
803,4908.348,5205.5576,5191.901,5226.7026,5174.5215,5183.602,5168.1626,5159.2666,5048.9175,5190.3936,5193.0903,5144.905,5156.513,5181.4077,5233.781,5189.649,5073.7764,5124.1553,5208.946,5162.6133,5185.0835,4744.372,5153.1875,5217.933,5152.5366,5159.2944,5174.436,5207.0747,5169.2715,5222.984,5150.4126
804,4914.522,5233.798,5218.961,5246.106,5188.8867,5202.437,5172.9165,5174.7173,5038.0034,5183.773,5182.9556,5157.977,5166.0996,5188.6323,5232.0664,5203.119,5071.4624,5122.4565,5193.251,5184.853,5195.0957,4754.748,5175.489,5245.844,5173.0713,5162.755,5160.914,5237.8984,5179.6816,5193.5576,5158.5356
805,4910.022,5232.2993,5217.9937,5250.3496,5196.1294,5207.2715,5186.8857,5181.201,5047.7974,5205.3354,5208.6875,5165.459,5176.984,5201.4146,5252.114,5211.842,5080.09,5129.1685,5222.939,5181.81,5206.271,4751.021,5177.093,5243.148,5176.0283,5177.482,5189.252,5233.582,5189.3325,5233.437,5168.081
806,4912.804,5249.1826,5234.272,5263.0786,5206.4297,5219.781,5192.768,5191.9995,5043.2373,5205.911,5208.015,5175.0225,5185.151,5208.547,5255.3564,5221.914,5080.5054,5129.573,5219.7246,5194.691,5214.7617,4756.5425,5191.025,5259.57,5189.1733,5182.739,5187.073,5251.44,5197.738,5224.0337,5175.069
807,4911.526,5258.3154,5243.388,5273.4575,5217.309,5230.414,5205.378,5202.682,5046.875,5220.276,5224.359,5185.617,5197.1216,5221.1304,5270.3433,5233.6206,5086.35,5134.1704,5237.1216,5200.413,5227.1187,4757.414,5200.4106,5267.642,5198.967,5195.4707,5204.2095,5259.3223,5209.05,5244.3584,5185.461
808,4912.817,5276.75,5261.355,5289.517,5231.839,5246.466,5217.629,5217.465,5045.6626,5229.5864,5233.9565,5199.4126,5210.7075,5234.3096,5282.0684,5248.4897,5090.251,5137.318,5245.4453,5213.686,5241.193,4762.129,5216.7695,5285.0654,5214.981,5207.325,5213.1553,5277.7256,5222.411,5249.802,5197.1763
809,4904.876,5237.965,5224.1353,5262.2744,5211.2217,5219.9395,5209.5156,5195.4395,5059.6416,5236.326,5245.0923,5180.5527,5196.2764,5222.9385,5282.215,5228.9365,5092.5405,5138.871,5263.8115,5183.398,5226.1396,4748.1997,5185.8125,5246.881,5186.3154,5200.928,5228.669,5235.668,5206.9785,5285.991,5184.9185
810,4915.1387,5269.985,5254.4487,5280.1196,5221.1816,5236.695,5203.671,5207.1816,5039.982,5212.0703,5213.6675,5188.909,5198.1426,5220.7197,5264.4863,5236.7534,5083.177,5131.7705,5223.186,5210.058,5228.237,4762.5146,5208.9087,5279.4854,5206.413,5193.052,5191.493,5272.7563,5210.7188,5222.2993,5186.2407
811,4915.3467,5309.307,5293.0522,5317.508,5256.9375,5274.405,5238.258,5243.055,5042.856,5244.523,5249.129,5223.199,5233.896,5256.65,5301.3677,5274.086,5096.486,5142.4077,5258.1084,5237.213,5265.229,4770.6655,5245.47,5315.91,5242.9844,5227.21,5227.004,5310.4243,5245.289,5256.704,5217.156
812,4911.0234,5318.8267,5302.8833,5331.963,5273.824,5289.5273,5261.2524,5259.2456,5052.9985,5274.136,5283.647,5239.9175,5254.2627,5278.8623,5330.8306,5292.8325,5108.376,5151.7227,5296.267,5241.846,5286.234,4769.3413,5257.198,5323.4565,5255.9917,5250.8276,5264.02,5316.7793,5264.153,5304.49,5234.8906
813,4909.3623,5314.683,5298.9985,5330.0723,5273.177,5287.824,5263.15,5258.3115,5056.2817,5278.97,5289.741,5239.494,5254.935,5280.204,5334.729,5292.5776,5110.2725,5153.1567,5303.8477,5238.255,5286.9023,4767.2285,5254.432,5319.1396,5253.712,5253.0474,5271.052,5311.7593,5264.4873,5315.8213,5235.5215
814,4913.113,5337.852,5321.3335,5347.499,5287.2437,5304.9478,5271.091,5273.0586,5049.9136,5279.552,5288.586,5252.544,5266.036,5289.8594,5338.998,5306.3223,5110.6562,5153.671,5299.1704,5255.8545,5298.459,4774.824,5273.542,5341.661,5271.731,5260.1226,5267.808,5336.3125,5275.9326,5302.547,5245.0083
815,4912.291,5358.4224,5341.623,5368.0684,5307.505,5325.8066,5291.941,5293.236,5053.166,5300.5913,5312.0493,5272.0786,5286.9463,5311.1836,5362.178,5327.6914,5119.148,5160.4688,5323.066,5269.6284,5320.099,4778.437,5293.2275,5360.45,5291.6504,5280.899,5291.76,5355.5024,5296.001,5328.0186,5263.1045
816,4912.212,5380.175,5362.987,5388.794,5327.371,5346.7305,5311.217,5313.1484,5054.805,5318.7065,5331.9507,5291.143,5306.837,5331.166,5382.8022,5348.4517,5126.447,5166.374,5342.713,5284.536,5340.7046,4782.874,5313.5044,5380.55,5311.929,5299.9634,5311.7065,5376.322,5315.236,5347.4824,5280.295
817,4910.3755,5390.2017,5373.0327,5400.531,5339.8657,5358.8013,5326.0264,5325.3677,5059.378,5335.855,5351.648,5303.347,5320.7515,5345.8457,5400.6387,5361.9575,5133.2954,5171.798,5363.823,5290.6104,5355.0923,4783.5654,5324.0205,5389.292,5322.9585,5314.9805,5332.4277,5384.7944,5328.3564,5372.4697,5292.37
818,4914.739,5434.9214,5416.4424,5437.448,5372.023,5395.5024,5350.2144,5358.376,5052.7476,5350.119,5365.1665,5333.6504,5349.274,5372.646,5421.3535,5394.3945,5139.046,5176.861,5372.832,5323.211,5384.741,4796.167,5362.687,5431.9365,5360.2876,5337.9595,5343.4155,5430.547,5356.821,5370.777,5316.877
819,4912.118,5467.887,5449.078,5471.622,5406.383,5430.3057,5386.9644,5392.4116,5060.0293,5388.6978,5408.755,5366.9067,5385.4507,5409.843,5463.2305,5430.8833,5154.34,5189.1943,5417.9897,5344.661,5422.2227,4801.1265,5394.9424,5461.683,5393.1733,5374.8,5388.337,5460.688,5391.394,5420.7056,5348.1943
820,4908.974,5480.3257,5461.6255,5487.0576,5423.255,5446.274,5407.765,5408.811,5067.232,5413.527,5437.547,5383.4634,5404.655,5430.2656,5488.7964,5449.263,5164.145,5196.9673,5449.1714,5351.8066,5442.0996,4801.387,5408.4883,5472.2812,5407.5435,5396.009,5418.8,5470.736,5409.4243,5458.3413,5364.868
821,4909.1562,5495.2397,5476.236,5500.803,5436.182,5460.1157,5419.738,5421.8193,5067.513,5424.0566,5449.01,5395.8296,5417.2935,5442.79,5501.207,5462.684,5168.28,5200.416,5460.1436,5362.1025,5455.225,4804.6797,5422.171,5486.138,5421.1064,5407.789,5430.0757,5485.2603,5421.7266,5468.36,5375.7715
822,4910.0464,5520.626,5501.0396,5523.4673,5457.0635,5482.863,5438.118,5442.936,5066.696,5439.0107,5464.971,5415.7275,5437.2056,5462.2607,5519.5225,5484.204,5174.1113,5205.3804,5474.752,5379.8706,5475.922,4810.7393,5445.0728,5509.897,5443.633,5425.7393,5445.3804,5510.372,5441.234,5480.002,5392.928
823,4909.1196,5544.521,5524.5747,5546.8403,5479.861,5506.5547,5460.9946,5465.6704,5069.501,5461.3354,5489.9277,5437.6826,5460.4126,5485.7163,5544.6177,5508.1704,5182.816,5212.553,5499.8823,5395.8154,5500.0186,4815.1416,5467.741,5531.7495,5466.415,5448.515,5470.656,5532.9463,5463.604,5506.0845,5412.982
824,4905.665,5544.9478,5525.369,5551.314,5486.5146,5511.5063,5472.49,5471.7646,5076.676,5478.151,5510.1235,5444.488,5469.707,5496.347,5560.6846,5515.9727,5189.431,5217.644,5522.9575,5394.6,5509.6196,4812.6343,5470.3423,5531.1396,5469.9507,5460.6147,5492.72,5531.222,5471.973,5536.6294,5421.1064
825,4903.296,5524.192,5505.2734,5534.79,5472.525,5495.1406,5462.9287,5457.3096,5080.87,5474.0396,5506.8066,5431.378,5457.809,5485.482,5553.4097,5502.0117,5187.8906,5216.042,5522.162,5379.354,5497.214,4806.403,5452.689,5511.2334,5453.076,5451.7026,5490.861,5509.6367,5459.953,5541.9287,5410.9136
826,4906.792,5526.526,5507.18,5532.8286,5468.2153,5492.7183,5453.571,5453.579,5073.6934,5459.0474,5488.589,5426.8154,5450.7886,5477.0864,5539.5244,5496.64,5181.987,5211.5537,5500.9546,5382.487,5489.9766,4809.549,5452.6094,5514.412,5452.0264,5441.697,5470.726,5514.067,5453.803,5513.025,5404.749
827,4907.5063,5536.904,5517.2812,5541.655,5476.078,5501.5303,5459.889,5461.598,5072.585,5463.383,5492.9873,5434.2607,5457.97,5483.939,5545.3296,5504.6445,5183.6553,5213.0435,5504.4907,5389.902,5497.4517,4812.3013,5461.7397,5524.229,5460.8994,5447.7764,5474.655,5524.565,5460.9194,5514.5454,5410.9243
828,4906.2354,5539.506,5519.9707,5545.5776,5480.6836,5505.649,5466.147,5466.006,5075.31,5471.391,5502.4165,5438.8306,5463.514,5489.9634,5553.3696,5509.76,5186.796,5215.509,5514.916,5391.126,5503.192,4811.9004,5464.954,5526.2676,5464.4434,5454.23,5484.751,5526.2993,5466.063,5527.6064,5415.7456
829,4905.7476,5538.0874,5518.6333,5544.8335,5480.3203,5504.96,5466.5454,5465.5576,5076.273,5472.6685,5504.064,5438.543,5463.544,5490.19,5554.3545,5509.5054,5187.304,5215.87,5517.0093,5389.942,5503.215,4811.229,5463.956,5524.812,5463.587,5454.7305,5486.675,5524.6226,5465.998,5530.8237,5415.787
830,4904.598,5526.5728,5507.4663,5535.468,5472.253,5495.659,5460.699,5457.26,5078.2515,5469.5845,5501.2583,5430.9565,5456.509,5483.6616,5549.5547,5501.4,5186.133,5214.7393,5515.462,5381.557,5495.884,4807.9,5454.0557,5513.817,5454.0723,5449.214,5484.587,5512.7515,5458.9404,5532.294,5409.752
831,4908.172,5541.494,5521.71,5545.142,5478.915,5504.9624,5461.5444,5464.559,5071.363,5463.6147,5492.906,5436.895,5460.2344,5485.922,5546.2944,5507.4272,5183.7275,5213.192,5503.733,5393.332,5499.817,4813.783,5465.5522,5528.672,5464.5024,5449.2646,5474.174,5529.4253,5463.2485,5512.131,5412.857
832,4910.058,5577.564,5556.873,5576.457,5507.23,5536.3027,5485.242,5493.3184,5068.6113,5481.252,5511.302,5463.78,5486.5874,5511.336,5568.9307,5536.4097,5190.475,5219.146,5519.5835,5418.813,5527.249,4822.9253,5497.6387,5562.619,5495.841,5472.2354,5491.225,5565.587,5489.2354,5522.1387,5435.532
833,4905.4233,5584.947,5564.6157,5588.737,5522.078,5549.2793,5506.162,5507.445,5078.3633,5508.6353,5543.7036,5478.583,5504.85,5531.3228,5596.2046,5553.0312,5201.1914,5227.5347,5555.637,5421.8477,5546.16,4821.0435,5507.3984,5568.1094,5506.788,5493.891,5526.047,5569.904,5506.107,5567.8076,5451.4287
834,4904.1665,5581.527,5561.3994,5587.036,5521.352,5547.7256,5507.389,5506.501,5080.8564,5512.1055,5548.154,5478.0454,5505.1343,5532.114,5598.956,5552.5947,5202.5737,5228.5166,5561.231,5418.9624,5546.4346,4819.36,5505.0435,5564.5757,5504.796,5495.3813,5531.207,5565.805,5506.141,5576.294,5451.713
835,4906.161,5593.539,5572.959,5595.834,5528.2666,5556.3423,5510.8184,5513.7866,5077.0684,5511.3677,5546.3257,5484.4165,5510.335,5536.4614,5600.2046,5559.2793,5202.206,5228.51,5557.397,5428.0405,5551.8794,4823.4517,5514.85,5576.2812,5513.9766,5498.3213,5528.1826,5578.7104,5511.587,5567.5103,5456.1357
836,4906.0547,5609.02,5588.147,5610.2856,5541.9854,5570.929,5523.766,5527.551,5077.6553,5523.031,5559.178,5497.5674,5523.867,5549.9116,5613.8384,5573.5703,5206.6694,5232.294,5569.881,5438.5713,5565.9595,4826.718,5529.1836,5590.589,5528.2144,5511.115,5540.9214,5593.7036,5524.7397,5579.3555,5467.8096
837,4908.346,5649.011,5627.097,5644.555,5572.6953,5605.1875,5548.807,5558.797,5073.7607,5540.721,5577.406,5526.6777,5552.0933,5576.917,5637.221,5604.9043,5213.2515,5238.329,5584.9717,5466.8594,5595.389,4837.1064,5564.554,5628.3,5562.638,5535.3013,5557.445,5634.065,5552.6772,5587.1284,5492.0728
838,4905.187,5675.7544,5653.6475,5672.8145,5601.504,5634.0874,5580.2314,5587.213,5080.5493,5574.2217,5615.7915,5554.6567,5582.72,5608.447,5673.5605,5635.633,5226.0894,5248.8584,5625.0815,5483.743,5627.237,4840.594,5591.1465,5652.162,5589.797,5566.9873,5597.1426,5658.2363,5581.92,5632.243,5518.5757
839,4902.9,5690.2007,5668.05,5688.6997,5618.0396,5650.4,5598.929,5603.445,5085.31,5594.851,5639.62,5570.778,5600.644,5627.053,5695.6313,5653.3823,5233.985,5255.286,5650.2935,5492.6104,5645.878,4842.0547,5605.8613,5664.8843,5604.9517,5585.936,5621.9624,5670.9585,5598.959,5661.3286,5534.0957
840,4902.1763,5702.4204,5680.101,5700.731,5629.8486,5662.6226,5610.88,5615.193,5086.8564,5606.5884,5652.8784,5582.173,5612.7095,5639.2373,5708.85,5665.8257,5238.4204,5259.0137,5663.7163,5500.6294,5658.4453,4844.199,5617.5405,5675.9985,5616.6846,5597.8804,5635.4146,5682.4683,5610.592,5675.42,5544.5176
841,4902.652,5723.2896,5700.496,5719.297,5646.9443,5681.2773,5625.8335,5632.46,5085.9966,5618.574,5665.779,5598.47,5628.9453,5655.0312,5723.727,5683.4463,5242.827,5262.981,5675.4746,5515.0557,5675.3896,4849.1553,5636.405,5695.48,5635.1943,5612.5093,5647.734,5703.188,5626.535,5684.6294,5558.492
842,4900.856,5736.4517,5713.5835,5733.3643,5661.395,5695.693,5641.7725,5646.6836,5089.615,5635.7305,5685.5513,5612.531,5644.3955,5670.959,5742.3013,5698.8955,5249.332,5268.3296,5696.2266,5523.253,5691.4785,4850.7256,5649.6064,5707.1597,5648.696,5628.628,5668.2217,5714.994,5641.276,5708.1772,5571.8623
843,4899.313,5740.0537,5717.278,5738.398,5667.195,5700.9683,5649.4053,5652.253,5092.6973,5645.2495,5696.8145,5618.281,5651.2427,5678.3174,5752.0063,5705.3027,5252.987,5271.2197,5708.6123,5525.044,5698.597,4850.3696,5653.8735,5710.0503,5653.3086,5636.506,5680.223,5717.5894,5647.6646,5723.544,5577.8125
844,4902.1587,5770.618,5746.9097,5763.063,5688.305,5725.4575,5664.3306,5673.9624,5086.9497,5652.4966,5703.2476,5638.104,5669.433,5695.0312,5763.9556,5726.475,5255.35,5273.972,5711.5566,5547.071,5717.6436,4859.2793,5680.1284,5739.2163,5678.4746,5650.5527,5684.6445,5749.305,5666.0,5718.028,5593.3906
845,4894.6987,5746.9272,5724.5063,5749.869,5681.179,5713.135,5669.135,5665.531,5101.88,5671.0293,5727.5723,5632.2637,5668.4473,5697.098,5777.8403,5720.975,5262.9053,5278.9663,5742.8633,5527.739,5716.4805,4848.4224,5663.0474,5715.0786,5663.556,5657.029,5713.241,5721.528,5663.579,5766.988,5592.7837
846,4899.5283,5753.891,5730.809,5750.779,5678.643,5713.42,5659.519,5663.802,5092.244,5653.48,5705.7305,5629.206,5662.1655,5688.962,5762.1562,5717.123,5255.9893,5273.9297,5716.8257,5534.562,5710.0044,4853.601,5666.43,5722.9424,5665.641,5646.421,5688.7847,5731.2935,5658.3813,5730.2017,5587.216
847,4897.176,5744.5566,5721.918,5744.9185,5674.8027,5707.8203,5659.58,5659.5405,5096.9546,5658.081,5712.0356,5625.8394,5660.31,5688.096,5765.0386,5713.736,5257.9116,5275.1016,5725.403,5527.193,5708.026,4849.7637,5659.3345,5713.6025,5659.251,5647.0303,5696.47,5720.707,5656.108,5744.492,5585.694
