,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,5206.5254,5178.0024,5176.185,5210.88,5157.255,5228.4746,5175.8516,5217.7236,5189.0107,5227.3774,5251.677,5177.3477,5178.937,5177.689,5215.2485,5218.245,5181.788,5194.018,5185.077,5249.166,5182.179,5207.0464,5192.942,5076.056,5196.1846,5255.6562,5122.5957,5250.3,5188.5713,5239.234,5196.908
798,5202.054,5177.9253,5170.5435,5203.5703,5155.0474,5223.547,5177.3623,5216.02,5188.4097,5233.0396,5247.9644,5170.56,5175.303,5173.8013,5210.115,5217.143,5191.8926,5189.648,5181.968,5244.269,5172.7305,5200.5884,5190.077,5070.9595,5188.1,5256.6226,5115.974,5249.4443,5190.1025,5239.527,5194.1436
799,5210.3364,5186.2485,5177.76,5211.5513,5163.337,5231.873,5185.2183,5224.137,5196.602,5242.042,5256.5596,5178.7026,5183.607,5182.4424,5218.548,5224.251,5200.163,5197.4644,5187.624,5252.595,5180.8306,5209.113,5198.567,5076.072,5196.003,5265.3384,5122.179,5257.8843,5198.329,5248.087,5202.1157
800,5201.936,5175.829,5171.221,5204.8,5153.9136,5223.621,5174.675,5214.7046,5186.582,5228.201,5247.426,5171.514,5174.8037,5173.3296,5210.254,5215.8164,5185.2534,5189.6025,5181.912,5244.3296,5174.8867,5201.297,5189.1865,5071.932,5189.6953,5253.959,5117.3496,5247.6665,5187.3115,5237.2046,5193.341
801,5186.128,5159.9897,5157.433,5189.5386,5138.119,5207.724,5159.7417,5199.2427,5170.988,5211.13,5231.032,5155.951,5158.9653,5156.8457,5194.1543,5202.278,5169.62,5174.6807,5171.117,5228.4375,5159.376,5185.0103,5173.004,5062.1494,5174.5693,5237.386,5105.474,5231.597,5171.672,5220.9194,5178.142
802,5201.828,5179.487,5169.639,5202.1357,5155.7397,5223.1436,5179.4775,5216.884,5189.734,5237.0557,5248.105,5169.3687,5175.42,5173.881,5209.6494,5218.0566,5197.5693,5189.374,5181.7905,5243.879,5170.4517,5199.6035,5190.5415,5069.8726,5186.337,5258.6826,5114.4785,5250.713,5192.2974,5241.2837,5194.5493
803,5196.541,5170.3335,5166.5513,5199.6523,5148.477,5218.204,5169.4614,5209.373,5181.1816,5222.1606,5241.812,5166.251,5169.381,5167.688,5204.7715,5211.1406,5179.6216,5184.5137,5178.2285,5238.914,5169.6963,5195.776,5183.6284,5068.6406,5184.612,5248.1875,5113.363,5242.107,5181.8525,5231.547,5188.1226
804,5215.0713,5192.914,5181.1323,5214.8174,5169.0557,5236.4463,5192.194,5229.935,5202.936,5251.7305,5261.875,5182.326,5188.721,5187.719,5223.1187,5229.495,5211.18,5201.8687,5190.834,5257.182,5183.27,5213.1865,5204.163,5077.986,5198.874,5272.7695,5124.3145,5264.3076,5205.61,5255.1025,5207.338
805,5220.1304,5194.8247,5186.795,5221.847,5172.49,5241.8447,5192.861,5232.9688,5205.195,5249.671,5266.458,5189.018,5193.1826,5192.438,5228.6855,5231.8726,5205.766,5206.7495,5194.3296,5262.556,5191.8643,5219.726,5208.114,5082.7876,5206.44,5274.019,5130.4556,5266.8047,5206.345,5256.802,5211.1016
806,5232.5,5208.991,5196.891,5232.589,5185.7646,5254.1104,5206.855,5246.145,5218.9336,5267.2476,5279.6616,5200.2437,5205.9194,5205.65,5241.0527,5243.562,5223.836,5218.3623,5202.7573,5274.836,5201.971,5231.7334,5221.471,5089.506,5216.7407,5289.2646,5138.442,5280.8647,5220.9746,5271.5186,5223.6123
807,5243.198,5218.717,5206.623,5243.5938,5195.9497,5264.9688,5215.6694,5256.0107,5228.632,5276.433,5290.5513,5211.3213,5216.45,5216.6313,5252.08,5252.1084,5231.134,5228.4907,5210.0796,5285.688,5213.615,5243.1797,5232.0425,5096.653,5227.8267,5299.209,5147.22,5290.9087,5230.213,5281.437,5233.5547
808,5259.1826,5235.463,5220.292,5258.534,5212.3066,5280.9727,5231.7236,5272.095,5245.04,5295.43,5307.288,5226.6777,5232.6104,5233.4287,5268.266,5266.247,5249.337,5243.545,5220.9927,5301.7026,5228.4717,5259.356,5248.7007,5106.1597,5242.476,5316.91,5158.6997,5307.7715,5247.0073,5298.7207,5249.1797
809,5233.07,5204.1025,5199.546,5236.8433,5183.5312,5255.2217,5200.285,5243.392,5214.737,5254.8594,5279.105,5203.7603,5205.4404,5205.2817,5242.349,5240.6724,5206.3965,5219.086,5203.2153,5275.9053,5208.801,5234.6123,5219.931,5092.747,5221.9966,5282.8535,5142.912,5276.8706,5214.16,5266.0327,5222.2573
810,5249.2954,5227.248,5210.99,5247.8394,5203.2896,5270.861,5224.583,5263.446,5236.7446,5288.783,5297.3867,5216.019,5223.0273,5223.417,5257.974,5258.827,5245.143,5234.1606,5214.216,5291.602,5216.8213,5248.451,5239.2305,5099.146,5231.5684,5308.7114,5150.0127,5299.1357,5239.514,5290.4136,5240.262
811,5286.985,5264.8237,5243.985,5284.368,5240.885,5308.787,5259.9526,5300.2183,5273.787,5329.026,5336.4546,5253.271,5260.767,5262.6885,5296.3916,5290.981,5281.7563,5269.716,5239.9785,5329.545,5254.0537,5287.405,5277.7744,5122.5723,5267.571,5348.001,5178.503,5337.298,5276.5273,5329.046,5276.4375
812,5302.3306,5277.1235,5258.6094,5301.2695,5254.6562,5324.5312,5270.454,5313.3735,5286.2793,5338.2715,5351.7305,5270.0635,5275.556,5278.148,5312.4233,5302.2217,5286.782,5284.2896,5250.5073,5345.2695,5272.654,5304.525,5292.306,5133.6978,5282.1636,5360.1553,5192.3228,5350.3267,5287.55,5341.4443,5290.034
813,5300.718,5274.3774,5257.646,5300.476,5252.463,5323.022,5267.4595,5311.11,5283.7095,5333.8403,5349.8184,5269.084,5273.722,5276.2666,5310.9277,5300.1436,5281.4663,5282.8076,5249.4185,5343.749,5272.365,5303.334,5290.2134,5133.2974,5281.2866,5357.0137,5191.9443,5347.741,5284.4307,5338.5264,5288.079
814,5317.634,5293.7993,5271.4707,5315.1436,5270.6587,5339.7915,5286.6646,5329.17,5302.5537,5357.988,5367.8975,5284.432,5291.157,5294.344,5327.839,5316.1523,5306.316,5298.671,5260.9565,5360.556,5286.152,5319.7573,5308.5166,5142.4604,5294.724,5377.9336,5202.85,5367.0117,5304.4897,5358.712,5305.1934
815,5338.529,5314.072,5290.0967,5335.776,5291.2295,5360.8794,5305.5522,5349.227,5322.6196,5378.9644,5389.447,5305.406,5311.978,5316.018,5349.211,5333.6333,5324.7603,5318.3877,5275.257,5381.658,5307.447,5341.6055,5329.684,5155.746,5312.9946,5399.009,5219.0723,5387.7046,5324.25,5379.516,5324.9917
816,5359.447,5334.9043,5308.543,5356.067,5312.106,5381.937,5325.164,5369.6357,5343.1777,5401.246,5411.136,5326.116,5332.927,5337.81,5370.5366,5351.465,5344.9966,5338.103,5289.5693,5402.74,5328.15,5363.257,5351.09,5168.7617,5331.034,5420.802,5234.92,5408.8716,5344.7563,5400.945,5345.007
817,5371.615,5345.809,5319.7417,5368.6885,5323.629,5394.3115,5334.9956,5380.774,5354.09,5411.3193,5423.4976,5338.8223,5344.88,5350.2725,5383.0996,5361.0903,5352.772,5349.6113,5297.912,5415.116,5341.5845,5376.362,5363.0728,5176.9746,5342.0713,5431.926,5245.0366,5420.1714,5355.05,5412.0635,5356.2114
818,5408.043,5385.269,5350.6797,5401.894,5361.6367,5430.663,5373.287,5418.256,5392.6577,5457.6787,5461.956,5373.202,5381.9863,5388.788,5419.8325,5394.097,5398.45,5383.8193,5322.816,5451.565,5374.026,5412.7695,5401.607,5197.966,5372.04,5473.962,5270.313,5459.6963,5395.032,5452.92,5392.231
819,5442.9683,5418.5215,5382.1113,5436.81,5395.7417,5465.9883,5404.057,5451.426,5425.6895,5491.236,5497.864,5408.6484,5416.679,5424.9023,5455.6377,5422.9272,5427.1763,5416.758,5346.7554,5486.938,5410.3706,5449.598,5436.788,5220.5107,5402.807,5508.4116,5297.9346,5493.7676,5427.1978,5487.0166,5425.108
820,5459.112,5432.598,5397.141,5453.815,5410.8477,5482.453,5416.604,5465.9775,5439.844,5503.6714,5514.1885,5425.7344,5432.4653,5441.365,5472.353,5435.4595,5436.2007,5432.024,5357.839,5503.41,5428.648,5467.1636,5452.554,5231.616,5417.601,5522.6846,5311.6587,5508.438,5440.3276,5501.3447,5439.838
821,5472.93,5446.626,5409.256,5467.0464,5424.797,5496.3438,5429.913,5479.635,5453.6733,5519.018,5528.586,5439.3003,5446.364,5455.8096,5486.409,5447.4023,5450.4253,5445.0205,5367.307,5517.3364,5442.0405,5481.382,5466.821,5240.0786,5429.3755,5537.4355,5321.954,5522.6484,5454.223,5515.8066,5453.1655
822,5495.6,5470.07,5428.974,5488.4683,5447.9077,5519.0854,5452.3086,5502.3047,5476.738,5545.217,5552.2993,5461.33,5469.2505,5479.5815,5509.4146,5467.257,5475.168,5466.3223,5382.8384,5540.1494,5463.5254,5504.536,5490.3984,5253.735,5448.4937,5562.1885,5338.5347,5546.3223,5477.5957,5540.0117,5475.188
823,5519.324,5493.3696,5450.0913,5511.7124,5471.4683,5543.017,5474.148,5525.2866,5499.8154,5569.701,5576.857,5485.0576,5492.9644,5504.24,5533.647,5487.28,5497.0044,5488.651,5399.112,5564.142,5487.4214,5529.287,5514.6025,5268.6797,5469.0444,5586.5205,5356.801,5570.0684,5500.396,5563.978,5497.7896
824,5524.4946,5496.2314,5455.539,5518.255,5475.4663,5548.4673,5476.0337,5528.9526,5502.6675,5569.7734,5581.7354,5491.4185,5497.7007,5509.2197,5539.208,5490.2876,5494.4907,5493.5938,5402.682,5569.5703,5495.1494,5535.5986,5519.019,5273.1064,5474.51,5588.9917,5362.408,5573.396,5502.393,5566.7456,5501.9033
825,5508.301,5478.2666,5441.9077,5503.7637,5458.324,5532.346,5458.4517,5512.0156,5484.799,5548.165,5564.5317,5476.327,5481.113,5492.022,5522.929,5475.358,5472.821,5478.426,5391.5947,5553.376,5481.1826,5519.555,5501.6953,5263.993,5461.405,5569.7466,5351.4507,5555.467,5484.0645,5548.1006,5485.717
826,5505.652,5477.9824,5438.6665,5499.623,5456.8833,5529.431,5459.02,5510.854,5484.705,5550.937,5562.2847,5472.4336,5478.916,5489.6807,5519.9297,5474.541,5477.99,5475.851,5389.7534,5550.4893,5475.8784,5515.8325,5499.892,5261.1006,5458.076,5569.9927,5347.7104,5554.7485,5484.628,5547.994,5484.049
827,5514.409,5487.3057,5446.186,5507.7207,5465.951,5538.1885,5468.0186,5519.775,5493.95,5561.6914,5571.5034,5480.8037,5487.8096,5498.911,5528.7827,5482.3745,5488.423,5484.0684,5395.7524,5559.281,5483.876,5524.6694,5509.1074,5266.2354,5465.3384,5579.898,5353.9224,5564.1167,5494.0137,5557.6416,5492.657
828,5518.6055,5490.674,5450.209,5512.334,5469.733,5542.5015,5470.9053,5523.3843,5497.209,5564.234,5575.6865,5485.406,5491.858,5503.1387,5533.164,5485.4556,5489.814,5488.0435,5398.639,5563.593,5488.959,5529.3594,5513.0967,5269.277,5469.3086,5583.24,5357.7065,5567.6895,5497.0366,5561.0464,5496.3765
829,5517.949,5489.6787,5449.759,5511.925,5468.901,5541.876,5469.8457,5522.5356,5496.1997,5562.7227,5574.9326,5484.9375,5491.1333,5502.394,5532.5386,5484.687,5488.0576,5487.4385,5398.193,5562.9604,5488.6978,5528.82,5512.2905,5269.049,5468.897,5582.118,5357.4585,5566.7397,5495.9355,5559.994,5495.622
830,5508.7324,5479.5923,5441.9487,5503.5854,5459.2153,5532.6875,5460.0186,5512.9805,5486.1777,5550.7524,5565.171,5476.2744,5481.719,5492.6313,5523.2554,5476.2744,5476.1772,5478.8003,5391.8813,5553.7314,5480.592,5519.6323,5502.4854,5263.789,5461.3765,5571.342,5351.122,5556.6514,5485.689,5549.5356,5486.461
831,5517.794,5491.1777,5448.991,5510.673,5469.5947,5541.5464,5471.845,5523.3867,5497.731,5566.4854,5575.1255,5483.8965,5491.301,5502.527,5532.171,5485.567,5493.335,5487.235,5398.0693,5562.6562,5486.6636,5527.9756,5512.774,5268.0796,5468.027,5584.0703,5356.128,5567.962,5498.0015,5561.6685,5496.0815
832,5548.9756,5523.973,5475.935,5539.781,5501.6885,5572.7734,5503.3696,5555.1367,5529.949,5603.8193,5607.874,5513.9316,5522.8955,5535.3237,5563.7476,5513.2114,5529.149,5516.498,5419.444,5594.0093,5515.613,5559.6235,5545.4404,5286.5796,5494.058,5618.8325,5378.5566,5600.9863,5530.876,5595.4473,5526.584
833,5562.242,5534.2344,5488.8096,5554.62,5513.451,5586.453,5511.9985,5566.3604,5540.2017,5610.938,5621.017,5528.694,5535.618,5548.619,5577.6465,5522.718,5532.277,5529.073,5428.5776,5607.682,5532.1245,5574.615,5557.9106,5296.399,5506.771,5628.909,5390.808,5611.9604,5539.915,5605.663,5538.21
834,5560.7754,5531.892,5487.846,5553.7817,5511.5303,5585.0693,5509.4785,5564.3633,5537.8203,5607.2837,5619.3047,5527.708,5533.9756,5546.934,5576.2617,5520.928,5527.9707,5527.725,5427.58,5606.278,5531.6694,5573.4556,5556.0635,5295.95,5505.903,5626.253,5390.338,5609.74,5537.2974,5603.2666,5536.482
835,5569.2466,5541.83,5494.7793,5561.008,5520.7812,5593.4443,5519.378,5573.6523,5547.748,5619.8677,5628.4243,5535.322,5542.7617,5556.0273,5584.711,5529.0674,5541.071,5535.6357,5433.3794,5614.7085,5538.3696,5581.634,5565.3413,5300.435,5512.513,5637.013,5395.6816,5619.571,5547.606,5613.3433,5545.146
836,5583.822,5556.526,5507.6284,5575.0376,5535.4673,5608.1113,5533.2954,5588.131,5562.269,5635.8125,5643.601,5549.7124,5557.4097,5571.2446,5599.552,5541.603,5555.7256,5549.3296,5443.384,5629.43,5552.6294,5596.699,5580.3745,5309.4194,5524.954,5652.4585,5406.6396,5634.4805,5562.1196,5628.16,5559.1675
