,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,5157.0474,5133.8745,5172.7964,4985.0244,5106.941,5118.9814,5159.2773,5219.567,5084.2476,5127.7275,5191.929,5103.655,5144.907,5187.7446,5100.0054,4998.9536,5118.312,5120.0923,5147.349,5168.1997,5093.8013,5173.7246,4862.1445,5153.1836,5207.255,5163.7695,5163.889,5175.4277,5031.684,5115.3184,5122.894
798,5154.236,5128.1553,5174.865,4984.3687,5106.3735,5118.226,5165.9644,5219.6084,5088.104,5124.804,5185.4355,5104.971,5137.1846,5183.687,5095.259,5000.509,5115.875,5119.663,5145.4844,5169.887,5090.7607,5170.7915,4860.8335,5152.4863,5203.771,5162.868,5159.5894,5178.125,5031.1846,5114.7134,5121.5933
799,5159.7026,5133.0225,5180.808,4985.132,5109.462,5119.191,5172.4487,5226.1943,5089.742,5125.984,5191.0312,5109.113,5143.321,5188.895,5099.4272,5001.9175,5121.2305,5120.7017,5151.0825,5175.531,5093.6094,5176.6636,4862.19,5153.607,5209.619,5166.4404,5166.007,5185.291,5032.1826,5116.7827,5125.5444
800,5154.0957,5129.472,5172.463,4984.467,5106.4917,5118.316,5161.311,5217.904,5085.9585,5125.812,5186.912,5103.322,5139.072,5184.1714,5096.498,4999.452,5115.5957,5119.589,5144.886,5167.6855,5091.392,5170.6,4861.0728,5152.511,5203.834,5162.3584,5159.735,5175.084,5031.1523,5114.4546,5121.1885
801,5143.6206,5120.113,5161.1357,4983.009,5099.143,5116.4736,5149.007,5205.337,5082.8765,5123.527,5176.1665,5095.439,5127.291,5174.183,5088.4243,4996.7866,5105.3447,5117.6074,5134.1704,5156.9214,5085.9233,5159.36,4858.4766,5150.3735,5192.6304,5155.529,5146.4395,5161.452,5029.248,5110.493,5113.55
802,5154.1426,5126.7656,5176.8,4984.249,5106.1416,5118.1045,5169.9155,5220.887,5089.9795,5123.8447,5183.873,5106.2983,5135.2275,5183.0366,5093.9663,5001.4087,5115.911,5119.688,5145.8,5171.6523,5090.0737,5170.728,4860.5625,5152.419,5203.4785,5163.173,5158.584,5180.5894,5031.1733,5114.864,5121.778
803,5150.525,5126.348,5168.4976,4983.9746,5104.153,5117.6924,5156.9087,5213.5474,5084.8105,5125.0806,5183.3213,5100.562,5135.1455,5180.794,5093.8267,4998.4956,5112.0938,5118.91,5141.213,5163.921,5089.559,5166.7646,4860.198,5151.784,5200.024,5160.011,5155.212,5170.302,5030.5015,5113.0947,5118.5757
804,5162.885,5134.4653,5186.434,4985.4624,5111.069,5119.6406,5180.5483,5231.51,5092.7266,5125.67,5192.729,5113.0127,5144.9224,5191.333,5100.557,5003.7217,5124.4854,5121.352,5154.777,5180.7944,5094.5874,5180.1187,4862.7173,5154.208,5212.818,5168.92,5168.6387,5192.2227,5032.7705,5118.1865,5128.109
805,5166.103,5139.635,5186.335,4986.104,5113.2046,5120.3984,5177.1807,5232.932,5090.3193,5128.025,5198.6226,5112.981,5151.8223,5195.3887,5105.167,5002.918,5127.411,5121.8926,5157.346,5180.83,5097.3984,5183.524,4863.9614,5154.958,5216.6035,5170.3545,5174.128,5191.8667,5033.3516,5119.074,5129.994
806,5174.268,5145.635,5197.194,4987.1475,5117.644,5121.747,5190.822,5244.1367,5094.6255,5128.873,5205.5767,5120.54,5159.222,5202.632,5110.215,5005.9287,5135.543,5123.4966,5166.104,5191.0654,5101.042,5192.342,4865.7627,5156.5957,5225.157,5176.0625,5182.6587,5205.1177,5034.86,5122.3447,5136.1455
807,5181.2114,5152.5444,5203.603,4988.191,5121.668,5123.049,5196.775,5251.74,5095.634,5130.9,5213.539,5125.031,5168.1133,5209.5684,5116.1997,5007.2046,5142.2793,5124.8076,5172.98,5197.19,5105.0366,5199.811,4867.6504,5158.066,5232.7026,5180.385,5191.3184,5212.794,5036.14,5124.8647,5141.033
