,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,4257.652,4301.4814,4327.7344,4381.1816,4365.2812,4319.0854,4315.3125,4353.306,4302.0845,4260.857,4241.441,4220.502,4201.012,4186.2764,4202.708,4187.1777,4160.542,4198.1123,4120.103,4192.5557,4166.499,4205.2354,4175.4146,4087.6687,4144.761,4145.792,4125.6167,4152.729,4174.7183,4194.035,4222.2285
1,4211.1606,4255.923,4282.0713,4334.024,4339.9697,4316.488,4327.3057,4377.6753,4332.5425,4342.07,4346.3975,4347.123,4356.4,4361.2324,4389.664,4390.8564,4349.705,4427.8296,4343.393,4405.007,4399.0093,4386.201,4367.133,4333.697,4367.324,4333.6235,4338.2773,4340.1313,4355.054,4354.5137,4347.0605
2,4154.806,4200.139,4226.3384,4275.6514,4295.6724,4291.194,4298.0317,4353.159,4303.091,4327.368,4325.085,4345.9453,4343.9814,4349.8027,4380.267,4379.5996,4332.1973,4416.5137,4355.932,4398.0605,4398.387,4371.5244,4365.2505,4342.4824,4372.113,4340.1343,4346.151,4346.259,4361.4624,4351.4243,4331.6
3,4076.8723,4123.018,4148.9146,4192.413,4214.4375,4217.3335,4206.933,4268.462,4201.9507,4224.2104,4215.2583,4232.554,4226.197,4230.527,4252.1123,4251.5415,4222.3213,4284.0747,4226.9614,4278.3623,4269.3633,4262.2783,4249.036,4222.805,4243.6655,4232.906,4218.7417,4230.388,4251.612,4237.749,4223.7666
4,4087.838,4133.205,4159.031,4207.9697,4235.622,4243.7295,4250.622,4310.1494,4251.055,4288.463,4290.538,4310.4453,4303.4956,4307.89,4336.494,4334.3545,4286.849,4371.9346,4323.806,4352.114,4362.856,4320.1973,4319.1167,4312.0454,4333.48,4312.618,4306.1455,4310.5986,4337.4224,4315.1016,4287.1733
5,4097.096,4142.3945,4168.211,4214.748,4239.868,4245.377,4237.4893,4301.688,4235.9507,4260.5083,4253.206,4272.708,4268.07,4274.0913,4297.261,4297.799,4267.4604,4333.199,4275.8696,4329.791,4320.9287,4304.229,4298.8843,4284.9604,4299.5044,4286.1616,4273.4707,4285.906,4303.735,4293.875,4265.4814
6,4103.1587,4148.5444,4174.375,4220.2617,4241.8696,4246.115,4237.464,4297.262,4233.68,4255.722,4248.0435,4265.236,4259.8726,4262.635,4286.8438,4286.2085,4250.898,4318.5723,4258.2456,4309.675,4302.0854,4295.8213,4281.6943,4248.913,4276.67,4261.5757,4251.426,4260.693,4280.427,4268.4106,4254.413
7,4107.3906,4152.556,4178.282,4225.6694,4247.425,4249.5005,4250.69,4306.933,4252.0947,4275.856,4272.4224,4292.1733,4290.445,4294.367,4324.1206,4323.446,4278.2217,4361.2075,4300.8057,4344.1973,4345.3184,4319.9473,4312.106,4293.038,4323.456,4291.274,4298.7017,4294.9795,4314.6353,4305.218,4280.8823
8,4129.3105,4174.176,4200.113,4249.622,4276.0073,4284.566,4280.582,4346.7246,4283.469,4315.6816,4311.9907,4336.173,4331.2134,4341.6987,4368.9736,4370.856,4329.7617,4409.4707,4353.72,4395.44,4398.629,4364.316,4358.0054,4354.1934,4373.8726,4348.6343,4343.859,4346.6367,4368.8643,4348.501,4323.1685
9,4113.6655,4158.493,4184.3013,4233.7266,4263.229,4272.798,4267.898,4336.5415,4269.1196,4304.333,4301.428,4325.8203,4319.77,4330.2983,4355.5054,4358.5264,4319.24,4398.4814,4344.008,4382.6113,4387.2754,4351.6567,4349.1772,4351.9243,4363.0674,4345.168,4333.31,4341.3467,4365.7734,4343.479,4312.399
