,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,0.7337276,0.7412808,0.74580497,0.7550156,0.75227547,0.7443145,0.7436643,0.7502118,0.7413847,0.7342799,0.7309339,0.72732544,0.7239667,0.72142726,0.72425896,0.72158265,0.71699244,0.723467,0.7100235,0.7225094,0.71801907,0.7246945,0.7195555,0.7044341,0.714273,0.7144506,0.71097374,0.715646,0.71943545,0.7227644,0.72762316
1,0.72571564,0.73342955,0.7379358,0.7468889,0.7479135,0.74386686,0.74573106,0.7544114,0.7466336,0.7482754,0.7490212,0.7491463,0.75074494,0.75157773,0.7564774,0.7566829,0.74959123,0.7630545,0.74850345,0.7591214,0.7580879,0.75588065,0.75259453,0.7468325,0.75262755,0.74681985,0.7476219,0.7479414,0.750513,0.7504199,0.74913543
2,0.716004,0.7238163,0.7283312,0.7368294,0.7402797,0.7395079,0.7406863,0.75018644,0.74155813,0.74574184,0.7453484,0.74894327,0.74860483,0.74960804,0.754858,0.754743,0.74657404,0.7611044,0.75066435,0.7579244,0.7579807,0.7533514,0.7522702,0.74834657,0.7534528,0.74794185,0.74897873,0.74899733,0.7516174,0.74988747,0.7464713
3,0.70257354,0.71052593,0.71498865,0.7224848,0.7262804,0.72677946,0.72498715,0.73559046,0.7241285,0.7279645,0.7264218,0.7294024,0.72830683,0.729053,0.73277295,0.73267454,0.72763896,0.738281,0.7284386,0.73729664,0.7357458,0.73452485,0.73224276,0.7277224,0.7313173,0.729463,0.7270221,0.7290291,0.73268664,0.7302977,0.72788805
4,0.70446324,0.71228147,0.716732,0.7251658,0.7299311,0.73132825,0.7325161,0.74277455,0.73259073,0.7390373,0.7393949,0.7428255,0.7416279,0.74238515,0.7473146,0.7469458,0.73875916,0.7534221,0.74512804,0.7500063,0.7518575,0.7445061,0.7443199,0.74310124,0.7467951,0.74319994,0.7420845,0.742852,0.74747455,0.7436279,0.73881495
5,0.70605874,0.71386504,0.71831405,0.72633386,0.7306629,0.7316122,0.7302529,0.7413163,0.72998774,0.7342198,0.7329614,0.73632216,0.7355229,0.7365606,0.7405535,0.7406461,0.73541784,0.7467468,0.736867,0.74615943,0.7446321,0.7417543,0.74083316,0.73843366,0.7409401,0.73864067,0.73645365,0.73859656,0.7416691,0.73996997,0.7350768
6,0.7071035,0.71492493,0.7193763,0.7272841,0.7310078,0.73173946,0.7302485,0.7405537,0.7295965,0.733395,0.7320717,0.73503447,0.73411024,0.73458624,0.7387582,0.7386488,0.7325637,0.74422604,0.73382986,0.74269277,0.74138486,0.7403053,0.7378708,0.73222154,0.73700494,0.7344037,0.73265463,0.7342516,0.7376524,0.73558164,0.73316944
7,0.7078328,0.7156163,0.7200497,0.72821593,0.73196507,0.7323228,0.7325278,0.7422203,0.7327699,0.7368647,0.73627293,0.7396767,0.7393788,0.7400548,0.7451822,0.7450659,0.7372724,0.75157344,0.7411643,0.7486421,0.7488352,0.74446297,0.74311167,0.7398257,0.74506766,0.7395217,0.7408017,0.7401603,0.74354756,0.74192464,0.73773086
8,0.7116103,0.719342,0.72381175,0.7323438,0.7368908,0.73836565,0.7376791,0.7490776,0.7381767,0.7437279,0.7430918,0.7472592,0.7464045,0.74821144,0.7529118,0.7532362,0.74615437,0.7598907,0.7502831,0.75747275,0.7580223,0.7521091,0.7510216,0.7503647,0.75375605,0.7494067,0.74858373,0.7490624,0.752893,0.74938375,0.7450181
9,0.70891416,0.71663934,0.7210869,0.7296045,0.73468864,0.73633766,0.7354933,0.74732274,0.7357038,0.7417722,0.74127156,0.7454751,0.74443245,0.7462468,0.7505908,0.7511114,0.74434114,0.7579969,0.7486094,0.755262,0.7560658,0.7499275,0.7495002,0.74997365,0.75189394,0.74880934,0.74676585,0.7481508,0.7523603,0.7485182,0.74316216
10,0.71240413,0.7200206,0.7244301,0.73386705,0.7409935,0.74445903,0.744319,0.7566272,0.7444097,0.7529061,0.75057137,0.7549739,0.7532102,0.75485456,0.7582518,0.7597871,0.75257134,0.7666008,0.75770736,0.7644258,0.7647496,0.7574019,0.75826776,0.76016295,0.7598246,0.7587341,0.7542483,0.7576804,0.76221,0.75722367,0.7512631
11,0.71924806,0.72672105,0.731121,0.74070096,0.7465972,0.7486396,0.74789304,0.7603203,0.748183,0.755098,0.7545693,0.7588814,0.758064,0.7600048,0.7644869,0.7650006,0.7578213,0.7723717,0.7619014,0.7691419,0.76993036,0.7632419,0.7632145,0.7646131,0.7653018,0.76279974,0.7598597,0.76172936,0.76625174,0.7629737,0.7562228
12,0.72638106,0.73373675,0.73813426,0.74804735,0.7536984,0.7552519,0.75432456,0.76683074,0.7549862,0.7605461,0.75960076,0.7636133,0.76333296,0.7649944,0.7694514,0.76958036,0.7631175,0.77661103,0.76564276,0.7751788,0.77432096,0.7693195,0.76851046,0.7671234,0.7703365,0.76552695,0.76471514,0.76635945,0.7693258,0.7670579,0.7615219
13,0.7331482,0.74043757,0.74484867,0.7550987,0.7605449,0.76175964,0.76065123,0.77327245,0.76147956,0.76649,0.76528513,0.7691791,0.76863575,0.7702591,0.77457106,0.77448165,0.7679576,0.78127253,0.7697009,0.77983147,0.7781415,0.7748221,0.77292895,0.76864856,0.77311194,0.768473,0.7677957,0.76973575,0.7723396,0.76974547,0.76648813
14,0.73909104,0.7463763,0.75083756,0.7613859,0.7661786,0.7668332,0.7667289,0.7785075,0.7675968,0.7724866,0.7714683,0.7752369,0.7748325,0.77610976,0.78092664,0.78074527,0.77305543,0.78731966,0.7750578,0.78442657,0.7833265,0.78038245,0.77804714,0.77238214,0.7778118,0.77224445,0.7720799,0.7738559,0.7763767,0.77414066,0.7718616
15,0.7357526,0.7430736,0.747524,0.75781643,0.7625635,0.7633569,0.76299506,0.7747156,0.7637374,0.76856494,0.76750803,0.771256,0.77078915,0.7720531,0.77675885,0.77664465,0.7691375,0.783119,0.77108943,0.780483,0.77938235,0.7764946,0.7741872,0.76866597,0.77401614,0.76871264,0.7684182,0.7701911,0.77273977,0.770499,0.76807475
16,0.73394406,0.74129665,0.74574775,0.7558775,0.7604927,0.7611687,0.76089346,0.77243817,0.7615556,0.76630086,0.76526797,0.76894474,0.76848435,0.76966506,0.7743989,0.7742775,0.7668026,0.7807032,0.7687726,0.7780597,0.77698374,0.7741553,0.77188593,0.76632416,0.77167857,0.7664623,0.7661693,0.7678975,0.77046657,0.7682699,0.76584613
17,0.7313987,0.73879707,0.74324954,0.75301445,0.7571968,0.75750446,0.7569182,0.7680267,0.7569669,0.76127887,0.7599243,0.76317,0.76238006,0.7632214,0.7676841,0.76735705,0.76029205,0.77329546,0.761376,0.7703845,0.76915216,0.7678119,0.7646501,0.75830257,0.7635178,0.7598301,0.7579819,0.7599722,0.7635969,0.7613718,0.7599875
18,0.72907233,0.73650426,0.7409543,0.7507895,0.75508296,0.7551328,0.7561215,0.76651794,0.75731057,0.76157194,0.7613187,0.76507777,0.76492727,0.7659824,0.7714287,0.7710443,0.76247936,0.7783059,0.76656103,0.77430844,0.77434194,0.7698512,0.7679701,0.764126,0.76992345,0.76285374,0.76509374,0.7644409,0.7674923,0.76598936,0.7620858
19,0.7278844,0.735315,0.73975503,0.74987435,0.75576836,0.7580811,0.75764024,0.7704997,0.75852436,0.7657894,0.7656051,0.7702788,0.76941323,0.7715807,0.7762764,0.77648854,0.76868206,0.78387034,0.77428603,0.78045386,0.7814553,0.77443856,0.77350104,0.77335,0.77597666,0.77224517,0.77060354,0.77163804,0.776559,0.77169806,0.7665844
20,0.72714794,0.73457104,0.7390067,0.7486526,0.753693,0.75468963,0.75341886,0.7656051,0.75368804,0.7583376,0.7569288,0.7604975,0.75972253,0.76106447,0.76517534,0.7650491,0.7595347,0.7714968,0.76030815,0.7700857,0.76829994,0.76628757,0.7645274,0.7605877,0.7637568,0.7607715,0.758389,0.76165056,0.7642913,0.7621528,0.75831294
21,0.72676337,0.73418415,0.7386132,0.7481724,0.7525307,0.7532752,0.7525561,0.76361907,0.7527083,0.7569566,0.7558868,0.75906646,0.7585765,0.75920105,0.76400006,0.76355314,0.75670904,0.7698309,0.75806355,0.7671902,0.76608324,0.76453197,0.7620611,0.7556601,0.7612068,0.7566062,0.7560415,0.7576744,0.760761,0.7587365,0.75636077
