,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,5188.16,5172.631,5248.7754,5217.2695,5198.3076,5203.2974,5175.3887,5139.0244,5198.293,5176.928,5216.537,5177.827,5239.1904,5272.776,5197.4575,5216.292,5264.044,5275.925,5133.7383,5257.014,5143.6646,5182.8037,5144.8965,5187.274,5148.4946,5178.9653,5207.491,5196.74,5194.281,5203.6567,5198.571
798,5166.248,5158.029,5229.301,5209.1694,5184.9897,5179.181,5158.8354,5123.5396,5190.9487,5161.333,5192.657,5159.535,5221.5957,5248.337,5188.45,5198.582,5247.3804,5255.922,5121.997,5238.047,5138.153,5163.6826,5140.0366,5166.7256,5139.077,5158.9023,5195.346,5186.079,5181.0244,5186.1753,5182.976
799,5173.217,5165.5254,5237.1465,5217.184,5193.279,5186.3003,5166.343,5130.5835,5199.21,5168.1655,5199.7227,5165.4854,5229.864,5255.8374,5195.855,5205.8423,5254.7275,5264.0557,5128.607,5245.82,5145.6533,5170.1304,5146.979,5174.07,5146.2173,5166.1587,5203.468,5193.7417,5188.5273,5194.1196,5190.395
800,5174.272,5162.6455,5236.009,5210.7437,5188.8286,5188.1523,5164.3228,5128.667,5192.121,5166.564,5201.5366,5166.199,5227.3545,5257.3555,5190.5864,5204.65,5252.958,5262.792,5125.5605,5244.5464,5138.7,5170.5903,5140.4346,5174.0425,5141.4644,5166.0244,5198.7026,5188.8887,5185.037,5191.9663,5188.0566
801,5160.79,5148.233,5220.883,5195.4136,5172.9214,5174.361,5149.8706,5115.107,5176.329,5153.4043,5187.85,5154.691,5211.445,5242.836,5176.407,5190.656,5238.624,5247.112,5112.8643,5229.564,5124.3745,5158.127,5127.177,5159.8594,5127.7837,5152.013,5183.126,5174.2017,5170.6265,5176.674,5173.777
802,5158.705,5153.548,5222.913,5207.422,5181.1807,5170.774,5153.5664,5118.6143,5189.555,5156.3228,5184.3354,5153.263,5216.051,5239.8716,5186.2188,5192.7974,5242.036,5249.375,5118.5054,5231.851,5137.3555,5157.1704,5139.396,5159.807,5136.629,5152.163,5191.9805,5183.226,5177.0903,5180.6147,5178.0776
803,5170.039,5157.9404,5231.156,5205.5884,5183.579,5183.8574,5159.644,5124.2764,5186.79,5162.3145,5197.273,5162.577,5222.1914,5252.8135,5185.8486,5200.154,5248.3867,5257.7573,5121.393,5239.733,5133.84,5166.6543,5135.932,5169.539,5136.9077,5161.5703,5193.5435,5184.009,5180.305,5187.0146,5183.4214
804,5169.3667,5165.2563,5235.0547,5220.1377,5194.202,5181.6206,5165.2393,5129.5684,5202.689,5166.9326,5195.1016,5162.378,5228.924,5251.324,5197.927,5204.041,5253.4478,5261.9683,5128.859,5243.889,5149.3105,5167.0664,5150.469,5171.1113,5147.899,5163.3384,5204.7627,5195.307,5188.844,5192.9683,5189.634
805,5186.662,5177.4185,5250.795,5227.744,5205.6187,5200.533,5178.805,5142.2646,5209.807,5179.661,5213.8325,5176.8467,5243.407,5270.554,5206.049,5218.384,5267.0576,5278.153,5138.768,5259.249,5154.944,5182.2407,5155.5083,5187.5117,5156.2563,5179.3706,5215.299,5204.6753,5200.041,5207.298,5202.4917
806,5189.952,5184.4785,5256.5386,5238.239,5214.5347,5203.216,5185.1177,5148.2056,5221.0195,5185.198,5216.5156,5179.8203,5250.6084,5273.7603,5215.1475,5223.821,5273.053,5284.1816,5145.4375,5265.0674,5165.576,5185.739,5165.446,5191.978,5164.7427,5183.8784,5224.39,5213.565,5207.6396,5213.991,5209.0283
