,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,5205.3887,5186.496,5188.216,5200.8877,5243.048,5189.7725,5225.8193,5211.616,5219.3296,5173.381,5207.36,5112.1577,5244.1646,5121.1895,5208.2295,5184.531,5193.7188,5213.9053,5227.274,5230.4897,5146.833,5150.852,5241.0186,5223.1094,5119.6357,5202.414,5125.161,5229.232,5167.551,5156.877,5191.655
798,5183.506,5171.364,5174.8438,5187.258,5217.568,5175.008,5202.489,5189.67,5195.5273,5155.6714,5181.597,5104.9043,5217.828,5095.37,5192.416,5163.1455,5176.412,5194.0674,5217.142,5216.381,5138.0044,5140.492,5218.4,5214.736,5104.53,5187.1284,5113.5166,5213.2134,5135.1626,5137.743,5173.8364
799,5191.4004,5178.733,5181.9688,5195.321,5225.6426,5182.5137,5209.7383,5197.271,5202.4746,5162.9023,5188.299,5111.406,5225.473,5100.851,5200.2217,5169.686,5183.597,5201.5376,5223.9346,5223.934,5145.0293,5145.822,5225.7715,5222.4214,5110.961,5194.727,5118.3423,5221.183,5141.362,5144.4985,5180.901
800,5191.528,5176.25,5179.0044,5191.294,5226.9043,5179.695,5211.075,5197.547,5204.4023,5161.7466,5191.4126,5106.487,5227.6587,5105.5234,5197.4956,5171.0425,5182.319,5201.034,5219.938,5220.762,5140.157,5143.765,5226.636,5216.5166,5109.645,5192.0244,5117.493,5218.343,5148.072,5144.5776,5180.012
801,5175.9507,5162.0747,5165.3115,5175.8145,5211.2812,5165.2637,5197.044,5182.861,5190.9414,5147.8086,5178.3984,5094.043,5212.844,5094.8306,5182.483,5158.379,5168.4727,5186.6187,5206.912,5206.247,5126.7017,5133.5186,5212.3804,5201.8105,5097.2534,5177.411,5108.1934,5203.015,5135.946,5131.53,5166.378
802,5174.6284,5166.6436,5170.79,5183.2793,5208.791,5170.463,5194.425,5182.234,5187.2144,5149.8813,5172.443,5103.211,5208.622,5085.959,5187.504,5155.7334,5170.7764,5187.4604,5214.338,5212.111,5135.772,5137.3154,5210.648,5212.815,5099.6406,5182.39,5109.723,5208.2495,5123.228,5131.284,5167.9194
803,5186.556,5171.6387,5174.525,5186.199,5222.0015,5174.987,5206.6807,5192.897,5200.2153,5157.2695,5187.4204,5102.316,5223.054,5102.3384,5192.6074,5167.083,5177.8657,5196.435,5215.6235,5216.0117,5135.667,5140.42,5222.1494,5211.583,5105.652,5187.264,5114.503,5213.3496,5144.5234,5140.439,5175.6416
804,5186.6855,5178.1323,5181.9307,5195.9272,5221.143,5182.1816,5205.502,5193.9155,5197.791,5161.077,5182.572,5113.5083,5220.258,5094.1177,5199.6787,5165.7197,5181.909,5198.987,5225.028,5223.924,5146.8726,5145.6396,5221.9404,5224.992,5109.617,5194.245,5117.199,5220.6836,5132.3706,5141.676,5178.8413
805,5206.5312,5190.6475,5193.1265,5207.517,5241.2485,5194.4624,5223.88,5211.377,5216.441,5175.4126,5202.5747,5120.169,5240.8833,5113.889,5212.78,5182.5415,5195.945,5214.905,5233.8213,5235.744,5154.782,5154.2715,5239.834,5232.721,5121.904,5206.921,5126.6406,5233.9688,5157.021,5156.928,5193.296
806,5210.275,5197.2817,5200.0356,5215.925,5245.027,5201.474,5227.093,5215.7334,5218.9526,5180.8,5203.899,5128.415,5243.5913,5113.1094,5219.8916,5185.31,5201.4106,5219.8647,5241.434,5243.0947,5163.303,5159.2983,5243.5337,5242.547,5126.949,5213.887,5130.3037,5241.2803,5154.888,5160.9453,5198.319
