,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,4611.793,4368.553,4278.699,4159.873,4240.8013,4644.918,4172.351,4451.9985,4579.59,4608.5054,4751.226,4028.653,4604.01,4193.919,5460.692,4624.6035,4279.264,4652.714,4535.951,3987.8237,4503.244,4872.3545,5070.988,4416.049,4915.318,4601.365,4194.786,4242.1084,4223.918,4402.7725,4489.295
2000-01-10,4369.572,4680.8853,4339.8965,4112.9595,4342.6577,4049.326,4692.517,4520.709,4508.173,4330.128,4474.0527,4088.9714,4139.83,4358.5327,4690.7983,4534.207,4252.237,4454.374,4240.991,4546.738,4478.324,5156.7505,4952.992,5062.289,4438.298,5143.4653,4454.506,4542.0684,4438.645,4463.9844,4495.296
2000-01-11,4451.4614,4524.678,4512.4097,4391.7456,4283.525,4546.445,4482.3604,4485.9414,4440.6104,4479.5103,4363.3857,4322.8345,4340.6606,4236.401,4431.5796,4445.9043,4211.232,4409.3267,4286.7324,4314.2686,4518.3115,4613.392,4323.504,4460.5503,4407.879,4579.539,4462.207,4550.3433,4474.6436,4526.5156,4429.263
2000-01-12,4529.8438,4561.0312,4565.7964,4496.356,4329.935,4623.1753,4555.2427,4545.9653,4533.8193,4549.8945,4420.461,4381.6704,4415.875,4325.908,4504.16,4567.7373,4283.8184,4502.5347,4371.7188,4385.94,4585.7207,4679.507,4389.1646,4533.135,4479.07,4645.88,4548.9355,4637.3794,4535.708,4613.8345,4503.307
2000-01-13,4679.1104,4645.051,4684.041,4652.6577,4436.276,4764.44,4678.377,4669.3555,4691.5005,4695.329,4537.452,4500.1855,4564.0093,4513.891,4634.237,4672.9907,4421.5596,4657.882,4556.4297,4545.692,4714.3027,4805.278,4516.2188,4673.8965,4613.6206,4778.999,4722.337,4757.0093,4622.985,4782.713,4639.594
2000-01-14,4740.552,4707.8027,4763.103,4715.229,4484.8765,4817.321,4735.4834,4739.795,4751.804,4780.2075,4591.6934,4565.5464,4625.2017,4575.127,4677.5513,4725.6,4473.89,4712.1924,4643.1865,4624.974,4767.1104,4873.006,4583.7324,4740.436,4647.8853,4851.666,4800.4097,4816.618,4685.8535,4822.4165,4701.343
2000-01-15,4774.25,4736.2197,4794.5938,4748.0396,4511.972,4848.045,4762.4863,4772.3525,4790.036,4819.958,4616.617,4596.321,4660.501,4602.5596,4705.1284,4751.1553,4504.639,4746.6924,4692.2246,4662.034,4796.118,4903.279,4615.861,4772.777,4675.553,4884.261,4842.143,4846.659,4712.6416,4842.814,4732.9307
2000-01-16,4805.8315,4762.182,4822.7827,4779.682,4538.0444,4877.0312,4788.4688,4802.187,4828.405,4857.035,4640.8984,4624.444,4695.1143,4627.4526,4733.095,4774.738,4534.1484,4777.983,4737.9824,4696.701,4823.308,4930.883,4645.5986,4802.832,4702.472,4913.9995,4868.554,4874.4595,4736.8794,4861.7764,4762.1655
2000-01-17,4833.6553,4785.4165,4848.3315,4807.932,4561.012,4902.458,4811.64,4828.8374,4863.015,4886.742,4663.036,4649.6074,4725.768,4650.6226,4758.262,4795.7124,4560.4863,4805.2964,4778.4033,4730.249,4847.7056,4955.6157,4672.861,4829.551,4725.654,4940.636,4890.6934,4899.1426,4762.5757,4878.5645,4788.316
2000-01-18,4897.9385,4832.345,4894.5337,4869.511,4613.065,4960.2217,4858.8364,4882.4756,4911.5576,4951.584,4711.967,4699.64,4797.747,4698.026,4817.5903,4839.2075,4620.5234,4872.693,4827.675,4800.173,4902.9478,5004.329,4730.199,4885.1484,4784.5327,4993.221,4934.1807,4950.936,4813.2812,4915.8945,4842.399
2000-01-19,4990.853,4907.226,4968.331,4957.7764,4687.725,5041.832,4930.944,4962.9893,4961.4087,5045.288,4787.8667,4777.0,4901.6787,4771.608,4899.9346,4905.4297,4705.206,4969.047,4899.331,4903.2734,4984.1294,5078.275,4819.1416,4967.1943,4863.96,5072.9478,5001.62,5027.046,4891.75,4979.379,4922.0063
2000-01-20,5093.7964,4999.9243,5055.825,5059.6484,4770.6333,5131.6597,5012.497,5057.695,5017.888,5136.186,4867.949,4868.296,5013.982,4855.9644,4992.0234,4980.406,4800.0366,5076.513,4981.798,4996.9204,5075.9395,5162.456,4923.506,5059.405,4950.771,5163.66,5078.6787,5114.433,4983.4966,5052.9785,5011.1655
2000-01-21,5115.264,5027.9067,5093.8496,5084.6147,4789.228,5147.461,5036.936,5087.862,5036.0166,5159.7476,4891.9053,4898.325,5027.4614,4885.233,5004.0713,5002.262,4816.565,5092.2446,5013.122,5028.848,5094.778,5191.178,4955.133,5085.1196,4954.049,5194.3706,5106.3364,5139.6772,5019.2275,5075.1885,5035.1323
2000-01-22,5105.046,5020.1475,5088.4614,5075.115,4780.1616,5138.056,5030.081,5079.9746,5030.735,5152.2246,4885.9365,4891.095,5014.594,4878.5786,4993.538,4995.3984,4806.4185,5079.433,5006.682,5023.196,5085.614,5184.6836,4946.219,5077.0483,4942.9604,5187.333,5100.6196,5131.162,5012.4995,5068.7036,5027.057
2000-01-23,5066.0107,4987.431,5060.8516,5037.5063,4748.1875,5103.1694,5001.2485,5046.2656,5009.6465,5120.558,4860.1294,4859.57,4970.9546,4849.2163,4955.9517,4968.375,4768.916,5035.003,4977.743,4996.3267,5050.7134,5155.906,4908.7715,5043.9077,4905.8696,5156.255,5074.661,5097.565,4981.514,5041.9683,4994.673
2000-01-24,4984.0176,4918.7764,4998.9463,4957.2637,4682.3125,5030.469,4939.2173,4975.124,4967.585,5050.8276,4800.3643,4791.1777,4878.252,4786.457,4881.1885,4910.9517,4692.726,4948.226,4917.492,4910.1787,4977.4663,5093.25,4829.2793,4973.015,4831.462,5088.6445,5017.8457,5030.92,4914.519,4985.926,4925.4624
2000-01-25,4957.7495,4889.604,4961.295,4929.1064,4661.169,5009.819,4912.648,4944.1997,4949.287,5020.861,4770.72,4759.4663,4856.4995,4756.3496,4863.644,4887.421,4671.61,4927.193,4886.642,4874.4814,4954.2773,5063.117,4796.267,4944.4604,4820.9863,5056.3594,4989.203,5005.1206,4879.4346,4962.675,4898.722
2000-01-26,4926.727,4866.4775,4939.1074,4900.3594,4636.247,4982.1846,4889.5054,4918.6216,4933.609,4990.744,4746.724,4734.9375,4820.213,4733.0923,4835.235,4865.9453,4642.8853,4894.031,4864.409,4841.104,4927.2085,5039.9023,4767.88,4917.9233,4792.7437,5031.2964,4968.2163,4980.3936,4855.296,4942.0464,4872.8354
2000-01-27,4860.087,4816.4707,4890.421,4837.614,4582.708,4923.0503,4840.2446,4862.9014,4890.264,4922.9106,4694.3984,4682.881,4745.3013,4683.2505,4774.7524,4820.2085,4581.4478,4823.9136,4815.645,4768.784,4870.4883,4989.157,4706.3184,4860.408,4733.1973,4976.5347,4922.224,4926.869,4802.2188,4898.973,4816.788
2000-01-28,4827.866,4785.8,4853.339,4804.0723,4556.2134,4895.571,4810.8486,4828.5757,4853.2056,4884.9116,4663.1416,4649.9785,4714.5156,4651.5366,4749.2764,4794.217,4553.147,4795.9463,4771.5464,4727.498,4842.387,4956.4473,4671.685,4827.452,4713.1147,4941.4067,4892.1064,4896.769,4765.383,4876.271,4785.141
