,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,9250.132,13991.169,13938.678,8215.725,13846.377,14027.838,14121.929,14081.2,14064.2705,13897.584,14031.754,13952.6045,14078.497,14005.18,7282.364,14021.763,13943.07,14101.44,14016.996,14003.864,14030.478,13985.827,13942.724,11148.917,13931.737,13891.078,13862.139,13966.909,14027.464,10698.457,13211.938
2021-11-25,9251.31,13949.281,13897.551,8215.329,13806.2,13986.747,14079.005,14039.054,14022.099,13857.606,13989.854,13912.008,14036.7705,13962.784,7286.897,13980.165,13902.501,14059.482,13975.551,13962.69,13988.801,13945.16,13901.866,11152.628,13891.307,13850.811,13822.613,13926.137,13986.453,10697.772,13177.882
2021-11-26,9252.381,13902.56,13851.775,8214.876,13761.696,13940.949,14030.689,13991.934,13975.072,13812.422,13943.203,13866.238,13989.637,13915.636,7291.523,13933.632,13856.685,14011.791,13929.089,13916.524,13942.689,13899.231,13856.163,11156.333,13845.908,13805.728,13778.085,13880.356,13940.161,10696.819,13139.659
2021-11-27,9253.823,13850.513,13800.671,8214.382,13711.779,13889.876,13977.328,13939.538,13922.675,13762.647,13891.156,13815.707,13937.707,13862.982,7297.127,13881.917,13806.181,13959.553,13877.547,13865.31,13890.923,13848.615,13805.361,11160.91,13795.6,13755.642,13728.895,13829.627,13889.125,10695.949,13097.303
2021-11-28,9257.093,13762.408,13713.792,8213.579,13626.166,13803.22,13888.515,13851.148,13833.944,13680.279,13802.789,13731.706,13851.725,13773.409,7308.1074,13794.76,13722.481,13874.093,13791.018,13779.338,13801.97,13764.772,13719.74,11170.183,13711.347,13671.303,13647.031,13744.671,13804.52,10695.122,13026.342
2021-11-29,9261.633,13616.471,13570.221,8212.21,13485.437,13659.763,13739.795,13704.307,13687.012,13541.541,13656.746,13590.68,13707.034,13625.582,7324.7485,13649.842,13581.662,13729.184,13646.79,13635.974,13655.954,13623.712,13577.378,11183.952,13570.582,13530.91,13509.704,13602.744,13662.28,10693.036,12907.896
2021-11-30,9265.259,13450.9795,13407.995,8210.595,13327.641,13497.248,13568.43,13537.06,13520.407,13380.309,13491.65,13427.587,13539.146,13458.782,7340.923,13484.638,13418.297,13559.196,13481.698,13471.805,13492.662,13460.043,13415.036,11196.804,13408.912,13370.562,13351.044,13439.767,13497.434,10689.45,12772.045
2021-12-01,9269.614,13284.96,13244.875,8208.994,13168.27,13333.924,13397.841,13369.445,13353.23,13219.927,13325.836,13265.072,13372.191,13291.125,7358.472,13319.124,13255.721,13391.0625,13316.587,13307.566,13327.632,13297.219,13252.378,11211.021,13247.287,13209.889,13192.867,13276.841,13333.426,10686.378,12636.292
2021-12-02,9275.771,13081.173,13044.191,8207.061,12971.439,13133.048,13189.897,13163.853,13147.994,13024.53,13122.101,13066.744,13168.809,13085.031,7381.5376,13116.102,13057.557,13187.275,13114.475,13106.414,13123.645,13098.819,13052.898,11229.996,13049.463,13012.777,12999.747,13077.427,13133.569,10683.199,12470.218
2021-12-03,9273.64,12966.053,12933.235,8205.7295,12866.788,13020.809,13062.802,13045.447,13031.904,12900.855,13008.673,12944.078,13041.092,12971.047,7384.4873,12999.106,12933.168,13052.543,12995.032,12987.724,13017.048,12974.054,12937.391,11230.45,12931.059,12898.1455,12880.726,12958.162,13008.55,10677.016,12371.228
2021-12-04,9273.544,12972.386,12939.43,8205.794,12872.803,13027.032,13069.425,13051.879,13038.289,12907.167,13014.976,12950.433,13047.636,12977.411,7383.9424,13005.456,12939.549,13059.216,13001.408,12994.067,13023.241,12980.444,12943.644,11230.034,12937.329,12904.334,12886.906,12964.48,13014.974,10677.192,12376.48
