,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,4554.074,4392.194,4481.583,4435.0586,4471.784,4476.751,4482.931,4516.4595,4427.7866,4524.6504,4486.5938,4353.5767,4389.372,4578.489,4494.6665,4495.7393,4350.839,4495.376,4326.5806,4257.6396,4335.9766,4372.9976,4409.974,4384.419,4412.616,4419.892,4538.027,4520.3994,4526.1377,4408.761,4444.045
2000-01-10,4446.498,4437.2075,4433.539,4354.691,4460.2266,4475.7197,4416.198,4469.674,4458.753,4353.6265,4337.26,4479.11,4377.448,4472.437,4432.994,4480.03,4380.229,4384.3013,4300.471,4350.566,4220.376,4313.9375,4368.673,4365.833,4367.594,4392.13,4502.5938,4422.4766,4476.254,4372.388,4403.441
2000-01-11,4399.0913,4399.465,4448.124,4401.6245,4468.037,4491.2764,4484.677,4471.86,4425.6685,4455.8535,4414.049,4436.523,4424.0396,4454.8867,4427.1035,4448.1973,4428.5356,4407.6743,4405.6113,4353.3184,4349.1074,4428.9155,4385.492,4389.771,4384.7715,4415.428,4516.921,4447.8936,4444.564,4412.75,4427.3745
2000-01-12,4447.7754,4444.887,4490.8354,4445.3696,4508.7305,4530.83,4528.971,4513.4634,4466.934,4497.7305,4462.2534,4478.2124,4468.154,4499.2837,4469.186,4489.853,4474.3965,4454.7314,4455.27,4403.8164,4394.9873,4471.5986,4426.825,4434.5703,4431.8784,4463.381,4555.477,4488.6953,4487.7964,4455.562,4471.382
2000-01-13,4558.7197,4553.043,4596.6494,4551.953,4611.667,4631.5522,4636.6875,4618.64,4571.5454,4602.352,4573.629,4582.153,4576.1494,4606.5215,4574.7124,4594.739,4582.9067,4563.9224,4566.1675,4516.2314,4503.8857,4577.8096,4531.153,4543.689,4540.7666,4574.8296,4655.627,4593.1187,4593.8755,4561.291,4578.1997
2000-01-14,4645.81,4646.0977,4694.9966,4647.9995,4711.4517,4729.252,4733.598,4719.858,4672.505,4700.963,4663.864,4679.443,4674.1816,4701.5093,4674.987,4694.8237,4674.9644,4653.6187,4649.2026,4599.6206,4596.93,4677.0977,4631.3696,4641.98,4628.8267,4666.6216,4756.458,4695.8706,4690.8623,4659.1343,4673.797
2000-01-15,4677.1953,4677.8916,4727.1504,4679.982,4743.3975,4760.4883,4765.898,4752.388,4704.8677,4732.999,4695.77,4711.1055,4706.666,4733.3735,4707.4307,4727.0776,4706.6562,4685.083,4679.9907,4630.6724,4628.876,4709.4966,4663.549,4674.7173,4660.0254,4698.76,4788.053,4728.507,4722.842,4691.206,4705.737
2000-01-16,4704.7974,4705.552,4754.8535,4707.6514,4770.784,4787.2754,4793.844,4780.3115,4732.6323,4760.566,4723.7236,4738.3643,4734.7407,4760.9814,4735.3184,4754.7803,4734.2725,4712.597,4707.2173,4658.1523,4656.6987,4737.4033,4691.1577,4703.0435,4687.3735,4726.852,4815.0127,4756.4414,4750.4434,4718.851,4733.3896
2000-01-17,4730.1196,4731.079,4780.55,4733.269,4796.2734,4812.197,4819.714,4806.2812,4758.4546,4786.165,4749.418,4763.6553,4760.74,4786.5015,4761.2334,4780.521,4759.7344,4737.913,4732.1226,4683.2676,4682.3687,4763.3037,4716.827,4729.266,4712.5137,4752.7026,4840.16,4782.4644,4776.0156,4744.4897,4758.977
2000-01-18,4771.9263,4770.9595,4818.6387,4772.079,4832.894,4848.1777,4858.909,4843.9087,4795.807,4823.7954,4791.0303,4801.0283,4799.949,4825.574,4799.086,4818.0312,4799.877,4778.4917,4774.3667,4726.091,4722.682,4801.619,4754.0044,4769.002,4753.336,4794.077,4875.3833,4819.54,4814.3193,4782.589,4797.906
2000-01-19,4841.913,4839.7964,4886.302,4840.2266,4899.126,4913.158,4927.6973,4911.6885,4863.152,4891.013,4861.4023,4867.565,4868.9565,4893.707,4866.938,4885.3384,4868.812,4847.464,4844.063,4796.514,4792.096,4869.8247,4820.9233,4838.7554,4822.331,4864.4507,4940.045,4886.964,4881.9355,4850.169,4866.078
2000-01-20,4925.0107,4922.4155,4968.264,4922.502,4979.885,4992.354,5010.7144,4994.225,4945.1646,4972.627,4945.245,4948.217,4952.302,4975.6987,4949.42,4967.143,4951.3867,4929.7803,4926.3955,4879.5625,4875.363,4952.543,4902.338,4922.9565,4904.5522,4948.442,5019.234,4969.3184,4963.653,4932.003,4948.2905
