,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2019-06-20,9878.673,9697.638,9757.275,9907.084,9852.28,9910.4375,9891.878,9581.124,9789.366,9929.577,9874.291,9773.143,9841.589,9787.728,9806.445,9753.785,9661.592,9768.686,9923.148,9921.555,9873.333,9815.799,9875.683,9776.649,9862.264,9652.682,9844.544,9693.911,9792.501,9685.19,9805.993
2019-06-21,9916.842,9733.818,9792.492,9950.871,9896.209,9949.404,9935.843,9621.214,9833.596,9967.46,9910.991,9809.427,9886.566,9828.492,9851.903,9795.182,9701.8545,9810.491,9961.905,9963.32,9916.378,9858.229,9913.571,9816.548,9899.159,9698.719,9882.273,9736.502,9830.321,9730.422,9846.667
2019-06-22,9974.213,9791.525,9850.8545,10014.104,9956.578,10007.822,9998.108,9675.727,9894.584,10019.209,9973.131,9855.887,9952.824,9887.659,9912.937,9842.463,9754.727,9869.165,10023.999,10025.525,9976.701,9909.441,9975.478,9870.815,9950.731,9759.506,9943.077,9798.329,9880.728,9790.776,9904.555
2019-06-23,10052.154,9867.865,9934.403,10096.75,10031.948,10089.984,10077.531,9741.38,9971.367,10107.699,10060.589,9910.186,10041.247,9967.417,9986.535,9900.574,9815.312,9956.683,10103.518,10099.3125,10052.855,9976.624,10063.435,9942.574,10039.54,9838.457,10024.33,9878.17,9954.589,9874.994,9981.934
2019-06-24,10051.262,9864.772,9932.25,10094.11,10029.167,10087.969,10075.482,9738.862,9970.398,10103.275,10057.205,9907.799,10038.948,9965.356,9984.017,9897.822,9812.837,9953.152,10102.4795,10097.944,10051.054,9973.921,10061.526,9939.517,10035.533,9835.253,10020.835,9875.286,9951.383,9871.071,9979.35
2019-06-25,10054.059,9868.998,9938.241,10098.431,10031.259,10093.739,10078.948,9741.079,9972.764,10109.752,10063.803,9907.758,10043.624,9969.845,9985.677,9898.221,9813.244,9957.596,10107.713,10101.044,10054.13,9974.546,10068.282,9941.497,10041.811,9837.773,10026.173,9879.358,9954.693,9874.735,9982.96
2019-06-26,10036.82,9850.853,9920.136,10079.084,10011.013,10075.601,10058.984,9723.406,9953.966,10091.0,10045.555,9891.558,10022.732,9950.744,9965.363,9881.877,9795.241,9937.849,10089.498,10081.868,10035.096,9956.594,10049.439,9922.733,10023.559,9816.951,10008.261,9859.785,9936.924,9853.703,9964.208
2019-06-27,10018.62,9831.618,9900.48,10058.197,9989.7,10055.797,10037.704,9704.897,9933.732,10070.761,10025.536,9875.259,10000.057,9930.532,9944.17,9865.185,9776.645,9916.905,10069.917,10061.888,10014.972,9938.159,10029.024,9903.389,10003.719,9795.139,9988.704,9839.048,9918.342,9831.654,9944.325
2019-06-28,10003.558,9816.18,9883.489,10040.156,9973.02,10039.167,10020.281,9689.813,9916.092,10053.936,10008.324,9863.676,9980.678,9913.515,9927.144,9852.397,9762.4795,9899.641,10053.348,10044.862,9997.979,9923.366,10011.659,9888.805,9987.048,9777.634,9972.408,9821.641,9903.329,9813.962,9927.986
2019-06-29,9997.336,9811.185,9875.408,10033.416,9969.966,10031.988,10015.378,9687.188,9910.484,10048.712,10000.526,9864.837,9973.381,9907.726,9924.166,9853.94,9761.443,9895.01,10045.421,10040.317,9993.176,9921.826,10003.142,9887.303,9981.368,9774.555,9966.882,9816.675,9900.491,9810.774,9923.467
