,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,14431.396,14097.409,14419.373,14252.264,14406.927,14377.279,14309.332,14265.737,14649.61,14424.338,14361.91,14441.981,14482.814,14413.712,14379.545,14463.356,14546.381,14447.875,14342.336,14313.504,14316.105,13952.237,14153.891,14333.012,13745.4795,14410.349,14461.6,14471.412,14550.346,14240.638,14348.736
2024-02-04,14426.266,14091.926,14411.046,14241.827,14399.658,14367.157,14301.192,14268.379,14640.455,14420.746,14334.11,14431.982,14464.372,14405.022,14369.984,14467.955,14536.799,14428.912,14350.525,14309.2,14314.626,13944.614,14151.017,14317.23,13733.688,14391.895,14455.623,14467.4,14548.989,14221.813,14340.481
2024-02-05,14489.806,14128.934,14475.739,14292.705,14445.616,14414.526,14359.807,14315.71,14708.09,14481.067,14396.515,14489.097,14531.107,14442.967,14426.922,14504.342,14601.123,14487.39,14410.494,14360.881,14366.958,13982.455,14190.409,14368.575,13771.564,14448.651,14514.731,14528.157,14585.668,14265.814,14392.86
2024-02-06,14509.225,14141.532,14497.115,14311.523,14461.501,14432.257,14379.48,14326.837,14730.668,14498.842,14427.344,14509.335,14558.245,14457.469,14446.887,14511.571,14623.051,14512.616,14422.091,14376.749,14381.534,13996.379,14202.291,14390.277,13787.651,14473.156,14533.42,14546.266,14596.049,14287.15,14410.951
2024-02-07,14492.975,14132.046,14480.541,14298.452,14449.714,14420.085,14364.459,14314.791,14713.336,14483.427,14411.174,14494.68,14541.058,14447.714,14432.279,14502.333,14606.558,14497.53,14406.873,14363.531,14368.176,13986.659,14192.219,14377.038,13777.886,14458.517,14518.291,14530.736,14586.684,14275.756,14397.518
2024-02-08,14549.557,14162.737,14535.336,14338.021,14487.411,14456.556,14413.567,14362.798,14770.215,14538.302,14446.105,14540.653,14588.648,14476.4,14478.48,14541.568,14659.86,14536.691,14472.092,14409.425,14417.268,14016.215,14227.576,14412.209,13803.694,14496.476,14569.834,14585.648,14620.8,14301.094,14440.509
2024-02-09,14567.64,14176.359,14557.592,14360.336,14504.897,14477.836,14434.466,14368.263,14794.037,14553.884,14492.053,14563.579,14623.806,14494.167,14500.829,14542.594,14683.602,14570.97,14472.772,14424.301,14428.739,14032.641,14238.408,14441.231,13825.29,14529.796,14588.149,14601.832,14629.249,14332.526,14460.395
2024-02-10,14511.741,14143.432,14500.216,14314.635,14463.9375,14435.226,14382.394,14327.588,14733.987,14501.008,14433.766,14512.531,14563.153,14459.948,14450.002,14511.704,14626.359,14517.405,14422.202,14378.82,14383.13,13998.671,14203.798,14394.33,13790.667,14477.811,14535.97,14548.516,14597.222,14291.543,14413.723
2024-02-11,14489.355,14129.751,14476.622,14295.081,14446.828,14416.914,14360.865,14312.577,14709.207,14480.086,14405.918,14491.021,14536.281,14445.131,14428.664,14500.824,14602.565,14493.135,14404.43,14360.576,14365.399,13984.162,14189.997,14373.245,13775.075,14454.248,14514.834,14527.34,14584.713,14272.109,14394.231
2024-02-12,14496.713,14133.691,14483.686,14300.096,14451.657,14421.527,14367.181,14318.954,14716.527,14487.249,14409.99,14496.89,14542.2,14448.745,14434.57,14506.083,14609.407,14497.935,14413.183,14366.542,14371.841,13987.911,14194.602,14377.577,13778.25,14458.896,14521.513,14534.499,14589.184,14275.088,14399.739
