,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,14526.749,14495.875,14541.282,14329.741,14376.946,14464.061,14492.379,14461.431,14524.751,14329.001,14459.001,14509.893,14522.171,14556.282,14526.363,14515.844,14361.623,14421.092,14506.646,14431.046,14377.61,14389.752,14384.703,14420.721,14469.937,14441.534,14457.429,14415.833,14482.158,14487.594,14455.981
2024-02-04,14578.376,14522.866,14565.017,14372.556,14408.577,14487.079,14536.398,14527.147,14562.615,14366.143,14468.504,14527.072,14532.466,14588.757,14516.6455,14537.856,14393.824,14453.371,14536.183,14443.982,14396.599,14447.047,14417.744,14446.646,14496.9,14449.991,14471.721,14437.274,14508.329,14495.829,14483.119
2024-02-05,14647.136,14586.833,14629.47,14429.012,14466.132,14554.338,14597.059,14593.44,14622.462,14422.265,14520.849,14583.673,14595.828,14645.111,14576.145,14598.409,14454.655,14516.798,14603.129,14493.465,14456.661,14507.788,14481.763,14506.637,14562.448,14516.317,14534.261,14501.757,14567.6045,14560.142,14544.386
2024-02-06,14638.612,14589.772,14634.22,14421.796,14464.98,14560.198,14590.33,14576.991,14618.7,14417.89,14529.755,14589.737,14607.231,14643.207,14596.866,14603.0205,14454.075,14516.861,14605.539,14499.844,14462.705,14494.223,14481.592,14509.076,14565.819,14529.452,14543.382,14507.698,14569.7295,14572.861,14546.537
2024-02-07,14621.556,14573.71,14618.004,14407.795,14450.598,14543.259,14575.267,14560.691,14603.787,14403.922,14516.493,14575.463,14591.169,14629.137,14581.604,14587.781,14438.86,14500.986,14588.74,14487.344,14447.564,14479.262,14465.572,14494.019,14549.353,14512.618,14527.567,14491.452,14554.856,14556.538,14531.163
2024-02-08,14734.631,14659.829,14701.638,14501.02,14534.744,14628.948,14673.64,14684.165,14695.795,14491.685,14575.557,14645.588,14661.566,14712.89,14630.133,14666.096,14526.682,14591.379,14680.037,14546.762,14522.663,14589.748,14557.224,14575.338,14636.97,14584.205,14600.793,14573.037,14635.709,14625.982,14614.814
2024-02-09,14683.386,14638.209,14684.141,14458.419,14506.193,14612.8,14630.32,14615.017,14659.951,14456.046,14573.447,14634.76,14660.509,14683.073,14653.147,14650.013,14498.03,14563.11,14655.817,14539.875,14510.235,14530.005,14528.123,14554.304,14615.676,14585.973,14594.639,14558.385,14614.239,14627.654,14592.517
2024-02-10,14631.41,14586.724,14631.748,14415.807,14460.963,14557.922,14584.24,14567.278,14613.659,14412.879,14529.441,14588.203,14607.063,14639.012,14600.074,14600.748,14450.042,14512.881,14602.125,14498.863,14460.945,14485.829,14477.494,14506.11,14562.813,14529.681,14542.502,14505.625,14566.702,14573.077,14543.395
2024-02-11,14621.909,14572.467,14616.493,14408.115,14450.028,14541.553,14575.465,14562.224,14603.567,14403.837,14514.537,14573.863,14588.71,14628.692,14577.846,14586.341,14438.168,14500.166,14587.535,14485.791,14445.921,14480.446,14464.777,14492.897,14548.027,14509.871,14525.448,14489.77,14553.79,14553.876,14530.071
2024-02-12,14637.8,14584.333,14627.969,14421.221,14461.723,14553.285,14589.271,14579.753,14616.417,14416.113,14522.503,14583.433,14598.185,14640.352,14584.056,14597.083,14450.356,14512.696,14600.135,14493.868,14456.183,14496.104,14477.488,14504.111,14560.091,14519.468,14535.371,14500.933,14564.947,14563.186,14541.614
2024-02-13,14706.099,14640.404,14683.236,14477.451,14514.78,14610.337,14648.984,14651.262,14673.3545,14470.087,14563.918,14630.666,14647.887,14692.834,14623.847,14648.904,14505.999,14570.251,14659.271,14534.422,14506.573,14560.588,14535.744,14556.912,14617.301,14570.671,14585.895,14555.406,14617.317,14612.848,14595.775
2024-02-14,14751.127,14686.229,14730.055,14514.341,14554.637,14659.521,14688.994,14691.696,14713.869,14507.773,14603.769,14672.469,14696.35,14731.576,14672.9795,14692.943,14548.353,14614.655,14706.987,14571.355,14550.789,14598.18,14580.478,14599.773,14664.386,14621.836,14632.958,14602.678,14659.5625,14662.454,14639.426
2024-02-15,14593.761,14568.838,14616.547,14384.549,14438.886,14543.416,14552.271,14517.995,14586.652,14386.221,14525.056,14577.838,14602.738,14616.171,14611.803,14586.698,14427.711,14490.652,14582.356,14491.498,14449.327,14443.05,14454.683,14488.839,14545.052,14527.043,14534.868,14492.294,14549.183,14570.493,14525.217
2024-02-16,14538.114,14499.235,14543.481,14339.218,14382.488,14465.757,14501.882,14477.854,14532.22,14336.564,14457.4375,14510.568,14519.863,14562.226,14517.551,14517.813,14367.061,14426.315,14510.606,14430.924,14378.587,14403.8,14390.135,14424.083,14473.143,14438.325,14456.568,14417.244,14485.67,14484.493,14459.641
2024-02-17,14720.078,14636.341,14676.334,14489.273,14517.085,14601.716,14660.078,14677.671,14679.782,14477.44,14550.385,14621.633,14630.526,14696.31,14591.817,14642.1875,14507.434,14570.698,14656.064,14524.834,14497.602,14582.421,14536.567,14553.599,14612.572,14550.615,14572.107,14546.631,14614.492,14593.427,14592.924
2024-02-18,14852.462,14769.869,14812.58,14597.76,14633.6045,14744.7,14777.623,14797.455,14798.498,14587.958,14665.85,14743.091,14770.887,14809.654,14733.174,14770.33,14631.192,14700.374,14795.173,14632.04,14626.11,14693.607,14667.231,14678.5205,14749.739,14698.6875,14708.612,14684.074,14737.652,14736.989,14720.185
2024-02-19,14824.043,14764.674,14810.842,14573.997,14621.513,14744.294,14754.095,14753.959,14780.906,14569.81,14674.305,14745.266,14782.342,14796.298,14763.505,14768.986,14619.657,14689.654,14788.4375,14636.044,14627.652,14656.702,14655.947,14673.032,14745.12,14713.021,14715.751,14684.662,14731.669,14750.8545,14713.9
2024-02-20,14760.662,14708.127,14754.265,14521.908,14569.791,14685.605,14698.354,14691.018,14726.552,14518.652,14629.48,14696.0,14728.222,14745.483,14714.912,14715.865,14565.133,14632.953,14729.111,14593.215,14575.289,14599.366,14598.663,14619.932,14687.256,14656.637,14661.86,14628.324,14679.137,14696.177,14659.598
2024-02-21,14708.748,14658.3125,14703.821,14479.313,14525.499,14633.038,14652.444,14642.115,14680.854,14475.916,14587.808,14651.435,14677.691,14702.226,14666.0625,14668.455,14518.231,14583.957,14677.069,14554.105,14528.055,14554.351,14549.243,14573.258,14636.158,14603.573,14612.283,14577.69,14633.059,14644.728,14611.982
2024-02-22,14671.191,14621.885,14666.873,14448.508,14493.244,14594.422,14619.201,14607.034,14647.663,14444.909,14557.11,14618.728,14640.447,14670.751,14629.721,14633.722,14484.053,14548.229,14639.036,14525.365,14493.401,14522.0,14513.213,14539.14,14598.784,14564.424,14575.814,14540.5625,14599.386,14606.768,14577.1875
2024-02-23,14712.79,14649.394,14692.75,14482.889,14521.902,14620.496,14655.087,14655.617,14680.108,14476.204,14572.929,14639.504,14658.953,14699.61,14636.787,14657.882,14513.688,14578.439,14668.513,14542.421,14515.852,14564.964,14543.95,14565.264,14626.604,14582.561,14596.276,14565.228,14625.496,14624.373,14604.218
2024-02-24,14982.269,14867.632,14907.303,14704.803,14729.597,14841.688,14890.472,14940.03,14903.751,14688.444,14732.097,14822.27,14849.756,14905.285,14786.045,14859.008,14731.306,14803.343,14898.897,14698.985,14710.96,14821.054,14771.663,14770.874,14849.161,14778.71,14790.971,14776.321,14829.514,14814.62,14815.228
2024-02-25,15122.244,15019.367,15063.73,14819.299,14858.6045,15005.823,15015.524,15058.686,15032.822,14807.805,14869.127,14963.389,15016.86,15030.063,14962.783,15006.263,14868.918,14948.15,15056.38,14824.484,14859.933,14932.753,14917.356,14912.548,15005.3545,14956.008,14951.6875,14935.174,14968.931,14986.502,14959.219
2024-02-26,15046.616,14976.7295,15025.332,14756.643,14810.5625,14967.713,14950.817,14964.768,14976.314,14752.661,14850.815,14934.496,14996.288,14981.046,14969.009,14970.564,14819.765,14898.6045,15010.062,14801.969,14828.273,14850.545,14866.744,14871.756,14962.579,14937.529,14925.944,14899.792,14927.893,14968.543,14916.679
