,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,14431.955,14563.824,14395.971,14495.357,14395.823,14578.873,14351.164,14427.2,14542.658,14495.615,14278.061,14479.732,14443.219,14406.589,14368.05,14457.771,14498.13,14375.45,14587.287,14636.525,14457.609,14328.287,14566.954,14414.265,14390.0,14579.85,14253.435,14349.811,14397.73,14389.101,14444.543
2024-02-04,14470.958,14566.781,14411.859,14536.828,14424.328,14601.107,14383.553,14447.296,14575.398,14513.6455,14301.595,14502.092,14464.6875,14430.287,14398.531,14489.544,14525.442,14412.206,14624.609,14668.85,14494.114,14359.018,14598.874,14451.759,14408.189,14613.918,14285.062,14372.501,14419.623,14416.83,14472.315
2024-02-05,14528.332,14617.577,14458.448,14607.85,14480.852,14658.725,14451.168,14494.38,14638.564,14573.72,14358.823,14563.269,14520.349,14492.813,14454.307,14541.067,14585.879,14471.828,14687.788,14729.129,14555.625,14414.767,14657.243,14512.121,14469.872,14678.615,14337.2705,14427.745,14475.3545,14478.844,14530.745
2024-02-06,14523.328,14629.457,14462.536,14605.14,14481.044,14662.445,14452.283,14496.423,14638.323,14580.261,14361.772,14567.863,14523.951,14497.074,14453.28,14538.253,14587.72,14468.578,14685.185,14728.342,14553.002,14413.607,14656.159,14508.685,14476.755,14678.093,14334.709,14430.602,14478.752,14480.885,14531.815
2024-02-07,14509.06,14616.531,14450.801,14587.435,14466.894,14647.959,14435.34,14484.6045,14622.519,14565.109,14347.397,14552.472,14509.956,14481.347,14439.34,14525.408,14572.562,14453.713,14669.418,14713.27,14537.654,14399.676,14641.57,14493.639,14461.195,14661.909,14321.688,14416.726,14464.744,14465.326,14517.174
2024-02-08,14599.699,14668.155,14510.094,14693.406,14547.199,14723.632,14529.86,14548.187,14713.068,14639.341,14423.879,14631.689,14583.05,14563.082,14520.716,14603.86,14655.56,14544.489,14764.137,14800.657,14630.0205,14481.255,14726.752,14585.794,14537.121,14755.142,14400.666,14490.524,14538.29,14550.221,14598.651
2024-02-09,14561.998,14673.869,14499.017,14655.12,14522.336,14706.731,14502.231,14531.99,14684.184,14628.104,14405.3,14615.292,14566.744,14545.276,14493.265,14574.028,14632.889,14509.9795,14729.579,14771.724,14596.171,14453.491,14697.994,14550.506,14525.982,14724.894,14371.135,14472.617,14521.466,14527.328,14575.042
2024-02-10,14518.026,14630.244,14460.969,14599.752,14477.543,14660.059,14448.39,14494.139,14634.255,14578.668,14359.151,14565.547,14521.648,14494.56,14449.416,14534.057,14584.523,14463.723,14680.321,14724.271,14548.238,14409.701,14652.11,14503.719,14475.176,14673.832,14330.556,14428.075,14476.378,14477.657,14528.49
2024-02-11,14509.048,14614.165,14449.616,14586.92,14466.144,14646.684,14434.314,14483.706,14621.746,14563.3955,14346.237,14551.025,14508.724,14479.933,14438.775,14525.157,14571.523,14453.422,14668.987,14712.613,14537.247,14399.131,14640.98,14493.365,14459.411,14661.157,14321.392,14415.605,14463.54,14464.241,14516.272
2024-02-12,14521.741,14621.025,14457.734,14601.68,14477.274,14657.083,14447.392,14492.471,14634.309,14573.523,14356.769,14561.8955,14518.769,14491.159,14450.085,14536.1045,14582.984,14466.09,14682.186,14724.748,14550.12,14410.471,14652.819,14506.226,14469.767,14674.096,14332.408,14425.767,14473.653,14475.958,14527.545
2024-02-13,14577.276,14658.984,14497.228,14667.956,14528.464,14706.843,14508.024,14533.815,14691.83,14623.577,14406.711,14614.285,14566.835,14545.007,14501.433,14584.824,14636.598,14522.464,14741.345,14780.024,14607.776,14461.891,14706.5625,14563.399,14521.044,14733.206,14381.568,14473.961,14521.92,14530.864,14579.857
