,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,11905.376,11939.868,12039.401,12248.438,12406.699,12466.698,12462.422,12771.32,12872.898,12967.941,13017.139,12547.929,12612.813,12333.27,11977.7295,11833.084,11601.909,11385.763,11541.4375,11269.932,11351.737,11333.133,11150.302,11224.799,11402.434,11098.089,11241.042,11276.016,11388.201,11520.9375,11906.292
1,11823.493,11866.806,11965.665,12163.178,12312.82,12374.609,12366.421,12689.722,12793.366,12913.1875,13040.649,12690.406,12828.483,12737.185,12514.699,12302.541,12067.523,11862.8955,12016.06,11706.899,11811.727,11803.929,11589.157,11653.229,11856.183,11760.402,11669.663,11703.493,11724.657,11753.604,12145.423
2,11732.823,11784.377,11878.464,12065.998,12206.236,12266.374,12254.793,12565.675,12667.116,12780.326,12947.056,12638.028,12809.978,12729.246,12631.592,12516.224,12237.68,12120.829,12314.712,12021.65,12090.542,12122.835,11884.14,11954.602,12124.187,12082.312,11860.915,11980.963,11896.155,11909.07,12235.83
3,11610.517,11672.935,11758.383,11932.373,12055.787,12107.322,12083.091,12377.214,12469.772,12574.667,12694.763,12377.093,12516.066,12446.049,12346.994,12288.831,12099.638,11997.15,12138.658,11911.744,11849.386,11963.174,11715.794,11767.856,11908.471,11865.779,11667.588,11777.314,11715.361,11724.668,12047.147
4,11615.4,11677.097,11762.779,11937.279,12063.195,12119.263,12106.494,12402.821,12505.318,12598.95,12774.845,12469.895,12701.076,12763.087,12747.385,12549.035,12252.185,12199.749,12403.7295,12196.606,12279.92,12281.861,12059.3125,12167.401,12205.525,12240.916,12055.263,12200.858,12160.475,12182.961,12256.022
5,11617.997,11679.269,11765.03,11939.761,12065.987,12121.849,12101.537,12397.739,12493.685,12595.038,12755.073,12460.6045,12641.428,12575.556,12477.178,12421.26,12181.869,12191.828,12301.002,12091.719,12000.117,12117.306,11881.343,11938.55,12032.691,12052.75,11839.141,11965.389,11885.542,11958.493,12151.56
6,11614.991,11676.511,11762.116,11936.498,12061.492,12114.468,12091.853,12386.917,12480.81,12584.564,12725.009,12421.386,12563.914,12491.528,12395.238,12337.533,12106.786,11992.874,12193.518,11913.889,11896.837,12016.259,11768.459,11826.206,11964.635,11939.519,11724.558,11847.929,11774.672,11798.546,12080.317
7,11609.672,11672.07,11756.98,11930.843,12055.923,12111.478,12091.125,12386.413,12482.082,12582.725,12742.744,12447.224,12654.786,12593.962,12504.32,12415.933,12126.727,12048.266,12257.376,11984.384,12020.367,12106.869,11879.625,11952.581,12038.9375,12059.189,11844.976,11967.094,11886.088,11953.611,12138.813
8,11642.09,11701.729,11789.554,11967.053,12096.2705,12153.665,12138.411,12438.297,12538.53,12639.131,12806.594,12509.534,12720.816,12699.737,12619.521,12532.164,12282.742,12224.691,12408.839,12171.714,12133.443,12233.916,11994.6455,12064.343,12121.131,12148.963,11948.073,12070.561,11987.433,12063.428,12228.234
9,11608.038,11670.105,11755.293,11928.933,12053.928,12109.645,12094.48,12389.935,12489.603,12584.139,12754.566,12456.207,12671.256,12681.361,12626.141,12513.528,12256.995,12292.282,12394.025,12240.932,12161.523,12235.961,11998.31,12087.477,12123.927,12160.462,11974.547,12115.202,12036.797,12108.834,12219.149
