,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,13726.148,13011.545,13061.327,12911.616,12957.617,13246.806,13492.531,13089.9,13370.539,14912.416,13104.18,13747.432,13049.596,14431.676,13460.416,14835.455,13947.754,13241.567,12841.207,15270.784,13514.912,13158.297,13261.231,14426.094,14096.148,14393.3,13408.803,12893.429,12970.937,13228.63,13568.745
2024-02-04,13728.407,13010.503,13062.745,12912.756,12956.4,13246.424,13495.309,13091.574,13371.563,14918.352,13105.76,13748.28,13050.728,14395.79,13461.647,14834.572,13950.383,13239.33,12841.35,15269.09,13513.6045,13160.843,13259.278,14429.0,14100.182,14398.118,13410.474,12894.122,12970.558,13230.153,13568.577
2024-02-05,13731.463,13012.029,13062.812,12914.091,12956.586,13246.388,13498.025,13098.303,13372.632,14922.061,13108.925,13749.307,13051.621,14465.469,13462.967,14833.914,13951.6045,13238.42,12844.439,15268.759,13511.385,13162.012,13259.299,14430.727,14101.863,14398.318,13414.918,12895.916,12970.289,13231.509,13572.2
2024-02-06,13731.102,13012.969,13062.097,12913.854,12957.263,13246.574,13497.307,13099.213,13372.387,14919.974,13108.942,13749.144,13051.2705,14502.745,13462.682,14834.197,13950.569,13239.337,12845.182,15269.548,13511.477,13161.008,13260.312,14429.679,14100.223,14395.885,13415.227,12896.031,12970.413,13231.078,13573.254
2024-02-07,13730.345,13012.571,13062.091,12913.523,12957.205,13246.58,13496.641,13097.511,13372.122,14919.084,13108.15,13748.888,13051.054,14484.471,13462.3545,14834.356,13950.282,13239.548,12844.394,15269.614,13512.029,13160.732,13260.289,14429.267,14099.833,14395.875,13414.11,12895.578,12970.4795,13230.748,13572.326
2024-02-08,13735.337,13013.101,13063.44,12915.845,12956.28,13246.2,13501.772,13105.527,13374.086,14928.034,13112.64,13750.643,13052.939,14519.405,13464.742,14832.921,13953.842,13236.641,12847.504,15267.764,13508.704,13164.163,13258.537,14433.564,14105.1045,14400.435,13419.907,12897.939,12969.877,13233.438,13575.677
2024-02-09,13733.104,13014.67,13061.7,12914.677,12957.82,13246.664,13498.837,13104.688,13373.013,14921.376,13111.261,13749.789,13051.702,14577.835,13463.464,14833.89,13950.814,13239.244,12847.896,15269.799,13509.917,13161.233,13260.959,14430.285,14100.425,14394.508,13418.66,12897.409,12970.296,13231.798,13576.591
2024-02-10,13730.789,13013.19,13061.853,12913.689,12957.479,13246.641,13496.8955,13099.094,13372.236,14919.04,13108.748,13749.023,13051.096,14510.863,13462.501,14834.333,13950.145,13239.701,12845.235,15269.833,13511.6455,13160.596,13260.651,14429.22,14099.567,14395.052,13415.052,12895.957,12970.473,13230.849,13573.382
2024-02-11,13730.356,13012.415,13062.195,12913.542,12957.104,13246.554,13496.708,13097.294,13372.145,14919.338,13108.107,13748.899,13051.092,14478.184,13462.378,14834.322,13950.416,13239.426,12844.247,15269.507,13512.044,13160.864,13260.142,14429.3955,14100.048,14396.226,13414.008,12895.54,12970.464,13230.794,13572.125
2024-02-12,13731.058,13012.466,13062.4,12913.87,12956.959,13246.494,13497.439,13098.382,13372.424,14920.631,13108.7295,13749.147,13051.362,14482.079,13462.717,14834.117,13950.935,13239.0,12844.66,15269.2295,13511.582,13161.365,13259.874,14430.017,14100.82,14396.918,13414.804,12895.864,12970.378,13231.177,13572.563
