,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,56342.883,56547.664,56286.723,56416.656,56462.31,56769.098,55907.953,55630.98,55395.633,56952.902,55606.34,56914.223,56591.902,56679.273,56917.945,56733.285,56407.867,55766.56,56541.41,57371.13,56665.586,56059.94,57357.09,57054.426,56997.766,56914.48,56240.707,57753.043,56460.76,56762.82,56550.312
2021-11-25,56113.145,56344.2,56076.555,56193.625,56251.055,56539.88,55715.586,55411.348,55202.484,56734.855,55404.074,56687.016,56373.96,56463.426,56691.08,56506.113,56196.516,55565.1,56319.08,57123.02,56444.4,55853.438,57125.75,56821.496,56779.027,56662.906,56009.16,57499.83,56242.367,56543.58,56329.805
2021-11-26,55917.8,56170.88,55897.555,56003.91,56071.016,56344.88,55551.22,55224.715,55037.9,56548.95,55231.863,56493.984,56188.44,56279.57,56498.055,56312.77,56016.41,55393.613,56130.266,56912.38,56256.08,55677.414,56928.832,56623.3,56592.75,56449.42,55812.27,57284.76,56056.63,56356.688,56142.14
2021-11-27,55767.965,56037.773,55759.867,55858.387,55932.824,56195.203,55424.883,55081.84,54911.188,56406.273,55099.574,56346.027,56045.953,56138.33,56349.688,56164.242,55877.99,55261.664,55985.168,56750.3,56111.46,55541.96,56777.8,56471.207,56449.75,56285.88,55661.35,57120.28,55914.086,56212.957,55998.062
2021-11-28,55642.9,55926.492,55645.06,55736.848,55817.145,56070.285,55318.84,54962.367,54805.55,56286.727,54989.117,56222.574,55927.01,56020.33,56226.062,56040.332,55762.316,55151.773,55864.637,56615.965,55990.66,55428.934,56651.477,56344.2,56330.195,56149.6,55535.246,56982.707,55795.14,56092.9,55877.777
2021-11-29,55508.895,55807.145,55521.86,55606.62,55693.1,55936.395,55204.996,54834.496,54692.13,56158.543,54870.66,56090.383,55799.473,55893.766,56093.47,55907.445,55638.23,55033.836,55735.402,56471.867,55861.13,55307.582,56516.11,56208.07,56202.004,56003.742,55400.176,56835.55,55667.66,55964.043,55748.82
2021-11-30,55307.832,55627.72,55337.203,55411.094,55506.36,55735.53,55033.07,54642.24,54522.14,55965.375,54692.848,55892.105,55608.066,55703.65,55894.918,55708.17,55451.785,54857.293,55542.543,56257.344,55666.605,55125.543,56312.508,56003.707,56009.297,55785.316,55197.277,56614.258,55476.434,55770.527,55555.29
2021-12-01,55053.25,55400.215,55102.227,55163.52,55269.902,55480.875,54815.152,54399.71,54305.527,55720.94,54467.133,55641.305,55365.22,55462.44,55642.46,55455.188,55215.047,54632.44,55297.066,55983.54,55419.902,54893.797,56054.938,55744.797,55765.137,55509.137,54940.742,56335.586,55234.06,55524.59,55309.863
2021-12-02,54711.31,55093.66,54786.676,54830.723,54950.84,55138.777,54519.777,54073.332,54014.49,55390.78,54163.57,55304.707,55038.77,55137.797,55303.89,55115.35,54896.242,54330.91,54969.22,55618.848,55087.99,54582.125,55707.883,55396.727,55436.24,55139.285,54595.746,55960.703,54908.5,55193.547,54979.945
2021-12-03,54514.79,54917.52,54602.727,54639.68,54768.637,54941.664,54351.63,53888.277,53844.344,55202.875,53988.18,55111.69,54850.414,54950.703,55106.645,54918.79,54712.33,54154.48,54776.676,55402.316,54896.957,54400.67,55509.973,55196.766,55247.695,54926.848,54398.758,55749.1,54721.03,55001.996,54789.81
