,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,56858.066,57177.754,56631.934,57381.957,57378.316,57135.2,56611.883,57190.81,57673.18,56929.715,55883.98,51903.945,57535.9,56906.9,55995.703,57260.156,56855.656,56366.336,56675.95,57597.66,56626.96,56235.383,56637.16,57801.516,57037.516,56894.703,56932.65,56531.36,56225.004,57358.48,56741.06
2021-11-25,56602.22,56920.23,56389.49,57090.125,57108.895,56871.24,56362.297,56914.68,57405.52,56668.953,55634.86,51651.316,57264.84,56635.89,55767.066,56989.594,56582.46,56119.78,56415.914,57328.984,56364.523,55992.977,56394.465,57504.184,56764.11,56641.32,56666.086,56287.1,55980.496,57088.387,56480.27
2021-11-26,56385.363,56701.82,56183.754,56843.465,56880.543,56647.688,56150.777,56681.105,57178.656,56447.992,55424.098,51440.332,57035.46,56406.504,55572.824,56760.703,56351.527,55910.793,56195.695,57101.426,56142.574,55787.336,56188.496,57252.727,56532.883,56426.395,56440.586,56079.992,55773.484,56859.69,56259.492
2021-11-27,56219.688,56535.125,56026.34,56655.33,56706.324,56476.992,55989.02,56502.7,57005.043,56279.312,55263.016,51278.082,56860.555,56231.543,55423.91,56585.625,56174.973,55750.74,56027.5,56927.426,55972.75,55630.33,56030.996,57061.01,56356.38,56262.42,56268.31,55921.527,55615.164,56685.016,56090.76
2021-11-28,56081.383,56395.633,55894.98,56498.69,56560.64,56334.61,55854.223,56354.242,56860.48,56138.418,55129.066,51147.305,56714.574,56085.516,55299.71,56440.21,56028.43,55617.582,55887.26,56782.55,55831.816,55498.94,55899.38,56901.156,56209.438,56125.1,56124.973,55789.44,55483.45,56539.434,55950.293
2021-11-29,55933.574,56246.617,55754.46,56331.54,56405.05,56182.516,55710.11,56195.68,56705.875,55987.906,54985.945,51007.53,56558.766,55929.625,55166.707,56284.785,55871.863,55475.11,55737.45,56627.688,55681.18,55358.55,55758.62,56730.574,56052.53,55978.434,55971.87,55648.176,55342.66,56383.895,55800.17
2021-11-30,55711.785,56022.43,55543.7,56081.53,56171.207,55954.535,55494.297,55958.65,56474.58,55761.953,54772.137,50806.047,56325.105,55695.81,54967.33,56052.934,55638.48,55262.145,55512.992,56396.0,55456.664,55147.312,55547.184,56475.023,55817.855,55757.6,55743.047,55436.55,55132.227,56150.984,55575.6
2021-12-01,55432.777,55741.117,55277.85,55767.465,55877.832,55667.863,55222.145,55660.145,56182.473,55478.105,54502.523,50545.707,56031.95,55402.355,54715.023,55760.047,55343.816,54992.777,55230.54,56103.81,55172.83,54882.12,55280.89,56154.41,55522.652,55480.746,55454.754,55169.54,54866.65,55857.832,55292.62
2021-12-02,55058.63,55362.805,54921.3,55348.367,55483.844,55284.05,54858.004,55261.773,55791.984,55097.36,54142.926,50212.668,55639.43,55009.324,54376.63,55369.996,54951.83,54632.914,54852.562,55713.312,54795.22,54525.375,54923.156,55725.773,55128.535,55108.137,55070.125,54812.03,54512.1,55465.746,54914.527
2021-12-03,54847.24,55151.45,54718.37,55110.92,55263.36,55067.008,54650.152,55034.52,55567.902,54883.11,53936.83,49998.023,55418.86,54788.336,54182.18,55144.863,54725.652,54425.434,54638.227,55490.184,54576.51,54325.836,54720.86,55484.47,54904.594,54900.637,54850.285,54607.79,54308.61,55243.08,54698.848
2021-12-04,54936.316,55241.617,54803.36,55210.28,55357.156,55158.26,54736.8,55129.066,55660.81,54973.727,54022.188,50075.348,55512.11,54881.742,54262.965,55237.41,54818.55,54511.06,54728.094,55583.016,54666.066,54410.895,54806.19,55586.176,54998.117,54989.47,54941.566,54692.926,54392.863,55336.27,54788.684
2021-12-05,55066.875,55373.426,54928.027,55356.27,55494.4,55292.12,54864.074,55268.1,55797.426,55106.47,54147.797,50193.0,55648.785,55018.633,54381.586,55373.82,54955.55,54637.08,54859.98,55719.445,54798.188,54535.254,54931.17,55735.395,55135.543,55119.24,55075.855,54817.945,54516.816,55473.105,54920.715
2021-12-06,55198.316,55506.016,55053.516,55503.516,55632.52,55426.957,54992.293,55408.29,55935.082,55240.098,54274.484,50313.234,55786.477,55156.527,54500.98,55511.457,55093.824,54764.074,54992.85,55856.94,54931.527,54660.324,55056.91,55885.793,55274.113,55249.746,55211.28,54943.867,54641.777,55610.977,55053.793
2021-12-07,55343.754,55652.9,55192.17,55666.574,55785.54,55576.195,55133.99,55563.35,56087.113,55388.062,54414.51,50444.707,55939.04,55309.285,54632.684,55663.457,55246.594,54904.227,55139.86,56008.926,55078.73,54798.83,55195.938,56052.445,55427.47,55394.367,55361.027,55082.99,54779.84,55763.5,55200.938
2021-12-08,55381.797,55690.35,55228.91,55709.816,55824.777,55615.406,55171.87,55604.965,56128.2,55426.457,54452.44,50490.73,55978.652,55348.977,54668.14,55705.23,55288.656,54942.477,55178.703,56049.734,55119.508,54834.207,55232.23,56095.984,55468.312,55430.973,55401.363,55120.18,54817.26,55803.94,55240.34
2021-12-09,55164.156,55469.79,55021.79,55466.242,55595.16,55392.21,54960.48,55373.74,55901.758,55204.805,54243.906,50302.89,55750.117,55120.168,54471.9,55479.36,55061.676,54733.992,54959.02,55823.13,54901.0,54626.258,55024.14,55846.527,55239.383,55213.59,55178.188,54912.656,54611.69,55576.125,55020.867
2021-12-10,54966.895,55271.844,54832.9,55244.84,55388.766,55189.727,54767.18,55162.33,55693.723,55004.613,54052.47,50110.547,55543.91,54913.613,54291.49,55270.723,54852.04,54541.664,54759.25,55615.67,54698.547,54439.453,54835.44,55621.062,55030.773,55019.043,54973.805,54722.777,54422.785,55368.688,54820.215
2021-12-11,55015.426,55321.53,54878.887,55298.688,55440.348,55239.35,54813.88,55213.242,55743.527,55054.164,54098.22,50146.04,55594.92,54964.684,54334.81,55319.96,54901.45,54587.348,54807.98,55665.63,54746.004,54486.29,54881.934,55676.57,55081.34,55068.152,55022.87,54768.637,54467.906,55419.145,54868.63
2021-12-12,55260.46,55569.52,55112.406,55572.73,55698.51,55490.594,55052.203,55473.727,55999.023,55303.56,54333.316,50360.492,55851.883,55222.0,54556.47,55574.84,55157.484,54822.74,55055.363,55921.07,54992.68,54720.168,55116.363,55957.035,55339.08,55312.484,55274.363,55002.68,54699.76,55675.73,55115.953
2021-12-13,55694.906,56008.434,55526.125,56060.824,56156.008,55936.703,55475.316,55937.348,56452.81,55745.797,54751.81,50753.598,56308.38,55678.965,54948.863,56028.953,55614.137,55240.848,55494.71,56374.992,55432.45,55133.938,55531.28,56455.938,55797.76,55744.746,55722.05,55417.906,55112.105,56131.62,55555.64
2021-12-14,56099.797,56415.832,55911.684,56518.656,56581.434,56353.324,55870.848,56372.27,56877.562,56157.734,55144.746,51144.625,56734.594,56105.477,55314.57,56456.22,56044.44,55632.613,55905.31,56800.04,55846.805,55517.88,55917.027,56922.65,56227.797,56145.508,56142.184,55805.727,55498.82,56557.973,55967.465
2021-12-15,56231.754,56547.676,56037.61,56668.797,56719.363,56489.363,56000.47,56515.246,57017.145,56291.74,55274.2,51284.77,56873.438,56244.414,55434.34,56597.527,56186.94,55761.715,56039.59,56939.645,55984.16,55642.133,56042.5,57075.02,56368.926,56274.9,56280.38,55932.754,55626.15,56697.527,56102.67
2021-12-16,56164.496,56479.56,55973.89,56592.74,56648.26,56420.15,55935.145,56443.332,56947.223,56223.113,55209.426,51224.59,56802.316,56173.29,55374.273,56527.383,56116.26,55697.44,55971.492,56869.5,55916.27,55577.99,55978.492,56997.215,56297.645,56207.75,56210.98,55868.746,55562.473,56626.867,56034.613
2021-12-17,56027.727,56341.49,55844.016,56438.01,56504.105,56279.395,55801.953,56296.73,56804.438,56083.758,55077.168,51097.16,56657.977,56028.895,55251.516,56383.89,55971.688,55565.96,55832.895,56726.387,55777.25,55447.934,55848.29,56839.2,56152.5,56071.79,56069.44,55738.207,55432.414,56482.992,55895.836
2021-12-18,55868.418,56180.895,55692.5,56257.953,56336.46,56115.504,55646.598,56125.87,56637.754,55921.57,54922.934,50946.56,56490.13,55860.945,55108.047,56216.375,55802.973,55412.34,55671.44,56559.47,55614.887,55296.617,55696.547,56655.457,55983.45,55913.74,55904.457,55585.906,55280.65,56315.383,55734.062
2021-12-19,55692.55,56003.395,55525.203,56059.645,56151.28,55934.703,55475.23,55937.664,56453.957,55742.508,54753.06,50783.66,56304.992,55675.67,54949.574,56031.99,55617.367,55242.984,55493.37,56375.45,55436.242,55129.35,55528.86,56452.934,55797.223,55738.977,55722.734,55417.848,55113.438,56130.57,55555.754
2021-12-20,55469.805,55778.53,55313.117,55809.055,55916.82,55705.887,55258.207,55699.652,56221.152,55515.79,54538.188,50579.242,56070.848,55441.3,54748.477,55798.75,55382.727,55028.426,55267.992,56142.51,55210.31,54917.39,55316.266,56196.92,55561.746,55517.59,55492.902,55204.926,54901.785,55896.684,55330.1
2021-12-21,55185.465,55491.402,55042.074,55490.055,55617.645,55414.05,54981.168,55396.355,55923.906,55226.508,54264.293,50321.062,55772.48,55142.56,54491.117,55501.438,55083.86,54754.39,54980.51,55845.293,54922.355,54646.64,55044.527,55870.934,55261.77,55234.887,55200.008,54932.97,54631.805,55598.41,55042.33
2021-12-22,54853.25,55156.043,54724.867,55118.508,55268.473,55073.438,54657.312,55042.516,55576.273,54888.76,53944.59,50020.785,55424.7,54794.223,54189.305,55154.25,54735.152,54433.684,54644.902,55498.08,54586.07,54330.258,54726.56,55491.23,54912.004,54904.76,54858.266,54614.85,54316.348,55250.24,54706.324
2021-12-23,54447.61,54746.117,54337.105,54666.836,54842.168,54658.145,54262.152,54611.89,55152.164,54476.53,53555.44,49663.137,55001.027,54369.72,53819.844,54731.84,54311.348,54042.36,54235.703,55074.8,54177.13,53943.355,54337.574,55029.258,54486.402,54501.13,54442.363,54226.402,53931.973,54825.863,54296.914
2021-12-24,54120.707,54417.04,54023.45,54303.438,54499.94,54323.66,53942.48,54264.2,54808.35,54144.93,53240.598,49363.215,54660.81,54028.68,53519.516,54389.207,53967.9,53724.51,53905.74,54732.535,53845.035,53632.51,54023.594,54658.367,54143.38,54177.445,54106.273,53911.87,53620.594,54483.508,53966.117
