,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,57742.156,56778.31,57085.527,56467.023,57221.023,57536.805,56757.402,57411.938,56839.914,57036.83,57300.684,56598.984,57121.934,56846.58,56665.207,57085.17,57782.137,57114.44,57714.734,57168.375,56996.445,56989.043,57893.457,56853.516,57978.645,57122.285,57857.78,56713.336,57132.117,56691.2,57150.1
2021-11-25,57410.434,56465.21,56768.156,56158.566,56903.93,57214.258,56441.01,57075.516,56522.668,56748.973,56982.48,56287.45,56796.78,56533.723,56347.85,56774.387,57447.668,56805.81,57386.152,56844.562,56687.504,56671.977,57562.062,56553.734,57637.027,56811.457,57515.504,56397.566,56816.34,56383.883,56831.758
2021-11-26,57128.617,56197.902,56497.176,55895.977,56632.84,56938.812,56172.184,56791.234,56253.25,56493.883,56707.656,56023.695,56518.977,56265.008,56077.195,56509.336,57163.633,56541.594,57103.83,56569.293,56423.055,56403.457,57278.777,56295.582,57347.9,56546.59,57225.1,56129.06,56546.59,56121.73,56560.0
2021-11-27,56927.582,56014.04,56307.8,55710.074,56444.35,56746.47,55980.31,56583.3,56063.207,56344.527,56525.383,55832.508,56325.418,56082.21,55887.203,56323.184,56960.324,56360.152,56911.984,56373.16,56240.41,56211.785,57082.65,56122.566,57138.05,56360.477,57016.42,55938.05,56358.637,55937.81,56370.324
2021-11-28,56742.5,55833.434,56126.973,55536.48,56262.785,56562.574,55803.67,56399.887,55884.758,56154.66,56335.37,55661.215,56139.65,55899.543,55707.793,56146.965,56774.062,56181.65,56719.883,56192.062,56062.516,56034.676,56892.477,55945.36,56950.47,56184.914,56826.51,55761.184,56178.316,55763.383,56188.855
2021-11-29,56550.543,55648.355,55940.79,55356.918,56076.168,56373.29,55620.426,56207.83,55700.41,55969.203,56143.14,55482.477,55948.59,55713.195,55522.723,55965.215,56580.625,55998.96,56523.99,56004.297,55880.113,55851.05,56697.3,55765.46,56754.645,56003.707,56629.0,55577.918,55992.87,55583.555,56002.09
2021-11-30,56232.46,55324.88,55621.94,55054.75,55754.09,56048.746,55316.914,55903.59,55389.47,55577.465,55788.91,55194.05,55619.91,55381.332,55208.363,55656.37,56261.688,55677.848,56174.527,55692.434,55562.254,55546.05,56358.508,55438.57,56439.37,55696.754,56305.418,55272.75,55673.99,55277.477,55681.695
2021-12-01,55884.035,54993.01,55286.227,54727.496,55418.098,55707.547,54984.24,55553.758,55056.168,55259.19,55447.785,54868.01,55275.746,55048.15,54874.1,55328.188,55910.215,55350.203,55825.586,55351.797,55234.64,55212.91,56007.594,55118.316,56082.043,55369.332,55946.08,54941.5,55340.008,54952.84,55345.164
2021-12-02,55367.21,54474.113,54770.016,54234.668,54897.035,55182.242,54492.004,55058.664,54552.16,54638.188,54878.875,54398.086,54743.938,54513.258,54364.74,54827.855,55391.707,54828.156,55267.547,54845.258,54722.23,54717.49,55459.97,54592.504,55568.273,54867.207,55419.574,54446.605,54824.22,54457.05,54826.7
2021-12-03,55220.3,54394.996,54664.37,54111.33,54799.934,55076.258,54351.188,54864.613,54430.84,54797.31,54859.14,54233.844,54640.867,54453.04,54250.504,54716.227,55237.94,54754.832,55205.625,54704.203,54639.836,54579.55,55365.445,54557.547,55385.848,54757.098,55255.176,54316.434,54723.86,54348.332,54723.215
2021-12-04,55345.734,54522.957,54790.87,54231.434,54927.9,55205.027,54470.266,54983.215,54553.793,54957.87,55001.387,54346.98,54771.355,54585.55,54375.03,54838.555,55363.6,54885.05,55343.918,54827.227,54765.86,54699.88,55500.152,54688.527,55509.445,54878.605,55382.527,54436.848,54850.38,54469.61,54850.32
