,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2696.7979,2987.983,1966.7113,-3781.815,3295.5598,2550.4016,2633.1309,2101.8936,2687.3196,3115.1287,871.1104,2457.4438,4338.316,568.62714,4979.352,6231.487,-3865.1055,2600.8015,883.243,1623.1207,773.6817,2127.457,2016.7538,2672.0112,5162.0903,3077.3948,-870.8103,2893.5647,6591.491,2526.0112,2263.7053
2000-01-10,3726.1313,2186.8452,2199.8618,260.6313,3674.229,3038.3115,3222.299,1925.1831,3013.6074,3135.8416,2420.6802,2372.5364,1214.716,1577.9075,2483.9434,2926.1584,-602.6944,1384.612,-445.40268,1503.9354,2173.4011,1630.6918,1233.1285,2792.9062,1122.7318,611.91583,1771.2991,710.3354,551.1763,2203.8923,1867.3602
2000-01-11,2405.5176,2739.959,2082.573,2268.533,3452.4824,2797.2144,2988.3757,2307.791,3210.0078,3175.1807,2757.2275,2527.0972,2091.748,2309.489,3101.0933,3142.9128,1094.8129,2638.0476,1467.0455,2236.6406,2332.9521,2316.7654,2139.3738,3080.037,2598.7363,2951.3606,1980.2482,2139.146,2593.2356,2444.0266,2512.3208
2000-01-12,2421.1714,2763.2527,2098.0215,2286.7566,3471.899,2815.2664,3003.1238,2326.6785,3221.6143,3231.4656,2781.8079,2535.536,2107.2224,2327.747,3123.1282,3163.672,1109.8157,2651.3848,1481.4589,2246.0898,2350.7927,2342.8481,2154.544,3104.3164,2608.872,2971.4062,1991.7535,2162.7258,2608.4463,2458.5535,2530.7122
2000-01-13,2442.263,2772.976,2111.675,2300.1208,3476.1172,2828.27,3019.1724,2341.2139,3237.347,3226.5693,2787.6052,2549.1602,2117.1875,2337.8364,3134.475,3174.9734,1124.2355,2669.3613,1498.9648,2264.3318,2360.2158,2345.7432,2164.1204,3116.2568,2622.486,2984.642,2005.2214,2177.0322,2622.9956,2473.9404,2542.8833
2000-01-14,2459.3845,2787.3452,2124.9,2314.3162,3486.1018,2842.2095,3033.343,2356.2761,3250.091,3246.7283,2800.4795,2559.5464,2128.53,2350.364,3149.1702,3189.1333,1137.6731,2683.9526,1513.7495,2277.4941,2372.2341,2357.7332,2175.141,3132.1597,2633.5508,2999.5056,2016.7635,2193.868,2636.5845,2487.6824,2556.5337
2000-01-15,2471.501,2793.9912,2133.096,2322.5413,3489.6013,2850.2349,3042.75,2365.1616,3259.1248,3247.8682,2805.1467,2567.2642,2134.7864,2356.8708,3156.5867,3196.4429,1146.2415,2694.2805,1523.9003,2287.7053,2378.363,2360.9758,2181.174,3140.0374,2641.374,3007.7847,2024.6012,2202.9424,2645.2341,2496.7278,2564.1438
2000-01-16,348.30103,4875.5757,1289.9272,5955.9414,4553.801,3306.0356,-219.47551,4111.1865,4851.431,4412.058,2207.6067,3152.5378,1095.5092,1415.0643,3017.4854,4314.8325,2895.853,2200.4253,4743.7417,1001.8767,1696.8143,3991.6902,2235.423,2264.9902,3524.7668,2224.4119,2670.0024,7863.8994,-6516.484,1733.4075,2707.2878
2000-01-17,-1322.0299,3507.9253,1824.5377,2154.656,4152.5244,2230.312,377.31775,2371.9814,2594.3218,2012.664,1627.4579,1809.181,3884.0903,2429.664,5440.636,6355.0054,-3653.689,3353.8523,469.32455,2843.0212,1150.4791,3560.6567,4202.187,3478.9668,4944.4453,4493.2524,-733.7683,2516.1216,4094.4429,4665.7627,2561.177
2000-01-18,920.3261,3648.309,1660.1737,6212.827,4688.069,3952.2722,-82.381714,2429.4006,2296.04,4729.0195,3612.0754,3938.4104,533.3941,1335.4082,1909.9893,3945.5874,-383.40994,836.3318,2206.7,424.51498,1513.2152,3630.9263,2294.5403,2484.6633,-70.538956,778.6319,3052.768,4380.9214,-15019.73,1380.8428,1774.6431
