,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,54893.332,55358.562,54303.457,55202.863,55551.44,55198.69,50292.242,56869.062,51443.164,55819.242,50581.2,54258.105,49257.44,55458.02,51936.31,54645.895,55481.887,53843.875,52844.62,55349.766,56330.75,56590.43,55962.223,49888.4,55393.98,57161.293,50404.453,57338.867,55557.676,53615.83,54227.77
2021-11-25,54631.363,55064.688,54032.633,54910.19,55272.062,54920.336,50102.12,56559.31,51228.676,55515.92,50413.008,53980.094,49114.54,55159.445,51708.96,54371.2,55190.02,53625.48,52610.074,55068.984,56031.086,56299.45,55660.613,49763.53,55101.285,56855.363,50231.72,57007.184,55267.527,53376.836,53969.12
2021-11-26,54403.555,54814.164,53801.29,54661.99,55032.53,54679.664,49936.24,56294.688,51038.105,55257.88,50270.32,53745.594,48990.953,54907.15,51515.75,54138.652,54943.137,53430.145,52407.785,54823.86,55774.598,56048.26,55404.14,49642.258,54851.57,56592.027,50082.434,56724.03,55020.26,53172.016,53746.832
2021-11-27,54257.453,54638.168,53640.215,54481.24,54868.508,54521.074,49831.543,56110.508,50910.453,55074.92,50167.938,53573.062,48909.62,54722.977,51378.156,53970.234,54763.703,53300.25,52272.96,54666.223,55597.617,55881.54,55221.938,49603.14,54676.734,56414.92,49983.88,56526.355,54846.305,53031.51,53594.77
2021-11-28,54096.64,54471.73,53485.54,54316.785,54706.496,54354.06,49713.293,55933.543,50779.61,54904.645,50074.59,53422.57,48823.78,54560.07,51251.06,53819.17,54603.75,53156.3,52133.625,54493.47,55425.035,55708.047,55052.926,49491.27,54510.434,56234.61,49880.402,56337.39,54682.203,52893.14,53443.87
2021-11-29,53935.625,54300.07,53326.51,54145.457,54540.86,54184.516,49595.445,55751.617,50646.832,54728.43,49977.574,53264.645,48737.168,54389.645,51119.332,53661.613,54436.7,53012.35,51992.445,54320.363,55247.15,55532.49,54877.91,49391.91,54339.13,56051.38,49775.875,56142.93,54512.86,52751.605,53289.68
2021-11-30,53626.508,54008.65,53052.824,53867.254,54248.797,53864.49,49364.99,55438.363,50381.65,54432.957,49818.355,53016.58,48576.03,54118.14,50900.49,53407.113,54168.496,52734.62,51734.074,53989.086,54936.418,55209.46,54585.98,49103.348,54046.805,55720.082,49582.2,55809.598,54226.035,52502.64,53015.734
2021-12-01,53343.668,53698.797,52766.582,53555.242,53952.21,53559.695,49158.887,55110.945,50150.004,54111.95,49642.043,52727.156,48422.75,53806.633,50661.67,53119.887,53863.61,52482.06,51483.31,53684.777,54615.086,54898.023,54268.938,48948.03,53737.914,55393.766,49397.062,55459.285,53920.23,52249.047,52739.64
2021-12-02,52849.63,53226.977,52324.145,53102.547,53481.297,53046.54,48791.242,54604.57,49701.465,53629.594,49383.285,52321.92,48164.406,53363.86,50306.5,52705.508,53426.594,52038.402,51068.367,53155.16,54113.26,54379.523,53795.367,48501.598,53264.9,54861.02,49086.406,54920.184,53455.73,51847.53,52297.246
2021-12-03,52877.613,53120.906,52239.105,52951.605,53417.78,53038.82,48826.742,54507.875,49756.19,53507.03,49303.77,52152.965,48161.066,53193.51,50208.027,52561.9,53268.55,52068.297,51047.746,53181.465,54027.926,54360.145,53668.68,48860.867,53164.402,54819.96,49079.664,54811.438,53348.78,51791.0,52244.125
