,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2564.892,3299.9563,2272.4338,3936.2808,2991.4817,3174.0051,1607.9702,1879.171,2579.6692,2710.082,2267.4595,1629.2454,1133.7224,2373.0286,3936.8647,1969.3385,3463.6301,1915.416,2303.1582,3341.4602,2667.276,3534.255,1604.4589,3290.5151,1965.0015,2784.7007,3299.8003,1956.268,3170.344,3807.254,2647.638
2000-01-10,3610.1023,3023.9014,3563.4426,2466.0488,2472.3267,2490.096,3043.878,1959.2332,1848.2902,2230.6414,2238.616,2265.3367,2761.2844,2476.1294,3761.6477,2887.7903,2508.4104,3521.9922,2924.0623,2630.1836,2056.891,2438.606,2962.5842,2942.5168,2499.1987,3090.0962,-274.17682,2712.8982,3244.2437,2110.0781,2615.5444
2000-01-11,3343.869,3077.7974,3481.5942,2909.4006,2249.273,2600.7637,3011.9739,2751.5654,2793.0208,2703.9058,2952.863,2820.9517,3004.0332,2947.0203,3077.369,2777.127,2814.0574,2853.926,3112.8447,3173.4844,2632.6462,3103.2822,2704.575,3019.3796,2663.6118,3147.19,3178.8193,3383.398,2829.6343,2932.5703,2935.0647
2000-01-12,3381.8928,3095.4553,3502.4915,2912.8008,2261.22,2619.6565,3029.7874,2787.1594,2819.0237,2730.1343,2977.5007,2839.5098,3021.9756,2956.1392,3095.9465,2786.323,2821.2441,2869.8467,3131.5498,3187.0413,2654.2112,3138.8796,2712.8433,3032.2764,2679.8823,3166.5615,3204.1792,3399.805,2842.026,2940.2512,2953.2537
2000-01-13,3386.3862,3110.0598,3516.3457,2933.9595,2276.6035,2629.6196,3040.8696,2793.928,2827.2617,2739.2737,2986.9683,2852.2783,3034.9792,2975.0244,3109.9768,2804.3557,2840.5698,2884.5493,3146.0571,3202.9097,2665.6287,3146.2395,2732.482,3045.877,2692.704,3183.0242,3215.725,3413.0938,2857.8684,2959.9182,2966.8179
2000-01-14,3404.007,3123.2048,3531.8677,2946.1804,2289.3062,2642.3381,3053.7275,2811.7356,2841.9612,2754.5269,3001.7463,2866.303,3048.8757,2988.3833,3124.6558,2817.3096,2853.376,2898.504,3161.033,3216.5093,2680.1694,3164.352,2745.886,3058.0442,2705.8335,3199.27,3231.8606,3426.517,2870.9844,2973.0977,2981.052
2000-01-15,3408.8774,3131.8833,3540.5273,2957.5251,2298.179,2648.821,3060.7253,2817.64,2848.0054,2761.0625,3008.3474,2874.2378,3056.8936,2998.9097,3133.2554,2827.3936,2864.006,2907.2808,3169.8906,3225.7441,2687.593,3170.5688,2756.7515,3066.0425,2713.6458,3209.2,3239.601,3434.5842,2880.1292,2983.9395,2989.3757
2000-01-16,3857.0833,3346.2576,4886.786,2684.6782,1187.7534,2623.1743,2992.2766,3475.1133,2308.3157,1670.7908,3135.275,324.1136,4010.9885,3314.0732,4530.8916,4133.5947,3671.727,3430.8677,2743.397,2984.2944,2739.088,1633.4983,3971.1372,2592.5083,2703.317,2208.4797,3091.575,4018.3257,3833.5652,3325.961,3047.6304
2000-01-17,2760.3406,1506.8456,1451.6283,5750.546,3664.1213,2343.3381,3217.9675,3042.8713,4245.244,3038.8435,702.8939,1781.5599,1786.8739,2004.0568,4366.056,4488.728,2078.1711,970.4734,2466.2346,3909.2659,3963.1733,3891.752,2069.972,3153.6362,2948.0251,3672.5715,7278.114,3162.7292,3083.6045,4190.7993,3099.681
2000-01-18,5495.4326,4315.6255,5557.9634,2592.5818,1911.998,3302.4578,4089.9026,3051.675,1496.9263,2122.0537,3273.1545,299.85275,2576.5896,1528.5212,7860.348,5575.2866,5387.3545,3768.611,3365.443,3649.3838,2734.8762,2251.6228,5022.606,1315.7618,2696.501,2215.674,5219.1963,4255.843,4678.8555,5337.4253,3564.984
2000-01-19,3554.322,3110.1387,3200.1033,3496.1252,2087.5298,3431.6077,2270.6052,2913.8909,2979.4446,1506.7787,3734.9329,2424.444,3061.57,3262.7803,3597.2498,2850.5166,2414.3408,3363.5205,2984.8083,2411.7583,2692.3425,2575.6934,2834.0027,4352.3384,2618.433,2978.9407,2846.9163,3475.7383,3643.6611,2586.9897,2975.3838
2000-01-20,3398.631,3122.6265,3529.9863,2947.655,2288.9326,2640.3953,3052.0535,2806.9436,2838.7705,2751.388,2998.881,2864.6753,3047.364,2988.772,3123.1445,2817.6055,2854.099,2897.4602,3159.5466,3215.9365,2677.956,3159.6162,2746.4744,3057.3586,2704.5598,3197.8667,3229.0806,3425.2666,2870.5884,2973.7788,2979.5806
2000-01-21,3385.7964,3114.3623,3520.2285,2941.577,2281.5808,2632.1821,3043.9104,2794.3203,2828.7666,2741.1,2989.0083,2855.8987,3038.7227,2981.4644,3114.0618,2810.4758,2847.286,2889.0408,3150.311,3207.9722,2668.5706,3146.8516,2739.251,3050.1365,2696.4792,3187.961,3218.49,3417.033,2862.9893,2966.731,2970.7522
2000-01-22,3375.1528,3102.5708,3508.1157,2929.2046,2270.5503,2622.641,3033.9841,2782.9487,2818.6465,2730.4353,2978.5056,2844.8853,3027.7126,2969.1125,3102.35,2798.5776,2835.1082,2877.5293,3138.309,3196.3274,2657.6545,3135.1528,2726.6682,3039.884,2685.928,3174.7402,3206.6882,3406.1963,2851.61,2954.2588,2959.3816
2000-01-23,3374.298,3098.8643,3504.6072,2923.5884,2266.5522,2620.154,3031.1873,2781.465,2816.6836,2728.2312,2976.2004,2841.645,3024.4043,2964.1548,3098.7734,2793.8477,2830.0144,2873.7493,3134.6057,3192.2139,2654.8027,3133.5105,2721.5,3036.3718,2682.653,3170.522,3203.836,3402.797,2847.4932,2949.0798,2955.9268
