,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2664.953,4718.149,3068.3396,2480.3855,3306.1423,1950.1823,3496.6843,2552.283,4889.7783,2082.7651,3706.674,2831.0796,4164.5547,2689.829,3042.6885,3851.7305,3245.8005,3999.5483,2864.7207,3141.27,3108.7695,3098.5232,2895.3154,3795.7734,1528.3777,2908.5251,4364.217,2366.0825,3921.835,2036.0883,3159.0354
2000-01-10,3869.962,4421.9106,3637.1804,2591.2993,3467.8586,1900.2843,3280.234,2743.3538,5369.245,2279.625,2480.787,2868.166,3836.3408,2496.9814,2776.2747,3731.1648,3016.7502,3325.1465,4111.6094,3380.5193,3334.2913,2749.7751,3041.717,3749.412,1321.0823,3719.7078,4336.5757,3248.436,4033.7893,2790.74,3263.6746
2000-01-11,2964.8909,4579.033,2466.0122,2384.3008,3161.933,1978.4823,3343.6606,2796.8115,4583.865,2885.5242,3128.2825,3381.7993,3704.5107,2538.7979,2762.1313,3647.799,3130.145,3957.827,3269.3389,3434.533,3676.8396,3298.8044,3542.6472,3185.6008,1958.2065,2892.3977,3678.2756,2789.1165,4172.51,2755.4746,3201.6514
2000-01-12,2953.788,4580.236,2449.917,2369.582,3151.6064,1962.3558,3342.2644,2785.1064,4584.531,2879.1738,3120.3142,3367.5447,3701.9429,2530.1282,2744.9336,3644.7302,3126.2964,3950.2278,3258.3687,3428.7969,3673.406,3292.0583,3538.725,3174.0781,1948.7089,2877.272,3676.3452,2777.5,4173.6226,2746.2087,3193.6592
2000-01-13,2979.4521,4593.352,2480.6025,2400.045,3176.7825,1992.8254,3359.8403,2810.7705,4599.3384,2900.978,3145.4387,3394.8257,3720.8994,2554.0715,2776.034,3661.8816,3145.146,3973.9048,3283.4878,3449.8438,3691.527,3313.4727,3557.4275,3198.6104,1977.5507,2906.5327,3692.9639,2804.3513,4186.4673,2771.821,3216.6746
2000-01-14,2988.136,4600.5645,2489.8477,2409.7307,3185.53,2001.9486,3368.2896,2819.2126,4607.2007,2909.596,3155.1038,3403.0713,3729.5854,2562.857,2785.0454,3669.442,3153.2612,3982.9805,3291.947,3458.3237,3699.4375,3321.7324,3565.4373,3206.551,1988.5056,2915.4377,3700.707,2813.44,4193.501,2781.2163,3225.2546
2000-01-15,3000.8752,4607.536,2504.8882,2424.7441,3198.062,2016.8704,3377.431,2831.914,4615.026,2920.6277,3167.7642,3416.4473,3739.3716,2574.8577,2800.2246,3678.252,3162.909,3994.908,3304.4067,3468.999,3708.7307,3332.533,3575.0005,3218.6692,2003.0107,2929.7917,3709.3098,2826.7708,4200.325,2794.0483,3236.81
2000-01-16,3048.3328,4327.2095,1693.467,2311.0713,2817.002,1893.4894,3426.4854,2829.0461,4251.0645,3446.2036,2427.2517,3704.364,3214.9785,2249.913,2413.4167,3108.3755,3004.4666,3914.5479,3457.7068,3519.5042,4165.2197,3285.762,4204.804,2469.327,2297.5042,2818.1355,2947.8708,2926.3313,4119.745,3343.4878,3121.2024
2000-01-17,1661.4313,4854.926,1934.2037,2247.0493,3030.3044,2024.6616,3641.5703,2598.619,4017.3137,2697.468,4348.6113,3375.1394,4049.005,2670.4246,3026.1064,3693.8257,3305.6323,4604.3086,1911.289,3186.5842,3453.633,3665.829,3335.4246,3192.1912,2334.9663,2075.6755,3808.8462,1882.541,4069.9382,1944.2131,3088.0574
2000-01-18,3911.2007,4132.284,2896.2134,2487.7515,3115.4202,1773.0898,3398.1233,2751.1904,5001.442,2842.8367,1711.5417,3166.824,3310.175,2128.9543,2381.4512,3127.847,2856.476,3248.1155,4273.786,3407.9707,3817.1226,2752.0063,3672.4648,3006.8423,1663.943,3633.233,3676.236,3339.0146,4008.7131,3313.4976,3160.1921
