,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,3734.241,2615.1792,2655.2522,3089.5447,4847.7686,3371.177,36452.45,3180.9622,3297.6172,3119.1777,2389.075,2841.0955,2770.3953,2698.922,3055.3293,2708.9702,3204.0798,3397.1475,3149.833,3261.7126,3065.737,2635.2952,2601.0366,2823.7559,3450.1309,2891.9888,2681.889,3292.856,2960.9521,2679.5208,4164.1035
2000-01-10,3455.4768,2673.9866,2844.3315,2884.226,4400.3086,3250.1208,38742.74,3147.6245,2944.3638,3597.346,2804.0977,3013.9956,3093.3733,3205.4988,3408.763,3426.1345,3504.889,3939.8245,3238.9133,4040.2766,3131.8445,2878.6838,2619.2085,3238.6235,3551.8928,3640.5352,3086.5437,3635.774,2894.2046,3315.7512,4453.6455
2000-01-11,3259.012,2935.4426,2919.3755,3059.1213,4155.7173,3439.8394,39306.855,3312.9653,3234.4048,3819.358,3027.9177,3186.6138,3020.035,3041.5442,3049.3376,3016.1262,3349.1785,3722.0447,3309.4617,3659.7515,3075.849,3017.1863,3016.9272,3285.6162,3476.4832,3757.659,3098.9495,3216.5027,3214.6062,3058.1174,4468.0674
2000-01-12,3254.6577,2928.0593,2914.0615,3055.1033,4158.485,3438.8948,39300.72,3309.55,3228.345,3823.0095,3022.8716,3182.5586,3014.1548,3034.8254,3043.9255,3010.896,3346.4973,3717.5798,3302.9387,3659.426,3068.4636,3011.3477,3012.3462,3276.9788,3468.4824,3757.3015,3092.88,3209.6167,3211.5493,3051.639,4463.5723
2000-01-13,3274.466,2951.8853,2936.0405,3075.7952,4169.656,3460.5413,39299.87,3330.6138,3250.448,3835.2727,3045.2617,3204.872,3036.6492,3056.6462,3066.2239,3032.97,3367.4087,3736.112,3325.3743,3676.3706,3091.1313,3033.7822,3034.9382,3300.9817,3490.3325,3773.7864,3115.6296,3232.5503,3232.943,3074.2937,4483.762
2000-01-14,3282.8704,2961.1238,2945.1692,3084.7832,4176.5015,3471.2566,39296.95,3340.038,3259.339,3843.0315,3054.7056,3214.6753,3045.8127,3065.129,3075.4744,3042.1794,3377.0457,3743.8132,3334.2449,3684.927,3099.7795,3042.9302,3044.6724,3309.808,3498.3164,3782.0945,3124.8489,3241.5354,3242.6794,3083.3013,4492.3013
2000-01-15,3292.9866,2973.1484,2956.3657,3095.3848,4182.56,3482.555,39296.105,3350.8743,3270.5479,3849.7185,3066.129,3226.1257,3057.2346,3076.1426,3086.8289,3053.427,3387.8494,3753.2544,3345.596,3693.8057,3111.1965,3054.3257,3056.2307,3321.8403,3509.2644,3790.732,3136.391,3253.1223,3253.7131,3094.77,4502.608
2000-01-16,2520.831,3046.4512,2757.4822,2667.752,3368.0627,3372.807,45915.41,3233.3308,2753.795,3902.8557,3082.4539,3380.844,3272.5764,2915.0708,2801.0742,3272.2327,3033.522,4303.381,3275.3857,3452.3918,2681.2683,3148.3013,3069.4297,3490.2158,3225.52,4098.2563,2874.9565,2900.2603,3325.4487,2967.991,4603.6455
2000-01-17,3690.39,2992.0134,2757.7747,3385.8984,4754.9146,3577.0378,37076.883,3409.0232,3608.4238,3331.8108,2698.0034,3037.3735,2748.1853,2440.5554,2841.264,2398.8171,3089.5078,3351.7744,3498.339,2920.3643,3033.398,2845.33,2997.1482,2967.154,3550.0056,3075.0383,2823.9016,2789.1587,3363.5952,2437.2578,4249.6777
2000-01-18,2698.1719,2824.2178,2647.9436,2423.5205,3665.9531,3164.7244,45244.473,3093.776,2466.4773,3632.6997,2937.6682,3180.8984,3334.3992,2863.847,3160.4834,3614.8728,3270.1743,4465.486,3178.3552,3879.1335,2660.617,3012.805,2661.9048,3435.908,3253.3462,3962.7847,2923.3726,3225.568,3029.5305,3173.2292,4569.545
