,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2796.169,2294.3958,2842.895,2567.3054,2822.7595,2797.6526,3041.6555,2428.393,2785.2832,2826.8213,3083.7498,2264.85,2446.1235,2824.363,2619.0247,3037.9878,2777.6082,2628.3782,3169.1316,2841.4106,2780.9233,2885.7915,2565.7422,2605.5735,3003.828,2957.0564,2471.6196,2998.8936,2783.8733,2938.381,2762.9211
2000-01-10,2777.3904,2270.174,2812.9553,2532.3645,2792.9785,2766.94,3008.4895,2398.7583,2761.4565,2797.18,3054.172,2237.366,2418.0874,2790.3982,2594.2317,3004.3289,2753.0388,2602.209,3134.7007,2809.3154,2753.8342,2867.0132,2523.843,2569.494,2978.1404,2915.9736,2444.6992,2972.1814,2756.6887,2904.911,2733.4434
2000-01-11,2802.8918,2293.658,2843.446,2560.9336,2821.748,2797.292,3042.3337,2426.027,2787.5908,2824.881,3085.4946,2264.108,2444.5696,2820.8792,2621.0935,3037.826,2780.5103,2628.9731,3169.7534,2841.7441,2783.547,2890.8494,2557.0723,2600.5688,3008.7456,2951.8716,2470.9553,3001.0366,2789.4236,2939.7693,2762.9863
2000-01-12,2804.5596,2298.318,2845.4304,2565.2676,2824.5222,2799.004,3046.11,2428.8188,2789.1826,2833.9238,3087.37,2269.5173,2449.3594,2824.235,2622.974,3041.53,2782.8672,2631.8345,3174.192,2844.6118,2786.1152,2893.847,2559.95,2603.9036,3011.7698,2954.914,2473.941,3004.4233,2791.6914,2943.775,2766.2656
2000-01-13,2814.2727,2311.2715,2858.5269,2581.31,2837.0356,2811.3647,3061.9614,2442.4583,2799.7444,2854.0327,3100.9297,2283.1567,2464.5103,2840.0376,2634.78,3056.297,2794.1265,2644.4324,3188.9766,2858.105,2798.171,2902.7678,2577.2207,2620.0464,3023.2266,2971.0237,2486.7864,3016.4502,2803.4382,2958.9514,2779.8467
2000-01-14,2814.8452,2313.3962,2863.9258,2587.6733,2842.071,2816.0903,3065.0688,2446.987,2802.5112,2850.9458,3104.984,2285.4067,2466.105,2846.1165,2639.161,3061.9785,2797.5872,2648.126,3192.9258,2863.0776,2802.1309,2903.5503,2584.4553,2625.5928,3025.521,2976.9216,2489.5417,3020.318,2805.7556,2962.8018,2783.519
2000-01-15,2805.5613,2300.7446,2852.8767,2574.6958,2832.2925,2808.46,3052.5435,2436.7546,2794.5642,2832.8435,3094.3835,2272.6821,2453.2705,2832.9448,2627.4565,3048.3687,2786.8955,2636.5024,3181.0916,2852.2686,2790.8247,2894.1995,2576.134,2615.0916,3014.7107,2969.5286,2480.547,3008.055,2796.042,2951.189,2772.451
2000-01-16,2779.357,2269.2942,2810.396,2527.4363,2789.8884,2763.434,3006.6929,2395.2903,2760.35,2798.1528,3052.245,2236.5347,2416.5012,2786.1755,2593.239,3001.8145,2752.6042,2600.815,3132.7112,2806.69,2753.009,2868.6533,2515.3088,2564.0325,2978.9893,2909.2312,2442.7793,2971.8208,2757.1162,2904.4548,2731.5005
2000-01-17,2822.5793,2317.608,2869.6968,2591.0193,2847.824,2823.0283,3072.8262,2451.7656,2809.0015,2857.1912,3112.0535,2290.5266,2471.3152,2850.4292,2644.019,3068.1724,2803.729,2653.1936,3201.5605,2870.0085,2808.6338,2910.3708,2589.9136,2631.0703,3033.789,2984.9497,2495.5159,3026.3542,2815.0159,2972.0674,2789.841
2000-01-18,2808.6868,2304.9592,2852.878,2575.0332,2831.563,2805.9597,3054.3967,2436.66,2794.6497,2843.0974,3094.589,2276.3408,2457.006,2833.5925,2629.4937,3049.8455,2788.724,2638.7021,3181.8984,2852.0872,2792.4993,2897.6555,2570.6816,2613.4036,3017.2168,2964.3308,2480.7966,3010.794,2797.2327,2951.5496,2773.5444
2000-01-19,2809.1821,2306.2432,2855.403,2578.4006,2834.1057,2808.7192,3056.6074,2439.3066,2796.3252,2843.5513,3096.905,2277.4329,2458.7725,2836.7314,2631.3008,3052.32,2790.204,2640.5305,3184.1167,2854.5483,2794.2012,2897.9385,2575.5076,2616.97,3018.2512,2968.4436,2482.7485,3012.2717,2798.5376,2953.9182,2775.6497
2000-01-20,2802.117,2296.9143,2846.0059,2566.914,2824.6545,2799.6763,3045.1992,2429.6943,2788.6924,2829.4827,3087.4578,2267.3035,2448.2542,2825.6296,2622.968,3041.258,2781.85,2631.5032,3172.439,2844.4346,2785.2004,2890.91,2563.4153,2605.5725,3009.3193,2956.5745,2473.6096,3003.0588,2789.5703,2942.1606,2765.728
2000-01-21,2795.5525,2290.443,2836.97,2558.1633,2816.724,2791.196,3035.996,2421.6394,2781.518,2823.364,3078.4321,2260.788,2440.996,2816.2637,2614.851,3031.7473,2774.19,2623.7656,3163.6833,2835.4492,2776.9487,2885.1594,2553.4568,2596.3677,3001.5212,2946.7812,2466.29,2995.188,2781.2056,2932.6155,2757.5757
2000-01-22,2795.0225,2291.6013,2835.5845,2558.2654,2815.1897,2788.9028,3035.725,2421.1921,2780.2502,2828.8916,3077.119,2261.4868,2442.5115,2816.059,2614.3394,3030.7551,2773.2942,2623.6692,3162.0696,2833.783,2775.869,2884.6094,2551.4968,2595.508,3000.3372,2943.9736,2466.1711,2994.539,2779.405,2931.4255,2756.968
