,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,69189.4,69696.164,68834.63,68422.28,69014.06,68645.41,69470.76,68576.375,69016.51,69801.94,68224.58,68608.29,68841.35,68373.72,68360.48,69657.78,68865.54,68762.016,68787.25,67473.11,68540.09,69312.59,68847.02,68413.82,68755.695,68825.62,67720.13,69075.49,69550.32,69582.99,68841.516
798,69268.58,69780.63,68935.99,68506.164,69112.68,68732.86,69577.63,68665.664,69099.26,69888.78,68298.77,68697.336,68917.26,68460.76,68460.47,69750.95,68969.88,68859.73,68879.73,67557.01,68631.36,69395.766,68943.88,68516.96,68844.4,68908.3,67804.875,69176.67,69639.87,69690.91,68932.43
799,69294.38,69808.375,68916.5,68529.0,69090.836,68757.7,69568.59,68675.87,69143.21,69926.11,68335.57,68717.07,68958.15,68466.32,68437.64,69742.92,68951.54,68866.36,68887.82,67559.83,68636.836,69416.766,68965.75,68501.94,68881.38,68924.734,67786.836,69179.12,69659.375,69670.305,68941.89
800,69282.086,69795.06,68948.16,68520.03,69124.26,68747.42,69591.58,68679.055,69115.04,69904.484,68312.66,68711.62,68931.79,68473.375,68472.12,69763.1,68982.57,68873.94,68893.35,67568.93,68644.56,69409.37,68959.46,68529.7,68860.33,68921.38,67814.875,69191.016,69654.2,69703.87,68945.984
801,69351.23,69868.97,68996.76,68589.84,69169.555,68820.99,69651.57,68742.66,69200.18,69987.15,68387.016,68782.31,69010.32,68532.04,68517.33,69815.28,69033.914,68940.09,68957.35,67623.55,68705.82,69477.336,69036.664,68582.36,68943.91,68985.58,67854.17,69256.0,69725.02,69755.73,69010.02
802,69441.52,69965.22,69131.08,68687.12,69301.18,68922.05,69789.09,68851.23,69287.375,70082.98,68467.14,68887.17,69091.14,68639.43,68651.12,69935.22,69171.58,69060.53,69070.695,67727.97,68818.56,69574.38,69150.59,68716.4,69042.2,69083.62,67967.086,69382.18,69830.61,69898.67,69120.836
803,69539.25,70069.74,69184.62,68784.49,69349.72,69024.984,69861.23,68935.67,69412.07,70202.42,68575.875,68984.41,69206.8,68715.766,68699.03,69997.914,69229.05,69146.76,69154.78,67798.09,68898.13,69668.695,69256.914,68776.85,69162.65,69171.32,68009.47,69464.31,69927.92,69955.89,69205.49
804,69407.31,69929.01,69013.47,68644.53,69182.914,68879.1,69681.26,68786.086,69276.59,70058.11,68452.8,68835.63,69081.016,68569.76,68530.03,69841.01,69052.914,68982.85,68999.734,67657.24,68745.01,69529.84,69095.086,68604.125,69015.19,69033.1,67866.305,69294.82,69778.3,69773.67,69053.23
805,69305.33,69819.914,68962.4,68543.32,69137.34,68772.01,69609.99,68699.68,69144.336,69932.625,68338.16,68735.01,68958.83,68492.19,68485.1,69779.1,68997.74,68895.17,68913.99,67586.305,68664.18,69431.97,68985.03,68545.48,68888.74,68942.54,67826.26,69211.91,69677.62,69719.07,68966.71
806,69337.42,69854.24,68979.87,68575.3,69153.17,68805.81,69633.59,68727.38,69185.516,69971.88,68373.91,68766.93,68996.85,68517.21,68500.73,69799.62,69016.5,68923.44,68941.56,67609.29,68690.266,69462.93,69019.93,68565.23,68928.33,68971.33,67840.08,69238.875,69709.56,69737.74,68994.49
807,69250.79,69761.86,68860.3,68482.77,69035.23,68709.516,69509.414,68626.555,69097.766,69878.35,68294.805,68667.96,68916.46,68418.22,68382.164,69691.336,68893.68,68812.35,68836.734,67513.445,68586.4,69370.92,68912.336,68445.19,68832.59,68879.12,67739.82,69123.31,69609.984,69610.47,68891.664
808,69054.55,69552.38,68646.51,68278.1,68826.81,68495.38,69275.805,68418.734,68880.59,69656.71,68101.945,68453.9,68716.84,68218.77,68173.83,69487.77,68672.375,68588.16,68622.15,67323.0,68377.49,69169.14,68679.195,68223.875,68607.016,68681.71,67562.35,68894.38,69394.97,69382.76,68680.58
809,68990.45,69483.695,68645.93,68217.2,68830.48,68430.28,69257.336,68375.77,68787.3,69570.79,68022.336,68396.24,68630.38,68183.71,68178.84,69471.91,68669.11,68548.195,68582.586,67293.14,68341.26,69111.305,68615.85,68214.766,68522.71,68630.96,67564.58,68857.625,69337.35,69381.9,68638.14
810,69078.36,69577.64,68715.23,68306.62,68897.445,68524.35,69339.88,68459.35,68893.125,69675.97,68115.08,68487.445,68727.93,68261.555,68244.25,69543.75,68741.875,68635.914,68667.12,67366.09,68422.62,69198.61,68715.4,68289.86,68627.83,68714.24,67621.08,68946.53,69428.945,69455.81,68722.664
811,69114.41,69616.086,68760.7,68344.74,68942.61,68564.12,69387.97,68499.75,68931.016,69715.64,68149.016,68527.87,68762.69,68300.89,68289.055,69585.67,68788.695,68680.07,68708.93,67403.97,68463.85,69236.4,68759.375,68336.23,68668.31,68751.74,67659.06,68992.2,69469.59,69504.22,68763.83
812,69233.086,69742.695,68909.53,68470.19,69087.88,68694.98,69545.58,68632.47,69056.04,69846.44,68260.96,68660.77,68877.4,68429.99,68435.67,69723.055,68942.02,68825.05,68846.25,67528.266,68599.22,69360.7,68903.98,68488.12,68801.734,68875.05,67783.39,69142.1,69603.234,69662.68,68898.95
813,69440.414,69964.02,69131.69,68686.11,69301.87,68920.95,69789.28,68850.7,69285.55,70081.4,68465.6,68886.28,69089.445,68639.086,68651.85,69935.4,69172.13,69060.125,69070.24,67727.734,68818.21,69573.44,69149.61,68716.82,69040.64,69082.86,67967.664,69381.96,69829.72,69899.31,69120.336
814,69640.93,70178.14,69331.92,68893.68,69493.88,69138.49,70012.48,69056.51,69511.336,70311.0,68667.04,69101.79,69299.01,68834.97,68845.516,70130.086,69380.13,69280.47,69280.74,67913.82,69023.26,69777.5,69384.46,68924.14,69273.93,69280.92,68133.18,69604.055,70046.07,70112.66,69328.73
815,69807.21,70355.67,69504.05,69066.32,69659.33,69319.305,70201.484,69229.35,69696.56,70500.35,68832.62,69281.58,69470.92,69000.05,69012.53,70296.17,69558.664,69466.11,69457.88,68070.984,69196.11,69947.42,69580.35,69101.664,69466.46,69446.555,68275.73,69791.83,70226.6,70296.02,69503.87
816,69998.04,70559.36,69716.52,69265.75,69864.484,69527.86,70430.61,69433.11,69904.164,70715.09,69019.06,69490.55,69663.63,69195.99,69219.97,70497.8,69778.45,69686.336,69667.6,68258.32,69401.375,70144.19,69807.92,69319.16,69685.13,69639.73,68452.305,70016.18,70436.55,70522.33,69710.586
817,70095.03,70663.125,69761.95,69361.73,69904.76,69629.27,70495.96,69514.13,70030.49,70834.97,69128.836,69585.695,69780.79,69268.39,69259.375,70554.87,69827.79,69768.2,69747.67,68324.31,69476.8,70236.89,69912.0,69372.05,69805.86,69725.164,68487.65,70093.12,70531.71,70570.93,69791.65
818,70150.08,70721.68,69874.945,69423.695,70016.81,69693.06,70604.2,69591.516,70073.18,70888.05,69170.21,69655.12,69820.5,69347.37,69373.76,70650.54,69942.73,69856.56,69830.08,68402.49,69559.9,70299.664,69987.22,69482.42,69861.016,69791.41,68583.52,70188.48,70601.81,70691.09,69871.1
819,70302.195,70884.2,70002.83,69579.1,70137.91,69856.11,70752.055,69738.99,70252.47,71066.35,69328.79,69814.35,69986.86,69485.53,69495.336,70781.16,70075.72,70012.19,69979.664,68532.445,69704.35,70451.67,70160.94,69617.56,70041.67,69936.93,68688.21,70342.72,70761.51,70827.44,70019.91
820,70344.375,70929.26,70041.52,69622.47,70174.59,69901.55,70795.61,69781.055,70301.1,71115.234,69371.98,69859.086,70031.99,69525.24,69532.46,70819.72,70114.945,70056.88,70022.516,68569.99,69745.9,70494.195,70209.7,69658.016,70091.27,69977.95,68720.05,70387.41,70806.38,70868.68,70062.37
821,70334.34,70918.6,70016.17,69610.766,70149.26,69889.58,70772.45,69765.234,70294.91,71106.37,69365.586,69845.586,70026.21,69508.79,69506.586,70798.83,70089.125,70038.5,70005.47,68553.516,69728.555,70482.2,70195.12,69633.51,70081.96,69964.91,68698.44,70367.2,70792.73,70841.72,70046.08
822,70334.83,70919.02,70040.44,69613.305,70174.18,69891.81,70791.83,69774.29,70287.54,71102.84,69360.36,69850.31,70019.414,69519.586,69532.15,70816.555,70113.9,70050.45,70016.06,68565.08,69740.04,70485.46,70200.086,69655.93,70078.87,69970.22,68719.516,70381.84,70797.64,70867.49,70055.7
823,70400.625,70989.29,70105.81,69681.39,70236.56,69963.06,70863.75,69841.71,70361.74,71178.25,69426.54,69920.98,70088.28,69583.73,69595.34,70880.35,70180.21,70122.6,70085.03,68625.99,69807.17,70552.39,70277.09,69723.66,70155.48,70035.23,68773.54,70454.53,70868.58,70937.15,70123.875
824,70303.11,70885.42,69939.66,69574.54,70072.87,69852.49,70701.7,69716.875,70274.82,71078.38,69345.08,69803.99,70007.484,69458.586,69428.6,70735.55,70011.22,69982.4,69953.45,68503.36,69675.664,70445.13,70150.15,69559.46,70052.57,69924.8,68633.26,70305.74,70750.664,70760.37,69996.24
825,70140.086,70711.16,69824.98,69409.914,69966.34,69679.37,70560.555,69566.87,70075.22,70883.46,69169.76,69637.3,69822.336,69320.234,69321.914,70611.805,69892.5,69826.375,69802.63,68374.55,69531.2,70284.84,69968.11,69435.24,69855.516,69773.38,68540.516,70153.7,70583.65,70638.01,69845.38
826,70298.266,70879.805,70052.695,69579.66,70189.164,69855.66,70790.375,69754.32,70230.14,71052.625,69311.93,69819.66,69966.234,69505.06,69548.3,70816.37,70125.555,70033.7,69998.336,68553.93,69725.2,70453.94,70166.29,69663.06,70028.86,69944.01,68731.734,70370.26,70767.195,70880.375,70036.43
827,70504.516,71100.234,70207.79,69788.78,70333.77,70075.46,70976.32,69947.7,70479.32,71297.51,69531.33,70032.32,70197.41,69684.445,69693.81,70980.17,70283.63,70235.91,70193.39,68721.58,69912.59,70657.91,70398.445,69829.43,70276.625,70137.59,68857.76,70568.53,70980.336,71045.8,70231.016
