,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,69715.95,69619.88,68913.78,69519.53,69668.625,69760.84,69625.664,69284.664,69586.96,69607.516,69300.48,69865.33,68900.55,68852.336,69060.51,69799.555,69285.63,69416.52,70260.51,69484.79,69510.88,70020.08,69484.08,69291.22,68677.484,68499.71,68939.26,69505.85,68915.016,69377.75,69391.7
798,69860.55,69771.87,69054.234,69659.734,69814.836,69898.74,69760.516,69427.195,69729.39,69759.91,69434.914,70012.766,69035.195,68989.6,69194.85,69944.27,69427.34,69558.45,70406.47,69647.24,69660.266,70167.266,69628.13,69433.92,68827.586,68643.14,69070.734,69644.07,69051.58,69524.42,69534.64
799,69772.086,69666.04,68972.766,69576.65,69724.62,69827.3,69690.35,69375.63,69658.875,69633.664,69347.375,69930.41,68954.26,68901.97,69105.74,69861.41,69345.38,69475.23,70329.445,69559.164,69560.49,70090.91,69553.88,69356.76,68716.664,68543.06,68984.14,69555.73,68968.695,69433.74,69449.086
800,69871.97,69782.61,69065.75,69671.14,69826.3,69910.9,69772.375,69441.93,69742.26,69768.72,69445.01,70025.17,69045.96,69000.08,69204.77,69956.26,69439.01,69570.02,70419.195,69661.17,69671.24,70180.23,69640.875,69446.19,68837.58,68653.26,69080.52,69654.62,69062.43,69535.92,69546.11
801,69895.234,69797.32,69091.76,69695.695,69849.24,69942.91,69803.445,69491.914,69777.805,69768.164,69462.625,70054.86,69068.73,69019.4,69221.15,69983.85,69465.39,69595.586,70452.01,69695.9,69688.91,70214.3,69674.59,69476.86,68847.23,68666.98,69096.99,69673.99,69084.91,69558.805,69570.555
802,70108.445,70025.97,69297.25,69901.61,70065.086,70141.62,69997.89,69689.37,69981.875,70004.62,69662.72,70269.46,69266.74,69223.08,69421.69,70195.195,69672.66,69803.56,70662.84,69931.38,69912.13,70426.42,69882.055,69683.65,69075.34,68882.85,69293.04,69879.14,69286.03,69775.4,69780.63
803,70102.22,70001.945,69297.28,69897.805,70057.74,70153.28,70008.88,69731.734,69998.38,69953.11,69649.72,70273.8,69262.91,69212.21,69406.484,70196.69,69672.99,69802.37,70673.27,69939.77,69894.3,70438.73,69894.74,69691.336,69042.9,68859.9,69278.99,69868.05,69281.055,69767.8,69777.01
804,69855.46,69742.03,69057.8,69658.88,69808.2,69918.516,69779.27,69490.07,69756.05,69691.62,69420.08,70022.52,69033.19,68977.805,69176.93,69949.984,69431.36,69560.33,70424.72,69663.06,69639.03,70188.16,69649.5,69448.24,68785.91,68614.6,69054.36,69632.016,69048.04,69517.45,69533.17
805,69874.39,69781.37,69069.43,69674.5,69828.516,69917.02,69778.266,69454.83,69749.555,69761.52,69445.695,70029.95,69048.64,69001.3,69204.984,69960.35,69442.766,69573.45,70425.26,69667.23,69671.266,70186.72,69647.375,69451.56,68834.445,68652.02,69080.9,69655.81,69064.91,69538.09,69549.08
806,69872.05,69773.13,69069.16,69673.2,69825.805,69920.59,69781.63,69468.55,69754.73,69744.21,69441.13,70031.09,69047.11,68997.44,69199.7,69960.555,69442.59,69572.77,70428.414,69669.67,69665.08,70190.49,69651.29,69453.81,68823.44,68644.16,69076.0,69651.875,69063.0,69535.29,69547.59
807,69691.44,69581.195,68894.47,69498.55,69643.07,69750.48,69615.23,69296.414,69579.56,69548.43,69272.35,69848.234,68879.17,68825.38,69030.766,69780.734,69266.375,69396.11,70248.13,69468.64,69477.12,70008.94,69473.65,69277.25,68632.805,68462.984,68910.77,69478.62,68892.54,69351.94,69369.375
808,69429.64,69315.19,68636.99,69242.95,69378.94,69491.61,69362.28,69012.98,69309.85,69296.06,69032.74,69575.7,68634.375,68579.47,68792.48,69514.69,69006.445,69136.586,69975.14,69166.46,69212.65,69732.734,69202.94,69011.65,68374.66,68212.1,68677.13,69231.07,68644.83,69087.06,69109.25
809,69522.87,69433.086,68720.625,69328.01,69474.39,69560.484,69430.12,69049.62,69375.91,69445.52,69127.65,69658.61,68718.96,68673.63,68889.82,69599.2,69090.484,69222.51,70050.23,69253.695,69321.96,69806.39,69274.305,69087.914,68501.05,68323.69,68771.46,69326.04,68731.84,69183.11,69198.445
810,69571.85,69473.99,68771.875,69378.33,69523.27,69617.836,69485.93,69127.21,69437.83,69469.95,69168.805,69715.0,68765.75,68717.12,68929.63,69652.89,69142.375,69273.54,70109.75,69318.01,69365.66,69867.51,69334.516,69144.6,68536.17,68362.12,68810.914,69369.74,68778.65,69232.0,69248.42
811,69635.94,69541.195,68834.19,69440.516,69588.06,69679.11,69545.87,69190.84,69501.17,69537.07,69228.32,69780.445,68825.445,68777.91,68989.08,69717.1,69205.24,69336.49,70174.6,69390.164,69431.76,69932.91,69398.55,69207.99,68602.445,68425.53,68869.11,69430.95,68839.17,69297.0,69311.805
812,69844.72,69759.86,69037.24,69643.14,69799.09,69878.98,69741.3,69398.71,69707.79,69755.14,69422.11,69993.79,69019.93,68975.88,69182.63,69926.38,69410.125,69541.61,70386.055,69625.375,69646.94,70146.2,69607.35,69414.625,68818.04,68631.88,69058.57,69630.305,69036.375,69508.71,69518.3
