,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,47679.7,47088.848,46740.688,47140.9,46572.785,47398.39,48068.69,48302.008,49675.555,49207.402,49432.168,50491.71,50670.906,50822.77,51789.703,50109.684,51267.37,50961.523,51391.332,50962.656,51223.91,51151.656,50891.74,51128.727,49532.812,50287.11,49855.625,48385.395,49362.066,48777.633,49545.723
1,47428.152,46850.91,46511.664,46910.844,46344.734,47151.46,47810.926,48031.83,49383.336,49032.727,49265.555,50320.367,50506.164,50680.04,51661.527,50026.77,51192.914,50907.887,51356.285,50946.836,51224.74,51172.066,50927.992,51184.2,49618.65,50381.45,49968.645,48532.68,49517.055,48952.98,49460.047
2,47203.09,46637.31,46305.16,46702.668,46137.777,46926.977,47575.98,47784.99,49115.523,48855.477,49093.914,50142.742,50333.273,50524.688,51516.44,49920.83,51092.934,50825.664,51289.223,50897.414,51189.496,51154.508,50924.598,51198.156,49661.637,50434.28,50039.703,48639.812,49631.67,49088.57,49361.484
3,46790.453,46243.574,45921.58,46315.523,45752.215,46510.29,47139.605,47326.605,48618.19,48403.82,48638.26,49661.26,49844.41,50042.82,51023.805,49475.53,50636.766,50381.902,50848.383,50476.65,50775.42,50757.785,50542.133,50831.742,49343.305,50115.543,49754.36,48416.426,49411.71,48898.742,48963.29
4,46835.305,46285.41,45961.477,46355.22,45791.344,46552.094,47182.9,47371.66,48666.445,48591.914,48844.305,49885.688,50091.12,50317.633,51332.742,49805.97,50995.293,50763.117,51252.113,50896.168,51210.875,51207.773,51003.61,51306.64,49821.1,50608.645,50250.62,48911.973,49916.68,49406.695,49247.42
5,46936.926,46379.492,46050.527,46443.527,45878.12,46645.645,47279.48,47471.855,48773.31,48834.59,49106.453,50169.797,50400.785,50656.145,51708.51,50198.992,51420.586,51212.03,51724.066,51385.17,51715.78,51727.5,51534.715,51851.3,50365.652,51171.426,50816.5,49472.973,50489.594,49980.19,49593.387
6,47049.39,46485.67,46152.46,46545.895,45979.613,46755.75,47394.7,47592.48,48903.656,48707.906,48951.87,49994.97,50194.035,50399.625,51399.56,49833.645,51015.16,50765.137,51236.887,50867.16,51167.273,51149.016,50932.17,51220.484,49712.76,50494.953,50125.875,48762.715,49763.902,49239.137,49293.13
7,47155.58,46587.438,46251.695,46646.574,46080.184,46864.953,47509.176,47713.297,49035.535,48738.484,48972.223,50011.57,50198.777,50383.52,51364.17,49767.742,50934.13,50664.676,51118.895,50731.703,51017.348,50982.52,50752.74,51025.07,49498.69,50268.395,49885.867,48501.184,49493.14,48954.68,49237.0
8,47301.637,46728.934,46391.645,46789.098,46223.08,47019.812,47672.49,47885.89,49224.293,48845.656,49072.44,50114.29,50292.71,50460.875,51429.664,49802.71,50958.867,50672.008,51114.43,50708.46,50983.58,50932.875,50690.477,50948.293,49397.723,50158.1,49756.492,48342.676,49326.56,48771.414,49267.234
9,47234.137,46667.535,46334.77,46732.992,46168.168,46960.363,47611.348,47822.562,49156.91,48759.02,48981.42,50017.227,50188.42,50351.984,51313.086,49688.332,50835.9,50544.914,50985.39,50575.395,50849.996,50797.65,50554.09,50811.164,49263.41,50020.32,49617.465,48207.465,49188.957,48636.81,49162.574
10,46937.895,46384.656,46059.254,46454.504,45890.52,46659.41,47295.81,47490.715,48796.285,48703.71,48955.97,50003.29,50208.566,50431.46,51447.34,49906.72,51096.39,50858.867,51346.04,50982.215,51294.355,51284.977,51075.81,51373.156,49873.305,50659.04,50289.86,48932.195,49934.58,49415.625,49334.746
11,46892.645,46337.766,46010.54,46403.35,45838.285,46602.387,47234.33,47424.527,48722.094,48854.273,49133.605,50201.754,50441.074,50710.297,51776.79,50284.4,51516.562,51319.8,51843.45,51513.562,51853.223,51873.95,51688.33,52013.574,50535.598,51348.305,50998.223,49661.703,50682.93,50179.535,49663.23
12,47006.65,46442.504,46108.355,46499.953,45932.84,46704.24,47339.727,47533.582,48838.03,48910.81,49186.742,50255.785,50494.258,50754.17,51814.19,50303.074,51533.844,51330.25,51845.01,51511.855,51844.0,51858.95,51668.285,51987.375,50501.062,51312.973,50961.523,49617.66,50638.742,50129.668,49695.535
13,47293.164,46712.848,46368.242,46761.008,46191.77,46984.656,47632.258,47840.082,49169.363,49113.133,49380.594,50455.39,50687.38,50923.33,51967.977,50406.39,51628.867,51402.58,51896.57,51542.656,51856.098,51849.363,51641.195,51938.87,50418.254,51220.03,50848.176,49463.477,50476.54,49942.54,49800.426
14,47748.883,47146.97,46790.06,47186.72,46615.668,47444.02,48113.152,48345.53,49718.07,49492.777,49750.336,50839.953,51063.4,51267.24,52295.617,50658.41,51871.08,51611.215,52080.258,51690.57,51980.09,51939.87,51704.633,51970.383,50390.586,51177.965,50766.043,49309.258,50308.97,49734.88,50033.75
15,48012.59,47399.438,47036.668,47436.2,46864.586,47713.938,48396.21,48643.586,50042.38,49721.074,49972.902,51071.855,51289.63,51474.88,52494.246,50812.914,52019.25,51739.242,52194.75,51782.42,52058.68,51998.312,51746.79,51993.63,50377.7,51156.184,50718.5,49217.43,50208.508,49610.54,50173.496
16,47993.402,47382.203,47020.984,47420.938,46849.812,47697.977,48379.996,48626.973,50024.996,49682.67,49931.28,51026.82,51239.934,51420.523,52433.902,50749.996,51950.633,51666.49,52118.754,51702.848,51976.945,51913.953,51660.438,51905.055,50288.59,51063.934,50624.64,49123.54,50112.42,49514.36,50116.83
17,47896.875,47291.25,46933.617,47333.293,46762.938,47603.867,48281.863,48524.207,49914.008,49571.926,49818.086,50906.816,51115.652,51295.586,52304.03,50629.152,51824.43,51540.707,51992.78,51578.63,51853.82,51793.16,51541.684,51788.85,50181.67,50955.668,50521.426,49032.56,50021.156,49429.57,50007.965
18,47753.76,47156.168,46803.56,47202.734,46633.438,47463.734,48135.67,48371.06,49748.55,49379.582,49618.895,50694.414,50893.215,51066.785,52061.617,50395.156,51577.688,51290.32,51737.457,51323.17,51596.53,51536.438,51285.707,51533.832,49939.504,50708.668,50281.562,48810.465,49796.977,49213.836,49800.355
19,47618.336,47027.855,46679.65,47078.062,46509.58,47329.383,47995.266,48223.766,49589.062,49301.82,49547.59,50622.293,50827.426,51016.39,52022.95,50384.1,51574.453,51301.32,51760.895,51359.33,51643.39,51595.793,51355.215,51615.3,50038.55,50814.31,50398.234,48947.453,49939.008,49368.09,49782.824
20,47449.36,46868.95,46527.12,46925.312,46358.35,47166.312,47825.473,48046.195,49397.65,48952.113,49174.613,50220.055,50394.816,50551.08,51512.75,49860.582,51012.605,50714.344,51147.953,50731.016,50998.207,50937.113,50686.11,50934.22,49366.06,50122.87,49710.062,48275.812,49256.484,48689.87,49327.113
21,47237.15,46669.81,46336.145,46734.1,46168.96,46961.375,47612.18,47823.277,49157.473,48711.508,48928.25,49958.56,50123.39,50277.355,51227.293,49593.39,50732.582,50434.008,50865.844,50451.086,50719.24,50661.6,50413.89,50665.676,49116.137,49867.758,49464.42,48054.312,49032.426,48478.945,49082.598
22,46969.973,46418.36,46094.605,46491.94,45928.99,46702.234,47342.215,47540.895,48852.84,48422.902,48634.8,49648.1,49803.574,49958.55,50898.316,49291.2,50418.4,50123.035,50556.01,50147.27,50419.188,50368.78,50127.266,50386.516,48862.285,49610.285,49220.992,47841.77,48819.16,48281.87,48806.07
23,46684.55,46149.66,45836.42,46232.793,45672.22,46424.78,47053.043,47238.297,48526.164,48117.426,48324.707,49320.43,49466.797,49624.008,50554.242,48976.938,50092.457,49801.727,50237.18,49835.875,50112.836,50071.24,49837.05,50105.332,48608.97,49354.09,48980.523,47636.863,48613.99,48095.832,48519.55
24,46301.887,45785.816,45483.27,45876.652,45318.0,46041.75,46652.367,46817.863,48070.496,47902.3,48129.36,49123.45,49290.58,49492.99,50458.27,48959.855,50100.387,49852.156,50322.684,49960.6,50267.273,50262.42,50057.82,50360.617,48916.105,49680.234,49341.836,48057.59,49049.723,48566.285,48483.363
