,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,69174.11,68627.0,69148.66,69634.414,69534.14,69470.76,69551.21,68506.914,69084.56,68533.84,68800.64,69457.5,69052.97,69041.91,68607.43,68747.1,69228.64,68644.016,69317.75,68822.0,69105.586,69141.1,69319.34,69240.86,69053.45,68872.125,68860.086,68669.086,68856.49,68385.414,69016.305
798,69238.016,68710.95,69237.63,69731.18,69600.734,69539.336,69629.04,68582.09,69157.61,68604.555,68875.25,69543.53,69108.22,69130.98,68689.69,68817.03,69314.055,68726.24,69407.14,68897.61,69177.05,69233.67,69392.33,69335.086,69129.7,68949.5,68933.44,68741.51,68945.67,68454.38,69094.445
799,69341.71,68761.59,69268.89,69756.86,69694.734,69632.17,69701.6,68645.5,69241.1,68682.06,68942.44,69596.72,69209.86,69165.61,68741.52,68898.85,69366.445,68787.58,69451.74,68964.836,69257.164,69264.91,69472.086,69366.336,69198.37,69023.555,69002.64,68807.66,68988.07,68527.04,69158.66
800,69257.02,68727.734,69253.04,69747.12,69619.164,69557.94,69646.93,68598.81,69175.91,68621.945,68892.32,69560.664,69125.83,69146.72,68706.17,68834.74,69331.02,68743.64,69423.9,68914.664,69194.79,69249.57,69410.25,69351.23,69146.99,68967.48,68950.375,68758.03,68962.19,68471.055,69111.58
801,69375.734,68820.18,69332.44,69827.14,69732.2,69671.336,69750.72,68694.19,69284.91,68725.04,68990.87,69654.875,69237.58,69228.74,68796.99,68940.62,69424.25,68841.66,69513.695,69013.02,69300.33,69331.195,69516.46,69433.9,69246.836,69072.11,69048.81,68853.65,69050.18,68569.375,69209.3
802,69419.09,68906.87,69433.125,69939.58,69782.4,69724.45,69822.67,68765.91,69347.016,68786.28,69059.14,69744.04,69270.8,69328.336,68881.9,68999.35,69512.914,68923.14,69610.13,69084.08,69361.59,69436.4,69579.77,69541.18,69318.2,69142.36,69115.64,68921.05,69147.15,68630.16,69284.49
803,69610.8,69044.83,69546.01,70051.01,69963.016,69905.055,69982.96,68912.15,69515.25,68947.7,69212.29,69884.445,69452.87,69445.88,69017.48,69166.02,69651.75,69071.63,69741.49,69235.38,69527.16,69552.08,69746.04,69658.19,69471.94,69304.93,69268.54,69068.445,69275.35,68783.59,69433.81
804,69507.89,68902.83,69397.83,69889.52,69855.18,69793.81,69855.32,68788.01,69396.9,68832.23,69087.914,69742.17,69363.91,69297.7,68881.49,69052.04,69510.484,68936.11,69593.21,69111.234,69410.53,69397.88,69626.84,69501.2,69346.766,69178.12,69148.266,68949.41,69127.32,68670.836,69305.1
805,69300.23,68759.81,69279.82,69773.79,69660.04,69598.86,69683.695,68632.56,69214.95,68658.766,68927.516,69593.336,69166.72,69174.51,68737.695,68872.68,69363.336,68777.97,69454.7,68949.42,69232.52,69277.05,69448.19,69379.03,69182.3,69004.586,68985.27,68791.87,68992.3,68506.1,69145.984
806,69363.375,68805.01,69316.9,69810.37,69719.54,69658.34,69736.45,68680.46,69271.39,68711.914,68977.06,69639.516,69226.71,69213.14,68782.29,68927.555,69409.0,68826.82,69497.88,68999.22,69287.04,69315.05,69502.92,69417.46,69232.9,69057.914,69035.37,68840.39,69034.445,68556.62,69195.1
807,69307.13,68714.47,69219.914,69703.53,69658.61,69594.93,69659.086,68604.2,69201.32,68643.53,68901.055,69549.52,69180.06,69116.6,68696.414,68860.79,69319.59,68742.555,69402.63,68923.52,69218.234,69213.94,69432.305,69314.45,69156.695,68981.32,68962.586,68768.02,68939.055,68489.43,69115.85
808,69089.75,68486.875,68997.77,69467.914,69442.08,69374.74,69432.59,68389.7,68977.65,68428.734,68683.92,69318.4,68982.27,68891.87,68474.73,68645.414,69089.766,68514.18,69170.09,68705.81,69000.65,68983.77,69211.56,69080.54,68936.51,68753.25,68748.53,68558.13,68708.54,68282.766,68894.28
809,68909.54,68384.52,68922.266,69398.7,69276.09,69209.13,69296.44,68268.51,68826.125,68287.83,68558.44,69209.79,68809.16,68811.09,68369.36,68497.234,68983.23,68394.08,69073.766,68578.58,68854.71,68907.195,69065.73,69003.445,68806.89,68616.445,68618.93,68433.61,68615.7,68149.15,68771.195
810,69048.66,68497.625,69022.9,69501.3,69409.49,69344.09,69421.664,68384.41,68956.32,68411.13,68676.555,69325.984,68939.305,68914.58,68481.26,68623.48,69098.25,68513.77,69185.72,68697.55,68980.79,69010.836,69192.79,69108.49,68927.58,68742.516,68737.63,68549.086,68725.67,68266.99,68889.88
811,69078.81,68536.98,69063.445,69545.26,69440.734,69376.21,69457.7,68419.266,68990.336,68444.02,68711.555,69365.47,68965.54,68955.2,68519.03,68656.08,69137.445,68551.65,69226.61,68732.516,69014.055,69052.984,69226.734,69151.4,68962.85,68778.36,68771.6,68582.6,68766.44,68299.03,68926.0
812,69179.445,68664.2,69196.94,69689.93,69544.78,69483.14,69577.12,68534.03,69103.31,68553.195,68825.62,69495.89,69053.25,69089.03,68643.78,68764.37,69266.91,68676.914,69361.484,68848.336,69124.49,69191.79,69339.4,69292.66,69079.71,68897.19,68884.195,68693.65,68900.88,68405.35,69045.37
813,69414.99,68904.7,69431.78,69938.445,69778.66,69720.75,69819.74,68763.3,69343.71,68783.18,69056.32,69741.86,69266.78,69326.86,68879.766,68996.08,69510.76,68920.64,69608.27,69081.36,69358.38,69435.055,69576.58,69539.836,69315.42,69138.95,69112.62,68918.38,69145.375,68627.25,69281.86
814,69665.82,69144.33,69659.54,70177.17,70024.94,69970.15,70067.52,68996.164,69589.516,69020.74,69292.25,69986.734,69496.54,69558.44,69114.945,69236.58,69753.414,69165.96,69851.234,69318.58,69600.39,69670.61,69821.51,69779.02,69555.58,69388.35,69346.31,69147.58,69385.52,68855.8,69521.37
