,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,6271.317,6242.773,6320.361,6256.0547,6257.681,6302.2446,6238.6714,6270.9775,6273.5713,6222.023,6267.106,6261.219,6247.9785,6275.199,6247.4644,6253.467,6260.6343,6224.5923,6243.914,6268.239,6278.566,6285.119,6263.368,6196.2744,6269.3237,6279.7437,6253.2773,6272.206,6276.171,6260.8237,6261.3457
2021-11-25,6283.9604,6255.4375,6334.103,6269.717,6270.7163,6315.44,6251.216,6284.521,6286.7715,6235.084,6280.2847,6273.703,6260.323,6288.857,6260.4775,6266.014,6273.8086,6237.6255,6256.425,6281.332,6291.796,6298.31,6276.606,6208.5557,6282.782,6292.4927,6266.6763,6285.4155,6289.746,6274.08,6274.4097
2021-11-26,6291.1807,6262.544,6341.491,6277.001,6277.699,6322.5615,6258.1895,6291.6895,6294.298,6242.134,6287.014,6281.028,6267.101,6296.337,6268.6816,6272.8823,6281.221,6244.5312,6263.478,6288.822,6298.7197,6305.308,6283.8887,6214.95,6290.3115,6299.8247,6274.1685,6292.782,6297.118,6281.522,6281.616
2021-11-27,6286.794,6258.157,6336.7573,6272.3,6273.2124,6318.015,6253.85,6287.0327,6289.7144,6237.6323,6282.5073,6276.6763,6262.8384,6291.621,6264.097,6268.5493,6276.656,6240.0503,6259.141,6284.277,6294.1787,6300.7734,6279.313,6210.7417,6285.6504,6295.3955,6269.5303,6288.211,6292.4355,6276.9287,6277.1016
2021-11-28,6277.405,6248.744,6326.53,6262.129,6263.5117,6308.1973,6244.523,6276.9478,6279.9062,6227.913,6272.687,6267.4097,6253.658,6281.462,6254.459,6259.216,6266.8643,6230.3457,6249.843,6274.553,6284.3237,6290.955,6269.467,6201.596,6275.646,6285.928,6259.571,6278.391,6282.334,6267.075,6267.386
2021-11-29,6260.293,6231.653,6308.0767,6243.8,6246.0093,6290.4644,6227.6113,6258.796,6262.0625,6210.3643,6255.0767,6250.479,6237.0337,6263.0835,6236.654,6242.3335,6249.0786,6212.872,6232.953,6256.835,6266.6084,6273.2607,6251.65,6185.145,6257.4917,6268.666,6241.492,6260.573,6264.086,6249.1865,6249.7896
2021-11-30,6243.0225,6214.4873,6289.7046,6225.5835,6228.585,6272.786,6210.6562,6240.786,6244.094,6192.878,6237.6934,6233.3286,6220.402,6244.718,6218.351,6225.4673,6231.2095,6195.5264,6215.9805,6238.958,6249.0625,6255.6753,6233.8403,6168.839,6239.277,6251.233,6223.343,6242.6963,6245.8887,6231.229,6232.1777
2021-12-01,6226.773,6198.306,6272.269,6208.271,6212.031,6256.01,6194.6484,6223.6553,6227.209,6176.2905,6221.041,6217.2925,6204.658,6227.3394,6201.4546,6209.508,6214.3755,6179.0244,6199.999,6222.1504,6232.335,6238.9385,6217.009,6153.2593,6222.103,6234.8594,6206.221,6225.8223,6228.6484,6214.309,6215.527
2021-12-02,6202.4707,6174.1206,6246.165,6182.344,6187.2275,6230.882,6170.7114,6197.9976,6202.0034,6151.457,6196.0195,6193.3857,6181.0894,6201.343,6176.363,6185.635,6189.2207,6154.305,6176.125,6197.03,6207.2593,6213.8486,6191.8477,6129.8584,6196.4375,6210.3984,6180.6196,6200.5874,6202.8564,6189.0312,6190.6226
2021-12-03,6187.181,6159.098,6230.3975,6166.776,6172.269,6215.6597,6155.9307,6182.6616,6186.205,6136.4214,6181.372,6178.1123,6166.648,6185.453,6159.577,6171.0474,6173.575,6139.5146,6161.261,6181.2183,6192.373,6198.8027,6176.4316,6115.977,6180.5376,6194.9546,6164.7554,6184.975,6187.19,6173.347,6175.323
2021-12-04,6185.8354,6157.7515,6228.918,6165.302,6170.8604,6214.2363,6154.5913,6181.1987,6184.8115,6135.0156,6179.9233,6176.807,6165.3213,6183.99,6158.2534,6169.7046,6172.1763,6138.106,6159.934,6179.8296,6190.9365,6197.3726,6175.0205,6114.631,6179.107,6193.6045,6163.326,6183.565,6185.7344,6171.9404,6173.9272
2021-12-05,6179.6284,6151.57,6222.207,6158.627,6164.473,6207.7725,6148.4644,6174.591,6178.391,6128.633,6173.4287,6170.746,6159.2715,6177.3237,6151.9717,6163.583,6165.7515,6131.736,6153.8413,6173.421,6184.4614,6190.9004,6168.579,6108.569,6172.548,6187.3716,6156.7773,6177.1064,6179.115,6165.485,6167.545
2021-12-06,6166.722,6138.761,6208.3916,6144.9087,6151.3286,6194.457,6135.7856,6161.022,6165.0586,6115.4863,6160.1514,6158.101,6146.774,6163.5635,6138.709,6150.9497,6152.4355,6118.6553,6141.207,6160.0957,6171.1875,6177.6016,6155.2773,6096.1377,6158.9663,6174.401,6143.2144,6163.7354,6165.4746,6152.114,6154.356
2021-12-07,6159.5645,6131.7627,6201.1,6137.7227,6144.409,6187.4077,6128.9077,6153.9536,6157.689,6108.5293,6153.4233,6150.9404,6140.064,6156.194,6130.7607,6144.1846,6145.1465,6111.8335,6134.281,6152.698,6164.335,6170.648,6148.127,6089.7334,6151.5674,6167.172,6135.8276,6156.466,6158.2236,6144.8164,6147.249
2021-12-08,6165.8906,6138.06,6207.952,6144.539,6150.9355,6194.0093,6135.1543,6160.703,6164.2217,6115.0454,6160.079,6157.0967,6146.2393,6162.993,6137.112,6150.427,6151.6895,6118.3413,6140.4854,6159.226,6170.9546,6177.2637,6154.6914,6095.9434,6158.249,6173.5176,6142.503,6163.0513,6164.9756,6151.389,6153.7573
2021-12-09,6167.9634,6140.0327,6209.866,6146.394,6152.7397,6195.8706,6137.0645,6162.5063,6166.3457,6116.8823,6161.683,6159.254,6148.0635,6164.989,6139.7407,6152.259,6153.7515,6120.0845,6142.451,6161.373,6172.666,6179.049,6156.6436,6097.5303,6160.3223,6175.6323,6144.5703,6165.078,6166.908,6153.443,6155.7056
2021-12-10,6168.272,6140.4033,6210.4287,6146.9873,6153.2886,6196.4004,6137.463,6163.117,6166.677,6117.406,6162.4043,6159.4585,6148.502,6165.481,6139.6743,6152.7104,6154.1274,6120.67,6142.8003,6161.686,6173.3037,6179.635,6157.101,6098.1406,6160.7285,6175.9175,6144.9785,6165.489,6167.43,6153.8335,6156.1504
2021-12-11,6178.0117,6150.0674,6220.848,6157.334,6163.2017,6206.444,6147.0293,6173.35,6176.738,6127.3213,6172.4126,6169.0054,6157.929,6175.861,6149.694,6162.241,6164.176,6130.5347,6152.3335,6171.7417,6183.313,6189.6655,6167.1357,6107.513,6170.9756,6185.7065,6155.2114,6175.578,6177.7197,6163.9224,6166.1006
2021-12-12,6192.2515,6164.1997,6236.0625,6172.4365,6177.669,6221.1045,6161.0117,6188.285,6191.462,6141.8,6186.9897,6182.991,6171.6978,6191.027,6164.4155,6176.1665,6178.8706,6144.9316,6166.2783,6186.449,6197.9126,6204.298,6181.805,6121.1694,6185.9604,6200.028,6170.171,6190.3228,6192.7515,6178.6777,6180.6396
2021-12-13,6210.944,6182.766,6256.0444,6192.2686,6196.6577,6240.349,6179.378,6207.9014,6210.8203,6160.8135,6206.0977,6201.3887,6189.772,6210.949,6183.812,6194.4604,6198.181,6163.835,6184.6055,6205.767,6217.0757,6223.4976,6201.0864,6139.0674,6205.654,6218.8413,6189.8213,6209.6885,6212.4995,6198.0728,6199.7373
2021-12-14,6226.5405,6198.208,6272.5,6208.569,6212.276,6256.2046,6194.6196,6224.002,6226.989,6176.484,6221.632,6216.8633,6204.7188,6227.4277,6200.421,6209.592,6214.2544,6179.351,6199.8696,6221.8975,6232.757,6239.254,6217.0596,6153.679,6222.024,6234.5737,6206.147,6225.769,6228.804,6214.21,6215.556
2021-12-15,6237.7773,6209.3916,6284.5405,6220.5205,6223.7065,6267.79,6205.6816,6235.8276,6238.661,6187.9385,6233.1206,6227.957,6215.5957,6239.4316,6212.1274,6220.616,6225.8896,6190.7417,6210.916,6233.5205,6244.301,6250.809,6228.687,6164.4326,6233.8936,6245.8975,6217.98,6237.4297,6240.71,6225.903,6227.059
