,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,534.34314,301.447,323.3755,577.56244,298.03445,404.7885,492.8655,369.20862,393.5864,158.60933,498.86246,335.75595,236.35162,324.52103,665.0133,373.93866,466.5145,422.60745,299.88422,477.4466,375.91306,267.1349,310.99774,486.32782,323.9784,305.17822,546.03955,269.7286,277.06946,278.52017,379.85345
2000-01-10,391.81085,461.87732,410.59937,569.3044,378.6067,437.55414,505.23233,417.3314,377.59988,349.98956,177.7711,425.4615,301.66736,390.93622,436.44516,551.6493,403.64426,309.4151,235.96802,492.76697,446.04202,262.08365,320.8118,385.9626,327.1841,312.78534,233.82579,252.95712,342.33762,389.5927,376.6405
2000-01-11,449.96695,388.3262,311.57095,473.76865,418.02716,496.3692,480.02307,402.26184,305.49417,338.75082,325.05923,361.957,322.62518,414.06268,496.56122,424.28506,427.7585,339.44995,373.23636,453.4531,438.22174,361.42242,351.4502,460.97305,425.8394,400.10968,431.08728,280.84595,392.3072,365.12573,397.013
2000-01-12,449.24942,387.44733,310.77994,473.111,417.283,495.76608,479.23376,401.37027,304.7111,338.16418,324.48486,361.21347,322.08148,413.36322,495.71173,423.4307,427.008,338.78128,372.44037,452.8451,437.44543,360.5228,350.67282,460.3245,425.1591,399.41077,430.55438,279.9806,391.7396,364.54947,396.29453
2000-01-13,452.6973,390.65112,314.1153,476.20334,420.62637,499.04053,482.43927,404.78555,308.0974,341.4124,328.07312,364.49796,325.30157,416.6915,498.96164,426.64194,430.24118,342.10162,375.70718,456.16882,440.73068,363.96072,354.01474,463.7364,428.44516,402.82288,433.79922,283.4699,395.058,367.90384,399.61325
2000-01-14,453.99722,391.83792,315.3631,477.36813,421.882,500.28323,483.63556,406.0548,309.36667,342.64658,329.4439,365.73065,326.52853,417.94583,500.16916,427.8341,431.4525,343.35565,376.92697,457.43057,441.96005,365.23822,355.26706,465.02933,429.6846,404.11075,435.0376,284.7711,396.3222,369.18137,400.86185
2000-01-15,454.96765,392.72568,316.29517,478.23782,422.81998,501.21033,484.5298,407.00433,310.3149,343.56732,330.46573,366.65128,327.4437,418.88214,501.07236,428.72577,432.3576,344.29227,377.83905,458.37186,442.8786,366.19366,356.20242,465.99387,430.6099,405.0721,435.9609,285.74408,397.26495,370.13425,401.7943
2000-01-16,455.50058,393.21884,316.80978,478.71542,423.33575,501.7165,485.02408,407.5305,310.83725,344.06958,331.02148,367.15842,327.94202,419.39624,501.57312,429.22052,432.8567,344.8053,378.34256,458.88583,443.3854,366.7234,356.7182,466.52127,431.11743,405.5993,436.46335,286.28207,397.77863,370.6532,402.30673
2000-01-17,455.42358,393.16174,316.742,478.64755,423.26492,501.63846,484.96088,407.4666,310.76724,343.99155,330.92993,367.08926,327.86188,419.32242,501.51242,429.1614,432.78986,344.73,378.27774,458.8062,443.31845,366.65912,356.64926,466.44135,431.04404,405.52255,436.38153,286.21356,397.69656,370.57053,402.23474
2000-01-18,454.29602,392.1636,315.67386,477.63925,422.1826,500.54947,483.94083,406.39148,309.67795,342.90796,329.71585,366.02872,326.77914,418.23578,500.48996,428.1544,431.75027,343.6384,377.23615,457.69968,442.26553,365.57764,355.57498,465.311,429.96872,404.40387,435.2867,285.105,396.5821,369.44485,401.1558
2000-01-19,454.22876,392.0384,315.58017,477.57474,422.1033,500.50845,483.8425,406.2718,309.5885,342.87073,329.69662,365.947,326.75333,418.16882,500.37555,428.0368,431.6644,343.58023,377.13843,457.6594,442.1742,365.45648,355.48572,465.26236,429.90527,404.34042,435.26517,284.99588,396.55356,369.41483,401.0828
