,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,313.28207,95.92622,349.40863,468.53006,572.87805,358.156,150.8838,741.1329,731.6577,575.0862,559.49066,548.4999,362.64093,162.59221,457.3313,125.62738,474.47034,309.14188,526.95746,-92.298195,63.44504,239.33958,278.46393,-107.76891,199.02391,198.05939,371.44495,411.55374,142.4361,687.2732,342.4889
2000-01-10,484.26935,402.41537,410.15656,364.4031,403.3665,234.51794,404.09045,702.315,523.28644,377.87796,412.60922,452.40964,383.10916,77.02731,254.81215,277.61337,240.74033,153.70612,323.6823,266.57913,259.86658,398.56393,513.61334,116.84914,342.55142,281.69946,243.82994,445.57193,360.94595,638.7135,358.37314
2000-01-11,412.07208,361.10455,296.46936,311.49323,355.12698,340.564,345.5021,384.12042,318.20602,384.4091,479.71423,304.02292,381.17377,279.177,286.68958,403.25662,211.93265,197.93504,315.2712,282.82913,335.5804,414.6107,301.95242,200.00366,325.8017,434.43195,236.90125,341.80344,305.13647,465.1226,333.74716
2000-01-12,414.01044,370.85345,299.30838,314.99902,356.90555,343.70013,346.64554,386.31616,321.26816,386.86725,483.26865,305.5721,384.07898,282.24652,292.29022,406.74,215.44965,200.62476,318.79837,286.05368,338.6474,417.5434,304.75232,201.78659,331.27167,436.46252,240.10548,345.6662,305.98215,468.95956,336.90582
2000-01-13,416.37683,371.45996,301.96872,317.42252,358.97238,346.1528,350.0456,388.89285,323.6856,389.65256,485.57455,307.73563,386.30136,284.9555,293.1264,409.14105,217.18034,202.45569,321.25208,287.51157,341.35004,420.11813,307.53912,204.60193,333.2056,439.2789,242.67975,347.93362,308.30316,471.39362,339.20892
2000-01-14,417.51962,372.70386,303.32108,318.7493,359.979,347.45273,351.5185,390.1455,324.96405,391.0155,486.85904,308.7572,387.48602,286.3508,294.03574,410.4562,218.23157,203.46188,322.5926,288.42386,342.7428,421.44592,308.9378,205.90715,334.5389,440.61014,244.03508,349.23438,309.31952,472.75845,340.4518
2000-01-15,418.3505,373.54172,304.29935,319.7026,360.71027,348.38977,352.60104,391.0557,325.88586,392.0052,487.78064,309.50153,388.33932,287.3591,294.66125,411.4017,218.9806,204.18448,323.55627,289.07266,343.7492,422.40527,309.95096,206.86026,335.47998,441.58017,245.0125,350.1657,310.0658,473.73737,341.34622
2000-01-16,418.73453,373.70963,304.73584,320.10736,361.0463,348.7962,353.1403,391.47452,326.2864,392.4586,488.16742,309.85095,388.70813,287.8053,294.83383,411.80264,219.27751,204.4905,323.9659,289.3243,344.19412,422.82928,310.4071,207.31302,335.8234,442.03503,245.4384,350.5489,310.43555,474.14615,341.72958
2000-01-17,418.5199,373.0384,304.45078,319.78635,360.85324,348.49844,352.9415,391.2351,325.99478,392.19424,487.84747,309.6696,388.43427,287.5029,294.43076,411.48355,218.9806,204.24518,323.64236,289.057,343.89236,422.54092,310.11993,207.09267,335.38904,441.79797,245.1322,350.20926,310.29376,473.8025,341.43588
2000-01-18,417.1766,370.52948,302.78647,318.05502,359.66022,346.84305,351.39563,389.75287,324.36972,390.57205,486.14914,308.49387,386.91907,285.7663,292.806,409.76617,217.50728,202.9277,321.89474,287.75476,342.15872,420.887,308.41714,205.61743,333.38217,440.26437,243.41504,348.4534,309.21674,471.98975,339.83093
