,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,260.16306,216.40233,159.35751,604.4637,287.77625,437.57825,646.5271,465.41696,447.5528,372.8134,399.63535,459.04572,603.704,518.005,371.01587,575.2118,307.8301,347.02386,393.4115,385.8027,449.47614,292.32608,808.5996,813.0757,193.03691,312.48166,475.98575,223.95932,320.26047,47.939003,406.52927
2000-01-10,327.08026,572.6872,549.75195,351.2679,370.00122,375.85544,546.9588,670.21643,391.57486,352.59827,-12.313009,627.9652,732.95166,542.0444,681.3769,326.5351,326.99124,447.37408,80.13575,574.4427,331.8825,104.72455,464.49304,724.95764,195.73868,536.7385,120.87875,603.8485,393.96808,385.07947,423.2602
2000-01-11,408.8507,292.44672,445.66306,334.94537,246.028,433.585,481.93045,482.91486,354.57132,329.41895,326.1447,440.4824,448.1451,454.9592,492.0947,475.55878,238.24156,326.84723,354.31598,366.40704,463.8161,192.38112,342.9143,348.97183,432.97787,344.16486,313.6049,349.97772,253.64609,327.05405,370.102
2000-01-12,406.6831,287.7334,444.0933,335.8033,245.6522,430.8832,481.6031,479.01404,352.17725,328.51532,323.14096,437.84976,447.21317,454.9722,492.74222,474.5198,236.668,326.1282,355.00632,365.8016,464.23123,191.35675,342.94455,347.01276,432.13663,344.81555,311.37863,349.8413,252.71985,323.4314,368.869
2000-01-13,410.13138,292.75165,447.93893,338.67343,248.69128,434.73352,484.55844,483.79608,355.99857,331.67642,327.4548,442.42584,450.46414,457.98178,495.47064,477.90305,240.1406,329.42255,357.71573,368.55856,466.92465,195.05096,345.85736,350.5656,435.3303,347.32034,314.78702,352.82095,255.6756,327.57004,372.27972
2000-01-14,411.28308,294.2679,449.31033,339.90546,249.8641,435.9905,485.7027,485.3009,357.27542,332.84354,328.8655,443.9791,451.66425,459.18243,496.62485,479.14484,241.3629,330.66177,358.86655,369.59543,468.04092,196.41835,347.02173,351.7804,436.51666,348.38574,315.91684,353.99463,256.75854,328.84714,373.51242
2000-01-15,412.15646,295.43314,450.3417,340.81226,250.7375,436.94656,486.55432,486.45132,358.24356,333.71735,329.9381,445.15448,452.56238,460.07336,497.4754,480.0751,242.28366,331.5874,359.71436,370.36984,468.86545,197.44147,347.88498,352.69852,437.4042,349.1704,316.77444,354.86655,257.56976,329.82602,374.43765
2000-01-16,412.67838,296.18134,450.9302,341.26672,251.20908,437.52728,487.013,487.16864,358.82236,334.20395,330.58902,445.84894,453.0627,460.54315,497.9062,480.59543,242.8136,332.0962,360.1428,370.79532,469.28903,198.01033,348.34006,353.2384,437.8965,349.5664,317.2897,355.33072,258.0244,330.4448,374.96082
2000-01-17,412.69824,296.31415,450.89575,341.10577,251.1245,437.56808,486.9282,487.25577,358.84372,334.1498,330.63342,445.8591,453.0075,460.4336,497.7645,480.54245,242.7933,332.02493,359.99857,370.7361,469.16415,197.9454,348.23264,353.24054,437.8371,349.4323,317.31488,355.23218,257.9792,330.5366,374.91974
2000-01-18,411.90903,295.5302,449.81723,339.8264,250.06967,436.75287,485.8941,486.37054,357.96738,333.17322,329.7148,444.7548,452.00345,459.29926,496.58722,479.51364,241.85606,330.95486,358.81866,369.84137,468.05444,196.79626,347.13065,352.36343,436.83344,348.3386,316.5544,354.14395,257.08505,329.82858,373.92612
2000-01-19,411.4163,294.35547,449.5165,340.1973,250.08574,436.11993,485.92053,485.42462,357.42346,333.03915,329.0123,444.1724,451.86514,459.42795,496.89047,479.34933,241.53842,330.88065,359.13364,369.77835,468.28802,196.64908,347.2605,351.93616,436.71924,348.63358,316.04276,354.22748,256.93576,328.93744,373.70593
2000-01-20,412.6164,295.9982,450.91162,341.37393,251.2461,437.4414,487.05148,487.02927,358.75406,334.21198,330.4943,445.78128,453.07074,460.60278,497.99817,480.59946,242.78781,332.11755,360.2367,370.81308,469.36642,198.02153,348.39844,353.19095,437.90857,349.65405,317.2235,355.38065,258.02698,330.30945,374.95392
2000-01-21,562.0203,372.99716,738.0636,72.60203,208.18196,532.1927,334.3875,505.46994,266.56686,291.53506,257.88336,428.1825,298.24997,398.28976,619.777,381.71082,228.1488,312.7014,321.8391,352.05374,484.23074,98.9173,-116.57676,260.70908,678.5791,381.98328,58.27855,482.11603,192.07956,561.6533,352.1608
2000-01-22,487.80084,-192.01613,195.29015,225.99347,92.01207,536.7624,411.91388,269.7766,456.62286,406.90707,548.0849,144.50027,163.81241,207.7459,305.57898,670.53455,218.92584,376.5203,560.2468,235.37822,467.52417,319.68253,357.14453,180.90872,517.60675,411.58167,411.0,428.78033,265.6848,591.88434,342.473
2000-01-23,261.69476,218.16983,161.31703,606.5272,289.54266,439.3121,648.4404,467.2762,449.2526,374.53882,401.46503,461.1507,605.4776,519.9061,372.928,577.0369,309.7173,348.8878,395.32407,387.36127,451.29532,294.35178,810.44507,814.8234,194.80101,314.2534,477.47482,225.79744,321.84927,49.369408,408.32623
2000-01-24,322.93497,569.96313,542.1313,340.72705,362.37827,372.09628,539.3618,666.0449,386.63568,346.03458,-16.721163,620.8939,726.27716,533.1255,671.55145,319.70938,320.98096,439.40833,71.08218,568.3541,323.03427,97.16144,456.09482,719.6713,188.54543,528.13666,116.98628,596.3409,387.93774,382.38086,416.642
2000-01-25,392.19067,271.8482,425.0986,314.84784,227.75209,415.64172,464.0707,461.90714,336.09134,311.6106,305.9867,417.8034,429.83707,435.96155,473.3823,456.67764,220.03798,307.76688,335.62357,350.4474,445.86862,171.4948,324.48465,331.16498,414.8187,326.85422,297.33334,331.51718,237.1842,309.4507,351.49185
2000-01-26,387.47714,263.47748,420.66275,313.50412,225.08456,410.1056,461.51422,454.50327,330.87558,308.33932,299.8064,411.7845,426.4702,433.69348,471.94217,453.12466,215.88147,304.57385,334.23926,347.77142,444.2297,167.70245,322.30627,326.5738,411.58316,325.58685,292.59296,329.1269,234.04678,302.8038,347.7128
2000-01-27,388.56793,266.1416,421.2942,312.57385,224.98643,411.51822,461.3922,456.63428,332.07928,308.5912,301.3732,413.06366,426.73117,433.33017,471.17368,453.43723,216.55925,304.68253,333.44382,347.8649,443.62595,167.97504,321.94275,327.5086,411.78827,324.84247,293.7292,328.8704,234.33841,304.8185,348.16263
2000-01-28,385.46393,262.05002,417.60104,309.26303,221.83127,408.12936,458.314,452.57443,328.63736,305.44977,297.56985,408.878,423.50113,430.10098,468.0722,450.10114,213.26703,301.34784,330.35114,345.07535,440.62546,164.2952,318.8121,324.23575,408.59503,321.97977,290.684,325.71375,231.42325,301.37225,344.84378
2000-01-29,382.77103,258.66055,414.30966,306.11697,218.93642,405.21844,455.4862,449.1441,325.65073,302.61285,294.3003,405.22162,420.58493,427.10358,465.13867,447.0943,210.34807,298.31595,327.4219,342.53915,437.8058,160.96915,315.905,321.36795,405.70462,319.2674,288.05072,322.79688,228.79823,298.48764,341.87097
