,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,6069.063,6000.032,6225.708,6083.946,6122.553,6224.7637,6180.183,6020.007,6072.9067,6161.1255,6058.1514,6130.6943,6071.478,6084.3774,6561.401,6108.2773,6327.2383,6107.643,6168.478,5966.996,6140.531,6104.286,6076.2935,6102.913,6192.966,6082.8037,6061.865,6131.9546,6039.5337,6093.363,6125.717
2021-11-25,6066.497,5997.273,6221.628,6080.48,6119.086,6220.039,6175.3164,6018.2163,6068.7637,6157.086,6055.278,6127.2954,6068.4243,6081.587,6554.9956,6104.6284,6321.4014,6104.2656,6164.699,5965.352,6137.028,6100.6914,6072.51,6098.4844,6189.018,6079.59,6059.1685,6127.717,6035.576,6089.7583,6122.062
2021-11-26,6062.9253,5993.5815,6215.7886,6075.834,6114.243,6213.9395,6168.565,6015.6094,6063.7085,6151.7124,6051.3525,6122.425,6064.5215,6077.574,6546.1265,6099.7886,6313.5093,6099.9863,6159.4043,5963.191,6132.5615,6095.893,6067.226,6092.931,6183.9404,6075.215,6055.62,6122.051,6030.38,6085.0527,6117.1553
2021-11-27,6053.593,5983.5557,6200.88,6062.3047,6101.6553,6197.6743,6151.1553,6008.2676,6049.828,6137.1855,6041.0425,6109.616,6051.7666,6066.814,6522.7485,6086.826,6293.3237,6083.4287,6144.1763,5957.1816,6119.4224,6082.6187,6053.603,6077.8022,6170.015,6062.9004,6044.679,6107.097,6016.807,6072.4805,6103.681
2021-11-28,6039.0713,5968.528,6177.0166,6043.287,6081.9766,6173.151,6124.333,5998.191,6029.512,6115.0815,6025.093,6089.586,6036.992,6050.526,6486.8477,6066.165,6262.2915,6067.034,6122.8457,5948.1445,6100.6543,6062.7285,6032.3145,6055.205,6149.4546,6045.4575,6030.16,6084.3403,5996.7725,6053.455,6083.8745
2021-11-29,6029.309,5958.321,6161.2217,6030.2817,6068.7646,6156.0884,6105.954,5991.462,6015.1475,6100.238,6014.3086,6076.413,6026.58,6039.7305,6462.642,6052.8022,6240.566,6055.156,6108.8276,5942.133,6088.272,6049.453,6017.903,6039.5728,6135.254,6033.644,6020.1904,6068.664,5982.1616,6040.3613,6070.3813
2021-11-30,6015.974,5944.7407,6139.3037,6012.9824,6050.639,6134.5957,6080.8066,5981.7085,5997.8076,6080.5293,5999.7812,6057.836,6013.0137,6024.382,6429.7847,6035.5195,6212.249,6040.1597,6089.0728,5934.1123,6072.0283,6032.1665,5998.31,6020.053,6117.0835,6017.7046,6006.773,6048.1304,5964.356,6023.5063,6052.504
2021-12-01,5994.5513,5923.165,6103.248,5983.678,6021.562,6101.2373,6042.459,5963.7363,5971.352,6048.7646,5976.601,6027.262,5988.3413,5998.9463,6377.395,6004.91,6169.356,6013.7812,6055.4326,5921.025,6045.468,6002.9746,5967.1797,5989.841,6088.639,5990.9795,5984.5854,6016.169,5937.76,5997.107,6023.583
2021-12-02,5994.98,5923.079,6104.377,5983.899,6022.2095,6100.7153,6043.0664,5964.3174,5970.5654,6048.969,5976.9062,6028.2583,5987.979,5999.6377,6378.2896,6005.203,6169.4272,6012.3984,6056.0186,5921.052,6045.0396,6002.915,5967.796,5989.0522,6088.1255,5990.6807,5984.6104,6016.1904,5937.1606,5996.901,6023.6606
2021-12-03,5992.812,5921.0186,6100.9263,5981.855,6019.262,6096.5815,6038.7563,5964.3296,5966.973,6045.7134,5974.471,6025.5576,5987.762,5997.7383,6372.9775,6002.4204,6164.034,6012.3423,6054.146,5919.7896,6042.292,6000.421,5964.5083,5985.285,6085.067,5989.3706,5983.0864,6012.5034,5933.422,5993.8164,6020.975
