,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,342.26147,461.4427,323.12436,367.0254,310.34378,341.61502,341.24078,426.19153,425.40988,316.9611,353.3709,386.59958,388.22455,329.91367,356.02664,372.7536,301.89716,362.9377,374.08862,405.93167,359.78223,407.8676,350.11996,331.5203,360.27643,316.8733,361.95914,375.90894,352.0493,367.62384,362.37802
2000-01-10,336.40253,457.03333,318.95084,356.0694,305.45416,337.9634,336.8167,420.2043,419.57037,312.31735,347.79224,382.28473,382.7872,324.88983,351.6706,361.8886,298.27686,356.25168,369.69296,401.07303,353.74268,401.93655,345.72574,326.7538,354.7231,311.65576,356.24396,367.77008,346.34842,362.10727,356.8133
2000-01-11,341.0341,460.6858,322.63358,362.5487,309.25278,341.62442,340.4831,424.72153,424.46576,316.26,352.54172,386.015,387.12756,329.06525,356.07755,368.3139,301.95538,361.1742,373.6298,404.92944,358.38254,406.436,349.12894,330.72653,359.0942,315.5462,360.66446,373.0455,350.86368,366.30896,361.15793
2000-01-12,342.28534,461.7265,323.69492,363.88004,310.26865,342.78677,341.49548,425.88885,425.8554,317.38425,353.84143,387.07047,388.3075,330.17007,357.44485,369.63782,303.12164,362.4314,374.8089,405.99515,359.58817,407.62457,350.04578,331.82568,360.2632,316.53384,361.84094,374.20618,352.09454,367.41107,362.3177
2000-01-13,343.24463,462.4926,324.47144,365.02634,311.07755,343.56616,342.25455,426.81735,426.91373,318.17456,354.92703,387.87546,389.23685,331.0932,358.49832,370.86203,304.0243,363.39124,375.6536,406.82263,360.5695,408.51974,350.75546,332.6834,361.16705,317.36673,362.7736,375.22467,353.04416,368.26846,363.22653
2000-01-14,343.9076,463.02744,325.00024,365.97668,311.67023,344.0187,342.79895,427.4671,427.55676,318.70074,355.73047,388.41193,389.858,331.8116,359.19547,371.84,304.52386,364.09058,376.16476,407.3872,361.25906,409.1408,351.24792,333.2668,361.7838,317.9578,363.44547,376.0753,353.6916,368.8794,363.86288
2000-01-15,344.0817,463.13528,325.1239,366.59637,311.87726,343.97067,342.98846,427.734,427.6756,318.8185,355.98196,388.56903,390.0532,332.16428,359.1379,372.49567,304.46115,364.3867,376.25204,407.53415,361.54437,409.32593,351.42963,333.43417,362.01053,318.1935,363.714,376.6256,353.86322,369.12122,364.07666
2000-01-16,343.75967,462.83905,324.7352,366.79276,311.56354,343.58487,342.62628,427.43372,427.264,318.50775,355.3546,388.1619,389.6916,331.58154,358.51062,372.5073,303.9465,364.14618,375.8556,407.239,361.16748,409.1059,351.1812,333.04163,361.67612,317.90808,363.35062,376.44568,353.54297,368.8373,363.7453
2000-01-17,342.25317,461.7056,323.68073,363.90283,310.2412,342.75983,341.49094,425.87173,425.80676,317.38467,353.7755,387.04895,388.27258,330.15317,357.33054,369.63754,303.02567,362.43698,374.79645,405.96188,359.5602,407.60968,350.03488,331.79703,360.24878,316.49515,361.8236,374.21555,352.06464,367.40195,362.29294
2000-01-18,343.7192,462.94284,324.92,365.326,311.3733,344.2673,342.62994,427.18054,427.50494,318.7527,355.13168,388.2523,389.62622,331.2121,358.9572,371.06927,304.47375,363.87418,376.24332,407.20334,360.877,409.0266,351.0806,333.058,361.58463,317.56363,363.11728,375.33606,353.52496,368.64557,363.61584
2000-01-19,344.496,463.5679,325.60303,365.67566,312.05252,345.0073,343.25168,427.89743,428.4994,319.35956,356.25223,388.9925,390.4424,332.1072,360.18002,371.64703,305.56857,364.4938,376.99844,407.90353,361.69846,409.66122,351.63467,333.8208,362.30853,318.2735,363.86597,375.90308,354.30298,369.28693,364.35843
