,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2019-06-20,5808.4814,5728.4355,5796.995,5723.8896,5774.687,5803.2827,5714.4673,5760.886,5709.8154,5761.7383,5776.5264,5774.7573,5755.3066,5783.8525,5941.372,5745.178,5792.1973,5772.7344,5782.6113,5791.6045,5796.3813,5749.4194,5704.9287,5714.458,5827.0244,5764.366,5783.6396,5737.3115,5685.132,5746.7847,5766.9424
2019-06-21,5815.2305,5734.1904,5805.79,5733.6357,5782.6113,5815.323,5726.2173,5766.658,5718.2886,5770.077,5782.3525,5782.4634,5758.785,5789.17,5956.5796,5752.5566,5806.648,5780.801,5789.493,5793.738,5805.528,5758.3223,5714.1313,5725.0825,5836.421,5772.31,5788.576,5747.9155,5694.3467,5753.906,5775.239
2019-06-22,5828.521,5746.094,5826.3794,5751.757,5800.1494,5837.784,5750.78,5781.328,5737.9004,5788.3193,5795.7573,5800.732,5775.4517,5803.9624,5988.583,5770.168,5835.1426,5796.059,5806.7783,5801.8486,5822.8037,5777.48,5733.603,5744.9062,5853.088,5787.2466,5801.8184,5768.687,5713.7026,5769.3237,5793.205
2019-06-23,5852.203,5771.6553,5863.408,5782.163,5829.739,5869.7563,5787.4565,5813.0137,5767.347,5823.1084,5821.651,5833.8613,5807.946,5830.729,6037.5205,5801.5347,5876.339,5823.4263,5842.6035,5823.6533,5853.8164,5807.1895,5763.3228,5776.248,5884.8276,5813.675,5827.854,5799.191,5742.903,5800.978,5824.3037
2019-06-24,5863.542,5786.1943,5884.7437,5798.8047,5845.9688,5885.0757,5805.5107,5832.563,5783.612,5844.167,5834.3115,5849.665,5826.5654,5846.3286,6062.1665,5820.1353,5896.226,5839.0903,5860.0645,5837.6143,5869.679,5822.899,5778.2812,5791.4106,5901.71,5828.486,5842.1294,5814.046,5756.6465,5820.317,5840.9326
2019-06-25,5858.1045,5780.4717,5876.0605,5791.0874,5838.7964,5876.327,5795.9263,5825.7314,5776.145,5836.065,5828.5376,5842.3833,5819.7705,5840.171,6049.5034,5812.8706,5885.19,5832.105,5852.2056,5833.8647,5862.5376,5815.4717,5770.636,5783.3784,5894.171,5821.7036,5836.2046,5805.801,5749.327,5813.2925,5833.462
2019-06-26,5852.7505,5774.7305,5866.561,5783.392,5831.284,5868.3643,5786.7354,5818.5493,5769.102,5827.13,5822.968,5834.9976,5813.286,5833.7627,6037.275,5805.147,5874.8423,5826.335,5844.944,5829.9927,5855.4517,5808.5547,5763.1753,5776.216,5886.708,5815.4785,5831.345,5798.5234,5742.4155,5805.7095,5826.191
2019-06-27,5850.952,5772.732,5863.038,5781.052,5828.544,5865.716,5783.5005,5815.42,5766.517,5823.853,5820.909,5832.1187,5809.899,5831.103,6032.8877,5802.173,5871.3247,5823.909,5841.9614,5827.7524,5852.8306,5805.922,5760.519,5773.8813,5884.3354,5813.192,5829.259,5795.7773,5739.9175,5802.791,5823.4604
2019-06-28,5852.15,5774.259,5864.519,5782.828,5830.045,5868.5176,5785.9727,5816.383,5769.0557,5825.373,5822.1636,5833.4927,5811.738,5832.316,6036.162,5803.827,5874.497,5826.993,5844.32,5828.54,5855.111,5807.8696,5762.426,5776.5835,5886.3633,5815.373,5831.194,5798.402,5742.0713,5803.986,5825.418
2019-06-29,5856.994,5779.0996,5871.985,5790.3115,5836.4956,5877.132,5795.152,5822.07,5775.849,5832.197,5827.3955,5840.852,5817.2065,5837.3965,6048.129,5810.0244,5885.221,5833.415,5851.2456,5831.179,5861.8247,5814.601,5769.643,5784.272,5893.6206,5821.4478,5836.1772,5806.3135,5749.4624,5809.741,5832.215
2019-06-30,5866.4805,5789.661,5888.341,5804.186,5849.6304,5891.9614,5811.423,5834.975,5789.7695,5848.059,5837.9395,5853.097,5829.998,5849.077,6069.924,5824.3774,5903.9243,5846.468,5865.149,5839.687,5875.3325,5827.6685,5782.8193,5798.129,5907.5146,5833.6675,5847.178,5820.225,5762.325,5824.1597,5845.7715
