,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,6790.957,6868.046,6748.176,6829.58,6848.7266,6808.2,6870.7095,6748.286,6757.176,6896.892,6763.3022,6837.269,6768.301,6848.526,6777.2227,6855.588,6776.2812,6850.9497,6787.477,6893.662,6821.528,6783.9365,6762.2676,6794.32,6834.5293,6792.187,6821.2217,6813.278,6762.8594,6775.319,6809.559
798,6803.571,6873.612,6763.5347,6849.5625,6856.2285,6821.936,6874.468,6757.7275,6761.58,6917.4346,6773.3867,6848.5503,6783.163,6859.8022,6789.061,6873.6025,6789.5386,6854.466,6797.889,6902.9097,6837.5874,6798.8657,6773.251,6795.694,6846.304,6810.4146,6843.1606,6823.251,6778.1113,6777.7793,6821.2153
799,6810.68,6886.1377,6765.746,6847.323,6871.565,6828.461,6888.273,6764.0967,6774.192,6912.867,6780.394,6856.3955,6786.05,6865.798,6795.1807,6874.181,6795.1914,6868.569,6807.326,6913.7036,6840.4795,6804.556,6782.271,6814.769,6849.2534,6810.4526,6839.0396,6832.15,6780.3667,6793.132,6827.9536
800,6800.971,6878.4487,6756.331,6836.94,6861.765,6818.3823,6881.1304,6756.482,6767.1216,6903.0205,6772.1855,6847.211,6776.667,6857.2915,6786.3135,6863.8735,6785.699,6861.453,6798.048,6904.5825,6830.4243,6794.1133,6772.8247,6807.0396,6841.5786,6800.223,6828.247,6823.3145,6770.9966,6786.1523,6818.961
801,6790.597,6868.8057,6747.0903,6827.663,6849.598,6807.677,6871.7485,6748.1123,6758.042,6894.7,6763.1357,6837.083,6767.3228,6848.1587,6776.82,6854.1167,6775.712,6852.037,6787.521,6893.9385,6820.449,6783.2295,6762.222,6796.078,6833.82,6790.6445,6818.9556,6813.3066,6761.787,6776.62,6809.233
802,6812.4907,6877.4946,6774.4316,6863.771,6861.47,6831.655,6877.0586,6764.3965,6764.6367,6932.0537,6780.5107,6856.519,6793.704,6867.7783,6797.435,6886.396,6798.925,6856.883,6805.2314,6909.418,6848.979,6809.4385,6781.002,6796.542,6854.652,6823.3623,6858.7676,6830.2847,6788.932,6779.439,6829.455
803,6823.7754,6899.5205,6776.729,6857.509,6888.3633,6841.9316,6901.598,6774.8657,6786.9478,6921.523,6792.0625,6869.4526,6797.2783,6877.369,6807.1885,6885.447,6807.676,6881.9897,6821.1387,6927.9043,6852.429,6818.0728,6796.092,6830.892,6858.6807,6821.4136,6848.89,6845.2686,6791.3223,6806.921,6840.342
804,6821.2485,6892.626,6777.143,6861.1226,6879.999,6839.5684,6893.7295,6772.1094,6779.869,6926.599,6788.9956,6866.0186,6797.229,6875.046,6804.854,6887.1436,6805.7837,6873.913,6816.649,6922.4688,6852.514,6816.3477,6791.918,6819.5864,6858.2446,6823.459,6853.8555,6841.052,6791.6978,6797.9736,6837.6255
805,6829.1074,6899.323,6784.4326,6868.836,6888.4907,6847.66,6900.101,6778.323,6786.1025,6933.7456,6795.7036,6873.525,6804.541,6881.9097,6811.9995,6894.996,6813.371,6880.2856,6824.337,6930.1304,6860.336,6824.6577,6799.7036,6826.769,6864.266,6831.2144,6861.749,6848.367,6798.957,6804.33,6844.909
806,6839.143,6907.606,6793.958,6879.123,6899.0166,6858.053,6907.8965,6786.2417,6793.7695,6943.3867,6804.2476,6883.085,6814.067,6890.705,6821.1616,6905.339,6823.1367,6888.0684,6834.065,6939.7646,6870.5356,6835.377,6809.581,6835.398,6872.0864,6841.4546,6872.357,6857.627,6808.441,6812.0347,6854.224
