,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,6816.821,6806.5405,6836.529,6841.8286,6807.824,6848.634,6820.3774,6794.978,6847.689,6867.5845,6902.241,6828.1216,6898.5947,6790.583,6789.08,6858.0327,6779.3477,6854.482,6886.124,6887.434,6816.152,6804.0835,6881.45,6834.662,6842.858,6827.3823,6843.4546,6812.924,6841.9766,6847.9043,6837.1895
798,6834.5303,6817.6904,6844.953,6853.845,6819.6855,6863.25,6828.3047,6810.555,6858.7236,6878.564,6909.4014,6834.3403,6910.135,6802.705,6798.225,6866.4844,6788.1997,6864.9287,6897.2256,6895.927,6828.9443,6810.693,6890.774,6843.9346,6853.51,6839.7183,6851.8267,6826.9087,6854.285,6855.2754,6847.7847
799,6836.24,6825.6704,6857.686,6863.75,6826.8716,6868.7695,6840.19,6814.094,6870.1533,6891.309,6922.8228,6848.122,6922.288,6811.8296,6809.0166,6882.1196,6796.807,6875.802,6906.0703,6908.328,6837.2876,6823.892,6901.7197,6854.8813,6862.2354,6847.7363,6863.354,6833.6997,6861.8813,6868.0005,6857.7544
800,6825.6924,6816.511,6848.3193,6853.4023,6817.603,6858.565,6831.4126,6804.0737,6859.801,6880.5073,6913.9146,6839.609,6911.3877,6801.7075,6799.956,6871.679,6788.707,6865.981,6896.6226,6899.046,6827.075,6815.3735,6892.502,6845.6924,6853.084,6837.8984,6854.4575,6823.385,6852.2124,6859.227,6848.1807
801,6815.4863,6806.3794,6837.0654,6841.7827,6807.524,6847.9355,6820.874,6794.0044,6847.877,6867.9067,6902.9536,6828.948,6898.81,6790.451,6789.3657,6858.853,6779.443,6854.6646,6886.0513,6887.933,6815.886,6804.8203,6881.735,6834.951,6842.8125,6827.1235,6843.8774,6812.4043,6841.6787,6848.53,6837.271
802,6847.0977,6825.5615,6850.8623,6862.3213,6828.066,6873.5986,6833.865,6821.596,6866.493,6886.287,6914.409,6838.678,6918.26,6811.262,6804.6567,6872.398,6794.4355,6872.2856,6905.0586,6901.8857,6837.981,6815.309,6897.331,6850.455,6861.0244,6848.433,6857.704,6836.801,6862.982,6860.4365,6855.2515
803,6848.223,6838.7505,6872.947,6878.8955,6839.742,6881.958,6854.4717,6826.27,6885.93,6908.1133,6937.876,6862.8994,6938.951,6826.414,6823.15,6899.7246,6809.0146,6890.7817,6919.8164,6923.3604,6851.648,6838.4365,6916.082,6869.2163,6875.615,6861.5586,6877.612,6847.5283,6875.3506,6882.624,6872.0986
804,6849.2075,6835.222,6866.253,6874.3086,6836.7715,6880.301,6848.2314,6825.912,6880.317,6901.701,6930.626,6855.326,6932.958,6822.307,6817.705,6891.2896,6804.8486,6885.436,6915.7637,6916.875,6848.088,6831.2563,6910.5654,6863.693,6871.583,6858.1436,6871.6377,6845.036,6872.184,6875.816,6867.312
805,6857.316,6842.7153,6874.2344,6882.8364,6844.2925,6888.4165,6855.706,6833.749,6888.954,6910.7715,6938.3066,6862.732,6942.0615,6830.61,6825.318,6900.286,6811.583,6893.6313,6923.5347,6924.768,6856.405,6838.6265,6918.3076,6871.414,6879.121,6866.154,6879.1763,6853.3223,6880.0366,6883.3467,6875.2573
806,6867.9424,6852.25,6884.2017,6893.652,6853.9,6898.8843,6865.043,6843.9375,6899.8433,6922.176,6947.8457,6871.893,6953.534,6841.162,6834.886,6911.4644,6820.0884,6903.966,6933.399,6934.633,6867.0137,6847.7646,6928.0376,6881.1177,6888.683,6876.3677,6888.6104,6863.959,6890.0635,6892.721,6885.3013
807,6875.5723,6860.523,6893.8247,6903.2275,6862.048,6907.25,6874.047,6851.675,6909.806,6932.7837,6957.3286,6881.1973,6964.056,6850.3853,6843.8057,6922.5576,6827.799,6913.4263,6942.088,6944.113,6876.102,6856.925,6937.101,6890.1646,6897.1396,6885.115,6897.6016,6872.7227,6898.589,6901.939,6894.364
808,6883.6133,6867.6943,6901.2944,6911.359,6869.281,6915.1465,6881.043,6859.372,6917.9814,6941.343,6964.4683,6888.047,6972.67,6858.322,6850.9844,6930.9263,6834.1875,6921.185,6949.5034,6951.506,6884.087,6863.7617,6944.4014,6897.445,6904.326,6892.8037,6904.6733,6880.739,6906.1357,6908.959,6901.908
809,6823.006,6828.343,6870.392,6868.7114,6827.639,6864.391,6851.994,6805.6963,6878.434,6901.7397,6937.768,6864.4863,6931.266,6815.4536,6817.983,6899.431,6802.549,6883.7183,6910.1665,6920.447,6839.0566,6838.9805,6910.7666,6863.978,6866.5474,6849.4004,6874.1855,6831.9194,6862.896,6881.6416,6864.0996
810,6846.1143,6821.368,6844.2246,6857.1274,6824.2803,6870.6606,6827.668,6819.6772,6860.5156,6879.6294,6907.423,6831.5093,6911.9053,6806.4717,6799.0186,6864.2583,6789.93,6866.6,6900.4185,6895.419,6833.591,6808.4404,6891.614,6844.7373,6856.4478,6844.214,6851.6904,6833.2065,6858.9805,6853.808,6850.032
811,6889.427,6868.0225,6898.3057,6911.0825,6870.2573,6917.9624,6878.2773,6863.5024,6916.6025,6939.3057,6960.674,6883.726,6971.129,6858.4604,6849.202,6926.548,6833.3506,6919.8545,6949.396,6948.703,6884.8555,6859.868,6942.6113,6895.6357,6904.1084,6893.5576,6902.246,6882.7026,6907.082,6905.5796,6901.0684
812,6904.48,6887.82,6923.296,6934.381,6889.3765,6936.5444,6901.6367,6879.799,6941.4707,6966.1216,6985.787,6908.714,6997.4473,6880.664,6871.7856,6955.8945,6852.465,6943.486,6970.452,6973.232,6906.37,6884.2583,6965.5454,6918.5405,6924.665,6914.252,6925.3726,6902.7383,6927.1304,6929.8145,6923.451
813,6896.041,6883.9805,6921.823,6930.5176,6885.014,6930.453,6900.2314,6872.809,6938.424,6963.3804,6985.0913,6908.5635,6994.3037,6876.5845,6869.5444,6955.0273,6849.901,6940.609,6966.82,6971.6567,6901.788,6883.7905,6963.2495,6916.267,6921.231,6909.8296,6923.6733,6897.233,6922.633,6928.863,6920.311
814,6888.1177,6874.7417,6910.71,6919.752,6875.9844,6921.376,6889.8403,6864.5806,6927.1084,6951.267,6974.0522,6897.6675,6982.3403,6866.26,6859.3525,6942.1167,6841.1665,6929.8594,6957.0684,6960.728,6891.6807,6873.102,6952.897,6905.932,6911.7285,6900.106,6913.335,6887.6196,6913.1777,6918.1636,6910.0605
815,6881.9727,6869.047,6904.6323,6913.2666,6870.2695,6915.2134,6884.1494,6858.6343,6920.5396,6944.364,6968.2017,6892.0234,6975.415,6859.9473,6853.56,6935.2627,6836.045,6923.625,6951.1597,6954.72,6885.3584,6867.4883,6947.008,6900.057,6905.9985,6894.019,6907.5996,6881.324,6907.211,6912.4263,6904.017
816,6918.557,6892.507,6922.782,6938.646,6895.1494,6945.6816,6901.211,6890.949,6943.975,6967.782,6983.777,6905.683,6999.9414,6885.4873,6873.058,6953.6533,6854.8115,6945.827,6974.5747,6972.976,6912.243,6881.912,6966.875,6919.8296,6928.477,6919.9287,6925.5376,6910.5654,6933.035,6928.409,6926.461
817,6925.66,6911.3047,6950.9116,6961.6265,6912.4546,6960.093,6927.461,6901.441,6969.8975,6996.4536,7013.0605,6935.526,7027.4873,6906.869,6897.287,6987.806,6874.449,6970.491,6995.156,7000.409,6932.1455,6910.6216,6991.4517,6944.4014,6948.712,6939.0474,6951.119,6927.4863,6951.281,6956.309,6949.2812
818,6914.1763,6900.8325,6939.8423,6949.7188,6901.9214,6948.672,6917.099,6890.375,6957.8774,6983.8354,7002.4414,6925.304,7014.816,6895.2666,6886.7046,6975.3574,6865.068,6959.078,6984.307,6989.4663,6920.4995,6900.4404,6980.695,6933.6704,6938.193,6927.839,6940.668,6915.851,6940.2866,6945.8784,6938.2056
819,6879.629,6873.867,6914.392,6919.655,6874.212,6917.029,6893.241,6858.4326,6928.5303,6953.5728,6978.8647,6903.222,6983.96,6865.602,6861.388,6947.663,6841.944,6931.2373,6956.7803,6964.1587,6890.1504,6878.07,6954.9355,6907.998,6911.607,6898.6133,6916.265,6884.438,6911.4287,6922.4097,6910.776
820,6875.162,6859.441,6892.206,6901.9053,6861.052,6906.421,6872.536,6851.07,6908.3135,6931.134,6955.6426,6879.479,6962.471,6849.1543,6842.411,6920.5923,6826.669,6912.006,6940.9033,6942.5337,6874.957,6855.272,6935.686,6888.749,6895.974,6884.014,6896.129,6871.749,6897.5386,6900.333,6893.05
821,6879.711,6865.161,6899.3037,6908.612,6866.599,6911.878,6879.172,6855.9165,6915.435,6938.792,6962.748,6886.5293,6970.003,6855.5605,6848.8594,6928.897,6832.1494,6918.772,6946.971,6949.5063,6881.187,6862.166,6942.236,6895.2886,6901.8936,6890.0083,6902.7104,6877.595,6903.352,6907.199,6899.4746
822,6879.1772,6865.4834,6900.1875,6909.084,6866.8184,6911.8306,6879.9937,6855.6416,6916.091,6939.5757,6963.746,6887.5986,6970.7095,6855.955,6849.5293,6930.055,6832.623,6919.3975,6947.3774,6950.354,6881.48,6863.164,6942.913,6895.9688,6902.307,6890.2886,6903.4805,6877.693,6903.593,6908.123,6900.008
823,6878.6973,6864.704,6899.135,6908.153,6866.0786,6911.1494,6879.0103,6855.0786,6915.075,6938.4697,6962.6733,6886.5195,6969.6333,6855.0757,6848.596,6928.8013,6831.8467,6918.432,6946.539,6949.324,6880.641,6862.1177,6941.9653,6895.023,6901.4863,6889.482,6902.5127,6876.937,6902.8164,6907.093,6899.1025
824,6902.948,6881.3647,6913.0825,6926.3813,6883.5425,6932.0063,6892.1074,6876.827,6932.276,6955.8716,6975.0435,6897.694,6987.665,6873.2847,6863.114,6943.3745,6845.533,6934.7354,6963.31,6963.287,6899.605,6873.6987,6956.7515,6909.7456,6917.6235,6907.754,6916.128,6897.1953,6920.965,6919.6177,6915.4175
825,6901.632,6889.2715,6927.5435,6936.5576,6890.3096,6936.126,6905.586,6878.252,6944.564,6969.848,6990.6167,6913.9067,7000.78,6882.454,6874.972,6961.5,6854.6836,6946.4395,6972.3184,6977.307,6907.6543,6889.0977,6968.7666,6921.772,6926.567,6915.476,6929.061,6903.0483,6928.1636,6934.2744,6925.951
826,6893.9214,6880.2236,6916.6313,6926.009,6881.4727,6927.2583,6895.3833,6870.2275,6933.4683,6957.964,6979.7695,6903.1963,6989.0474,6872.3413,6864.9736,6948.815,6846.1216,6935.8984,6962.765,6966.5786,6897.7603,6878.594,6958.6113,6911.633,6917.2573,6905.9575,6918.915,6893.6475,6918.9097,6923.7646,6915.9033
827,6885.711,6873.169,6909.4673,6918.046,6874.3223,6919.3545,6888.672,6862.446,6925.523,6949.678,6972.9746,6896.714,6980.6816,6864.5464,6858.0293,6940.8457,6839.9004,6928.3584,6955.4956,6959.48,6889.8823,6872.1016,6951.5483,6904.5903,6910.2183,6898.373,6912.1104,6885.673,6911.4517,6917.063,6908.548
828,6878.795,6865.9575,6901.2393,6909.729,6867.1875,6911.9404,6880.973,6855.5166,6916.925,6940.549,6964.9097,6888.8296,6971.6035,6856.5166,6850.3564,6931.4077,6833.234,6920.193,6947.942,6951.3706,6881.939,6864.3228,6943.751,6896.8086,6902.873,6890.728,6904.408,6877.9546,6903.99,6909.2075,6900.705
829,6871.15,6859.1025,6894.077,6901.9546,6860.2803,6904.4116,6874.265,6848.187,6909.099,6932.351,6958.0566,6882.2485,6963.356,6848.931,6843.4814,6923.3755,6827.1206,6912.7656,6940.852,6944.2817,6874.311,6857.757,6936.759,6889.836,6896.0015,6883.3843,6897.6304,6870.305,6896.7812,6902.4717,6893.486
830,6850.4863,6842.7183,6878.4136,6883.6523,6843.484,6885.34,6859.5796,6829.011,6891.1577,6913.821,6943.479,6868.5474,6944.4917,6830.893,6827.9683,6906.2627,6813.001,6895.7495,6924.098,6928.7114,6855.901,6843.9062,6920.973,6874.1035,6879.8115,6865.6504,6882.628,6851.321,6879.2847,6887.9907,6876.748
831,6895.839,6867.1978,6892.963,6909.2764,6870.296,6920.359,6873.319,6867.706,6913.3022,6935.054,6954.304,6876.6987,6967.5347,6857.248,6845.536,6919.176,6831.096,6916.694,6947.942,6943.624,6884.4805,6853.4185,6938.9136,6891.917,6902.5483,6893.2173,6897.7314,6883.933,6907.0244,6899.789,6898.605
832,6922.6533,6904.582,6941.1367,6953.464,6906.21,6954.7275,6918.3384,6897.3647,6960.7773,6986.4077,7002.941,6925.251,7017.802,6899.241,6888.8022,6976.0,6867.5234,6961.815,6987.8345,6990.8677,6924.9937,6900.7153,6982.8447,6935.798,6941.5225,6932.176,6942.207,6921.2983,6944.705,6946.6484,6941.2207
833,6927.932,6910.9214,6948.8584,6960.87,6912.3877,6960.887,6925.5557,6902.9033,6968.5903,6994.789,7010.633,6932.86,7026.0654,6906.3325,6895.8545,6984.9956,6873.548,6969.2397,6994.537,6998.4546,6931.918,6908.1685,6990.007,6942.949,6948.057,6938.8354,6949.376,6927.85,6951.1753,6954.0967,6948.2876
834,6935.317,6916.911,6954.6904,6967.5835,6918.5083,6967.787,6931.019,6909.799,6975.2026,7001.643,7016.089,6938.011,7033.023,6912.935,6901.591,6991.4023,6878.7446,6975.5146,7000.676,7004.2437,6938.6396,6913.361,6995.8403,6948.7656,6953.9917,6945.306,6954.941,6934.7437,6957.553,6959.5083,6954.445
835,6948.797,6928.522,6966.506,6980.699,6930.275,6980.788,6942.083,6922.588,6988.2876,7015.301,7027.296,6948.707,7046.8066,6925.7676,6913.032,7004.552,6888.991,6987.937,7012.6426,7015.945,6951.609,6924.071,7007.473,6960.3677,6965.5786,6957.788,6966.149,6947.865,6969.8257,6970.566,6966.5605
836,6958.919,6939.511,6979.301,6993.427,6941.1006,6991.9067,6954.0454,6932.8647,7001.5186,7029.404,7039.8975,6961.0723,7060.79,6938.023,6924.881,7019.3022,6899.2354,7000.5103,7024.185,7028.539,6963.6895,6936.241,7019.5103,6972.3843,6976.808,6969.407,6978.0845,6959.511,6981.1504,6982.8228,6978.6016
