,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,6882.698,6838.9976,6799.881,6870.561,6796.853,6815.2993,6888.6787,6858.9775,6818.9,6842.496,6885.7964,6858.824,6830.1113,6894.817,6848.7544,6870.077,6873.689,6892.8804,6847.794,6893.145,6848.0522,6798.3506,6915.0938,6835.927,6905.0317,6853.196,6841.7065,6860.418,6842.8247,6872.87,6856.091
798,6902.874,6847.0825,6818.787,6889.0215,6815.337,6834.9033,6912.5024,6874.328,6833.6514,6859.492,6897.4976,6878.6206,6851.984,6906.7773,6867.2627,6884.9175,6891.0215,6917.0537,6868.9756,6912.6924,6859.714,6817.221,6935.9824,6845.663,6919.484,6872.7056,6856.2974,6886.639,6863.4795,6890.6396,6873.7544
799,6902.3477,6858.6045,6818.21,6889.108,6816.507,6835.8594,6908.757,6879.7134,6838.3403,6864.006,6906.7905,6878.5386,6850.202,6915.8164,6868.6973,6891.8335,6894.0137,6912.645,6868.0444,6914.48,6868.5728,6817.2354,6934.764,6857.464,6925.6836,6875.4565,6863.4966,6880.624,6863.875,6892.5034,6876.4062
800,6891.237,6849.873,6807.827,6878.735,6805.723,6824.526,6896.775,6869.149,6828.3643,6852.838,6896.846,6867.476,6838.5967,6905.8203,6857.8022,6880.9985,6883.2124,6900.7065,6856.517,6902.8755,6858.8076,6806.6577,6923.507,6847.7065,6915.325,6863.5205,6852.6963,6868.125,6852.1562,6881.8677,6865.5435
801,6880.9336,6839.4443,6798.2183,6869.0024,6795.3984,6813.7285,6886.2876,6858.2036,6818.1084,6841.497,6885.7173,6857.134,6828.0786,6894.691,6847.323,6869.4985,6872.512,6890.3936,6845.9053,6891.66,6847.9326,6796.749,6913.2,6836.2607,6904.4155,6851.81,6841.1753,6857.601,6841.1084,6871.5444,6854.851
802,6917.193,6852.7554,6832.207,6902.117,6828.446,6848.807,6929.4287,6885.19,6844.095,6871.5254,6905.744,6892.6655,6867.513,6915.2114,6880.3867,6895.404,6903.3057,6934.231,6884.01,6926.5547,6867.934,6830.61,6950.811,6852.497,6929.697,6886.5356,6866.6123,6905.282,6878.1343,6903.238,6886.272
803,6914.007,6872.678,6829.0713,6900.23,6828.514,6848.3706,6920.0273,6893.2217,6850.9346,6877.802,6921.244,6890.332,6861.878,6930.2188,6880.9316,6906.257,6906.7905,6923.5967,6879.977,6927.6157,6882.652,6828.544,6946.2935,6872.7485,6939.3022,6889.351,6878.007,6891.511,6876.5645,6904.635,6889.11
804,6916.6143,6866.679,6831.5635,6902.274,6829.9116,6850.0225,6924.98,6891.7305,6849.7935,6877.0195,6916.9917,6892.6294,6865.4287,6926.1504,6882.174,6903.7896,6906.964,6928.9873,6882.944,6928.764,6878.657,6830.68,6949.397,6866.765,6937.2227,6889.9146,6875.3384,6898.102,6878.6714,6905.533,6889.5234
805,6924.9854,6874.0884,6839.381,6910.1284,6838.154,6858.6694,6933.7896,6900.0986,6857.6704,6885.785,6925.163,6900.9966,6874.0894,6934.341,6890.5186,6912.465,6915.3467,6937.7197,6891.5986,6937.669,6886.6616,6838.683,6957.829,6874.966,6945.4897,6899.143,6884.0137,6907.147,6887.5693,6913.709,6897.928
806,6936.0537,6883.351,6849.723,6920.4883,6848.9795,6870.0396,6945.584,6910.899,6867.8574,6897.1514,6935.5293,6912.046,6885.599,6944.746,6901.4697,6923.6035,6926.2754,6949.4434,6903.061,6949.3403,6896.8257,6849.243,6969.0093,6885.2583,6956.122,6911.202,6895.1416,6919.354,6899.293,6924.4126,6908.9033
807,6943.486,6892.217,6856.6484,6927.571,6856.6196,6878.01,6952.7983,6919.4575,6875.8433,6905.9014,6944.656,6919.565,6893.058,6953.8394,6909.257,6932.7266,6934.3896,6956.4663,6910.668,6957.694,6905.7197,6856.445,6976.3604,6894.889,6964.743,6920.038,6904.325,6926.3496,6907.3784,6932.123,6916.9746
808,6951.8687,6899.154,6864.484,6935.413,6864.808,6886.615,6961.755,6927.599,6883.526,6914.478,6952.443,6927.9326,6901.7866,6961.6543,6917.5405,6941.111,6942.6445,6965.3755,6919.3496,6966.519,6913.357,6864.4385,6984.83,6902.601,6972.751,6929.1543,6912.7036,6935.6357,6916.2554,6940.2134,6925.2666
809,6883.3086,6869.673,6800.2344,6872.587,6801.6797,6819.6836,6881.2974,6874.459,6832.5166,6855.876,6911.039,6860.528,6827.633,6919.434,6854.2705,6889.4756,6883.1523,6883.7905,6847.4585,6899.6943,6872.165,6800.222,6913.982,6867.498,6922.504,6862.232,6861.822,6847.37,6845.868,6879.4556,6864.6973
810,6917.351,6846.7427,6832.3984,6901.967,6827.731,6848.1978,6931.2324,6882.316,6841.5845,6869.093,6900.8643,6892.5913,6868.31,6910.4634,6879.5376,6891.739,6901.6587,6936.373,6884.3726,6925.5176,6863.281,6830.492,6951.3223,6846.333,6926.401,6884.999,6862.8037,6908.2446,6877.812,6902.1753,6884.797
811,6959.6646,6896.6255,6871.83,6942.2695,6871.1606,6893.484,6972.47,6930.7383,6886.7847,6918.655,6952.332,6935.371,6910.8174,6961.7705,6923.77,6943.3213,6947.6904,6976.54,6927.722,6972.9697,6913.4414,6871.488,6993.2285,6900.5386,6975.1616,6935.1265,6914.6895,6948.349,6923.7886,6945.9595,6930.5913
812,6973.0684,6919.4937,6884.28,6955.3774,6885.9106,6908.742,6983.6636,6949.5693,6904.1714,6937.35,6974.424,6949.2075,6923.5815,6983.645,6938.955,6964.0464,6964.342,6987.0215,6941.208,6989.382,6934.8574,6884.769,7006.083,6924.975,6994.567,6952.9985,6935.705,6957.859,6938.9336,6961.2246,6946.98
