,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,6877.0957,6841.8633,6869.4995,6826.587,6862.905,6893.2544,6844.5186,6796.874,6862.598,6869.758,6855.452,6820.11,6830.02,6918.7524,6928.915,6897.045,6828.156,6830.326,6812.2324,6832.7085,6813.2524,6902.985,6887.103,6813.056,6844.673,6844.5845,6838.1587,6829.634,6818.141,6834.116,6850.8125
798,6893.852,6861.0967,6887.071,6845.282,6886.872,6913.2075,6864.515,6813.7197,6878.917,6890.009,6873.452,6842.388,6847.202,6938.694,6950.0444,6913.7495,6847.153,6851.5483,6831.879,6850.839,6834.561,6922.5415,6903.97,6833.711,6866.077,6865.156,6860.209,6845.3813,6841.698,6854.5386,6870.311
799,6899.1953,6864.7153,6893.3125,6848.5957,6884.5864,6916.4,6866.1504,6820.4785,6885.654,6893.0815,6877.877,6842.0396,6852.9897,6941.3735,6950.5283,6920.7324,6851.246,6851.898,6834.625,6854.8047,6835.2026,6925.494,6909.6743,6835.1484,6866.8506,6866.961,6860.368,6852.2036,6840.144,6856.9224,6873.309
800,6887.857,6852.619,6881.1885,6836.912,6871.9897,6904.054,6854.3486,6808.5728,6874.0503,6880.6123,6866.1763,6829.6826,6841.25,6929.2207,6938.5117,6908.8237,6839.108,6839.706,6822.615,6843.198,6823.028,6913.463,6898.1416,6823.05,6854.573,6854.775,6847.9546,6840.8906,6827.5107,6844.6094,6861.2837
801,6876.199,6840.588,6868.6216,6825.3267,6860.646,6891.8745,6842.9824,6796.1094,6861.875,6868.3413,6854.3594,6818.1855,6829.1313,6917.3228,6927.169,6896.313,6826.9463,6828.398,6810.836,6831.5605,6811.507,6901.6187,6886.2324,6811.4443,6842.932,6843.016,6836.303,6828.9697,6815.989,6832.6177,6849.4473
802,6905.719,6874.7314,6899.511,6858.538,6903.9043,6927.3584,6878.706,6825.6426,6890.4673,6904.3696,6886.2075,6858.2085,6859.371,6952.8374,6965.0464,6925.5713,6860.618,6866.5225,6845.813,6863.689,6849.6855,6936.4727,6915.914,6848.3687,6881.271,6879.753,6875.8647,6856.523,6858.4326,6869.0254,6884.138
803,6913.5215,6879.141,6908.8477,6862.455,6897.121,6930.9194,6879.447,6835.9937,6900.8364,6907.683,6892.2134,6855.115,6867.927,6955.475,6963.5786,6936.3423,6865.9146,6864.7207,6848.598,6868.849,6848.489,6939.5874,6924.357,6848.681,6880.3022,6880.739,6873.7104,6867.1094,6853.017,6871.074,6887.3916
804,6912.2134,6879.1504,6907.094,6862.5864,6901.215,6931.266,6880.7344,6833.845,6898.642,6908.135,6891.5986,6857.8525,6866.402,6956.1284,6965.688,6934.045,6865.6123,6867.407,6849.18,6868.5254,6850.522,6940.017,6922.8447,6850.163,6882.2656,6881.9897,6876.1187,6864.7993,6856.6245,6871.9595,6887.821
805,6921.1724,6888.5645,6916.712,6871.6665,6910.6,6940.84,6889.7876,6843.333,6907.9,6917.7935,6900.7695,6867.1904,6875.6963,6965.52,6974.823,6943.55,6875.0913,6876.597,6858.4663,6877.5913,6859.7896,6949.3545,6931.977,6859.428,6891.6196,6891.3477,6885.5317,6873.84,6866.0854,6881.452,6897.136
806,6932.76,6900.826,6929.1284,6883.502,6923.094,6953.3364,6901.665,6855.555,6919.8203,6930.4077,6912.678,6879.534,6887.7075,6977.8,6986.862,6955.786,6887.4224,6888.7,6870.602,6889.3823,6871.996,6961.5522,6943.778,6871.596,6903.9346,6903.621,6897.952,6885.471,6878.646,6893.878,6909.3
