,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
797,6833.824,6866.4297,6821.9033,6877.5747,6821.793,6865.7856,6848.1406,6835.2256,6855.793,6878.372,6836.273,6826.9883,6832.972,6841.1523,6845.645,6869.0913,6919.183,6865.1714,6838.441,6838.3477,6874.819,6881.693,6842.377,6836.5723,6836.1733,6810.3584,6834.193,6845.0874,6844.447,6820.3237,6848.1387
798,6830.267,6861.502,6827.2793,6884.6523,6831.098,6860.8457,6850.464,6829.402,6863.8545,6882.02,6831.8423,6831.626,6831.1133,6823.983,6846.564,6879.492,6915.044,6874.8604,6845.0493,6847.1323,6881.396,6887.3516,6850.7456,6839.777,6828.4434,6808.634,6828.6953,6846.2427,6843.838,6796.651,6848.6626
799,6859.147,6891.813,6846.107,6902.94,6846.141,6890.436,6872.137,6859.4727,6880.2827,6903.3296,6860.556,6851.692,6856.873,6866.029,6870.4805,6892.9336,6943.9307,6889.911,6862.9297,6862.37,6899.2773,6908.082,6866.9585,6859.599,6860.2085,6834.3066,6858.189,6870.45,6869.6484,6845.522,6872.7256
800,6850.6064,6883.518,6836.2266,6892.303,6835.4404,6882.411,6862.931,6851.7676,6869.7734,6893.5127,6852.5664,6841.775,6848.5186,6860.3135,6861.2407,6882.2026,6935.7134,6878.992,6852.705,6851.8896,6889.07,6897.3486,6856.3555,6850.5728,6852.9546,6825.9097,6850.5117,6860.973,6860.574,6840.9624,6863.655
801,6836.9663,6869.828,6823.2983,6878.7725,6822.483,6869.1133,6850.0767,6838.677,6856.7246,6880.1587,6839.4736,6828.5684,6835.6636,6846.744,6847.918,6869.5303,6922.3745,6865.8296,6839.6387,6839.1006,6876.0195,6883.2495,6843.2607,6838.25,6839.9536,6813.031,6837.5586,6847.3696,6847.0366,6827.1387,6850.4604
802,6827.573,6857.8267,6830.989,6889.5728,6837.619,6857.166,6851.9863,6825.091,6869.4844,6884.4844,6828.527,6834.8027,6829.6426,6811.544,6847.077,6886.8,6911.938,6881.6543,6849.6367,6853.2817,6885.964,6891.2505,6856.5933,6841.9355,6822.7686,6807.259,6824.619,6846.9224,6843.2554,6779.554,6848.8936
803,6880.164,6913.157,6864.4214,6921.843,6863.775,6911.194,6890.8975,6880.087,6898.277,6922.5967,6880.9136,6870.556,6876.408,6889.442,6890.2046,6909.9414,6964.6035,6907.7837,6881.2217,6879.8486,6917.5503,6928.092,6884.9673,6877.4097,6881.032,6853.8496,6878.5327,6890.5474,6889.974,6870.5054,6892.326
804,6862.4146,6894.3916,6853.724,6911.6616,6855.7974,6892.861,6878.1455,6861.363,6889.329,6910.211,6863.1646,6859.03,6860.724,6862.2383,6875.9424,6903.049,6946.785,6899.8457,6871.234,6871.6953,6907.56,6916.2827,6876.182,6865.865,6861.0786,6838.235,6860.194,6876.1387,6874.402,6838.4653,6877.934
805,6870.8887,6902.7783,6862.5146,6920.989,6864.9478,6900.993,6886.6196,6869.2856,6898.426,6919.1255,6871.207,6867.935,6868.8413,6869.485,6884.6016,6912.1104,6955.0127,6909.161,6880.2188,6880.6924,6916.533,6925.8535,6885.339,6874.0786,6868.775,6846.3755,6868.053,6884.997,6883.067,6845.3096,6886.474
806,6880.78,6912.4917,6873.276,6932.482,6876.352,6910.4014,6896.8364,6878.396,6909.6997,6929.9385,6880.535,6878.793,6878.401,6877.1655,6894.962,6923.4707,6964.5806,6920.788,6891.279,6891.887,6927.577,6937.558,6896.7007,6884.032,6877.5093,6855.9707,6877.107,6895.6074,6893.349,6852.151,6896.6694
