,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2838.3906,3037.879,3153.575,3000.3347,2759.9321,2980.2598,2973.8315,3082.1084,2911.8616,3005.3118,2872.7827,2845.547,3055.817,2860.469,2999.5442,3041.3618,3022.8179,3122.346,3166.7202,2625.5571,2990.2454,2999.3474,2970.201,2984.514,3069.5847,2682.2498,2853.4065,3202.5034,2367.275,2647.0513,2937.4275
2000-01-10,2835.015,2931.3608,2888.8987,2588.104,2714.368,2686.8208,3047.9358,2994.8452,2919.461,2931.0056,2876.2114,2719.5657,2997.575,3074.1213,2979.5576,2788.3933,3052.6873,3086.897,2512.7786,2881.7053,2853.885,2941.9177,2802.788,2854.574,2903.8306,2744.2585,3035.8948,2727.573,2829.981,3236.292,2881.2766
2000-01-11,2981.0127,3005.0884,2993.2876,2971.257,2988.9644,2980.2146,3008.344,3018.9067,2958.2722,2973.4927,3029.5884,3023.4832,2979.3567,2959.399,2976.5867,2970.2168,3035.1968,3034.1833,3014.977,2980.006,2954.2642,3023.6316,3005.1592,3015.5999,3015.7468,2954.4475,2962.5852,2965.7554,2977.108,3024.1133,2992.675
2000-01-12,3140.1213,2987.2122,2843.3105,2956.5247,3228.3918,2991.03,3057.2795,2970.6453,3020.049,2958.01,3204.8625,3215.8298,2917.4954,3070.8296,2968.5688,2916.7795,3066.5857,2959.7578,2872.799,3346.9917,2934.431,3059.727,3022.341,3060.6516,2978.2944,3239.8672,3084.6953,2745.5398,3597.4546,3416.631,3061.0903
2000-01-13,3172.3435,3120.151,3132.7969,3394.935,3300.8943,3307.9604,3008.905,3086.9778,3038.2078,3057.6038,3229.2312,3369.2534,3005.9546,2884.667,3016.1887,3199.113,3063.6848,3023.0813,3553.0295,3118.263,3101.2283,3141.6248,3187.0544,3218.8093,3175.517,3205.8804,2928.585,3248.2678,3163.5562,2857.5396,3143.71
2000-01-14,3054.8306,3074.7336,3057.9321,3040.426,3056.5247,3044.2388,3077.205,3089.8105,3027.9268,3044.0835,3103.1562,3093.3125,3055.5767,3027.0408,3047.5542,3044.794,3110.1062,3102.551,3082.253,3048.2864,3029.5674,3089.343,3071.989,3086.8928,3089.759,3024.4695,3031.2068,3039.3687,3048.836,3096.7944,3063.019
2000-01-15,3083.1772,3103.3872,3087.6775,3069.6067,3086.0112,3074.5952,3106.2024,3118.2856,3057.3254,3072.8835,3131.261,3122.3503,3083.5503,3056.8882,3076.552,3072.926,3137.451,3131.05,3111.346,3077.54,3058.1516,3118.5237,3101.161,3115.6511,3117.7925,3053.751,3060.8918,3068.2444,3077.8035,3124.9612,3091.8994
2000-01-16,3106.1165,3126.6475,3111.935,3093.3206,3110.0073,3099.379,3129.7654,3141.376,3081.217,3096.2542,3153.9998,3145.9336,3106.1384,3081.1882,3100.0847,3095.6729,3159.526,3154.1978,3135.0125,3101.3286,3081.2705,3142.2874,3124.8994,3138.976,3140.4636,3077.5376,3085.0405,3091.635,3101.2983,3147.7651,3115.3423
2000-01-17,3122.2388,3143.335,3129.859,3110.453,3127.502,3117.8237,3146.7803,3157.8262,3098.4802,3112.9807,3169.9548,3162.9036,3121.7837,3098.9553,3116.9343,3111.57,3174.7876,3170.866,3152.2253,3118.5872,3097.4595,3159.6912,3142.207,3155.615,3156.3286,3094.6812,3102.6052,3108.1826,3118.0642,3163.8376,3132.1501
2000-01-18,3128.6143,3150.6748,3138.8577,3118.2449,3135.796,3127.3582,3154.5002,3164.816,3106.3357,3120.2522,3176.2078,3170.4773,3127.4678,3107.4849,3124.2754,3117.6597,3180.2715,3178.3289,3160.2974,3126.5896,3103.7324,3168.106,3150.414,3162.7312,3162.452,3102.3894,3110.8457,3114.962,3125.247,3170.293,3139.523
2000-01-19,3127.2788,3150.033,3139.2827,3117.8418,3135.7214,3128.0693,3154.0815,3163.9373,3105.9338,3119.523,3174.8293,3169.9338,3125.67,3107.5159,3123.5571,3116.1465,3178.4565,3177.8196,3160.1362,3126.337,3102.2622,3168.1958,3150.3425,3161.8887,3160.9875,3101.8977,3110.6843,3113.8267,3124.4111,3169.0613,3138.8557
2000-01-20,3137.45,3158.5005,3145.2766,3125.8232,3142.933,3133.4753,3162.0596,3172.9685,3113.964,3128.2493,3185.0537,3178.2407,3136.9377,3114.544,3132.3022,3126.7227,3189.6184,3185.911,3167.476,3133.9502,3112.8354,3174.914,3157.471,3170.895,3171.415,3110.1301,3118.1663,3123.611,3133.4504,3178.9243,3147.4424
2000-01-21,3137.5364,3160.277,3149.7246,3128.2307,3146.16,3138.677,3164.4084,3174.1597,3116.4,3129.8345,3185.0095,3180.2966,3135.8767,3118.0632,3133.9365,3126.3596,3188.444,3187.9856,3170.4504,3136.7246,3112.6274,3178.4976,3160.6677,3172.2053,3171.1572,3112.3376,3121.2083,3124.2363,3134.7993,3179.2373,3149.184
2000-01-22,3124.9592,3148.9253,3140.0396,3117.1519,3135.6057,3129.3267,3153.364,3162.416,3105.2463,3118.2627,3172.4348,3168.9985,3122.542,3107.584,3122.3162,3113.5159,3175.2983,3176.943,3159.8691,3125.91,3099.7073,3168.367,3150.232,3160.431,3158.4424,3101.0527,3110.4167,3111.8574,3122.964,3166.9229,3137.7034
2000-01-23,3100.044,3125.4587,3118.329,3093.8618,3112.8809,3107.844,3130.176,3138.5117,3081.7922,3094.4717,3147.5996,3145.477,3096.789,3084.8384,3098.4014,3088.332,3149.9841,3153.9163,3137.2349,3102.9294,3074.283,3146.2737,3127.757,3136.3977,3133.4531,3077.4702,3087.3289,3087.0237,3098.7874,3142.3967,3114.0015
2000-01-24,3063.2559,3090.1345,3084.5295,3058.5464,3078.0718,3074.0806,3095.0342,3102.7744,3046.2239,3058.7454,3110.9814,3109.96,3059.2214,3049.8823,3062.472,3051.3274,3113.11,3119.1213,3102.6602,3067.924,3036.8613,3112.255,3093.3271,3100.4229,3096.6929,3041.8032,3052.0576,3050.141,3062.5847,3106.092,3078.3433
2000-01-25,3010.8877,3039.8528,3036.4185,3008.2776,3028.5227,3026.0215,3045.0132,3051.9026,2995.5962,3007.8914,3058.857,3059.4038,3005.7415,3000.1245,3011.3274,2998.6514,3060.6172,3069.5925,3053.4434,3018.0964,2983.5913,3063.8323,3044.3135,3049.214,3044.3635,2991.0334,3001.8513,2997.6396,3011.048,3054.4128,3027.5847
2000-01-26,2981.4495,3007.3833,2998.5269,2974.2498,2992.8604,2986.288,3011.27,3020.5571,2961.2986,2975.5789,3029.8792,3026.0886,2978.5303,2963.62,2978.7295,2970.1577,3034.2383,3036.803,3018.5923,2983.4028,2954.3804,3027.9146,3009.0203,3017.3843,3015.8018,2957.2224,2966.281,2966.7896,2978.9377,3024.7964,2994.9343
2000-01-27,2965.5334,2990.8196,2980.5955,2957.2122,2975.4187,2967.8015,2994.3525,3004.257,2944.1313,2958.987,3014.136,3009.2302,2963.146,2945.8938,2962.0117,2954.4893,3019.2388,3020.241,3001.4414,2966.2205,2938.4146,3010.5447,2991.76,3000.8926,3000.1582,2940.1843,2948.7803,2950.4255,2962.3162,3008.9175,2978.2512
2000-01-28,2949.9321,2975.5308,2965.4626,2941.8115,2960.0813,2952.5464,2979.037,2988.899,2928.6194,2943.5635,2998.6318,2993.8086,2947.4229,2930.4412,2946.4915,2938.879,3003.8306,3005.1208,2986.2483,2950.8835,2922.5989,2995.4778,2976.5847,2985.4124,2984.6316,2924.6711,2933.2812,2934.6863,2946.73,2993.4797,2962.8264
2000-01-29,2932.2505,2958.2168,2948.3464,2924.376,2942.7231,2935.2969,2961.6975,2971.5015,2911.0576,2926.095,2981.0593,2976.3464,2929.5938,2912.9546,2928.9136,2921.1838,2986.3574,2988.0005,2969.0518,2933.5232,2904.6716,2978.4297,2959.4094,2967.878,2967.0315,2907.1057,2915.7388,2916.853,2929.0752,2975.9856,2945.358
2000-01-30,2916.2305,2942.0754,2931.6646,2907.9548,2926.1511,2918.2922,2945.3792,2955.4417,2894.515,2909.8652,2965.1736,2959.9956,2913.7488,2896.1877,2912.5715,2905.2725,2970.865,2971.9536,2952.6938,2917.071,2888.5093,2962.0422,2943.0103,2951.6619,2951.1782,2890.621,2899.0496,2900.5508,2912.739,2960.0742,2929.0845
2000-01-31,2903.4097,2929.0425,2918.0178,2894.6553,2912.675,2904.3357,2932.166,2942.5137,2881.1162,2896.7751,2952.469,2946.7764,2901.1462,2882.536,2899.388,2892.5696,2958.5522,2958.976,2939.4058,2903.7217,2875.5942,2948.6902,2929.6733,2938.6013,2938.5142,2877.2844,2885.4922,2887.4678,2899.5796,2947.3247,2915.949
2000-02-01,2914.652,2937.2827,2921.7615,2901.9434,2918.5718,2906.9326,2939.4883,2951.766,2888.4395,2905.429,2963.854,2954.6565,2914.3604,2888.037,2908.0315,2904.5552,2971.723,2966.6047,2945.6106,2910.3606,2887.476,2953.8052,2935.4985,2947.7468,2950.2673,2884.9824,2891.8098,2897.9265,2908.739,2958.0757,2924.3467
2000-02-02,2946.2874,2966.8896,2948.8518,2931.2583,2947.0842,2933.6514,2968.678,2981.997,2917.9575,2935.4673,2995.3987,2984.304,2947.1882,2916.543,2938.2268,2936.5781,3004.0042,2995.6235,2974.037,2939.243,2919.789,2981.4734,2963.7063,2978.127,2982.0347,2914.6912,2920.8022,2929.397,2939.3035,2989.1914,2954.2593
2000-02-03,2965.7153,2988.1365,2973.3923,2953.4658,2970.2847,2959.3267,2990.7039,3002.5662,2940.3398,2956.631,3014.5364,3006.0789,2965.27,2940.2678,2959.5747,2955.4307,3021.5483,3017.0505,2996.73,2961.8516,2939.0986,3004.8027,2986.6702,2999.0022,3000.921,2936.778,2943.962,2949.699,2960.3616,3008.7126,2975.6301
2000-02-04,2961.1062,2986.0159,2975.1023,2952.204,2970.2031,2962.0667,2989.3845,2999.5952,2939.084,2954.1985,3009.7722,3004.3127,2958.9998,2940.5652,2957.1821,2950.1829,3015.2126,3015.4033,2996.3357,2961.1294,2934.0078,3005.3074,2986.5981,2996.1633,2995.8472,2935.1992,2943.5698,2945.8113,2957.5461,3004.474,2973.4192
2000-02-05,2952.6335,2977.4348,2966.1665,2943.4585,2961.357,2952.9404,2980.6948,2991.0725,2930.2734,2945.5754,3001.3735,2995.6138,2950.6492,2931.6086,2948.4988,2941.779,3007.0515,3006.8645,2987.6094,2952.358,2925.467,2996.5498,2977.8442,2987.5547,2987.471,2926.4255,2934.6665,2937.175,2948.8738,2996.0527,2964.7695
2000-02-06,2946.721,2971.3062,2959.568,2937.163,2954.923,2946.147,2974.443,2985.0334,2923.9304,2939.4336,2995.5232,2989.3796,2944.9175,2925.0732,2942.3108,2935.9521,3001.4612,3000.7407,2981.2795,2946.0137,2919.5317,2990.1477,2971.477,2981.446,2981.655,2920.1265,2928.208,2931.1042,2942.7173,2990.1572,2958.5967
2000-02-07,2942.9165,2967.346,2955.28,2933.0896,2950.7522,2941.7258,2970.3984,2981.1367,2919.826,2935.467,2991.7605,2985.3494,2941.2405,2920.8345,2938.314,2932.207,2997.8765,2996.7808,2977.179,2941.9055,2915.7156,2985.9941,2967.3499,2977.5037,2977.9158,2916.0532,2924.0234,2927.1921,2938.7432,2986.3616,2954.6082
2000-02-08,2951.1785,2974.0867,2959.7966,2939.3848,2956.357,2945.704,2976.695,2988.3835,2926.1577,2942.4333,3000.075,2991.9373,2950.4868,2926.2664,2945.2922,2940.8337,3007.0457,3003.1926,2982.9082,2947.8723,2924.3276,2991.169,2972.8904,2984.7202,2986.4138,2922.5686,2929.8623,2935.096,2945.985,2994.3545,2961.449
2000-02-09,2979.9438,3000.4421,2982.9685,2965.2634,2981.2305,2968.2861,3002.4805,3015.5017,2952.2126,2969.246,3028.802,3018.2363,2980.7205,2951.0366,2972.2302,2970.102,3036.8196,3028.9128,3007.7874,2973.235,2953.8086,3015.156,2997.4946,3011.9346,3015.414,2948.8726,2955.235,2963.532,2973.353,3022.5713,2988.0942
2000-02-10,2988.6003,3012.1057,2999.568,2978.1729,2995.6465,2986.3684,3015.233,3026.1025,2965.2356,2980.623,3037.161,3030.496,2987.287,2966.065,2983.7522,2977.9194,3043.0017,3041.0444,3021.6514,2986.8,2962.0286,3030.0938,3011.769,3022.8254,3023.383,2961.4675,2969.3918,2973.2769,2984.3755,3031.565,2999.7666
2000-02-11,2996.9067,3019.5464,3005.821,2985.4126,3002.5137,2992.3757,3022.4517,3033.8223,2972.5237,2988.215,3045.4692,3037.8926,2996.1323,2972.873,2991.3755,2986.4163,3051.7256,3048.2717,3028.5452,2993.8538,2970.5713,3036.669,3018.5605,3030.5613,3031.7917,2968.8506,2976.4219,2981.434,2992.1514,3039.6902,3007.2944
2000-02-12,3019.1956,3040.1165,3024.156,3005.6677,3022.0608,3010.3188,3042.6296,3054.9314,2992.9177,3009.1228,3067.7183,3058.4426,3019.4585,2992.3655,3012.3838,3009.057,3074.6865,3068.3748,3048.0745,3013.741,2993.3892,3055.5605,3037.895,3051.7556,3054.233,2989.4177,2996.3396,3003.5154,3013.4668,3061.574,3028.0852
2000-02-13,3055.7327,3074.9744,3057.1475,3040.4336,3056.2166,3043.175,3077.2297,3090.278,3027.9302,3044.405,3104.102,3093.4548,3056.922,3026.6284,3047.8628,3045.8674,3111.476,3102.6685,3082.032,3048.1501,3030.5942,3088.8835,3071.6821,3087.3223,3090.7876,3024.5598,3030.9788,3040.0742,3049.257,3097.6006,3063.2812
2000-02-14,3104.7146,3122.3486,3103.0315,3087.9226,3103.1982,3089.163,3124.4758,3138.084,3075.7615,3092.2754,3152.8306,3141.141,3106.7095,3073.8645,3096.014,3095.0466,3160.3179,3149.398,3128.6511,3095.301,3080.3599,3134.884,3118.154,3135.468,3139.6626,3072.4768,3078.5376,3089.29,3097.7146,3145.9846,3111.0928
2000-02-15,3140.5513,3159.826,3143.8638,3126.5322,3142.799,3131.3245,3162.8108,3174.901,3114.6677,3129.7961,3188.267,3179.31,3141.2249,3114.1372,3133.8193,3130.2808,3193.9563,3186.8997,3167.5679,3134.2742,3116.2783,3174.3638,3157.3328,3172.7314,3174.849,3111.0652,3118.2522,3126.1943,3135.2683,3181.7625,3148.8303
2000-02-16,3144.05,3166.784,3156.3594,3134.8296,3152.791,3145.4175,3170.968,3180.652,3123.0476,3136.384,3191.4736,3186.879,3142.3572,3124.7637,3140.5288,3132.845,3194.7854,3194.4426,3177.0024,3143.3235,3119.2095,3185.0422,3167.2268,3178.7576,3177.6147,3118.9688,3127.8936,3130.847,3141.3972,3185.699,3155.7446
2000-02-17,3134.0574,3157.6096,3148.2637,3125.8145,3144.1174,3137.5188,3161.9854,3171.2202,3113.9705,3127.0522,3181.495,3177.7217,3131.868,3116.1228,3131.1543,3122.6816,3184.4565,3185.4866,3168.33,3134.484,3108.9714,3176.672,3158.65,3169.2903,3167.5442,3109.808,3119.0483,3120.9624,3131.8782,3175.8945,3146.471
2000-02-18,3123.9841,3147.4358,3137.7175,3115.457,3133.656,3126.7593,3151.6924,3161.1072,3103.5354,3116.8257,3171.5066,3167.413,3121.9214,3105.5352,3120.858,3112.682,3174.7324,3175.37,3158.0078,3124.1028,3098.8118,3166.3213,3148.302,3159.0771,3157.5806,3099.4138,3108.5156,3110.7039,3121.5918,3165.8862,3136.2166
