,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2982.6943,2688.8647,2761.2932,2842.8333,2611.816,2703.673,3011.6633,2678.4978,2775.3079,2967.8328,3096.5012,2684.1538,2836.2625,2771.448,2796.7554,2723.6992,2995.926,2825.9197,2964.819,2972.9307,2704.6157,2806.5798,2649.3381,2710.5286,2679.5815,2817.9106,2782.0095,2618.3247,2795.0857,2832.1526,2802.9675
2000-01-10,2876.3213,2916.8506,2788.0261,2909.4128,3001.2136,3078.739,3099.3691,2786.5745,2672.7449,2658.7397,2844.918,3033.672,2851.1746,2899.693,2983.459,2675.118,2907.6785,3084.6472,2781.2925,2799.197,2868.0396,2957.168,2656.03,2914.572,2946.1414,2817.1257,3038.4624,2707.6328,2952.55,2828.2473,2877.827
2000-01-11,2985.6733,2987.313,2997.9702,2988.9883,2986.057,2969.801,2990.1025,2987.7617,3004.504,2998.4675,3001.6973,2982.7744,2989.6526,3001.0276,3016.347,2986.1497,3004.8733,2975.297,3012.1238,3005.0156,2986.9763,2988.8154,3001.9265,3009.8625,3014.0786,2975.6719,3004.24,2989.625,3006.9924,3004.8088,2995.153
2000-01-12,2995.797,3224.0906,3107.926,3050.2603,3238.135,3135.4817,2953.3608,3269.0422,3211.4463,2886.7278,2865.6528,3216.7686,3143.2285,3159.5698,3212.5422,3118.535,2974.4167,3084.827,2987.9963,3008.962,3172.7214,3112.8906,3274.4077,3280.9167,3317.4814,3108.1763,3179.0715,3267.1152,3193.1333,3158.9585,3130.3215
2000-01-13,3131.507,3027.1592,3033.9124,3043.2783,2878.508,2840.977,2897.9473,3187.615,3345.425,3230.4172,3140.056,2899.5227,3145.4849,3063.0945,3055.6487,3188.374,3094.5012,2848.2458,3195.3308,3206.493,3039.6646,2958.7178,3299.405,3077.933,3049.8792,3102.0674,2923.5981,3215.7898,3042.6587,3167.5217,3077.6914
2000-01-14,3060.9807,3056.4797,3073.4187,3063.1514,3048.515,3035.8704,3055.8625,3060.763,3089.0527,3061.8484,3065.0464,3052.93,3058.335,3060.7583,3075.094,3055.067,3070.838,3043.8608,3077.6396,3066.0457,3048.7056,3063.563,3078.575,3094.8503,3080.9153,3043.2905,3067.9885,3053.9094,3067.3594,3075.001,3063.5237
2000-01-15,3088.9526,3085.555,3101.6804,3091.2112,3078.609,3065.5896,3085.161,3089.2803,3115.7534,3091.8672,3095.1064,3082.1875,3087.5583,3091.026,3105.3926,3084.2827,3100.308,3073.0288,3107.3386,3096.1946,3078.975,3091.9072,3106.4092,3121.088,3110.2017,3072.7305,3097.5693,3083.846,3097.774,3104.03,3092.687
2000-01-16,3111.5522,3109.177,3124.522,3113.901,3103.191,3089.8022,3109.0222,3112.375,3137.1414,3116.3723,3119.6484,3105.949,3111.314,3115.7944,3130.2031,3108.0261,3124.3123,3096.7385,3131.5427,3120.845,3103.7163,3114.8281,3128.8706,3142.0774,3134.0374,3096.684,3121.698,3108.2683,3122.6587,3127.5989,3116.3955
2000-01-17,3127.2678,3126.226,3140.4487,3129.7727,3121.5532,3107.5923,3126.5117,3128.6926,3151.1477,3134.6045,3137.916,3123.0603,3128.5164,3134.5056,3149.0166,3125.202,3141.918,3113.9065,3149.3606,3139.3628,3122.2712,3130.873,3144.3723,3155.6912,3151.432,3114.1362,3139.5627,3126.3665,3141.434,3144.5325,3133.575
2000-01-18,3133.1152,3133.945,3146.4727,3135.8867,3131.1873,3116.316,3134.9995,3135.334,3154.448,3144.0203,3147.3667,3130.7273,3136.4255,3144.7517,3159.4614,3133.063,3150.4883,3121.798,3158.1704,3149.2922,3132.1584,3137.0796,3149.8826,3158.5916,3159.7175,3122.3872,3148.6086,3135.5625,3151.6675,3152.035,3141.4988
