,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2765.2107,3062.7705,2950.5706,2966.1868,3249.1377,2735.6995,2903.3335,2734.66,2988.476,3049.4563,3022.7896,3039.6497,2884.9146,2908.7163,3157.8315,3069.2456,2842.1938,3211.3186,2864.472,2489.233,2845.6663,2982.6973,3004.635,2906.089,3269.7114,2643.089,2578.2395,3038.2283,2392.8015,2858.8342,2913.862
2000-01-10,2997.6196,3087.249,2855.165,2837.4124,2919.5688,3013.9185,2901.3193,3108.135,2878.8152,3065.5625,3081.824,3115.4153,3012.8728,3039.368,3038.6987,2978.657,2936.6462,2966.8762,2958.8584,3254.6597,2960.5066,2928.959,2942.0095,3165.869,2906.8772,3206.2473,2962.2244,2887.7522,2989.757,2917.5725,2997.2139
2000-01-11,2990.6318,3016.011,2995.8271,2991.7288,2939.5388,2977.631,2957.6272,2941.296,2972.5115,2985.993,2987.2917,3011.183,3021.3364,2946.2976,2993.8704,3003.9517,2953.6409,2978.5503,2940.678,2975.2166,2964.297,2989.862,2975.223,3036.182,3035.3533,2998.5254,2989.031,2971.3193,2947.1536,2897.3328,2979.5032
2000-01-12,3241.291,2980.561,3047.0781,3037.2317,2652.5361,3251.2678,3033.5608,3172.2063,2975.2559,2946.1138,2962.1887,2998.9114,3177.3828,3004.3586,2858.1782,2958.2,3093.0518,2747.4146,3040.9602,3485.8489,3114.065,3027.5447,2971.2673,3189.877,2817.8943,3380.0562,3394.4282,2904.8071,3519.289,2951.593,3064.4805
2000-01-13,3045.7153,3007.1477,3186.6072,3200.1106,3017.56,3018.9727,3068.9392,2839.2883,3119.5288,2970.515,2950.5059,2962.684,3085.536,2913.5703,3013.9866,3087.7449,3036.6233,3047.1433,2996.6394,2756.1128,3041.6846,3123.4692,3073.1218,2964.1443,3220.7634,2857.795,3054.7783,3106.6824,2959.0544,2947.6833,3022.4702
2000-01-14,3082.2332,3113.9907,3077.3596,3078.2014,3028.1187,3083.4365,3042.9683,3036.9563,3055.9119,3080.1016,3075.2014,3098.252,3109.4985,3036.6272,3087.989,3092.58,3048.8252,3067.0596,3044.0396,3066.1567,3066.63,3091.2268,3070.262,3122.8887,3124.5317,3095.4526,3069.158,3055.4316,3033.1172,2998.4243,3071.0874
2000-01-15,3107.9512,3138.7153,3104.7268,3105.2896,3055.3613,3106.6401,3069.9443,3063.095,3083.2402,3105.5474,3101.5554,3124.921,3135.468,3062.8591,3113.0051,3118.913,3074.9155,3093.7056,3068.9014,3092.1694,3091.1885,3115.5537,3096.3665,3148.9194,3149.951,3120.891,3096.6528,3082.4487,3061.0034,3024.5388,3097.148
2000-01-16,3128.4048,3158.2334,3126.7222,3126.9778,3077.151,3124.756,3091.5542,3083.8447,3105.1768,3125.7334,3122.601,3146.2456,3156.1838,3083.7666,3132.8271,3139.9294,3095.6328,3114.9885,3088.4575,3112.8828,3110.504,3134.6863,3117.096,3169.7087,3170.1863,3141.029,3118.7769,3104.11,3083.3748,3045.19,3117.8909
2000-01-17,3141.0986,3169.6575,3141.4797,3141.1326,3091.26,3134.3914,3105.711,3096.5437,3119.758,3138.019,3136.076,3160.0295,3169.3408,3096.9568,3144.7798,3153.3308,3108.3335,3128.6406,3099.5652,3125.8562,3121.4583,3145.5376,3129.8174,3183.0276,3182.8386,3153.0876,3133.7437,3118.395,3098.1855,3057.4446,3130.85
2000-01-18,3142.448,3169.17,3145.7876,3144.3557,3094.21,3131.4397,3109.059,3097.4539,3123.7017,3138.7292,3138.5325,3162.8555,3171.4836,3098.8904,3145.1897,3155.643,3109.2942,3131.1917,3098.2036,3127.5293,3120.0698,3144.1643,3130.8162,3185.4749,3184.4177,3153.2854,3138.3928,3121.995,3102.0542,3057.3596,3132.4397
