,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,2752.783,2792.7874,2853.756,2683.6387,2799.3367,2688.5015,2593.8765,2765.639,2750.4426,2679.877,2844.1687,2903.9106,2882.692,2833.9656,2768.0632,2722.9712,2870.8682,2828.467,2931.972,2697.3997,3011.295,2902.1584,2740.707,2797.4768,2782.5715,2783.2925,2893.2761,2845.969,2750.243,2902.614,2801.8237
2000-01-10,2855.7322,2798.5894,2998.4475,2683.5146,2847.9407,2818.3826,2583.9485,2440.2212,2975.9072,2887.972,2805.9878,2804.996,2980.5884,2598.754,2619.9648,2807.3965,2770.0576,2898.2502,2694.512,2693.478,2794.1675,2756.859,2590.9038,3068.8572,2603.701,2578.66,3028.4434,2854.6172,2638.6028,2992.7703,2782.4075
2000-01-11,3015.994,3007.7073,3011.7341,3004.9395,3002.5657,3014.9358,3009.972,3025.9626,3004.7898,3006.4563,3004.8071,3020.7314,3013.1533,3019.9817,3005.2888,3002.0852,2995.9177,3010.7705,3018.422,3005.8552,3015.409,2989.6133,3027.8499,3006.8362,3012.7207,3003.896,3020.903,3025.433,3009.0876,3008.3503,3010.739
2000-01-12,2855.5571,2946.3372,2925.8823,3137.875,2911.1638,2852.665,2956.078,2752.6177,2895.8845,2881.9475,2959.3943,2891.0852,2841.1711,2889.9297,2794.802,3010.9492,2932.0242,3052.8594,2972.6394,2922.9497,2767.5613,2875.7986,2893.8237,3025.7217,2942.0674,2771.0168,2857.879,2936.7964,2899.6821,2936.2273,2909.6797
2000-01-13,2724.185,2999.0344,2976.0796,2998.8342,2833.3328,2807.7532,3005.835,2792.179,2999.7844,2625.3542,2923.499,2879.336,2936.7214,2621.212,2775.9717,2903.8057,2986.7483,3026.0156,2915.9727,2868.492,2834.52,3093.8354,2929.0088,3142.7485,2777.6096,2612.4207,2812.679,2849.6926,2772.3318,2909.9385,2877.831
2000-01-14,3066.8696,3081.7966,3036.9985,3052.6016,3066.0657,3068.4634,3068.272,3076.9756,3074.703,3050.966,3073.0808,3068.614,3077.4485,3058.216,3071.03,3043.813,3060.35,3058.3687,3042.8047,3070.1838,3061.3958,3060.6184,3062.9314,3080.4048,3076.058,3030.7449,3062.364,3086.5833,3053.9685,3070.2788,3063.7656
2000-01-15,3099.171,3110.2625,3073.4944,3085.1877,3095.9846,3100.1501,3099.3313,3109.336,3104.1719,3084.3455,3102.5024,3101.442,3107.4126,3092.7417,3100.7258,3077.341,3090.4458,3091.2622,3079.5876,3100.2239,3094.6526,3089.5854,3097.9407,3109.0183,3106.315,3066.6155,3096.4067,3117.4958,3087.4658,3100.5706,3095.706
2000-01-16,3125.783,3133.2908,3104.0298,3112.0903,3120.4006,3126.2036,3124.7842,3135.9907,3128.1067,3111.9644,3126.4248,3128.5417,3131.8533,3121.4155,3124.917,3105.127,3114.9968,3118.424,3110.3748,3124.7285,3122.1428,3113.084,3127.0671,3132.1775,3131.0144,3096.602,3124.6245,3142.7825,3115.1707,3125.3245,3121.9814
2000-01-17,3146.7505,3149.4736,3130.249,3133.5334,3138.5417,3146.4893,3144.2095,3156.9883,3145.3887,3134.2673,3143.804,3150.1506,3149.964,3145.0884,3142.7058,3127.7632,3133.2004,3140.1077,3136.8777,3142.8967,3144.23,3129.8977,3151.3564,3148.5132,3149.4229,3122.218,3147.6702,3161.8716,3137.5251,3143.877,3142.501
2000-01-18,3159.9966,3155.876,3151.0166,3147.556,3147.864,3158.831,3155.2578,3170.2493,3153.2397,3149.4092,3151.9197,3164.3005,3159.1716,3162.1504,3151.4666,3143.5076,3142.4763,3154.3538,3157.997,3152.1538,3159.0183,3137.2056,3169.3152,3155.1123,3159.0046,3142.2683,3163.8157,3172.306,3152.6743,3153.743,3155.1086
2000-01-19,3163.2124,3154.5398,3159.238,3151.32,3148.509,3161.4692,3157.0144,3173.467,3152.8262,3153.8809,3151.7244,3168.114,3159.7166,3167.888,3151.72,3148.4216,3143.046,3158.2266,3166.435,3152.7207,3163.2402,3136.473,3175.654,3153.9006,3159.7817,3150.0613,3168.937,3173.6099,3157.1309,3154.7341,3157.9006
2000-01-20,3162.6543,3164.7354,3146.8513,3149.4275,3153.9756,3162.2458,3159.901,3172.9146,3160.892,3150.3635,3159.2234,3166.1494,3165.4485,3161.394,3158.1348,3143.806,3148.748,3156.127,3153.558,3158.4148,3160.3296,3145.2417,3167.7307,3163.8108,3164.9854,3138.627,3163.9062,3177.6208,3153.674,3159.4019,3158.3428
2000-01-21,3174.0522,3164.8296,3170.6785,3162.168,3158.9663,3172.1956,3167.6733,3184.3218,3163.3027,3164.8838,3162.1504,3179.0337,3170.205,3179.0632,3162.1636,3159.3994,3153.578,3169.1619,3177.9321,3163.233,3174.2383,3146.8347,3186.8909,3164.2178,3170.329,3161.3604,3180.0498,3184.297,3168.167,3165.262,3168.6877
2000-01-22,3168.8462,3152.218,3173.6206,3157.9126,3149.65,3166.0935,3160.0977,3179.1038,3152.1174,3161.7097,3151.3972,3174.7915,3160.6824,3177.9292,3152.1758,3157.0237,3144.054,3165.0093,3181.1956,3153.7256,3170.6323,3135.2058,3186.747,3151.7961,3161.1538,3163.6948,3177.9011,3175.903,3164.932,3156.4802,3162.7932
2000-01-23,3151.9846,3127.2283,3165.71,3142.159,3128.3547,3148.2966,3140.6396,3162.2112,3128.6116,3147.0686,3128.448,3158.9805,3139.1138,3165.5037,3130.1067,3143.3438,3122.4412,3149.2893,3173.6055,3132.1511,3155.489,3111.2964,3175.423,3127.0002,3139.9336,3155.2136,3164.35,3155.4578,3150.1838,3135.7402,3145.1782
2000-01-24,3122.5564,3090.32,3144.533,3113.834,3094.9453,3118.0679,3108.8262,3132.727,3092.9634,3119.6736,3093.4185,3130.508,3105.3936,3140.115,3095.9375,3116.9407,3088.627,3120.895,3152.6797,3098.396,3127.5928,3075.3835,3151.0654,3090.2502,3106.4897,3133.6343,3137.908,3122.6238,3122.635,3102.8013,3115.058
2000-01-25,3080.6494,3037.7651,3114.3845,3073.5095,3047.3772,3075.024,3063.5217,3090.727,3042.1902,3080.6682,3043.535,3089.9602,3057.381,3103.9526,3047.2815,3079.3533,3040.4814,3080.4673,3122.8843,3050.332,3087.865,3024.2466,3116.3743,3037.9126,3058.8623,3102.92,3100.2446,3075.8633,3083.3955,3055.899,3072.1677
